"PuttingAverage_RANKTHISWEEK_2006","PuttingAverage_RANKLASTWEEK_2006","PuttingAverage_PLAYERNAME_2006","PuttingAverage_ROUNDS_2006","PuttingAverage_AVG_2006","PuttingAverage_GIRPUTTS_2006","PuttingAverage_GREENSHIT_2006","PuttingAverage_BIRDIECONVERSION_2006","PuttingAverage_GIRRANK_2006","stat_name","year"
152,152,"Tim Petrovic",95,1.799,1806,1004,27.35,182,"PuttingAverage",2006
152,152,"Joey Sindelar",90,1.799,2000,1112,27.09,17,"PuttingAverage",2006
155,155,"Henrik Bjornstad",97,1.8,1982,1101,27.3,125,"PuttingAverage",2006
155,155,"Mathias Gronberg",92,1.8,1919,1066,29.17,57,"PuttingAverage",2006
155,155,"Sean OHair",100,1.8,2056,1142,29.74,117,"PuttingAverage",2006
158,158,"Sergio Garcia",59,1.802,1204,668,30.43,37,"PuttingAverage",2006
158,158,"Tim Herron",82,1.802,1645,913,27.17,169,"PuttingAverage",2006
158,158,"JB Holmes",81,1.802,1631,905,31.56,101,"PuttingAverage",2006
158,158,"JL Lewis",57,1.802,1159,643,26.37,167,"PuttingAverage",2006
162,162,"Troy Matteson",101,1.803,2174,1206,28.12,66,"PuttingAverage",2006
162,162,"Larry Mize",53,1.803,1062,589,23.17,132,"PuttingAverage",2006
162,162,"Duffy Waldorf",96,1.803,1978,1097,28.35,68,"PuttingAverage",2006
165,165,"Chris Smith",67,1.806,1510,836,27.01,10,"PuttingAverage",2006
166,166,"Omar Uresti",61,1.807,1274,705,25.89,64,"PuttingAverage",2006
167,167,"Brian Bateman",69,1.808,1365,755,25.53,120,"PuttingAverage",2006
167,167,"Jason Schultz",77,1.808,1542,853,27.73,153,"PuttingAverage",2006
167,167,"Tjaart van der Walt",60,1.808,1197,662,25.45,122,"PuttingAverage",2006
170,170,"John Engler Jr",69,1.809,1304,721,25.28,188,"PuttingAverage",2006
170,170,"Ryan Hietala",61,1.809,1154,638,26.96,186,"PuttingAverage",2006
170,170,"Steve Jones",83,1.809,1677,927,26.24,163,"PuttingAverage",2006
170,170,"Will Ma Kenzie",91,1.809,1948,1077,28.65,25,"PuttingAverage",2006
174,174,"Paul Stankowski",70,1.811,1503,830,26.9,84,"PuttingAverage",2006
175,175,"Bart Bryant",87,1.812,1926,1063,24.95,16,"PuttingAverage",2006
175,175,"Greg Owen",79,1.812,1721,950,28.87,18,"PuttingAverage",2006
177,177,"Jeff Gove",91,1.813,2045,1128,25.8,2,"PuttingAverage",2006
177,177,"Kenny Perry",73,1.813,1615,891,26.46,15,"PuttingAverage",2006
179,179,"Carlos Franco",86,1.814,1830,1009,27.98,110,"PuttingAverage",2006
180,180,"Corey Pavin",74,1.815,1454,801,23.43,145,"PuttingAverage",2006
181,181,"Fred Couples",52,1.816,1068,588,27.01,100,"PuttingAverage",2006
182,182,"James Driscoll",80,1.817,1604,883,28.83,181,"PuttingAverage",2006
182,182,"Steve Elkington",52,1.817,1161,639,24.96,8,"PuttingAverage",2006
184,184,"Michael Connell",51,1.819,1008,554,26.4,133,"PuttingAverage",2006
185,185,"Charles Howell III",96,1.823,2011,1103,26.23,83,"PuttingAverage",2006
185,185,"Mike Sposa",68,1.823,1347,739,26.93,155,"PuttingAverage",2006
187,187,"Mathew Goggin",72,1.824,1543,846,27.78,44,"PuttingAverage",2006
187,187,"Peter Lonard",77,1.824,1576,864,25.35,155,"PuttingAverage",2006
187,187,"Hidemichi Tanaka",74,1.824,1388,761,23.92,195,"PuttingAverage",2006
190,190,"Tom Lehman",70,1.827,1301,712,24.37,81,"PuttingAverage",2006
191,191,"Jonathan Kaye",95,1.828,2071,1133,25.8,19,"PuttingAverage",2006
192,192,"Nicholas Thompson",96,1.829,2001,1094,27.17,99,"PuttingAverage",2006
193,193,"Roger Tambellini",64,1.833,1316,718,26.43,95,"PuttingAverage",2006
194,194,"Jon Mills",68,1.835,1367,745,24.36,165,"PuttingAverage",2006
195,195,"Matt Hansen",68,1.839,1462,795,27.36,48,"PuttingAverage",2006
196,196,"Thomas Levet",53,1.851,1120,605,23.71,82,"PuttingAverage",2006
