"ConsecutiveBirdiesEaglesstreak_RANKTHISWEEK_2011","ConsecutiveBirdiesEaglesstreak_RANKLASTWEEK_2011","ConsecutiveBirdiesEaglesstreak_PLAYERNAME_2011","ConsecutiveBirdiesEaglesstreak_EVENTS_2011","ConsecutiveBirdiesEaglesstreak_NUMBEROFHOLES_2011","stat_name","year"
1,1,"Derek Lamely",26,6,"ConsecutiveBirdiesEaglesstreak",2011
2,2,"Hunter Haas",30,5,"ConsecutiveBirdiesEaglesstreak",2011
2,2,"David Hearn",26,5,"ConsecutiveBirdiesEaglesstreak",2011
2,2,"Trevor Immelman",25,5,"ConsecutiveBirdiesEaglesstreak",2011
2,2,"Will Ma Kenzie",14,5,"ConsecutiveBirdiesEaglesstreak",2011
2,2,"Webb Simpson",26,5,"ConsecutiveBirdiesEaglesstreak",2011
2,2,"Nick Watney",22,5,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Arjun Atwal",29,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Michael Connell",26,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Brendon de Jonge",30,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Jason Dufner",23,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Rickie Fowler",24,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Sergio Garcia",16,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Dustin Johnson",21,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Sung Kang",21,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Justin Leonard",26,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Bill Lunde",28,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Zack Miller",30,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Steve Stricker",19,4,"ConsecutiveBirdiesEaglesstreak",2011
8,8,"Lee Westwood",10,4,"ConsecutiveBirdiesEaglesstreak",2011
21,21,"Blake Adams",34,3,"ConsecutiveBirdiesEaglesstreak",2011
21,21,"Robert Allenby",25,3,"ConsecutiveBirdiesEaglesstreak",2011
21,21,"Woody Austin",18,3,"ConsecutiveBirdiesEaglesstreak",2011
21,21,"Chris Baryla",20,3,"ConsecutiveBirdiesEaglesstreak",2011
21,21,"Cameron Beckman",25,3,"ConsecutiveBirdiesEaglesstreak",2011
