"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2005","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2005","BirdieorBetterPercentageLeftRough_PLAYERNAME_2005","BirdieorBetterPercentageLeftRough_ROUNDS_2005","BirdieorBetterPercentageLeftRough_Pct_2005","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2005","BirdieorBetterPercentageLeftRough_TOTALHOLES_2005","stat_name","year"
1,1,"Scott Gutschewski",86,25.38,33,130,"BirdieorBetterPercentageLeftRough",2005
2,2,"Heath Slocum",103,24.62,32,130,"BirdieorBetterPercentageLeftRough",2005
3,3,"Darron Stiles",78,24.1,20,83,"BirdieorBetterPercentageLeftRough",2005
4,4,"Retief Goosen",71,22.73,20,88,"BirdieorBetterPercentageLeftRough",2005
5,5,"Glen Hnatiuk",59,22.37,17,76,"BirdieorBetterPercentageLeftRough",2005
6,6,"Matt Davidson",53,22.22,18,81,"BirdieorBetterPercentageLeftRough",2005
6,6,"Justin Leonard",78,22.22,20,90,"BirdieorBetterPercentageLeftRough",2005
8,8,"Phillip Price",77,21.88,21,96,"BirdieorBetterPercentageLeftRough",2005
9,9,"Tjaart van der Walt",56,21.43,12,56,"BirdieorBetterPercentageLeftRough",2005
10,10,"Arjun Atwal",65,21.36,22,103,"BirdieorBetterPercentageLeftRough",2005
11,11,"Charles Warren",89,21.24,24,113,"BirdieorBetterPercentageLeftRough",2005
12,12,"Phil Mickelson",81,21.05,24,114,"BirdieorBetterPercentageLeftRough",2005
13,13,"Doug Barron",70,20.88,19,91,"BirdieorBetterPercentageLeftRough",2005
14,14,"Kevin Na",88,20.86,29,139,"BirdieorBetterPercentageLeftRough",2005
15,15,"Brett Wetterich",76,20.83,30,144,"BirdieorBetterPercentageLeftRough",2005
16,16,"Mark Calcavecchia",92,20.51,24,117,"BirdieorBetterPercentageLeftRough",2005
16,16,"Bernhard Langer",67,20.51,16,78,"BirdieorBetterPercentageLeftRough",2005
18,18,"Daniel Chopra",108,20.43,38,186,"BirdieorBetterPercentageLeftRough",2005
18,18,"David Toms",87,20.43,19,93,"BirdieorBetterPercentageLeftRough",2005
20,20,"Vijay Singh",111,20.36,34,167,"BirdieorBetterPercentageLeftRough",2005
21,21,"Steve Stricker",62,20.28,29,143,"BirdieorBetterPercentageLeftRough",2005
22,22,"Joe Durant",81,20.25,16,79,"BirdieorBetterPercentageLeftRough",2005
23,23,"Hunter Haas",83,20.14,28,139,"BirdieorBetterPercentageLeftRough",2005
24,24,"Billy Andrade",83,20,21,105,"BirdieorBetterPercentageLeftRough",2005
25,25,"Todd Fischer",99,19.69,25,127,"BirdieorBetterPercentageLeftRough",2005
26,26,"Lee Janzen",75,19.66,23,117,"BirdieorBetterPercentageLeftRough",2005
27,27,"Duffy Waldorf",86,19.42,20,103,"BirdieorBetterPercentageLeftRough",2005
28,28,"Harrison Frazar",105,19.33,29,150,"BirdieorBetterPercentageLeftRough",2005
29,29,"Jason Allred",75,19.02,31,163,"BirdieorBetterPercentageLeftRough",2005
30,30,"Woody Austin",100,18.92,28,148,"BirdieorBetterPercentageLeftRough",2005
30,30,"Kenny Perry",82,18.92,21,111,"BirdieorBetterPercentageLeftRough",2005
32,32,"Jose Coceres",56,18.87,10,53,"BirdieorBetterPercentageLeftRough",2005
33,33,"Jason Bohn",91,18.84,26,138,"BirdieorBetterPercentageLeftRough",2005
34,34,"Robert Allenby",95,18.75,21,112,"BirdieorBetterPercentageLeftRough",2005
35,35,"Aaron Baddeley",84,18.57,26,140,"BirdieorBetterPercentageLeftRough",2005
35,35,"Steve Lowery",100,18.57,26,140,"BirdieorBetterPercentageLeftRough",2005
35,35,"Larry Mize",54,18.57,13,70,"BirdieorBetterPercentageLeftRough",2005
38,38,"Jeff Hart",63,18.37,9,49,"BirdieorBetterPercentageLeftRough",2005
39,39,"Stuart Appleby",84,18.18,20,110,"BirdieorBetterPercentageLeftRough",2005
40,40,"Jonathan Byrd",103,18.06,26,144,"BirdieorBetterPercentageLeftRough",2005
41,41,"Brenden Pappas",51,17.92,19,106,"BirdieorBetterPercentageLeftRough",2005
42,42,"Jim Furyk",94,17.89,17,95,"BirdieorBetterPercentageLeftRough",2005
42,42,"Charles Howell III",95,17.89,22,123,"BirdieorBetterPercentageLeftRough",2005
44,44,"John Senden",101,17.86,25,140,"BirdieorBetterPercentageLeftRough",2005
45,45,"Kevin Sutherland",89,17.78,24,135,"BirdieorBetterPercentageLeftRough",2005
46,46,"Ryan Palmer",101,17.65,24,136,"BirdieorBetterPercentageLeftRough",2005
47,47,"Hunter Mahan",103,17.47,29,166,"BirdieorBetterPercentageLeftRough",2005
48,48,"JP Hayes",63,17.44,15,86,"BirdieorBetterPercentageLeftRough",2005
49,49,"Ted Purdy",122,17.33,26,150,"BirdieorBetterPercentageLeftRough",2005
50,50,"Justin Rose",99,17.06,29,170,"BirdieorBetterPercentageLeftRough",2005
51,51,"Loren Roberts",54,16.98,9,53,"BirdieorBetterPercentageLeftRough",2005
52,52,"John Rollins",97,16.91,23,136,"BirdieorBetterPercentageLeftRough",2005
53,53,"Omar Uresti",84,16.87,14,83,"BirdieorBetterPercentageLeftRough",2005
54,54,"Craig Barlow",81,16.85,15,89,"BirdieorBetterPercentageLeftRough",2005
55,55,"Davis Love III",80,16.81,19,113,"BirdieorBetterPercentageLeftRough",2005
56,56,"Marco Dawson",82,16.8,21,125,"BirdieorBetterPercentageLeftRough",2005
56,56,"Len Mattiace",86,16.8,21,125,"BirdieorBetterPercentageLeftRough",2005
58,58,"Steve Allan",102,16.67,24,144,"BirdieorBetterPercentageLeftRough",2005
58,58,"James Driscoll",73,16.67,21,126,"BirdieorBetterPercentageLeftRough",2005
58,58,"Rocco Mediate",73,16.67,16,96,"BirdieorBetterPercentageLeftRough",2005
58,58,"Tom Pernice Jr",111,16.67,23,138,"BirdieorBetterPercentageLeftRough",2005
62,62,"Scott Hend",75,16.57,28,169,"BirdieorBetterPercentageLeftRough",2005
62,62,"Bo Van Pelt",112,16.57,28,169,"BirdieorBetterPercentageLeftRough",2005
64,64,"Padraig Harrington",50,16.48,15,91,"BirdieorBetterPercentageLeftRough",2005
65,65,"Freddie Jacobson",72,16.38,19,116,"BirdieorBetterPercentageLeftRough",2005
65,65,"Zach Johnson",96,16.38,19,116,"BirdieorBetterPercentageLeftRough",2005
67,67,"Cameron Beckman",96,16.35,26,159,"BirdieorBetterPercentageLeftRough",2005
68,68,"Bob Heintz",67,16.24,19,117,"BirdieorBetterPercentageLeftRough",2005
69,69,"Mike Weir",71,16.22,12,74,"BirdieorBetterPercentageLeftRough",2005
70,70,"Jesper Parnevik",84,16.15,21,130,"BirdieorBetterPercentageLeftRough",2005
71,71,"Briny Baird",98,16.1,19,118,"BirdieorBetterPercentageLeftRough",2005
72,72,"Gavin Coles",70,16.05,13,81,"BirdieorBetterPercentageLeftRough",2005
72,72,"Arron Oberholser",65,16.05,13,81,"BirdieorBetterPercentageLeftRough",2005
74,74,"JJ Henry",102,15.97,23,144,"BirdieorBetterPercentageLeftRough",2005
75,75,"Mario Tiziani",67,15.96,15,94,"BirdieorBetterPercentageLeftRough",2005
76,76,"Hank Kuehne",84,15.92,25,157,"BirdieorBetterPercentageLeftRough",2005
77,77,"Brett Quigley",96,15.79,27,171,"BirdieorBetterPercentageLeftRough",2005
78,78,"Jeff Brehaut",71,15.71,11,70,"BirdieorBetterPercentageLeftRough",2005
79,79,"Shaun Micheel",81,15.69,16,102,"BirdieorBetterPercentageLeftRough",2005
80,80,"Matt Gogel",78,15.63,15,96,"BirdieorBetterPercentageLeftRough",2005
80,80,"Jay Williamson",53,15.63,10,64,"BirdieorBetterPercentageLeftRough",2005
80,80,"Tiger Woods",76,15.63,15,96,"BirdieorBetterPercentageLeftRough",2005
83,83,"Nick Watney",91,15.6,22,141,"BirdieorBetterPercentageLeftRough",2005
84,84,"Bart Bryant",91,15.58,12,77,"BirdieorBetterPercentageLeftRough",2005
85,85,"Kevin Stadler",96,15.57,26,167,"BirdieorBetterPercentageLeftRough",2005
86,86,"Justin Bolli",65,15.46,15,97,"BirdieorBetterPercentageLeftRough",2005
86,86,"Dan Forsman",52,15.46,15,97,"BirdieorBetterPercentageLeftRough",2005
88,88,"Geoff Ogilvy",97,15.45,19,123,"BirdieorBetterPercentageLeftRough",2005
89,89,"Hidemichi Tanaka",106,15.44,23,149,"BirdieorBetterPercentageLeftRough",2005
90,90,"Scott McCarron",78,15.38,16,104,"BirdieorBetterPercentageLeftRough",2005
91,91,"John Huston",90,15.27,20,131,"BirdieorBetterPercentageLeftRough",2005
92,92,"Will Ma Kenzie",75,15.2,19,125,"BirdieorBetterPercentageLeftRough",2005
93,93,"Brian Bateman",98,15.15,25,165,"BirdieorBetterPercentageLeftRough",2005
93,93,"Lucas Glover",88,15.15,25,165,"BirdieorBetterPercentageLeftRough",2005
95,95,"Tim Herron",100,15,21,140,"BirdieorBetterPercentageLeftRough",2005
95,95,"Skip Kendall",80,15,15,100,"BirdieorBetterPercentageLeftRough",2005
95,95,"Chris Smith",93,15,21,140,"BirdieorBetterPercentageLeftRough",2005
98,98,"Olin Browne",99,14.88,18,121,"BirdieorBetterPercentageLeftRough",2005
99,99,"Chris Anderson",66,14.74,14,95,"BirdieorBetterPercentageLeftRough",2005
99,99,"DJ Brigman",76,14.74,14,95,"BirdieorBetterPercentageLeftRough",2005
99,99,"Adam Scott",72,14.74,14,95,"BirdieorBetterPercentageLeftRough",2005
102,102,"Shigeki Maruyama",99,14.72,24,163,"BirdieorBetterPercentageLeftRough",2005
103,103,"Jonathan Kaye",77,14.71,15,102,"BirdieorBetterPercentageLeftRough",2005
104,104,"Michael Allen",90,14.58,21,144,"BirdieorBetterPercentageLeftRough",2005
105,105,"Ian Poulter",62,14.55,8,55,"BirdieorBetterPercentageLeftRough",2005
106,106,"Michael Long",72,14.42,15,104,"BirdieorBetterPercentageLeftRough",2005
107,107,"Brendan Jones",81,14.39,20,139,"BirdieorBetterPercentageLeftRough",2005
108,108,"Neal Lancaster",95,14.37,24,167,"BirdieorBetterPercentageLeftRough",2005
109,109,"Fred Couples",72,14.29,10,70,"BirdieorBetterPercentageLeftRough",2005
109,109,"Vaughn Taylor",99,14.29,19,133,"BirdieorBetterPercentageLeftRough",2005
111,111,"Stewart Cink",98,14.17,18,127,"BirdieorBetterPercentageLeftRough",2005
111,111,"Stephen Leaney",89,14.17,17,120,"BirdieorBetterPercentageLeftRough",2005
113,113,"Pat Perez",89,13.97,19,136,"BirdieorBetterPercentageLeftRough",2005
114,114,"Joey Sindelar",104,13.93,17,122,"BirdieorBetterPercentageLeftRough",2005
115,115,"Greg Owen",84,13.89,15,108,"BirdieorBetterPercentageLeftRough",2005
116,116,"Jeff Maggert",79,13.79,12,87,"BirdieorBetterPercentageLeftRough",2005
117,117,"Luke Donald",67,13.7,10,73,"BirdieorBetterPercentageLeftRough",2005
117,117,"Thomas Levet",54,13.7,10,73,"BirdieorBetterPercentageLeftRough",2005
119,119,"John Daly",78,13.68,16,117,"BirdieorBetterPercentageLeftRough",2005
120,120,"Brad Faxon",75,13.64,12,88,"BirdieorBetterPercentageLeftRough",2005
121,121,"Brandt Jobe",96,13.6,17,125,"BirdieorBetterPercentageLeftRough",2005
122,122,"Roland Thatcher",75,13.56,16,118,"BirdieorBetterPercentageLeftRough",2005
123,123,"Dean Wilson",86,13.49,17,126,"BirdieorBetterPercentageLeftRough",2005
124,124,"Steve Flesch",90,13.46,14,104,"BirdieorBetterPercentageLeftRough",2005
125,125,"Glen Day",80,13.38,19,142,"BirdieorBetterPercentageLeftRough",2005
126,126,"Tim Clark",92,13.27,15,113,"BirdieorBetterPercentageLeftRough",2005
127,127,"Tag Ridings",93,13.25,22,166,"BirdieorBetterPercentageLeftRough",2005
128,128,"Andrew Magee",82,13.24,18,136,"BirdieorBetterPercentageLeftRough",2005
129,129,"Billy Mayfair",114,13.22,16,121,"BirdieorBetterPercentageLeftRough",2005
130,130,"Brent Geiberger",61,13.19,12,91,"BirdieorBetterPercentageLeftRough",2005
131,131,"Dennis Paulson",63,13.13,13,99,"BirdieorBetterPercentageLeftRough",2005
132,132,"Stephen Ames",82,13.11,16,122,"BirdieorBetterPercentageLeftRough",2005
133,133,"Jeff Sluman",94,13.08,17,130,"BirdieorBetterPercentageLeftRough",2005
134,134,"Richard Johnson",50,13.04,9,69,"BirdieorBetterPercentageLeftRough",2005
135,135,"JL Lewis",98,12.93,15,116,"BirdieorBetterPercentageLeftRough",2005
136,136,"Peter Lonard",85,12.9,16,124,"BirdieorBetterPercentageLeftRough",2005
137,137,"Craig Perks",67,12.68,18,142,"BirdieorBetterPercentageLeftRough",2005
138,138,"Rod Pampling",89,12.61,15,119,"BirdieorBetterPercentageLeftRough",2005
139,139,"Tommy Armour III",103,12.5,19,152,"BirdieorBetterPercentageLeftRough",2005
140,140,"Carl Pettersson",109,12.41,18,145,"BirdieorBetterPercentageLeftRough",2005
141,141,"Sergio Garcia",73,12.4,15,121,"BirdieorBetterPercentageLeftRough",2005
142,142,"Mark Brooks",72,12.37,12,97,"BirdieorBetterPercentageLeftRough",2005
143,143,"Rob Rashell",65,12.36,11,89,"BirdieorBetterPercentageLeftRough",2005
144,144,"John Elliott",58,12.35,10,81,"BirdieorBetterPercentageLeftRough",2005
145,145,"Brian Davis",75,12.28,7,57,"BirdieorBetterPercentageLeftRough",2005
146,146,"John Cook",72,12.2,10,82,"BirdieorBetterPercentageLeftRough",2005
147,147,"DA Points",94,12.12,16,132,"BirdieorBetterPercentageLeftRough",2005
148,148,"Joey Snyder III",102,11.94,16,134,"BirdieorBetterPercentageLeftRough",2005
149,149,"Bob Estes",92,11.93,13,109,"BirdieorBetterPercentageLeftRough",2005
149,149,"Bob Tway",87,11.93,13,109,"BirdieorBetterPercentageLeftRough",2005
151,151,"Chad Campbell",95,11.85,16,135,"BirdieorBetterPercentageLeftRough",2005
152,152,"Rory Sabbatini",81,11.81,15,127,"BirdieorBetterPercentageLeftRough",2005
153,153,"Scott Verplank",87,11.76,8,68,"BirdieorBetterPercentageLeftRough",2005
154,154,"Jerry Kelly",101,11.71,13,111,"BirdieorBetterPercentageLeftRough",2005
155,155,"Jose Maria Olazabal",55,11.59,8,69,"BirdieorBetterPercentageLeftRough",2005
156,156,"DJ Trahan",81,11.57,14,121,"BirdieorBetterPercentageLeftRough",2005
157,157,"Ben Crane",78,11.48,14,122,"BirdieorBetterPercentageLeftRough",2005
158,158,"Sean OHair",103,11.45,19,166,"BirdieorBetterPercentageLeftRough",2005
159,159,"Ryuji Imada",78,11.35,16,141,"BirdieorBetterPercentageLeftRough",2005
160,160,"Todd Hamilton",94,11.3,13,115,"BirdieorBetterPercentageLeftRough",2005
161,161,"Steve Jones",56,11.29,7,62,"BirdieorBetterPercentageLeftRough",2005
162,162,"Rich Beem",66,11.25,9,80,"BirdieorBetterPercentageLeftRough",2005
162,162,"Bill Glasson",54,11.25,9,80,"BirdieorBetterPercentageLeftRough",2005
164,164,"Brian Gay",101,11.18,17,152,"BirdieorBetterPercentageLeftRough",2005
165,165,"Mark Hensby",70,10.87,10,92,"BirdieorBetterPercentageLeftRough",2005
166,166,"Hideto Tanihara",50,10.81,8,74,"BirdieorBetterPercentageLeftRough",2005
167,167,"Paul Gow",78,10.78,11,102,"BirdieorBetterPercentageLeftRough",2005
168,168,"Steve Elkington",67,10.26,8,78,"BirdieorBetterPercentageLeftRough",2005
169,169,"Jay Haas",54,10.2,5,49,"BirdieorBetterPercentageLeftRough",2005
170,170,"Dudley Hart",84,10.19,11,108,"BirdieorBetterPercentageLeftRough",2005
170,170,"Mark Wilson",74,10.19,11,108,"BirdieorBetterPercentageLeftRough",2005
172,172,"Carlos Franco",78,10.16,13,128,"BirdieorBetterPercentageLeftRough",2005
172,172,"Frank Lickliter II",100,10.16,13,128,"BirdieorBetterPercentageLeftRough",2005
174,174,"Tom Lehman",69,10.14,7,69,"BirdieorBetterPercentageLeftRough",2005
175,175,"Danny Briggs",70,10,8,80,"BirdieorBetterPercentageLeftRough",2005
175,175,"Fred Funk",102,10,9,90,"BirdieorBetterPercentageLeftRough",2005
175,175,"Robert Gamez",91,10,10,100,"BirdieorBetterPercentageLeftRough",2005
175,175,"Tom Gillis",77,10,10,100,"BirdieorBetterPercentageLeftRough",2005
179,179,"Patrick Sheehan",114,9.8,15,153,"BirdieorBetterPercentageLeftRough",2005
180,180,"Charlie Wi",67,9.76,8,82,"BirdieorBetterPercentageLeftRough",2005
181,181,"Matt Kuchar",60,9.72,7,72,"BirdieorBetterPercentageLeftRough",2005
182,182,"Franklin Langham",91,9.64,16,166,"BirdieorBetterPercentageLeftRough",2005
183,183,"Kent Jones",99,9.57,11,115,"BirdieorBetterPercentageLeftRough",2005
184,184,"Mathias Gronberg",60,9.52,10,105,"BirdieorBetterPercentageLeftRough",2005
185,185,"Robert Damron",89,9.47,9,95,"BirdieorBetterPercentageLeftRough",2005
186,186,"Tom Byrum",83,9.26,10,108,"BirdieorBetterPercentageLeftRough",2005
187,187,"David Hearn",68,9.23,6,65,"BirdieorBetterPercentageLeftRough",2005
188,188,"Alex Cejka",84,9.09,11,121,"BirdieorBetterPercentageLeftRough",2005
189,189,"Bradley Hughes",52,8.96,6,67,"BirdieorBetterPercentageLeftRough",2005
190,190,"Joe Ogilvie",103,8.8,11,125,"BirdieorBetterPercentageLeftRough",2005
191,191,"Kirk Triplett",55,8.77,5,57,"BirdieorBetterPercentageLeftRough",2005
