"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2015","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2015","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2015","AveragePuttingDistanceAll3Plusputts_ROUNDS_2015","AveragePuttingDistanceAll3Plusputts_AVG_2015","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2015","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2015","stat_name","year"
1,1,"Heath Slocum",57,NA,94.75,1,"AveragePuttingDistanceAll3Plusputts",2015
2,2,"Jim Renner",68,NA,84.583,1,"AveragePuttingDistanceAll3Plusputts",2015
3,3,"Fabian Gomez",83,NA,84.333,1,"AveragePuttingDistanceAll3Plusputts",2015
4,4,"Sangmoon Bae",98,NA,78.5,1,"AveragePuttingDistanceAll3Plusputts",2015
5,5,"Brian Harman",90,NA,73.833,1,"AveragePuttingDistanceAll3Plusputts",2015
6,6,"Pat Perez",96,NA,72.083,1,"AveragePuttingDistanceAll3Plusputts",2015
7,7,"DA Points",72,NA,71.917,1,"AveragePuttingDistanceAll3Plusputts",2015
8,8,"Matt Kuchar",97,NA,69.5,1,"AveragePuttingDistanceAll3Plusputts",2015
9,9,"Kevin Kisner",104,NA,69.25,1,"AveragePuttingDistanceAll3Plusputts",2015
10,10,"Brooks Koepka",84,NA,64,1,"AveragePuttingDistanceAll3Plusputts",2015
11,11,"Kevin Chappell",86,NA,62.667,1,"AveragePuttingDistanceAll3Plusputts",2015
12,12,"Cameron Percy",72,NA,60.917,1,"AveragePuttingDistanceAll3Plusputts",2015
13,13,"Michael Thompson",83,NA,116.25,2,"AveragePuttingDistanceAll3Plusputts",2015
14,14,"Ken Duke",93,NA,57.583,1,"AveragePuttingDistanceAll3Plusputts",2015
14,14,"Steve Wheatcroft",87,NA,57.583,1,"AveragePuttingDistanceAll3Plusputts",2015
16,16,"Scott Brown",97,NA,55.75,1,"AveragePuttingDistanceAll3Plusputts",2015
17,17,"Justin Rose",69,NA,111.167,2,"AveragePuttingDistanceAll3Plusputts",2015
18,18,"John Merrick",78,NA,55.083,1,"AveragePuttingDistanceAll3Plusputts",2015
19,19,"Chesson Hadley",101,NA,218.917,4,"AveragePuttingDistanceAll3Plusputts",2015
20,20,"Shawn Stefani",94,NA,54.333,1,"AveragePuttingDistanceAll3Plusputts",2015
21,21,"Louis Oosthuizen",68,NA,107.833,2,"AveragePuttingDistanceAll3Plusputts",2015
22,22,"Sean OHair",86,NA,53.333,1,"AveragePuttingDistanceAll3Plusputts",2015
