"ScramblingfromtheRough_RANKTHISWEEK_2010","ScramblingfromtheRough_RANKLASTWEEK_2010","ScramblingfromtheRough_PLAYERNAME_2010","ScramblingfromtheRough_ROUNDS_2010","ScramblingfromtheRough_Pct_2010","ScramblingfromtheRough_SUCCESSES_2010","ScramblingfromtheRough_ATTEMPTS_2010","stat_name","year"
1,1,"Jeev Milkha Singh",59,69.91,79,113,"ScramblingfromtheRough",2010
2,2,"Retief Goosen",75,68.94,91,132,"ScramblingfromtheRough",2010
3,3,"Brian Gay",101,68.06,130,191,"ScramblingfromtheRough",2010
4,4,"Luke Donald",71,67.41,91,135,"ScramblingfromtheRough",2010
5,5,"Jim Furyk",76,66.67,94,141,"ScramblingfromtheRough",2010
5,5,"Steve Stricker",73,66.67,84,126,"ScramblingfromtheRough",2010
7,7,"Dean Wilson",54,66.39,79,119,"ScramblingfromtheRough",2010
8,8,"David Toms",86,65.85,108,164,"ScramblingfromtheRough",2010
9,9,"Kevin Na",94,65.75,144,219,"ScramblingfromtheRough",2010
10,10,"Padraig Harrington",57,65.29,79,121,"ScramblingfromtheRough",2010
11,11,"Justin Rose",78,65.03,106,163,"ScramblingfromtheRough",2010
12,12,"Ryan Moore",80,64.71,99,153,"ScramblingfromtheRough",2010
13,13,"Stewart Cink",84,64.67,97,150,"ScramblingfromtheRough",2010
14,14,"KJ Choi",82,64.14,93,145,"ScramblingfromtheRough",2010
15,15,"Tim Clark",88,63.92,101,158,"ScramblingfromtheRough",2010
16,16,"Shaun Micheel",70,63.64,70,110,"ScramblingfromtheRough",2010
17,17,"Bob Estes",79,63.46,99,156,"ScramblingfromtheRough",2010
18,18,"Chris Riley",73,62.93,73,116,"ScramblingfromtheRough",2010
19,19,"Kenny Perry",69,62.83,71,113,"ScramblingfromtheRough",2010
20,20,"Charles Howell III",103,62.68,131,209,"ScramblingfromtheRough",2010
21,21,"Bo Van Pelt",104,62.43,108,173,"ScramblingfromtheRough",2010
22,22,"Chad Collins",87,62.34,96,154,"ScramblingfromtheRough",2010
23,23,"Matt Kuchar",97,62.29,109,175,"ScramblingfromtheRough",2010
24,24,"Ian Poulter",55,61.86,60,97,"ScramblingfromtheRough",2010
25,25,"Steve Elkington",74,61.81,89,144,"ScramblingfromtheRough",2010
26,26,"Jason Dufner",87,61.71,108,175,"ScramblingfromtheRough",2010
27,27,"Paul Casey",64,61.68,66,107,"ScramblingfromtheRough",2010
28,28,"Ernie Els",72,61.59,85,138,"ScramblingfromtheRough",2010
29,29,"Sean OHair",84,61.39,97,158,"ScramblingfromtheRough",2010
30,30,"Tom Gillis",97,61.25,147,240,"ScramblingfromtheRough",2010
31,31,"Greg Chalmers",93,60.87,140,230,"ScramblingfromtheRough",2010
32,32,"Charlie Wi",95,60.68,125,206,"ScramblingfromtheRough",2010
33,33,"Brian Davis",101,60.62,137,226,"ScramblingfromtheRough",2010
34,34,"Omar Uresti",74,60.42,87,144,"ScramblingfromtheRough",2010
35,35,"Nick Watney",91,60.24,100,166,"ScramblingfromtheRough",2010
36,36,"Jeff Quinney",91,60,120,200,"ScramblingfromtheRough",2010
