"Par5GoingfortheGreen_RANKTHISWEEK_2013","Par5GoingfortheGreen_RANKLASTWEEK_2013","Par5GoingfortheGreen_PLAYERNAME_2013","Par5GoingfortheGreen_ROUNDS_2013","Par5GoingfortheGreen_Pct_2013","Par5GoingfortheGreen_ATTEMPTS_2013","Par5GoingfortheGreen_NONATTEMPTS_2013","stat_name","year"
1,1,"Robert Garrigus",69,75.9,126,40,"Par5GoingfortheGreen",2013
2,2,"Keegan Bradley",88,72.22,156,60,"Par5GoingfortheGreen",2013
3,3,"Kyle Stanley",71,70.85,141,58,"Par5GoingfortheGreen",2013
4,4,"Henrik Stenson",65,69.85,95,41,"Par5GoingfortheGreen",2013
5,5,"Bubba Watson",76,68.56,133,61,"Par5GoingfortheGreen",2013
6,6,"Charl Schwartzel",69,67.07,110,54,"Par5GoingfortheGreen",2013
7,7,"Jim Herman",59,66.67,88,44,"Par5GoingfortheGreen",2013
8,8,"Rory Sabbatini",86,65.73,140,73,"Par5GoingfortheGreen",2013
9,9,"Adam Scott",61,65,91,49,"Par5GoingfortheGreen",2013
10,10,"Ryan Palmer",79,63.33,133,77,"Par5GoingfortheGreen",2013
11,11,"Dustin Johnson",71,63.29,100,58,"Par5GoingfortheGreen",2013
12,12,"Martin Kaymer",61,63.11,77,45,"Par5GoingfortheGreen",2013
13,13,"Steven Bowditch",67,62.92,112,66,"Par5GoingfortheGreen",2013
14,14,"Hunter Mahan",91,62.78,140,83,"Par5GoingfortheGreen",2013
15,15,"Eric Meierdierks",48,62.18,74,45,"Par5GoingfortheGreen",2013
16,16,"Kevin Stadler",83,62.15,133,81,"Par5GoingfortheGreen",2013
17,17,"Angel Cabrera",73,62.07,108,66,"Par5GoingfortheGreen",2013
18,18,"Lee Westwood",70,61.59,101,63,"Par5GoingfortheGreen",2013
19,19,"Sergio Garcia",65,61.49,91,57,"Par5GoingfortheGreen",2013
20,20,"Matt Every",89,61.33,157,99,"Par5GoingfortheGreen",2013
21,21,"Rory McIlroy",56,61.27,87,55,"Par5GoingfortheGreen",2013
22,22,"Tiger Woods",61,61.03,83,53,"Par5GoingfortheGreen",2013
23,23,"Gary Woodland",94,60.31,158,104,"Par5GoingfortheGreen",2013
24,24,"Lucas Glover",65,60.12,104,69,"Par5GoingfortheGreen",2013
25,25,"Andrew Svoboda",46,60,63,42,"Par5GoingfortheGreen",2013
26,26,"Scott Piercy",78,59.9,115,77,"Par5GoingfortheGreen",2013
27,27,"Andres Romero",63,59.76,98,66,"Par5GoingfortheGreen",2013
28,28,"Peter Hanson",45,59.57,56,38,"Par5GoingfortheGreen",2013
29,29,"Jordan Spieth",82,59.31,121,83,"Par5GoingfortheGreen",2013
30,30,"Webb Simpson",92,59.15,126,87,"Par5GoingfortheGreen",2013
31,31,"Charles Howell III",87,58.91,152,106,"Par5GoingfortheGreen",2013
32,32,"Boo Weekley",100,58.8,147,103,"Par5GoingfortheGreen",2013
33,33,"Jason Kokrak",78,58.7,135,95,"Par5GoingfortheGreen",2013
34,34,"Cameron Percy",68,58.48,100,71,"Par5GoingfortheGreen",2013
35,35,"Charlie Beljan",62,58.43,104,74,"Par5GoingfortheGreen",2013
36,36,"Marc Leishman",77,58.33,112,80,"Par5GoingfortheGreen",2013
