"FirstTeeEarlyLowestRound_RANKTHISWEEK_2009","FirstTeeEarlyLowestRound_RANKLASTWEEK_2009","FirstTeeEarlyLowestRound_PLAYERNAME_2009","FirstTeeEarlyLowestRound_ROUNDS_2009","FirstTeeEarlyLowestRound_LOWRND_2009","stat_name","year"
1,1,"Troy Matteson",95,61,"FirstTeeEarlyLowestRound",2009
1,1,"Jesper Parnevik",38,61,"FirstTeeEarlyLowestRound",2009
1,1,"Charlie Wi",92,61,"FirstTeeEarlyLowestRound",2009
4,4,"Brad Adamonis",70,62,"FirstTeeEarlyLowestRound",2009
4,4,"Jason Bohn",88,62,"FirstTeeEarlyLowestRound",2009
4,4,"James Driscoll",49,62,"FirstTeeEarlyLowestRound",2009
4,4,"Tadd Fujikawa",14,62,"FirstTeeEarlyLowestRound",2009
4,4,"Dustin Johnson",85,62,"FirstTeeEarlyLowestRound",2009
4,4,"Bill Lunde",83,62,"FirstTeeEarlyLowestRound",2009
4,4,"Joe Ogilvie",85,62,"FirstTeeEarlyLowestRound",2009
4,4,"John Rollins",92,62,"FirstTeeEarlyLowestRound",2009
4,4,"Mike Weir",85,62,"FirstTeeEarlyLowestRound",2009
13,13,"Woody Austin",84,63,"FirstTeeEarlyLowestRound",2009
13,13,"David Berganio Jr",43,63,"FirstTeeEarlyLowestRound",2009
13,13,"Kris Blanks",60,63,"FirstTeeEarlyLowestRound",2009
13,13,"Tim Clark",81,63,"FirstTeeEarlyLowestRound",2009
13,13,"Chris Couch",21,63,"FirstTeeEarlyLowestRound",2009
13,13,"Paul Goydos",79,63,"FirstTeeEarlyLowestRound",2009
13,13,"Bob Heintz",59,63,"FirstTeeEarlyLowestRound",2009
13,13,"Charley Hoffman",97,63,"FirstTeeEarlyLowestRound",2009
13,13,"Lee Janzen",74,63,"FirstTeeEarlyLowestRound",2009
13,13,"Matt Jones",56,63,"FirstTeeEarlyLowestRound",2009
13,13,"Jonathan Kaye",49,63,"FirstTeeEarlyLowestRound",2009
13,13,"Martin Laird",72,63,"FirstTeeEarlyLowestRound",2009
13,13,"Justin Leonard",95,63,"FirstTeeEarlyLowestRound",2009
13,13,"Spencer Levin",75,63,"FirstTeeEarlyLowestRound",2009
13,13,"Peter Lonard",86,63,"FirstTeeEarlyLowestRound",2009
13,13,"Steve Marino",98,63,"FirstTeeEarlyLowestRound",2009
13,13,"Graeme McDowell",40,63,"FirstTeeEarlyLowestRound",2009
13,13,"George McNeill",82,63,"FirstTeeEarlyLowestRound",2009
13,13,"Shaun Micheel",49,63,"FirstTeeEarlyLowestRound",2009
13,13,"Bryce Molder",69,63,"FirstTeeEarlyLowestRound",2009
13,13,"Geoff Ogilvy",78,63,"FirstTeeEarlyLowestRound",2009
13,13,"Ryan Palmer",78,63,"FirstTeeEarlyLowestRound",2009
13,13,"Pat Perez",74,63,"FirstTeeEarlyLowestRound",2009
13,13,"Tim Petrovic",97,63,"FirstTeeEarlyLowestRound",2009
13,13,"Dicky Pride",29,63,"FirstTeeEarlyLowestRound",2009
13,13,"Chris Riley",77,63,"FirstTeeEarlyLowestRound",2009
13,13,"Heath Slocum",95,63,"FirstTeeEarlyLowestRound",2009
13,13,"Kevin Stadler",65,63,"FirstTeeEarlyLowestRound",2009
13,13,"Steve Stricker",81,63,"FirstTeeEarlyLowestRound",2009
13,13,"Charles Warren",63,63,"FirstTeeEarlyLowestRound",2009
13,13,"Nick Watney",86,63,"FirstTeeEarlyLowestRound",2009
13,13,"Bubba Watson",73,63,"FirstTeeEarlyLowestRound",2009
13,13,"Tiger Woods",64,63,"FirstTeeEarlyLowestRound",2009
46,46,"Rich Beem",77,64,"FirstTeeEarlyLowestRound",2009
46,46,"Bart Bryant",58,64,"FirstTeeEarlyLowestRound",2009
46,46,"Mark Calcavecchia",72,64,"FirstTeeEarlyLowestRound",2009
46,46,"Alex Cejka",82,64,"FirstTeeEarlyLowestRound",2009
46,46,"Greg Chalmers",85,64,"FirstTeeEarlyLowestRound",2009
46,46,"Brian Davis",103,64,"FirstTeeEarlyLowestRound",2009
46,46,"Chris DiMarco",97,64,"FirstTeeEarlyLowestRound",2009
46,46,"Luke Donald",79,64,"FirstTeeEarlyLowestRound",2009
46,46,"Todd Fischer",9,64,"FirstTeeEarlyLowestRound",2009
46,46,"Rickie Fowler",20,64,"FirstTeeEarlyLowestRound",2009
46,46,"Bobby Gates",4,64,"FirstTeeEarlyLowestRound",2009
46,46,"Brian Gay",96,64,"FirstTeeEarlyLowestRound",2009
46,46,"Mathias Gronberg",37,64,"FirstTeeEarlyLowestRound",2009
46,46,"Soren Hansen",27,64,"FirstTeeEarlyLowestRound",2009
46,46,"Zach Johnson",94,64,"FirstTeeEarlyLowestRound",2009
46,46,"Davis Love III",89,64,"FirstTeeEarlyLowestRound",2009
46,46,"Jamie Lovemark",14,64,"FirstTeeEarlyLowestRound",2009
46,46,"Jeff Maggert",79,64,"FirstTeeEarlyLowestRound",2009
46,46,"Billy Mayfair",83,64,"FirstTeeEarlyLowestRound",2009
46,46,"Ryan Moore",89,64,"FirstTeeEarlyLowestRound",2009
46,46,"Greg Owen",97,64,"FirstTeeEarlyLowestRound",2009
46,46,"Rod Pampling",72,64,"FirstTeeEarlyLowestRound",2009
46,46,"Tom Pernice Jr",82,64,"FirstTeeEarlyLowestRound",2009
46,46,"Scott Piercy",85,64,"FirstTeeEarlyLowestRound",2009
46,46,"Martin Piller",4,64,"FirstTeeEarlyLowestRound",2009
46,46,"Alvaro Quiros",25,64,"FirstTeeEarlyLowestRound",2009
46,46,"Tag Ridings",50,64,"FirstTeeEarlyLowestRound",2009
46,46,"Andres Romero",58,64,"FirstTeeEarlyLowestRound",2009
46,46,"John Senden",100,64,"FirstTeeEarlyLowestRound",2009
