"EarlyPar3ScoringAverage_RANKTHISWEEK_2010","EarlyPar3ScoringAverage_RANKLASTWEEK_2010","EarlyPar3ScoringAverage_PLAYERNAME_2010","EarlyPar3ScoringAverage_ROUNDS_2010","EarlyPar3ScoringAverage_AVG_2010","EarlyPar3ScoringAverage_TOTALSTROKES_2010","EarlyPar3ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Jason Day",82,2.91,431,148,"EarlyPar3ScoringAverage",2010
1,1,"Paul Stankowski",62,2.91,411,141,"EarlyPar3ScoringAverage",2010
3,3,"John Mallinger",78,2.93,381,130,"EarlyPar3ScoringAverage",2010
3,3,"Shaun Micheel",70,2.93,363,124,"EarlyPar3ScoringAverage",2010
5,5,"David Duval",71,2.94,459,156,"EarlyPar3ScoringAverage",2010
5,5,"Michael Letzig",84,2.94,550,187,"EarlyPar3ScoringAverage",2010
5,5,"Chris Tidland",77,2.94,509,173,"EarlyPar3ScoringAverage",2010
8,8,"Chad Campbell",95,2.96,639,216,"EarlyPar3ScoringAverage",2010
8,8,"Tom Gillis",97,2.96,601,203,"EarlyPar3ScoringAverage",2010
8,8,"Dustin Johnson",83,2.96,400,135,"EarlyPar3ScoringAverage",2010
8,8,"Hunter Mahan",85,2.96,447,151,"EarlyPar3ScoringAverage",2010
8,8,"Dean Wilson",54,2.96,346,117,"EarlyPar3ScoringAverage",2010
13,13,"Chad Collins",87,2.97,531,179,"EarlyPar3ScoringAverage",2010
13,13,"Luke Donald",71,2.97,294,99,"EarlyPar3ScoringAverage",2010
13,13,"Padraig Harrington",57,2.97,282,95,"EarlyPar3ScoringAverage",2010
13,13,"Freddie Jacobson",83,2.97,588,198,"EarlyPar3ScoringAverage",2010
13,13,"Spencer Levin",110,2.97,678,228,"EarlyPar3ScoringAverage",2010
13,13,"Steve Marino",81,2.97,431,145,"EarlyPar3ScoringAverage",2010
13,13,"Bryce Molder",84,2.97,464,156,"EarlyPar3ScoringAverage",2010
13,13,"Pat Perez",90,2.97,589,198,"EarlyPar3ScoringAverage",2010
13,13,"Heath Slocum",97,2.97,592,199,"EarlyPar3ScoringAverage",2010
13,13,"Boo Weekley",88,2.97,538,181,"EarlyPar3ScoringAverage",2010
13,13,"Mark Wilson",87,2.97,550,185,"EarlyPar3ScoringAverage",2010
24,24,"Michael Bradley",77,2.98,567,190,"EarlyPar3ScoringAverage",2010
24,24,"Paul Casey",64,2.98,253,85,"EarlyPar3ScoringAverage",2010
24,24,"Zach Johnson",93,2.98,528,177,"EarlyPar3ScoringAverage",2010
24,24,"Phil Mickelson",76,2.98,361,121,"EarlyPar3ScoringAverage",2010
24,24,"Jeff Quinney",91,2.98,604,203,"EarlyPar3ScoringAverage",2010
29,29,"Stephen Ames",75,2.99,467,156,"EarlyPar3ScoringAverage",2010
29,29,"KJ Choi",82,2.99,467,156,"EarlyPar3ScoringAverage",2010
29,29,"Nathan Green",86,2.99,520,174,"EarlyPar3ScoringAverage",2010
29,29,"Matt Jones",89,2.99,539,180,"EarlyPar3ScoringAverage",2010
29,29,"Jerry Kelly",99,2.99,568,190,"EarlyPar3ScoringAverage",2010
29,29,"Matt Kuchar",97,2.99,476,159,"EarlyPar3ScoringAverage",2010
29,29,"Derek Lamely",81,2.99,548,183,"EarlyPar3ScoringAverage",2010
29,29,"Jeff Maggert",76,2.99,484,162,"EarlyPar3ScoringAverage",2010
