"LongestDrives_RANKTHISWEEK_2005","LongestDrives_RANKLASTWEEK_2005","LongestDrives_PLAYERNAME_2005","LongestDrives_ROUNDS_2005","LongestDrives_DISTANCE_2005","LongestDrives_TOURNAMENT_2005","LongestDrives_ROUND_2005","LongestDrives_HOLE_2005","LongestDrives_COURSE_2005","stat_name","year"
1,1,"DA Points",94,442,NA,1,14,503,"LongestDrives",2005
2,2,"Stuart Appleby",84,427,NA,3,16,36,"LongestDrives",2005
3,3,"Graeme McDowell",44,422,NA,4,9,710,"LongestDrives",2005
4,4,"Richard Johnson",50,418,NA,3,5,625,"LongestDrives",2005
5,5,"Jason Allred",75,417,NA,2,14,625,"LongestDrives",2005
6,6,"Jerry Kelly",101,416,NA,2,14,625,"LongestDrives",2005
8,8,"Davis Love III",80,408,NA,2,16,36,"LongestDrives",2005
8,8,"Tiger Woods",76,408,NA,2,12,656,"LongestDrives",2005
11,11,"Patrick Sheehan",114,407,NA,2,14,625,"LongestDrives",2005
12,12,"Henrik Stenson",16,406,NA,2,16,36,"LongestDrives",2005
13,13,"Angel Cabrera",32,402,NA,2,16,36,"LongestDrives",2005
13,13,"Daniel Chopra",108,402,NA,2,1,625,"LongestDrives",2005
13,13,"Will Ma Kenzie",75,402,NA,2,14,660,"LongestDrives",2005
16,16,"Ernie Els",44,401,NA,3,12,656,"LongestDrives",2005
16,16,"DJ Brigman",76,401,NA,2,14,625,"LongestDrives",2005
18,18,"Sean OHair",103,400,NA,1,9,36,"LongestDrives",2005
19,19,"John Daly",78,399,NA,2,17,526,"LongestDrives",2005
19,19,"Jeff Maggert",79,399,NA,4,11,625,"LongestDrives",2005
19,19,"Michael Long",72,399,NA,2,14,625,"LongestDrives",2005
22,22,"Phil Mickelson",81,398,NA,3,16,36,"LongestDrives",2005
22,22,"Harrison Frazar",105,398,NA,3,18,625,"LongestDrives",2005
22,22,"Roland Thatcher",75,398,NA,2,14,625,"LongestDrives",2005
25,25,"Vijay Singh",111,397,NA,2,12,656,"LongestDrives",2005
27,27,"Jason Gore",28,396,NA,2,5,696,"LongestDrives",2005
27,27,"Brett Wetterich",76,396,NA,2,8,696,"LongestDrives",2005
31,31,"John Huston",90,395,NA,1,1,538,"LongestDrives",2005
31,31,"Rod Pampling",89,395,NA,1,11,625,"LongestDrives",2005
31,31,"Ryan Palmer",101,395,NA,2,12,656,"LongestDrives",2005
35,35,"Carlos Franco",78,394,NA,3,18,656,"LongestDrives",2005
35,35,"Retief Goosen",71,394,NA,3,12,656,"LongestDrives",2005
35,35,"Mark Hensby",70,394,NA,3,12,656,"LongestDrives",2005
35,35,"John Rollins",97,394,NA,2,11,696,"LongestDrives",2005
39,39,"David Toms",87,393,NA,3,12,656,"LongestDrives",2005
39,39,"Geoff Ogilvy",97,393,NA,1,10,510,"LongestDrives",2005
39,39,"Scott Hend",75,393,NA,2,5,696,"LongestDrives",2005
39,39,"JJ Henry",102,393,NA,1,3,510,"LongestDrives",2005
44,44,"Steve Stricker",62,392,NA,2,14,625,"LongestDrives",2005
44,44,"Stewart Cink",98,392,NA,2,12,656,"LongestDrives",2005
44,44,"Vaughn Taylor",99,392,NA,4,11,625,"LongestDrives",2005
49,49,"Brandt Jobe",96,391,NA,2,11,696,"LongestDrives",2005
49,49,"Brett Quigley",96,391,NA,3,9,699,"LongestDrives",2005
49,49,"Sergio Garcia",73,391,NA,3,12,656,"LongestDrives",2005
49,49,"Hank Kuehne",84,391,NA,2,14,699,"LongestDrives",2005
54,54,"Adam Scott",72,390,NA,1,16,36,"LongestDrives",2005
56,56,"Chris Smith",93,389,NA,2,1,625,"LongestDrives",2005
59,59,"Craig Bowden",41,388,NA,2,1,625,"LongestDrives",2005
59,59,"Steve Allan",102,388,NA,1,10,510,"LongestDrives",2005
65,65,"Bo Van Pelt",112,387,NA,3,9,538,"LongestDrives",2005
65,65,"Jason Bohn",91,387,NA,3,14,625,"LongestDrives",2005
68,68,"Bill Glasson",54,386,NA,1,3,510,"LongestDrives",2005
68,68,"Tim Petrovic",97,386,NA,2,1,625,"LongestDrives",2005
68,68,"Joey Sindelar",104,386,NA,2,12,656,"LongestDrives",2005
68,68,"Glen Hnatiuk",59,386,NA,1,14,503,"LongestDrives",2005
68,68,"Rory Sabbatini",81,386,NA,3,14,625,"LongestDrives",2005
75,75,"Fred Couples",72,385,NA,2,16,36,"LongestDrives",2005
75,75,"Neal Lancaster",95,385,NA,2,14,625,"LongestDrives",2005
79,79,"Clark Dennis",4,384,NA,2,1,625,"LongestDrives",2005
79,79,"John Elliott",58,384,NA,3,1,625,"LongestDrives",2005
79,79,"Aaron Baddeley",84,384,NA,2,5,660,"LongestDrives",2005
79,79,"Jonathan Byrd",103,384,NA,3,18,656,"LongestDrives",2005
86,86,"Per Ulrik Johansson",23,383,NA,2,14,625,"LongestDrives",2005
86,86,"Tim Clark",92,383,NA,3,2,668,"LongestDrives",2005
86,86,"Scott Gutschewski",86,383,NA,1,17,660,"LongestDrives",2005
97,97,"Bart Bryant",91,382,NA,2,1,625,"LongestDrives",2005
97,97,"Wes Short Jr",44,382,NA,2,1,625,"LongestDrives",2005
97,97,"Brent Geiberger",61,382,NA,2,14,625,"LongestDrives",2005
97,97,"Tjaart van der Walt",56,382,NA,2,11,669,"LongestDrives",2005
97,97,"Joe Ogilvie",103,382,NA,2,1,625,"LongestDrives",2005
97,97,"Brendan Jones",81,382,NA,2,14,625,"LongestDrives",2005
97,97,"Paul Casey",24,382,NA,3,16,36,"LongestDrives",2005
112,112,"Bob Heintz",67,381,NA,4,9,669,"LongestDrives",2005
112,112,"Miguel Angel Jimenez",30,381,NA,3,2,668,"LongestDrives",2005
112,112,"Garrett Willis",21,381,NA,1,14,660,"LongestDrives",2005
118,118,"John Cook",72,380,NA,1,1,503,"LongestDrives",2005
118,118,"David Peoples",31,380,NA,2,7,716,"LongestDrives",2005
118,118,"Kenny Perry",82,380,NA,3,16,36,"LongestDrives",2005
118,118,"Joe Durant",81,380,NA,2,14,625,"LongestDrives",2005
118,118,"Cameron Beckman",96,380,NA,2,1,625,"LongestDrives",2005
118,118,"Steve Webster",8,380,NA,3,2,668,"LongestDrives",2005
118,118,"Lee Westwood",50,380,NA,3,18,36,"LongestDrives",2005
136,136,"Todd Hamilton",94,379,NA,2,12,656,"LongestDrives",2005
136,136,"Mike Heinen",17,379,NA,2,2,669,"LongestDrives",2005
136,136,"Andre Stolz",28,379,NA,1,12,656,"LongestDrives",2005
136,136,"Charles Warren",89,379,NA,2,10,698,"LongestDrives",2005
150,150,"Kent Jones",99,378,NA,1,13,510,"LongestDrives",2005
150,150,"Frank Lickliter II",100,378,NA,2,14,625,"LongestDrives",2005
150,150,"Tag Ridings",93,378,NA,1,2,6,"LongestDrives",2005
166,166,"Jay Delsing",37,377,NA,3,14,625,"LongestDrives",2005
166,166,"Jay Haas",54,377,NA,2,16,36,"LongestDrives",2005
166,166,"Stephen Ames",82,377,NA,2,18,656,"LongestDrives",2005
166,166,"Brian Bateman",98,377,NA,2,16,625,"LongestDrives",2005
166,166,"Mike Weir",71,377,NA,2,12,656,"LongestDrives",2005
166,166,"Chad Campbell",95,377,NA,4,18,656,"LongestDrives",2005
166,166,"Jonathan Kaye",77,377,NA,2,12,656,"LongestDrives",2005
166,166,"Thongchai Jaidee",14,377,NA,3,8,36,"LongestDrives",2005
166,166,"Hunter Mahan",103,377,NA,2,14,625,"LongestDrives",2005
187,187,"Robert Gamez",91,376,NA,2,14,625,"LongestDrives",2005
187,187,"Shigeki Maruyama",99,376,NA,3,11,538,"LongestDrives",2005
187,187,"Boyd Summerhays",16,376,NA,2,1,625,"LongestDrives",2005
187,187,"Brenden Pappas",51,376,NA,2,10,24,"LongestDrives",2005
187,187,"Darron Stiles",78,376,NA,3,1,625,"LongestDrives",2005
