"Back9Round1ScoringAverage_RANKTHISWEEK_2005","Back9Round1ScoringAverage_RANKLASTWEEK_2005","Back9Round1ScoringAverage_PLAYERNAME_2005","Back9Round1ScoringAverage__2005","Back9Round1ScoringAverage_AVG_2005","Back9Round1ScoringAverage_TOTALSTROKES_2005","Back9Round1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Briny Baird",NA,34.71,1076,31,"Back9Round1ScoringAverage",2005
2,2,"Dean Wilson",NA,34.74,938,27,"Back9Round1ScoringAverage",2005
3,3,"Marco Dawson",NA,34.78,800,23,"Back9Round1ScoringAverage",2005
4,4,"Bob Tway",NA,34.8,870,25,"Back9Round1ScoringAverage",2005
5,5,"Jim Furyk",NA,34.84,871,25,"Back9Round1ScoringAverage",2005
6,6,"Jason Bohn",NA,34.96,979,28,"Back9Round1ScoringAverage",2005
6,6,"Kevin Sutherland",NA,34.96,874,25,"Back9Round1ScoringAverage",2005
8,8,"Luke Donald",NA,35,560,16,"Back9Round1ScoringAverage",2005
8,8,"Retief Goosen",NA,35,560,16,"Back9Round1ScoringAverage",2005
8,8,"Dudley Hart",NA,35,875,25,"Back9Round1ScoringAverage",2005
11,11,"Tiger Woods",NA,35.05,701,20,"Back9Round1ScoringAverage",2005
12,12,"Ted Purdy",NA,35.06,1192,34,"Back9Round1ScoringAverage",2005
13,13,"John Senden",NA,35.07,982,28,"Back9Round1ScoringAverage",2005
13,13,"Vijay Singh",NA,35.07,1017,29,"Back9Round1ScoringAverage",2005
13,13,"Lee Westwood",NA,35.07,491,14,"Back9Round1ScoringAverage",2005
16,16,"Arjun Atwal",NA,35.18,598,17,"Back9Round1ScoringAverage",2005
17,17,"Bart Bryant",NA,35.19,915,26,"Back9Round1ScoringAverage",2005
18,18,"Olin Browne",NA,35.21,986,28,"Back9Round1ScoringAverage",2005
18,18,"Phil Mickelson",NA,35.21,669,19,"Back9Round1ScoringAverage",2005
18,18,"Joey Sindelar",NA,35.21,1021,29,"Back9Round1ScoringAverage",2005
