"FirstTeeEarlyRound5ScoringAverage_RANKTHISWEEK_2010","FirstTeeEarlyRound5ScoringAverage_RANKLASTWEEK_2010","FirstTeeEarlyRound5ScoringAverage_PLAYERNAME_2010","FirstTeeEarlyRound5ScoringAverage__2010","FirstTeeEarlyRound5ScoringAverage_AVG_2010","FirstTeeEarlyRound5ScoringAverage_TOTALSTROKES_2010","FirstTeeEarlyRound5ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Matt Jones",NA,66,66,1,"FirstTeeEarlyRound5ScoringAverage",2010
1,1,"Kevin Na",NA,66,66,1,"FirstTeeEarlyRound5ScoringAverage",2010
1,1,"Kevin Sutherland",NA,66,66,1,"FirstTeeEarlyRound5ScoringAverage",2010
4,4,"Graham DeLaet",NA,67,67,1,"FirstTeeEarlyRound5ScoringAverage",2010
4,4,"Charles Howell III",NA,67,67,1,"FirstTeeEarlyRound5ScoringAverage",2010
6,6,"Jason Bohn",NA,68,68,1,"FirstTeeEarlyRound5ScoringAverage",2010
6,6,"Jason Dufner",NA,68,68,1,"FirstTeeEarlyRound5ScoringAverage",2010
6,6,"George McNeill",NA,68,68,1,"FirstTeeEarlyRound5ScoringAverage",2010
6,6,"Kevin Stadler",NA,68,68,1,"FirstTeeEarlyRound5ScoringAverage",2010
10,10,"JP Hayes",NA,69,69,1,"FirstTeeEarlyRound5ScoringAverage",2010
10,10,"Heath Slocum",NA,69,69,1,"FirstTeeEarlyRound5ScoringAverage",2010
10,10,"Garrett Willis",NA,69,69,1,"FirstTeeEarlyRound5ScoringAverage",2010
13,13,"Carl Pettersson",NA,70,70,1,"FirstTeeEarlyRound5ScoringAverage",2010
13,13,"John Senden",NA,70,70,1,"FirstTeeEarlyRound5ScoringAverage",2010
15,15,"Matt Bettencourt",NA,71,71,1,"FirstTeeEarlyRound5ScoringAverage",2010
15,15,"Jeff Overton",NA,71,71,1,"FirstTeeEarlyRound5ScoringAverage",2010
15,15,"Webb Simpson",NA,71,71,1,"FirstTeeEarlyRound5ScoringAverage",2010
18,18,"Chris DiMarco",NA,72,72,1,"FirstTeeEarlyRound5ScoringAverage",2010
18,18,"Ryan Palmer",NA,72,72,1,"FirstTeeEarlyRound5ScoringAverage",2010
20,20,"Ben Crane",NA,73,73,1,"FirstTeeEarlyRound5ScoringAverage",2010
21,21,"Paul Goydos",NA,80,80,1,"FirstTeeEarlyRound5ScoringAverage",2010
