"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2009","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2009","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2009","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2009","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2009","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2009","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2009","stat_name","year"
1,1,"Dustin Johnson",85,69.92,207799.1,297177,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
2,2,"Andres Romero",58,69.59,137574.4,197691,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
3,3,"Anthony Kim",76,69.17,196034.2,283397,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
4,4,"JB Holmes",74,68.72,194709,283345,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
5,5,"Tag Ridings",50,68.54,131218.9,191443,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
6,6,"Gary Woodland",53,68.33,117947.7,172619,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
7,7,"Phil Mickelson",66,68.13,153802.3,225761,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
8,8,"Bubba Watson",73,68.1,176466.8,259123,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
9,9,"Robert Garrigus",83,67.96,227605,334898,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
10,10,"Nick Watney",86,67.77,211686.7,312356,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
11,11,"Vijay Singh",71,67.72,164562.3,242991,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
12,12,"Charley Hoffman",97,67.56,269312,398615,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
13,13,"Daniel Chopra",89,67.49,258894.2,383618,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
14,14,"Charles Warren",63,67.47,162171.9,240358,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
15,15,"Martin Laird",72,67.31,192453.6,285923,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
16,16,"Troy Matteson",95,67.27,273466.6,406542,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
17,17,"John Rollins",92,67.19,240536.1,357997,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
18,18,"Sean OHair",80,67.18,186159,277110,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
19,19,"Angel Cabrera",55,67.08,123347.1,183893,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
20,20,"Harrison Frazar",93,67.07,264730.2,394729,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
21,21,"Leif Olson",51,67.01,133152.8,198706,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
22,22,"Scott Piercy",85,66.99,230180.1,343627,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
23,23,"Rory Sabbatini",81,66.95,207917.8,310538,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
24,24,"Kevin Streelman",97,66.94,273837.1,409091,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
25,25,"Geoff Ogilvy",78,66.86,182140.7,272419,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
26,26,"Ryan Palmer",78,66.84,215471.2,322392,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
27,27,"Nicholas Thompson",96,66.81,265541.5,397432,"PercentageofYardagecoveredbyTeeShotsPar4s",2009
