"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2015","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2015","TotalMoneyOfficialandUnofficial_PLAYERNAME_2015","TotalMoneyOfficialandUnofficial_EVENTS_2015","TotalMoneyOfficialandUnofficial_MONEY_2015","stat_name","year"
1,1,"Jordan Spieth",27,13030465,"TotalMoneyOfficialandUnofficial",2015
2,2,"Jason Day",23,9938330,"TotalMoneyOfficialandUnofficial",2015
3,3,"Bubba Watson",22,7289297,"TotalMoneyOfficialandUnofficial",2015
4,4,"Rickie Fowler",23,5915930,"TotalMoneyOfficialandUnofficial",2015
5,5,"Justin Rose",21,5605177,"TotalMoneyOfficialandUnofficial",2015
6,6,"Dustin Johnson",22,5509467,"TotalMoneyOfficialandUnofficial",2015
7,7,"Henrik Stenson",17,5155070,"TotalMoneyOfficialandUnofficial",2015
8,8,"Rory McIlroy",13,5113312,"TotalMoneyOfficialandUnofficial",2015
9,9,"Zach Johnson",27,4928154,"TotalMoneyOfficialandUnofficial",2015
10,10,"Jimmy Walker",28,4793350,"TotalMoneyOfficialandUnofficial",2015
11,11,"JB Holmes",27,4099930,"TotalMoneyOfficialandUnofficial",2015
12,12,"Charley Hoffman",28,4041089,"TotalMoneyOfficialandUnofficial",2015
13,13,"Danny Lee",37,3965933,"TotalMoneyOfficialandUnofficial",2015
14,14,"Robert Streb",30,3947424,"TotalMoneyOfficialandUnofficial",2015
15,15,"Jim Furyk",20,3932664,"TotalMoneyOfficialandUnofficial",2015
16,16,"Patrick Reed",30,3880566,"TotalMoneyOfficialandUnofficial",2015
17,17,"Hideki Matsuyama",27,3867619,"TotalMoneyOfficialandUnofficial",2015
18,18,"Brandt Snedeker",28,3775556,"TotalMoneyOfficialandUnofficial",2015
19,19,"Brooks Koepka",23,3571900,"TotalMoneyOfficialandUnofficial",2015
20,20,"Kevin Kisner",30,3567939,"TotalMoneyOfficialandUnofficial",2015
21,21,"Paul Casey",24,3488311,"TotalMoneyOfficialandUnofficial",2015
22,22,"Louis Oosthuizen",21,3251174,"TotalMoneyOfficialandUnofficial",2015
23,23,"Matt Kuchar",28,3143337,"TotalMoneyOfficialandUnofficial",2015
24,24,"Bill Haas",27,3119024,"TotalMoneyOfficialandUnofficial",2015
25,25,"Steven Bowditch",33,3075410,"TotalMoneyOfficialandUnofficial",2015
