"GreensorFringeinRegulation_RANKTHISWEEK_2015","GreensorFringeinRegulation_RANKLASTWEEK_2015","GreensorFringeinRegulation_PLAYERNAME_2015","GreensorFringeinRegulation_ROUNDS_2015","GreensorFringeinRegulation_Pct_2015","GreensorFringeinRegulation_TOTALHIT_2015","GreensorFringeinRegulation_TOTALATTEMPTS_2015","GreensorFringeinRegulation_RTPSCORE_2015","stat_name","year"
1,1,"Will Wilcox",58,77.51,572,738,-152,"GreensorFringeinRegulation",2015
2,2,"Jim Herman",88,76.41,1059,1386,-243,"GreensorFringeinRegulation",2015
3,3,"Stewart Cink",77,76.18,905,1188,-214,"GreensorFringeinRegulation",2015
4,4,"Henrik Stenson",63,75.63,599,792,-166,"GreensorFringeinRegulation",2015
5,5,"Chez Reavie",56,75.44,679,900,-155,"GreensorFringeinRegulation",2015
6,6,"Paul Casey",87,75.4,855,1134,-232,"GreensorFringeinRegulation",2015
7,7,"Russell Knox",96,75.03,1175,1566,-289,"GreensorFringeinRegulation",2015
8,8,"Jim Furyk",71,74.89,701,936,-171,"GreensorFringeinRegulation",2015
9,9,"Kevin Streelman",95,74.81,983,1314,-233,"GreensorFringeinRegulation",2015
10,10,"Jason Day",75,74.46,764,1026,-268,"GreensorFringeinRegulation",2015
10,10,"Lucas Glover",79,74.46,965,1296,-194,"GreensorFringeinRegulation",2015
12,12,"Francesco Molinari",56,74.29,575,774,-128,"GreensorFringeinRegulation",2015
13,13,"Bill Haas",89,74.26,949,1278,-211,"GreensorFringeinRegulation",2015
14,14,"Greg Owen",58,74.17,534,720,-116,"GreensorFringeinRegulation",2015
15,15,"Martin Flores",95,73.98,1052,1422,-229,"GreensorFringeinRegulation",2015
16,16,"Michael Putnam",87,73.94,905,1224,-184,"GreensorFringeinRegulation",2015
17,17,"Justin Rose",69,73.92,652,882,-203,"GreensorFringeinRegulation",2015
18,18,"Bubba Watson",71,73.91,745,1008,-238,"GreensorFringeinRegulation",2015
19,19,"JJ Henry",94,73.9,1011,1368,-201,"GreensorFringeinRegulation",2015
20,20,"Johnson Wagner",68,73.88,758,1026,-174,"GreensorFringeinRegulation",2015
21,21,"Charles Howell III",105,73.85,1316,1782,-317,"GreensorFringeinRegulation",2015
22,22,"Justin Thomas",106,73.78,1275,1728,-378,"GreensorFringeinRegulation",2015
23,23,"John Peterson",84,73.67,1021,1386,-234,"GreensorFringeinRegulation",2015
24,24,"Byron Smith",59,73.64,570,774,-114,"GreensorFringeinRegulation",2015
25,25,"Hideki Matsuyama",95,73.49,926,1260,-281,"GreensorFringeinRegulation",2015
26,26,"Shawn Stefani",94,73.48,1164,1584,-311,"GreensorFringeinRegulation",2015
27,27,"Jason Bohn",95,73.44,1150,1566,-323,"GreensorFringeinRegulation",2015
28,28,"Ben Martin",93,73.38,1017,1386,-274,"GreensorFringeinRegulation",2015
29,29,"Spencer Levin",99,73.36,1096,1494,-239,"GreensorFringeinRegulation",2015
30,30,"Whee Kim",71,73.31,739,1008,-183,"GreensorFringeinRegulation",2015
31,31,"Webb Simpson",81,73.18,843,1152,-207,"GreensorFringeinRegulation",2015
32,32,"Alex Prugh",84,73.15,948,1296,-230,"GreensorFringeinRegulation",2015
33,33,"Jason Dufner",76,73.03,631,864,-131,"GreensorFringeinRegulation",2015
34,34,"Pat Perez",96,72.96,1090,1494,-289,"GreensorFringeinRegulation",2015
35,35,"Brendan Steele",88,72.95,998,1368,-275,"GreensorFringeinRegulation",2015
36,36,"Chad Campbell",97,72.89,1194,1638,-273,"GreensorFringeinRegulation",2015
36,36,"Jason Gore",76,72.89,761,1044,-203,"GreensorFringeinRegulation",2015
38,38,"William McGirt",103,72.79,1271,1746,-296,"GreensorFringeinRegulation",2015
39,39,"Hudson Swafford",97,72.76,1087,1494,-301,"GreensorFringeinRegulation",2015
40,40,"Daniel Berger",97,72.74,1086,1493,-273,"GreensorFringeinRegulation",2015
41,41,"Boo Weekley",79,72.72,877,1206,-220,"GreensorFringeinRegulation",2015
42,42,"Zach Johnson",90,72.68,915,1259,-250,"GreensorFringeinRegulation",2015
43,43,"Nick Watney",91,72.63,1059,1458,-248,"GreensorFringeinRegulation",2015
44,44,"Jason Kokrak",88,72.57,1045,1440,-264,"GreensorFringeinRegulation",2015
45,45,"David Hearn",97,72.55,1110,1530,-288,"GreensorFringeinRegulation",2015
46,46,"Blayne Barber",76,72.49,822,1134,-203,"GreensorFringeinRegulation",2015
47,47,"Roberto Castro",54,72.38,469,648,-112,"GreensorFringeinRegulation",2015
48,48,"Tony Finau",106,72.34,1198,1656,-350,"GreensorFringeinRegulation",2015
49,49,"Cameron Percy",72,72.32,755,1044,-200,"GreensorFringeinRegulation",2015
