"CurrentParorBetterStreak_RANKTHISWEEK_2006","CurrentParorBetterStreak_RANKLASTWEEK_2006","CurrentParorBetterStreak_PLAYERNAME_2006","CurrentParorBetterStreak_EVENTS_2006","CurrentParorBetterStreak_NUMBEROFROUNDS_2006","stat_name","year"
1,1,"Joe Durant",286,17,"CurrentParorBetterStreak",2006
2,2,"Wayne Levi",477,14,"CurrentParorBetterStreak",2006
3,3,"Michael Allen",267,12,"CurrentParorBetterStreak",2006
4,4,"Bernhard Langer",279,11,"CurrentParorBetterStreak",2006
5,5,"Richard Johnson",105,10,"CurrentParorBetterStreak",2006
6,6,"Ricky Barnes",21,8,"CurrentParorBetterStreak",2006
6,6,"Ken Duke",39,8,"CurrentParorBetterStreak",2006
6,6,"Roland Thatcher",51,8,"CurrentParorBetterStreak",2006
9,9,"Ian Leggatt",137,7,"CurrentParorBetterStreak",2006
9,9,"Graeme McDowell",37,7,"CurrentParorBetterStreak",2006
11,11,"Briny Baird",205,6,"CurrentParorBetterStreak",2006
11,11,"Ian Poulter",49,6,"CurrentParorBetterStreak",2006
11,11,"Jason Schultz",28,6,"CurrentParorBetterStreak",2006
11,11,"Jerry Smith",129,6,"CurrentParorBetterStreak",2006
11,11,"Tiger Woods",205,6,"CurrentParorBetterStreak",2006
16,16,"Johan Edfors",4,5,"CurrentParorBetterStreak",2006
16,16,"Matt Every",4,5,"CurrentParorBetterStreak",2006
16,16,"Kent Jones",231,5,"CurrentParorBetterStreak",2006
16,16,"James McLean",29,5,"CurrentParorBetterStreak",2006
16,16,"Jose Maria Olazabal",178,5,"CurrentParorBetterStreak",2006
16,16,"Tjaart van der Walt",52,5,"CurrentParorBetterStreak",2006
16,16,"Mark Wilson",102,5,"CurrentParorBetterStreak",2006
23,23,"Michael Campbell",70,4,"CurrentParorBetterStreak",2006
23,23,"Greg Chalmers",197,4,"CurrentParorBetterStreak",2006
23,23,"John Engler Jr",28,4,"CurrentParorBetterStreak",2006
23,23,"Mathew Goggin",137,4,"CurrentParorBetterStreak",2006
23,23,"Andres Gonzales",1,4,"CurrentParorBetterStreak",2006
23,23,"Paul Goydos",350,4,"CurrentParorBetterStreak",2006
23,23,"Anders Hansen",9,4,"CurrentParorBetterStreak",2006
23,23,"Thongchai Jaidee",14,4,"CurrentParorBetterStreak",2006
23,23,"Yusaku Miyazato",6,4,"CurrentParorBetterStreak",2006
23,23,"DA Points",61,4,"CurrentParorBetterStreak",2006
23,23,"Don Pooley",439,4,"CurrentParorBetterStreak",2006
23,23,"Jyoti Randhawa",10,4,"CurrentParorBetterStreak",2006
23,23,"Brett Rumford",4,4,"CurrentParorBetterStreak",2006
23,23,"Adam Scott",84,4,"CurrentParorBetterStreak",2006
23,23,"Lee Slattery",1,4,"CurrentParorBetterStreak",2006
23,23,"Mike Sposa",169,4,"CurrentParorBetterStreak",2006
23,23,"Darron Stiles",68,4,"CurrentParorBetterStreak",2006
23,23,"Steve Stricker",280,4,"CurrentParorBetterStreak",2006
23,23,"DJ Trahan",67,4,"CurrentParorBetterStreak",2006
23,23,"Azuma Yano",1,4,"CurrentParorBetterStreak",2006
43,43,"Cameron Beckman",210,3,"CurrentParorBetterStreak",2006
43,43,"John Daly",371,3,"CurrentParorBetterStreak",2006
43,43,"Luke Donald",122,3,"CurrentParorBetterStreak",2006
43,43,"David Howell",35,3,"CurrentParorBetterStreak",2006
43,43,"Ryuji Imada",62,3,"CurrentParorBetterStreak",2006
43,43,"Trevor Immelman",62,3,"CurrentParorBetterStreak",2006
43,43,"Anthony Kim",2,3,"CurrentParorBetterStreak",2006
43,43,"Justin Leonard",328,3,"CurrentParorBetterStreak",2006
43,43,"David McKenzie",28,3,"CurrentParorBetterStreak",2006
43,43,"Larry Mize",560,3,"CurrentParorBetterStreak",2006
43,43,"Jesper Parnevik",279,3,"CurrentParorBetterStreak",2006
43,43,"Justin Rose",91,3,"CurrentParorBetterStreak",2006
43,43,"Mike Standly",303,3,"CurrentParorBetterStreak",2006
43,43,"Omar Uresti",272,3,"CurrentParorBetterStreak",2006
57,57,"Benoit Beisser",2,2,"CurrentParorBetterStreak",2006
57,57,"Tim Clark",121,2,"CurrentParorBetterStreak",2006
57,57,"Michael Connell",24,2,"CurrentParorBetterStreak",2006
57,57,"Fred Couples",532,2,"CurrentParorBetterStreak",2006
57,57,"Ben Crane",126,2,"CurrentParorBetterStreak",2006
57,57,"Danny Ellis",109,2,"CurrentParorBetterStreak",2006
57,57,"Jim Furyk",328,2,"CurrentParorBetterStreak",2006
57,57,"Sergio Garcia",129,2,"CurrentParorBetterStreak",2006
57,57,"Robert Garrigus",28,2,"CurrentParorBetterStreak",2006
57,57,"Lucas Glover",93,2,"CurrentParorBetterStreak",2006
57,57,"Retief Goosen",116,2,"CurrentParorBetterStreak",2006
57,57,"JJ Henry",183,2,"CurrentParorBetterStreak",2006
57,57,"Mark Hensby",96,2,"CurrentParorBetterStreak",2006
57,57,"Gabriel Hjertstedt",187,2,"CurrentParorBetterStreak",2006
57,57,"Lee Janzen",456,2,"CurrentParorBetterStreak",2006
57,57,"Skip Kendall",365,2,"CurrentParorBetterStreak",2006
57,57,"Brandon Knaub",3,2,"CurrentParorBetterStreak",2006
57,57,"Neal Lancaster",514,2,"CurrentParorBetterStreak",2006
57,57,"Korey Mahoney",2,2,"CurrentParorBetterStreak",2006
57,57,"Ryan Moore",38,2,"CurrentParorBetterStreak",2006
57,57,"Mark OMeara",629,2,"CurrentParorBetterStreak",2006
57,57,"Tom Pernice Jr",434,2,"CurrentParorBetterStreak",2006
57,57,"Roger Tambellini",51,2,"CurrentParorBetterStreak",2006
57,57,"Vaughn Taylor",86,2,"CurrentParorBetterStreak",2006
57,57,"Camilo Villegas",40,2,"CurrentParorBetterStreak",2006
