"PresidentsCupUnitedes_RANKTHISWEEK_2015","PresidentsCupUnitedes_RANKLASTWEEK_2015","PresidentsCupUnitedes_PLAYERNAME_2015","PresidentsCupUnitedes__2015","PresidentsCupUnitedes_POINTS_2015","stat_name","year"
1,1,"Jordan Spieth",NA,10521,"PresidentsCupUnitedes",2015
2,2,"Bubba Watson",NA,7416,"PresidentsCupUnitedes",2015
3,3,"Jimmy Walker",NA,6609,"PresidentsCupUnitedes",2015
4,4,"Zach Johnson",NA,5838,"PresidentsCupUnitedes",2015
5,5,"Jim Furyk",NA,5778,"PresidentsCupUnitedes",2015
6,6,"Rickie Fowler",NA,5770,"PresidentsCupUnitedes",2015
7,7,"Dustin Johnson",NA,5532,"PresidentsCupUnitedes",2015
8,8,"Patrick Reed",NA,5148,"PresidentsCupUnitedes",2015
9,9,"Matt Kuchar",NA,4693,"PresidentsCupUnitedes",2015
10,10,"Chris Kirk",NA,4426,"PresidentsCupUnitedes",2015
11,11,"Bill Haas",NA,4140,"PresidentsCupUnitedes",2015
12,12,"JB Holmes",NA,4075,"PresidentsCupUnitedes",2015
13,13,"Charley Hoffman",NA,4004,"PresidentsCupUnitedes",2015
14,14,"Billy Horschel",NA,3956,"PresidentsCupUnitedes",2015
15,15,"Brandt Snedeker",NA,3913,"PresidentsCupUnitedes",2015
16,16,"Webb Simpson",NA,3734,"PresidentsCupUnitedes",2015
17,17,"Robert Streb",NA,3583,"PresidentsCupUnitedes",2015
18,18,"Kevin Na",NA,3546,"PresidentsCupUnitedes",2015
19,19,"Harris English",NA,3496,"PresidentsCupUnitedes",2015
20,20,"Brooks Koepka",NA,3486,"PresidentsCupUnitedes",2015
21,21,"Kevin Kisner",NA,3465,"PresidentsCupUnitedes",2015
22,22,"Brendon Todd",NA,3414,"PresidentsCupUnitedes",2015
23,23,"Ryan Moore",NA,3393,"PresidentsCupUnitedes",2015
24,24,"Gary Woodland",NA,3352,"PresidentsCupUnitedes",2015
25,25,"Ryan Palmer",NA,3117,"PresidentsCupUnitedes",2015
26,26,"Keegan Bradley",NA,3072,"PresidentsCupUnitedes",2015
27,27,"Russell Henley",NA,3032,"PresidentsCupUnitedes",2015
28,28,"Brian Harman",NA,2962,"PresidentsCupUnitedes",2015
29,29,"Hunter Mahan",NA,2901,"PresidentsCupUnitedes",2015
30,30,"Phil Mickelson",NA,2795,"PresidentsCupUnitedes",2015
31,31,"Jason Bohn",NA,2780,"PresidentsCupUnitedes",2015
32,32,"Ben Martin",NA,2766,"PresidentsCupUnitedes",2015
33,33,"Cameron Tringale",NA,2759,"PresidentsCupUnitedes",2015
34,34,"Matt Every",NA,2721,"PresidentsCupUnitedes",2015
35,35,"Daniel Summerhays",NA,2640,"PresidentsCupUnitedes",2015
36,36,"Nick Watney",NA,2638,"PresidentsCupUnitedes",2015
37,37,"Charles Howell III",NA,2535,"PresidentsCupUnitedes",2015
38,38,"George McNeill",NA,2510,"PresidentsCupUnitedes",2015
39,39,"Brendan Steele",NA,2482,"PresidentsCupUnitedes",2015
40,40,"Pat Perez",NA,2474,"PresidentsCupUnitedes",2015
41,41,"Troy Merritt",NA,2440,"PresidentsCupUnitedes",2015
42,42,"James Hahn",NA,2437,"PresidentsCupUnitedes",2015
43,43,"Shawn Stefani",NA,2355,"PresidentsCupUnitedes",2015
44,44,"Kevin Streelman",NA,2350,"PresidentsCupUnitedes",2015
45,45,"Scott Piercy",NA,2320,"PresidentsCupUnitedes",2015
46,46,"Justin Thomas",NA,2129,"PresidentsCupUnitedes",2015
47,47,"Kevin Chappell",NA,2116,"PresidentsCupUnitedes",2015
48,48,"Morgan Hoffmann",NA,2105,"PresidentsCupUnitedes",2015
49,49,"Jerry Kelly",NA,2094,"PresidentsCupUnitedes",2015
50,50,"Scott Brown",NA,2070,"PresidentsCupUnitedes",2015
51,51,"William McGirt",NA,2053,"PresidentsCupUnitedes",2015
52,52,"Chesson Hadley",NA,2043,"PresidentsCupUnitedes",2015
53,53,"Boo Weekley",NA,2003,"PresidentsCupUnitedes",2015
54,54,"Jason Dufner",NA,1959,"PresidentsCupUnitedes",2015
55,55,"Chris Stroud",NA,1943,"PresidentsCupUnitedes",2015
56,56,"Sean OHair",NA,1917,"PresidentsCupUnitedes",2015
57,57,"Daniel Berger",NA,1879,"PresidentsCupUnitedes",2015
58,58,"Jason Kokrak",NA,1839,"PresidentsCupUnitedes",2015
59,59,"Brian Stuard",NA,1813,"PresidentsCupUnitedes",2015
60,60,"Tony Finau",NA,1791,"PresidentsCupUnitedes",2015
61,61,"Bryce Molder",NA,1682,"PresidentsCupUnitedes",2015
62,62,"Erik Compton",NA,1676,"PresidentsCupUnitedes",2015
63,63,"JJ Henry",NA,1671,"PresidentsCupUnitedes",2015
64,64,"Will Wilcox",NA,1622,"PresidentsCupUnitedes",2015
65,65,"Chad Campbell",NA,1602,"PresidentsCupUnitedes",2015
66,66,"John Huh",NA,1601,"PresidentsCupUnitedes",2015
67,67,"Scott Langley",NA,1567,"PresidentsCupUnitedes",2015
