"Approachesfrominside100yards_RANKTHISWEEK_2015","Approachesfrominside100yards_RANKLASTWEEK_2015","Approachesfrominside100yards_PLAYERNAME_2015","Approachesfrominside100yards_ROUNDS_2015","Approachesfrominside100yards_AVG_2015","Approachesfrominside100yards_TOTALDISTANCEFEET_2015","Approachesfrominside100yards_OFATTEMPTS_2015","Approachesfrominside100yards_RELATIVETOPAR_2015","stat_name","year"
1,1,"Justin Rose",69,NA,844.333,68,-0.38,"Approachesfrominside100yards",2015
2,2,"Rickie Fowler",76,NA,722,54,-0.31,"Approachesfrominside100yards",2015
2,2,"Francesco Molinari",56,NA,800.833,60,-0.25,"Approachesfrominside100yards",2015
2,2,"Webb Simpson",81,NA,985.75,74,-0.05,"Approachesfrominside100yards",2015
5,5,"Roberto Castro",54,NA,434.833,32,-0.28,"Approachesfrominside100yards",2015
6,6,"Greg Owen",58,NA,575,42,-0.14,"Approachesfrominside100yards",2015
7,7,"Stewart Cink",77,NA,1212.917,87,-0.22,"Approachesfrominside100yards",2015
8,8,"Justin Leonard",61,NA,1015.25,72,-0.01,"Approachesfrominside100yards",2015
9,9,"Ken Duke",93,NA,1589.417,112,-0.14,"Approachesfrominside100yards",2015
10,10,"Michael Putnam",87,NA,1080,76,-0.18,"Approachesfrominside100yards",2015
10,10,"Brandt Snedeker",98,NA,1396.667,98,-0.2,"Approachesfrominside100yards",2015
12,12,"Phil Mickelson",70,NA,1058.917,74,-0.18,"Approachesfrominside100yards",2015
12,12,"Jim Renner",68,NA,718.167,50,0.08,"Approachesfrominside100yards",2015
14,14,"Ryo Ishikawa",90,NA,899.667,62,-0.18,"Approachesfrominside100yards",2015
14,14,"DA Points",72,NA,927.417,64,-0.16,"Approachesfrominside100yards",2015
16,16,"Scott Pinckney",88,NA,1208.667,83,-0.05,"Approachesfrominside100yards",2015
17,17,"Alex Prugh",84,NA,1233.667,84,-0.13,"Approachesfrominside100yards",2015
18,18,"Jon Curran",83,NA,1271.083,86,-0.15,"Approachesfrominside100yards",2015
19,19,"Ernie Els",57,NA,815.333,55,0.05,"Approachesfrominside100yards",2015
19,19,"Ryan Moore",81,NA,1157.917,78,-0.23,"Approachesfrominside100yards",2015
21,21,"Chad Campbell",97,NA,1449.667,97,-0.1,"Approachesfrominside100yards",2015
21,21,"Scott Langley",94,NA,1420.583,95,-0.19,"Approachesfrominside100yards",2015
23,23,"Jason Day",75,NA,1367.583,91,-0.22,"Approachesfrominside100yards",2015
23,23,"Sam Saunders",83,NA,872,58,-0.17,"Approachesfrominside100yards",2015
25,25,"Jason Dufner",76,NA,769.333,51,-0.04,"Approachesfrominside100yards",2015
25,25,"Russell Henley",87,NA,1420,94,-0.17,"Approachesfrominside100yards",2015
25,25,"Danny Lee",120,NA,1972.417,131,-0.23,"Approachesfrominside100yards",2015
28,28,"Nick Taylor",91,NA,1681.75,111,-0.21,"Approachesfrominside100yards",2015
28,28,"Justin Thomas",106,NA,1864.667,123,-0.2,"Approachesfrominside100yards",2015
30,30,"Seung Yul Noh",65,NA,1036.083,68,-0.18,"Approachesfrominside100yards",2015
31,31,"Derek Fathauer",81,NA,1223.667,80,-0.16,"Approachesfrominside100yards",2015
31,31,"Lucas Glover",79,NA,1026.5,67,-0.18,"Approachesfrominside100yards",2015
31,31,"JB Holmes",89,NA,1471.083,96,-0.26,"Approachesfrominside100yards",2015
31,31,"Jeff Overton",94,NA,1457.25,95,0,"Approachesfrominside100yards",2015
31,31,"Ryan Palmer",80,NA,1136.417,74,0.03,"Approachesfrominside100yards",2015
