"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2014","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2014","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2014","AverageApproachDistanceBirdieorBetter_ROUNDS_2014","AverageApproachDistanceBirdieorBetter_AVGYARDS_2014","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2014","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2014","stat_name","year"
1,1,"Justin Leonard",75,153,1041040,189,"AverageApproachDistanceBirdieorBetter",2014
2,2,"Tim Clark",75,154.9,1193611,214,"AverageApproachDistanceBirdieorBetter",2014
3,3,"David Toms",64,157.9,1074631,189,"AverageApproachDistanceBirdieorBetter",2014
4,4,"Richard Lee",80,158.5,1061363,186,"AverageApproachDistanceBirdieorBetter",2014
5,5,"Billy Hurley III",86,158.7,1342664,235,"AverageApproachDistanceBirdieorBetter",2014
6,6,"Jeff Maggert",54,160.3,727208,126,"AverageApproachDistanceBirdieorBetter",2014
7,7,"Graeme McDowell",66,161.1,980027,169,"AverageApproachDistanceBirdieorBetter",2014
8,8,"Troy Merritt",62,161.8,1100672,189,"AverageApproachDistanceBirdieorBetter",2014
8,8,"Brendon Todd",108,161.8,1846292,317,"AverageApproachDistanceBirdieorBetter",2014
10,10,"Stuart Appleby",92,162,1773059,304,"AverageApproachDistanceBirdieorBetter",2014
11,11,"KJ Choi",80,162.5,1322333,226,"AverageApproachDistanceBirdieorBetter",2014
11,11,"Brian Gay",81,162.5,1129239,193,"AverageApproachDistanceBirdieorBetter",2014
13,13,"Geoff Ogilvy",84,162.7,1423269,243,"AverageApproachDistanceBirdieorBetter",2014
14,14,"John Rollins",84,162.8,1143174,195,"AverageApproachDistanceBirdieorBetter",2014
15,15,"Chad Campbell",57,163.2,845968,144,"AverageApproachDistanceBirdieorBetter",2014
16,16,"Bryce Molder",77,163.5,1171237,199,"AverageApproachDistanceBirdieorBetter",2014
17,17,"Spencer Levin",59,163.7,919359,156,"AverageApproachDistanceBirdieorBetter",2014
17,17,"Tim Wilkinson",86,163.7,1319875,224,"AverageApproachDistanceBirdieorBetter",2014
19,19,"Greg Chalmers",85,163.9,1492764,253,"AverageApproachDistanceBirdieorBetter",2014
20,20,"Woody Austin",63,164,1086128,184,"AverageApproachDistanceBirdieorBetter",2014
21,21,"Justin Hicks",103,164.7,1802313,304,"AverageApproachDistanceBirdieorBetter",2014
22,22,"Ted Potter Jr",68,164.9,1050493,177,"AverageApproachDistanceBirdieorBetter",2014
23,23,"Chad Collins",78,165.4,1107323,186,"AverageApproachDistanceBirdieorBetter",2014
24,24,"Jason Day",54,165.5,738958,124,"AverageApproachDistanceBirdieorBetter",2014
24,24,"David Hearn",97,165.5,1734189,291,"AverageApproachDistanceBirdieorBetter",2014
24,24,"Jerry Kelly",80,165.5,1405751,236,"AverageApproachDistanceBirdieorBetter",2014
27,27,"Jason Bohn",81,166,1445762,242,"AverageApproachDistanceBirdieorBetter",2014
27,27,"JJ Henry",91,166,1362438,228,"AverageApproachDistanceBirdieorBetter",2014
29,29,"Russell Knox",92,166.2,1675438,280,"AverageApproachDistanceBirdieorBetter",2014
