"ConsecutiveHolesBelowPar_RANKTHISWEEK_2016","ConsecutiveHolesBelowPar_RANKLASTWEEK_2016","ConsecutiveHolesBelowPar_PLAYERNAME_2016","ConsecutiveHolesBelowPar_EVENTS_2016","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2016","stat_name","year"
1,1,"Daniel Berger",15,8,"ConsecutiveHolesBelowPar",2016
2,2,"Fabian Gomez",15,7,"ConsecutiveHolesBelowPar",2016
2,2,"Kevin Na",14,7,"ConsecutiveHolesBelowPar",2016
4,4,"Billy Horschel",12,6,"ConsecutiveHolesBelowPar",2016
4,4,"Matt Jones",15,6,"ConsecutiveHolesBelowPar",2016
4,4,"Brooks Koepka",11,6,"ConsecutiveHolesBelowPar",2016
4,4,"Matt Kuchar",12,6,"ConsecutiveHolesBelowPar",2016
4,4,"David Lingmerth",15,6,"ConsecutiveHolesBelowPar",2016
4,4,"William McGirt",15,6,"ConsecutiveHolesBelowPar",2016
4,4,"Ryan Moore",11,6,"ConsecutiveHolesBelowPar",2016
4,4,"Jeff Overton",17,6,"ConsecutiveHolesBelowPar",2016
4,4,"Cameron Smith",14,6,"ConsecutiveHolesBelowPar",2016
4,4,"Jhonattan Vegas",14,6,"ConsecutiveHolesBelowPar",2016
14,14,"Stuart Appleby",13,5,"ConsecutiveHolesBelowPar",2016
14,14,"Ryan Blaum",1,5,"ConsecutiveHolesBelowPar",2016
14,14,"Steven Bowditch",14,5,"ConsecutiveHolesBelowPar",2016
14,14,"Bud Cauley",6,5,"ConsecutiveHolesBelowPar",2016
14,14,"Ben Crane",17,5,"ConsecutiveHolesBelowPar",2016
14,14,"Jason Dufner",15,5,"ConsecutiveHolesBelowPar",2016
14,14,"Harris English",15,5,"ConsecutiveHolesBelowPar",2016
14,14,"Brian Harman",18,5,"ConsecutiveHolesBelowPar",2016
14,14,"Charley Hoffman",14,5,"ConsecutiveHolesBelowPar",2016
14,14,"Mark Hubbard",20,5,"ConsecutiveHolesBelowPar",2016
14,14,"Smylie Kaufman",16,5,"ConsecutiveHolesBelowPar",2016
14,14,"DH Lee",13,5,"ConsecutiveHolesBelowPar",2016
14,14,"Marc Leishman",12,5,"ConsecutiveHolesBelowPar",2016
14,14,"Spencer Levin",19,5,"ConsecutiveHolesBelowPar",2016
14,14,"Andrew Loupe",16,5,"ConsecutiveHolesBelowPar",2016
14,14,"Ben Martin",14,5,"ConsecutiveHolesBelowPar",2016
14,14,"Lee McCoy",1,5,"ConsecutiveHolesBelowPar",2016
14,14,"Graeme McDowell",11,5,"ConsecutiveHolesBelowPar",2016
14,14,"Troy Merritt",14,5,"ConsecutiveHolesBelowPar",2016
14,14,"Scott Piercy",12,5,"ConsecutiveHolesBelowPar",2016
14,14,"John Senden",15,5,"ConsecutiveHolesBelowPar",2016
14,14,"Brendan Steele",14,5,"ConsecutiveHolesBelowPar",2016
14,14,"Shawn Stefani",16,5,"ConsecutiveHolesBelowPar",2016
14,14,"Brendon Todd",18,5,"ConsecutiveHolesBelowPar",2016
14,14,"DJ Trahan",7,5,"ConsecutiveHolesBelowPar",2016
