"TotalDistanceEfficiency_RANKTHISWEEK_2008","TotalDistanceEfficiency_RANKLASTWEEK_2008","TotalDistanceEfficiency_PLAYERNAME_2008","TotalDistanceEfficiency_ROUNDS_2008","TotalDistanceEfficiency_AVG_2008","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2008","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2008","TotalDistanceEfficiency_TOTALATTEMPTS_2008","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2008","stat_name","year"
1,NA,"Scott Verplank",82,2.65,282.591,106.631,72,3.406,"TotalDistanceEfficiency",2008
2,NA,"Ian Poulter",51,2.641,292.246,110.666,37,3.025,"TotalDistanceEfficiency",2008
3,NA,"KJ Choi",74,2.639,293.259,111.107,63,3.235,"TotalDistanceEfficiency",2008
4,NA,"Paul Goydos",78,2.638,277.333,105.122,65,3.244,"TotalDistanceEfficiency",2008
5,NA,"Craig Kanada",65,2.637,274.859,104.215,49,2.935,"TotalDistanceEfficiency",2008
5,NA,"Joe Ogilvie",100,2.637,291.763,110.657,81,3.21,"TotalDistanceEfficiency",2008
7,NA,"Jim McGovern",75,2.636,285.423,108.297,60,2.99,"TotalDistanceEfficiency",2008
7,NA,"Rory Sabbatini",77,2.636,302.47,114.74,67,3.182,"TotalDistanceEfficiency",2008
7,NA,"Mark Wilson",107,2.636,286.971,108.875,107,3.17,"TotalDistanceEfficiency",2008
10,NA,"Vijay Singh",82,2.635,305.603,115.967,62,3.197,"TotalDistanceEfficiency",2008
11,NA,"Jeff Gove",50,2.634,287.703,109.245,39,2.876,"TotalDistanceEfficiency",2008
12,NA,"Steve Stricker",75,2.633,297.224,112.871,54,3.393,"TotalDistanceEfficiency",2008
12,NA,"Mike Weir",88,2.633,294.518,111.842,68,3.292,"TotalDistanceEfficiency",2008
14,NA,"Nick OHern",82,2.632,278.017,105.628,62,3.042,"TotalDistanceEfficiency",2008
15,NA,"Hunter Mahan",87,2.631,295.777,112.416,72,3.135,"TotalDistanceEfficiency",2008
16,NA,"Mathew Goggin",91,2.628,299.399,113.923,71,3.082,"TotalDistanceEfficiency",2008
17,NA,"Zach Johnson",85,2.627,281.819,107.26,76,3.562,"TotalDistanceEfficiency",2008
18,NA,"Justin Bolli",87,2.624,288.098,109.801,69,3,"TotalDistanceEfficiency",2008
18,NA,"Doug LaBelle II",65,2.624,281.715,107.376,45,2.936,"TotalDistanceEfficiency",2008
20,NA,"Steve Marino",119,2.623,294.446,112.274,88,2.949,"TotalDistanceEfficiency",2008
21,NA,"Chez Reavie",102,2.621,280.545,107.05,93,3.217,"TotalDistanceEfficiency",2008
22,NA,"Brandt Snedeker",85,2.62,285.294,108.905,71,3.38,"TotalDistanceEfficiency",2008
23,NA,"Ryan Armour",87,2.619,290.339,110.845,67,3.082,"TotalDistanceEfficiency",2008
23,NA,"Daniel Chopra",84,2.619,309.029,117.983,66,3.245,"TotalDistanceEfficiency",2008
25,NA,"Jim Furyk",95,2.617,291.239,111.28,84,3.384,"TotalDistanceEfficiency",2008
26,NA,"Adam Scott",51,2.616,309.763,118.405,34,3.019,"TotalDistanceEfficiency",2008
27,NA,"Tom Pernice Jr",104,2.615,281.906,107.784,97,3.012,"TotalDistanceEfficiency",2008
28,NA,"Cameron Beckman",87,2.614,284.429,108.802,61,3.013,"TotalDistanceEfficiency",2008
28,NA,"Steve Flesch",95,2.614,290.557,111.175,81,3.586,"TotalDistanceEfficiency",2008
30,NA,"Jeff Maggert",86,2.611,283.749,108.692,78,3.226,"TotalDistanceEfficiency",2008
30,NA,"Heath Slocum",104,2.611,278.989,106.863,90,2.975,"TotalDistanceEfficiency",2008
32,NA,"Matt Kuchar",88,2.61,279.136,106.95,64,2.967,"TotalDistanceEfficiency",2008
32,NA,"Brenden Pappas",66,2.61,297.085,113.806,43,2.94,"TotalDistanceEfficiency",2008
34,NA,"Steve Lowery",74,2.609,296.559,113.651,63,3.017,"TotalDistanceEfficiency",2008
35,NA,"Robert Gamez",79,2.608,279.72,107.236,64,3.011,"TotalDistanceEfficiency",2008
35,NA,"John Mallinger",95,2.608,280.917,107.732,78,2.948,"TotalDistanceEfficiency",2008
37,NA,"Tim Herron",97,2.606,291.959,112.038,78,3.012,"TotalDistanceEfficiency",2008
37,NA,"Greg Kraft",63,2.606,272.804,104.692,45,3.07,"TotalDistanceEfficiency",2008
37,NA,"Vaughn Taylor",103,2.606,284.913,109.329,87,2.989,"TotalDistanceEfficiency",2008
40,NA,"JP Hayes",67,2.605,282.742,108.545,61,3.033,"TotalDistanceEfficiency",2008
41,NA,"Gavin Coles",54,2.603,269.39,103.511,37,2.97,"TotalDistanceEfficiency",2008
41,NA,"Corey Pavin",69,2.603,265.009,101.819,50,3.13,"TotalDistanceEfficiency",2008
43,NA,"Tim Clark",90,2.601,281.534,108.231,70,3.136,"TotalDistanceEfficiency",2008
43,NA,"Robert Garrigus",90,2.601,315.604,121.325,64,3.018,"TotalDistanceEfficiency",2008
45,NA,"Ben Crane",86,2.599,284.247,109.354,75,3.07,"TotalDistanceEfficiency",2008
45,NA,"Ryan Palmer",69,2.599,297.059,114.297,45,2.957,"TotalDistanceEfficiency",2008
47,NA,"Justin Leonard",101,2.598,286.249,110.178,78,3.239,"TotalDistanceEfficiency",2008
47,NA,"Jeff Quinney",87,2.598,280.042,107.807,62,2.945,"TotalDistanceEfficiency",2008
47,NA,"Patrick Sheehan",124,2.598,285.648,109.95,95,2.949,"TotalDistanceEfficiency",2008
47,NA,"DJ Trahan",94,2.598,296.882,114.265,72,3.055,"TotalDistanceEfficiency",2008
51,NA,"Billy Mayfair",103,2.597,282.177,108.636,90,2.969,"TotalDistanceEfficiency",2008
51,NA,"Jay Williamson",96,2.597,285.283,109.872,68,2.939,"TotalDistanceEfficiency",2008
53,NA,"Shigeki Maruyama",50,2.596,274.711,105.807,43,3.123,"TotalDistanceEfficiency",2008
53,NA,"Nicholas Thompson",113,2.596,296.309,114.159,88,3.223,"TotalDistanceEfficiency",2008
53,NA,"Boo Weekley",86,2.596,299.79,115.498,69,3.311,"TotalDistanceEfficiency",2008
56,NA,"Tom Lehman",51,2.595,287.348,110.731,38,3.126,"TotalDistanceEfficiency",2008
57,NA,"Olin Browne",77,2.594,274.302,105.757,66,2.907,"TotalDistanceEfficiency",2008
58,NA,"Kenny Perry",97,2.593,295.317,113.873,86,3.195,"TotalDistanceEfficiency",2008
58,NA,"Scott Sterling",89,2.593,287.524,110.868,66,2.897,"TotalDistanceEfficiency",2008
58,NA,"David Toms",70,2.593,281.37,108.522,54,2.865,"TotalDistanceEfficiency",2008
61,NA,"Bo Van Pelt",101,2.591,296.13,114.297,81,2.961,"TotalDistanceEfficiency",2008
62,NA,"Angel Cabrera",55,2.588,312.538,120.778,37,3.238,"TotalDistanceEfficiency",2008
62,NA,"Kyle Thompson",70,2.588,286.773,110.8,56,3.056,"TotalDistanceEfficiency",2008
64,NA,"Charley Hoffman",94,2.587,306.21,118.365,87,3.218,"TotalDistanceEfficiency",2008
65,NA,"Brian Gay",102,2.586,270.319,104.546,87,2.966,"TotalDistanceEfficiency",2008
66,NA,"Stuart Appleby",87,2.584,292.66,113.278,62,3.128,"TotalDistanceEfficiency",2008
66,NA,"Ben Curtis",80,2.584,286.667,110.926,68,2.892,"TotalDistanceEfficiency",2008
66,NA,"Jason Day",81,2.584,299.598,115.925,74,2.951,"TotalDistanceEfficiency",2008
66,NA,"Brad Elder",67,2.584,289.767,112.158,50,2.814,"TotalDistanceEfficiency",2008
66,NA,"George McNeill",97,2.584,304.591,117.893,86,3.134,"TotalDistanceEfficiency",2008
71,NA,"Steve Allan",58,2.583,300.429,116.306,43,2.913,"TotalDistanceEfficiency",2008
71,NA,"Michael Letzig",88,2.583,293.93,113.809,68,2.954,"TotalDistanceEfficiency",2008
71,NA,"Tim Wilkinson",95,2.583,279.334,108.14,75,2.964,"TotalDistanceEfficiency",2008
74,NA,"Brad Adamonis",87,2.582,295.865,114.59,71,2.943,"TotalDistanceEfficiency",2008
74,NA,"Frank Lickliter II",107,2.582,287.398,111.306,92,3.019,"TotalDistanceEfficiency",2008
76,NA,"Briny Baird",113,2.58,287.547,111.459,85,3.004,"TotalDistanceEfficiency",2008
76,NA,"Mark Calcavecchia",67,2.58,292.754,113.451,47,3.208,"TotalDistanceEfficiency",2008
76,NA,"Steve Elkington",84,2.58,281.661,109.16,62,3.105,"TotalDistanceEfficiency",2008
76,NA,"Jerry Kelly",89,2.58,276.385,107.121,76,2.94,"TotalDistanceEfficiency",2008
76,NA,"Cliff Kresge",84,2.58,280.993,108.904,70,3.149,"TotalDistanceEfficiency",2008
81,NA,"Jason Gore",94,2.579,302.085,117.155,59,2.933,"TotalDistanceEfficiency",2008
81,NA,"JB Holmes",86,2.579,322.83,125.159,44,2.861,"TotalDistanceEfficiency",2008
81,NA,"Richard Johnson",60,2.579,281.822,109.27,48,2.987,"TotalDistanceEfficiency",2008
84,NA,"Kevin Sutherland",98,2.578,291.062,112.924,86,2.94,"TotalDistanceEfficiency",2008
85,NA,"Parker McLachlin",88,2.577,289.067,112.154,68,3.036,"TotalDistanceEfficiency",2008
86,NA,"Todd Hamilton",92,2.576,291.678,113.211,46,3.047,"TotalDistanceEfficiency",2008
86,NA,"Peter Lonard",92,2.576,281.089,109.107,80,2.886,"TotalDistanceEfficiency",2008
88,NA,"Brian Davis",108,2.575,275.75,107.072,100,3.096,"TotalDistanceEfficiency",2008
88,NA,"Harrison Frazar",73,2.575,301.213,116.982,52,2.946,"TotalDistanceEfficiency",2008
88,NA,"Anthony Kim",81,2.575,303.284,117.792,65,3.206,"TotalDistanceEfficiency",2008
91,NA,"Billy Andrade",71,2.574,289.789,112.596,50,3.041,"TotalDistanceEfficiency",2008
91,NA,"Kenneth Ferrie",72,2.574,282.297,109.685,55,2.914,"TotalDistanceEfficiency",2008
91,NA,"Omar Uresti",74,2.574,275.474,107.004,55,3.056,"TotalDistanceEfficiency",2008
94,NA,"Mark Hensby",71,2.573,286.313,111.295,58,2.937,"TotalDistanceEfficiency",2008
94,NA,"Dustin Johnson",92,2.573,315.927,122.802,68,3.059,"TotalDistanceEfficiency",2008
96,NA,"Kent Jones",68,2.572,280.951,109.217,49,3.035,"TotalDistanceEfficiency",2008
97,NA,"Eric Axley",113,2.571,285.688,111.134,87,2.897,"TotalDistanceEfficiency",2008
97,NA,"Rich Beem",90,2.571,288.489,112.194,73,2.891,"TotalDistanceEfficiency",2008
97,NA,"Stewart Cink",87,2.571,298.665,116.163,57,3.012,"TotalDistanceEfficiency",2008
97,NA,"Kevin Stadler",90,2.571,291.102,113.211,59,2.837,"TotalDistanceEfficiency",2008
101,NA,"Shane Bertsch",96,2.57,272.453,105.998,89,3.056,"TotalDistanceEfficiency",2008
101,NA,"Chad Campbell",94,2.57,288.896,112.407,91,3.217,"TotalDistanceEfficiency",2008
103,NA,"Fred Couples",60,2.569,302.71,117.827,34,3.013,"TotalDistanceEfficiency",2008
103,NA,"Jin Park",85,2.569,274.346,106.788,65,3.049,"TotalDistanceEfficiency",2008
105,NA,"Glen Day",64,2.568,275.058,107.129,47,3.049,"TotalDistanceEfficiency",2008
105,NA,"Ryan Moore",72,2.568,289.926,112.895,56,2.873,"TotalDistanceEfficiency",2008
