"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2010","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2010","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2010","AverageDistancetoHoleAfterTeeShot_ROUNDS_2010","AverageDistancetoHoleAfterTeeShot_AVG_2010","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2010","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2010","stat_name","year"
1,1,"John Daly",63,154.2,3542492,638,"AverageDistancetoHoleAfterTeeShot",2010
2,2,"Robert Garrigus",71,155.3,4689994,839,"AverageDistancetoHoleAfterTeeShot",2010
3,3,"Dustin Johnson",83,158.8,4984130,872,"AverageDistancetoHoleAfterTeeShot",2010
4,4,"JB Holmes",100,160.1,7009951,1216,"AverageDistancetoHoleAfterTeeShot",2010
5,5,"Graham DeLaet",88,160.3,6042547,1047,"AverageDistancetoHoleAfterTeeShot",2010
6,6,"Bubba Watson",77,161.1,5312025,916,"AverageDistancetoHoleAfterTeeShot",2010
7,7,"Brett Wetterich",54,162.2,4245939,727,"AverageDistancetoHoleAfterTeeShot",2010
8,8,"Angel Cabrera",64,162.4,4167514,713,"AverageDistancetoHoleAfterTeeShot",2010
9,9,"Charles Warren",64,163.2,4477042,762,"AverageDistancetoHoleAfterTeeShot",2010
10,10,"DJ Trahan",92,164.6,6714985,1133,"AverageDistancetoHoleAfterTeeShot",2010
11,11,"Martin Flores",75,164.8,5107058,861,"AverageDistancetoHoleAfterTeeShot",2010
12,12,"Troy Matteson",84,165,6444751,1085,"AverageDistancetoHoleAfterTeeShot",2010
13,13,"Alex Prugh",88,165.2,6516587,1096,"AverageDistancetoHoleAfterTeeShot",2010
14,14,"Aaron Baddeley",94,166.1,7157653,1197,"AverageDistancetoHoleAfterTeeShot",2010
15,15,"Scott Piercy",88,166.2,6598974,1103,"AverageDistancetoHoleAfterTeeShot",2010
16,16,"Charley Hoffman",85,166.5,6355029,1060,"AverageDistancetoHoleAfterTeeShot",2010
17,17,"Marc Leishman",87,166.8,5921699,986,"AverageDistancetoHoleAfterTeeShot",2010
18,18,"Martin Laird",91,166.9,6548416,1090,"AverageDistancetoHoleAfterTeeShot",2010
18,18,"Jeff Overton",89,166.9,5859025,975,"AverageDistancetoHoleAfterTeeShot",2010
20,20,"Phil Mickelson",76,167.2,4665349,775,"AverageDistancetoHoleAfterTeeShot",2010
21,21,"John Rollins",81,167.5,6277788,1041,"AverageDistancetoHoleAfterTeeShot",2010
22,22,"Boo Weekley",88,167.6,6203435,1028,"AverageDistancetoHoleAfterTeeShot",2010
23,23,"Rory McIlroy",54,167.8,3333640,552,"AverageDistancetoHoleAfterTeeShot",2010
23,23,"Nick Watney",91,167.8,5764382,954,"AverageDistancetoHoleAfterTeeShot",2010
25,25,"Cameron Tringale",55,168.2,3741893,618,"AverageDistancetoHoleAfterTeeShot",2010
26,26,"Mathias Gronberg",61,168.3,4167537,688,"AverageDistancetoHoleAfterTeeShot",2010
26,26,"Vijay Singh",75,168.3,4792390,791,"AverageDistancetoHoleAfterTeeShot",2010
28,28,"Daniel Chopra",74,168.4,5475844,903,"AverageDistancetoHoleAfterTeeShot",2010
29,29,"Davis Love III",79,168.5,5533075,912,"AverageDistancetoHoleAfterTeeShot",2010
30,30,"Jarrod Lyle",54,168.8,3858254,635,"AverageDistancetoHoleAfterTeeShot",2010
31,31,"Bo Van Pelt",104,168.9,7352473,1209,"AverageDistancetoHoleAfterTeeShot",2010
32,32,"Jason Day",82,169.4,5933663,973,"AverageDistancetoHoleAfterTeeShot",2010
33,33,"James Driscoll",78,169.6,6155780,1008,"AverageDistancetoHoleAfterTeeShot",2010
33,33,"Kenny Perry",69,169.6,4761316,780,"AverageDistancetoHoleAfterTeeShot",2010
33,33,"Andres Romero",73,169.6,6038183,989,"AverageDistancetoHoleAfterTeeShot",2010
36,36,"Ryan Palmer",84,169.7,5939712,972,"AverageDistancetoHoleAfterTeeShot",2010
