"OfficialWorldGolfRanking_RANKTHISWEEK_2010","OfficialWorldGolfRanking_RANKLASTWEEK_2010","OfficialWorldGolfRanking_PLAYERNAME_2010","OfficialWorldGolfRanking_EVENTS_2010","OfficialWorldGolfRanking_AVGPOINTS_2010","OfficialWorldGolfRanking_TOTALPOINTS_2010","OfficialWorldGolfRanking_POINTSLOST_2010","OfficialWorldGolfRanking_POINTSGAINED_2010","OfficialWorldGolfRanking_COUNTRY_2010","stat_name","year"
1,NA,"Lee Westwood",47,9.31,437.56,-279.74,374.21,NA,"OfficialWorldGolfRanking",2010
2,NA,"Tiger Woods",40,8.26,330.36,-396.35,140.02,NA,"OfficialWorldGolfRanking",2010
3,NA,"Martin Kaymer",49,7.49,366.84,-212.5,346.33,NA,"OfficialWorldGolfRanking",2010
4,NA,"Phil Mickelson",43,7.01,301.43,-309.46,247.69,NA,"OfficialWorldGolfRanking",2010
5,NA,"Jim Furyk",46,6.44,296.44,-227.25,247.27,NA,"OfficialWorldGolfRanking",2010
6,NA,"Steve Stricker",43,6.39,274.71,-246.93,221.46,NA,"OfficialWorldGolfRanking",2010
7,NA,"Graeme McDowell",54,6.3,340.35,-132.41,331.48,NA,"OfficialWorldGolfRanking",2010
8,NA,"Paul Casey",45,6.14,276.18,-224.92,265.46,NA,"OfficialWorldGolfRanking",2010
9,NA,"Luke Donald",55,5.8,319.17,-136.47,325.67,NA,"OfficialWorldGolfRanking",2010
10,NA,"Ian Poulter",49,5.73,280.92,-200.33,245.3,NA,"OfficialWorldGolfRanking",2010
11,NA,"Rory McIlroy",56,5.69,318.66,-224.53,266.04,NA,"OfficialWorldGolfRanking",2010
12,NA,"Ernie Els",58,4.98,288.93,-212.6,282.83,NA,"OfficialWorldGolfRanking",2010
13,NA,"Matt Kuchar",52,4.9,254.82,-110.73,257.36,NA,"OfficialWorldGolfRanking",2010
14,NA,"Dustin Johnson",50,4.68,234.19,-127.72,239.95,NA,"OfficialWorldGolfRanking",2010
