"PuttingInside10_RANKTHISWEEK_2005","PuttingInside10_RANKLASTWEEK_2005","PuttingInside10_PLAYERNAME_2005","PuttingInside10_ROUNDS_2005","PuttingInside10_PctMADE_2005","PuttingInside10_ATTEMPTS_2005","PuttingInside10_PUTTSMADE_2005","stat_name","year"
1,1,"Brian Gay",101,90.02,1643,1479,"PuttingInside10",2005
2,2,"Luke Donald",67,89.92,724,651,"PuttingInside10",2005
3,3,"Olin Browne",99,89.89,1483,1333,"PuttingInside10",2005
4,4,"Ben Crane",78,89.57,1160,1039,"PuttingInside10",2005
5,5,"Brent Geiberger",61,89.33,928,829,"PuttingInside10",2005
5,5,"Tiger Woods",76,89.33,993,887,"PuttingInside10",2005
7,7,"Jose Maria Olazabal",55,89.21,732,653,"PuttingInside10",2005
8,8,"Nick Watney",91,89.18,1423,1269,"PuttingInside10",2005
9,9,"Tag Ridings",93,89.14,1501,1338,"PuttingInside10",2005
10,10,"JP Hayes",63,89.06,969,863,"PuttingInside10",2005
11,11,"Patrick Sheehan",114,89.02,1722,1533,"PuttingInside10",2005
12,12,"Steve Stricker",62,88.98,1053,937,"PuttingInside10",2005
13,13,"Tjaart van der Walt",56,88.93,976,868,"PuttingInside10",2005
14,14,"Bob Tway",87,88.88,1160,1031,"PuttingInside10",2005
15,15,"Arjun Atwal",65,88.82,1082,961,"PuttingInside10",2005
16,16,"Corey Pavin",77,88.8,1098,975,"PuttingInside10",2005
17,17,"Stephen Ames",82,88.77,1095,972,"PuttingInside10",2005
17,17,"Stewart Cink",98,88.77,1273,1130,"PuttingInside10",2005
19,19,"Shigeki Maruyama",99,88.75,1547,1373,"PuttingInside10",2005
20,20,"Retief Goosen",71,88.69,796,706,"PuttingInside10",2005
20,20,"Mark OMeara",66,88.69,928,823,"PuttingInside10",2005
20,20,"Kirk Triplett",55,88.69,787,698,"PuttingInside10",2005
23,23,"Aaron Baddeley",84,88.67,1350,1197,"PuttingInside10",2005
23,23,"Duffy Waldorf",86,88.67,1297,1150,"PuttingInside10",2005
25,25,"Michael Allen",90,88.6,1404,1244,"PuttingInside10",2005
25,25,"Jim Furyk",94,88.6,1281,1135,"PuttingInside10",2005
27,27,"Tim Herron",100,88.53,1378,1220,"PuttingInside10",2005
28,28,"Richard Johnson",50,88.52,819,725,"PuttingInside10",2005
29,29,"Darron Stiles",78,88.5,1244,1101,"PuttingInside10",2005
30,30,"JJ Henry",102,88.46,1603,1418,"PuttingInside10",2005
31,31,"David Toms",87,88.45,1126,996,"PuttingInside10",2005
32,32,"Kevin Sutherland",89,88.41,1355,1198,"PuttingInside10",2005
33,33,"Tom Byrum",83,88.32,1379,1218,"PuttingInside10",2005
34,34,"Mark Calcavecchia",92,88.29,1400,1236,"PuttingInside10",2005
34,34,"Dudley Hart",84,88.29,1289,1138,"PuttingInside10",2005
36,36,"Justin Leonard",78,88.22,993,876,"PuttingInside10",2005
37,37,"Len Mattiace",86,88.2,1347,1188,"PuttingInside10",2005
38,38,"Matt Gogel",78,88.19,1202,1060,"PuttingInside10",2005
38,38,"Jesper Parnevik",84,88.19,1219,1075,"PuttingInside10",2005
40,40,"Gavin Coles",70,88.14,1138,1003,"PuttingInside10",2005
41,41,"John Senden",101,88.11,1673,1474,"PuttingInside10",2005
42,42,"Zach Johnson",96,88.1,1512,1332,"PuttingInside10",2005
43,43,"Fred Funk",102,88.09,1511,1331,"PuttingInside10",2005
43,43,"Jeff Sluman",94,88.09,1553,1368,"PuttingInside10",2005
45,45,"Matt Kuchar",60,88.05,1004,884,"PuttingInside10",2005
46,46,"Bart Bryant",91,88.04,1388,1222,"PuttingInside10",2005
47,47,"Jerry Kelly",101,88.03,1395,1228,"PuttingInside10",2005
48,48,"Steve Elkington",67,88.02,1002,882,"PuttingInside10",2005
48,48,"Vijay Singh",111,88.02,1594,1403,"PuttingInside10",2005
50,50,"KJ Choi",78,87.96,980,862,"PuttingInside10",2005
51,51,"Sean OHair",103,87.95,1552,1365,"PuttingInside10",2005
52,52,"Rod Pampling",89,87.94,1260,1108,"PuttingInside10",2005
52,52,"Bo Van Pelt",112,87.94,1683,1480,"PuttingInside10",2005
54,54,"Jeff Maggert",79,87.91,1100,967,"PuttingInside10",2005
54,54,"Loren Roberts",54,87.91,852,749,"PuttingInside10",2005
