"ConsecutiveFairwaysHit_RANKTHISWEEK_2005","ConsecutiveFairwaysHit_RANKLASTWEEK_2005","ConsecutiveFairwaysHit_PLAYERNAME_2005","ConsecutiveFairwaysHit_EVENTS_2005","ConsecutiveFairwaysHit_BESTSTREAK_2005","ConsecutiveFairwaysHit_CURRENTSTREAK_2005","stat_name","year"
1,1,"Craig Bowden",15,43,NA,"ConsecutiveFairwaysHit",2005
2,2,"John Rollins",30,41,NA,"ConsecutiveFairwaysHit",2005
2,2,"Darron Stiles",26,41,1,"ConsecutiveFairwaysHit",2005
4,4,"Fred Funk",30,31,2,"ConsecutiveFairwaysHit",2005
4,4,"Jay Williamson",16,31,NA,"ConsecutiveFairwaysHit",2005
6,6,"Mark Wilson",25,30,5,"ConsecutiveFairwaysHit",2005
7,7,"Guy Boros",5,29,3,"ConsecutiveFairwaysHit",2005
8,8,"Mark Calcavecchia",27,28,NA,"ConsecutiveFairwaysHit",2005
8,8,"Paul Claxton",29,28,NA,"ConsecutiveFairwaysHit",2005
10,10,"JP Hayes",22,27,1,"ConsecutiveFairwaysHit",2005
10,10,"Kent Jones",32,27,2,"ConsecutiveFairwaysHit",2005
10,10,"Hidemichi Tanaka",34,27,2,"ConsecutiveFairwaysHit",2005
13,13,"Jose Coceres",22,26,3,"ConsecutiveFairwaysHit",2005
13,13,"Joe Ogilvie",30,26,1,"ConsecutiveFairwaysHit",2005
13,13,"Vaughn Taylor",32,26,9,"ConsecutiveFairwaysHit",2005
16,16,"Robert Damron",28,25,5,"ConsecutiveFairwaysHit",2005
16,16,"Paul Goydos",15,25,NA,"ConsecutiveFairwaysHit",2005
16,16,"Justin Rose",28,25,NA,"ConsecutiveFairwaysHit",2005
19,19,"Bart Bryant",26,24,8,"ConsecutiveFairwaysHit",2005
19,19,"Skip Kendall",32,24,NA,"ConsecutiveFairwaysHit",2005
19,19,"Tom Lehman",20,24,NA,"ConsecutiveFairwaysHit",2005
19,19,"Billy Mayfair",31,24,NA,"ConsecutiveFairwaysHit",2005
19,19,"Blaine McCallister",9,24,11,"ConsecutiveFairwaysHit",2005
19,19,"Nick OHern",13,24,2,"ConsecutiveFairwaysHit",2005
19,19,"Vijay Singh",30,24,1,"ConsecutiveFairwaysHit",2005
19,19,"Roland Thatcher",26,24,NA,"ConsecutiveFairwaysHit",2005
27,27,"Doug Barron",24,23,5,"ConsecutiveFairwaysHit",2005
27,27,"Scott Gutschewski",27,23,2,"ConsecutiveFairwaysHit",2005
27,27,"Jeff Hart",23,23,4,"ConsecutiveFairwaysHit",2005
27,27,"John Huston",31,23,1,"ConsecutiveFairwaysHit",2005
27,27,"Nick Price",16,23,NA,"ConsecutiveFairwaysHit",2005
27,27,"Scott Verplank",25,23,NA,"ConsecutiveFairwaysHit",2005
33,33,"Joe Durant",25,22,1,"ConsecutiveFairwaysHit",2005
33,33,"Steve Flesch",30,22,2,"ConsecutiveFairwaysHit",2005
33,33,"Todd Hamilton",31,22,NA,"ConsecutiveFairwaysHit",2005
33,33,"Spike McRoy",12,22,2,"ConsecutiveFairwaysHit",2005
33,33,"Kevin Stadler",33,22,NA,"ConsecutiveFairwaysHit",2005
33,33,"Duffy Waldorf",28,22,NA,"ConsecutiveFairwaysHit",2005
33,33,"Charles Warren",31,22,1,"ConsecutiveFairwaysHit",2005
40,40,"Robert Gamez",28,21,NA,"ConsecutiveFairwaysHit",2005
40,40,"Sergio Garcia",20,21,1,"ConsecutiveFairwaysHit",2005
40,40,"Graeme McDowell",14,21,1,"ConsecutiveFairwaysHit",2005
40,40,"Larry Mize",18,21,2,"ConsecutiveFairwaysHit",2005
40,40,"Rod Pampling",26,21,NA,"ConsecutiveFairwaysHit",2005
40,40,"Chris Riley",25,21,NA,"ConsecutiveFairwaysHit",2005
40,40,"Heath Slocum",29,21,3,"ConsecutiveFairwaysHit",2005
40,40,"Omar Uresti",27,21,3,"ConsecutiveFairwaysHit",2005
48,48,"Danny Briggs",29,20,1,"ConsecutiveFairwaysHit",2005
48,48,"Luke Donald",18,20,2,"ConsecutiveFairwaysHit",2005
48,48,"Todd Fischer",35,20,1,"ConsecutiveFairwaysHit",2005
48,48,"Jeff Maggert",25,20,1,"ConsecutiveFairwaysHit",2005
48,48,"Corey Pavin",23,20,NA,"ConsecutiveFairwaysHit",2005
48,48,"Henrik Stenson",4,20,NA,"ConsecutiveFairwaysHit",2005
54,54,"Stephen Ames",24,19,6,"ConsecutiveFairwaysHit",2005
