"MoneyLeaders_RANKTHISWEEK_2005","MoneyLeaders_RANKLASTWEEK_2005","MoneyLeaders_PLAYERNAME_2005","MoneyLeaders_EVENTS_2005","MoneyLeaders_MONEY_2005","MoneyLeaders_YTDVICTORIES_2005","stat_name","year"
1,1,"Tiger Woods",21,10628024,6,"MoneyLeaders",2005
2,2,"Vijay Singh",30,8017336,4,"MoneyLeaders",2005
3,3,"Phil Mickelson",21,5699605,4,"MoneyLeaders",2005
4,4,"Jim Furyk",26,4255369,1,"MoneyLeaders",2005
5,5,"David Toms",25,3962013,1,"MoneyLeaders",2005
6,6,"Kenny Perry",23,3607155,2,"MoneyLeaders",2005
7,7,"Chris DiMarco",24,3562548,NA,"MoneyLeaders",2005
8,8,"Retief Goosen",18,3494106,1,"MoneyLeaders",2005
9,9,"Bart Bryant",26,3249136,2,"MoneyLeaders",2005
10,10,"Sergio Garcia",20,3213375,1,"MoneyLeaders",2005
11,11,"Fred Funk",30,2830046,1,"MoneyLeaders",2005
12,12,"Justin Leonard",24,2665131,2,"MoneyLeaders",2005
13,13,"Davis Love III",24,2658779,NA,"MoneyLeaders",2005
14,14,"Padraig Harrington",15,2615731,2,"MoneyLeaders",2005
15,15,"Adam Scott",19,2592255,NA,"MoneyLeaders",2005
16,16,"Scott Verplank",25,2580213,NA,"MoneyLeaders",2005
17,17,"Luke Donald",18,2480562,NA,"MoneyLeaders",2005
18,18,"Sean OHair",29,2461482,1,"MoneyLeaders",2005
19,19,"Ben Crane",21,2457329,1,"MoneyLeaders",2005
20,20,"Chad Campbell",27,2391432,NA,"MoneyLeaders",2005
21,21,"Tim Clark",26,2310037,NA,"MoneyLeaders",2005
22,22,"Billy Mayfair",31,2236455,NA,"MoneyLeaders",2005
23,23,"Stuart Appleby",25,2202506,1,"MoneyLeaders",2005
24,24,"Ted Purdy",34,2198368,1,"MoneyLeaders",2005
25,25,"Mark Calcavecchia",27,2185310,1,"MoneyLeaders",2005
26,26,"Olin Browne",29,2171928,1,"MoneyLeaders",2005
27,27,"Brandt Jobe",27,2133149,NA,"MoneyLeaders",2005
28,28,"Tim Herron",28,2103550,NA,"MoneyLeaders",2005
29,29,"Charles Howell III",29,2074329,NA,"MoneyLeaders",2005
30,30,"Lucas Glover",28,2050068,1,"MoneyLeaders",2005
31,31,"Carl Pettersson",34,1993851,1,"MoneyLeaders",2005
32,32,"Shigeki Maruyama",29,1933049,NA,"MoneyLeaders",2005
33,33,"Geoff Ogilvy",26,1931676,1,"MoneyLeaders",2005
34,34,"Peter Lonard",27,1897998,1,"MoneyLeaders",2005
35,35,"Jason Bohn",28,1888568,1,"MoneyLeaders",2005
36,36,"Vaughn Taylor",32,1827574,1,"MoneyLeaders",2005
37,37,"Joe Ogilvie",30,1819547,NA,"MoneyLeaders",2005
38,38,"Fred Couples",22,1804179,NA,"MoneyLeaders",2005
39,39,"Zach Johnson",30,1796441,NA,"MoneyLeaders",2005
40,40,"KJ Choi",24,1765374,1,"MoneyLeaders",2005
41,41,"Jose Maria Olazabal",16,1764227,NA,"MoneyLeaders",2005
42,42,"John Daly",25,1759921,NA,"MoneyLeaders",2005
43,43,"Stewart Cink",26,1733049,NA,"MoneyLeaders",2005
44,44,"Tim Petrovic",32,1711229,1,"MoneyLeaders",2005
45,45,"Brad Faxon",23,1700535,1,"MoneyLeaders",2005
46,46,"Tom Lehman",20,1655416,NA,"MoneyLeaders",2005
47,47,"Ernie Els",11,1627184,NA,"MoneyLeaders",2005
48,48,"Rod Pampling",26,1613815,NA,"MoneyLeaders",2005
49,49,"Tom Pernice Jr",32,1608057,NA,"MoneyLeaders",2005
50,50,"Heath Slocum",29,1606185,1,"MoneyLeaders",2005
51,51,"Bo Van Pelt",33,1606082,NA,"MoneyLeaders",2005
52,52,"Darren Clarke",12,1465921,NA,"MoneyLeaders",2005
53,53,"Jonathan Kaye",24,1416109,NA,"MoneyLeaders",2005
54,54,"Steve Elkington",20,1410350,NA,"MoneyLeaders",2005
55,55,"Justin Rose",28,1365191,NA,"MoneyLeaders",2005
56,56,"Mike Weir",23,1363467,NA,"MoneyLeaders",2005
57,57,"Greg Owen",24,1352878,NA,"MoneyLeaders",2005
58,58,"Jerry Kelly",31,1352487,NA,"MoneyLeaders",2005
59,59,"Mark Hensby",21,1312637,NA,"MoneyLeaders",2005
60,60,"Ryan Palmer",32,1280002,NA,"MoneyLeaders",2005
61,61,"Jeff Brehaut",23,1271061,NA,"MoneyLeaders",2005
62,62,"Pat Perez",28,1258087,NA,"MoneyLeaders",2005
63,63,"Robert Allenby",31,1184458,NA,"MoneyLeaders",2005
64,64,"Woody Austin",30,1177095,NA,"MoneyLeaders",2005
65,65,"Billy Andrade",26,1120835,NA,"MoneyLeaders",2005
66,66,"Robert Gamez",28,1115364,1,"MoneyLeaders",2005
67,67,"Kevin Na",32,1095204,NA,"MoneyLeaders",2005
68,68,"Jeff Sluman",28,1087506,NA,"MoneyLeaders",2005
69,69,"Bob Tway",26,1072387,NA,"MoneyLeaders",2005
70,70,"Joey Sindelar",29,1060238,NA,"MoneyLeaders",2005
71,71,"Dudley Hart",29,1051339,NA,"MoneyLeaders",2005
72,72,"Joey Snyder III",31,1042696,NA,"MoneyLeaders",2005
73,73,"Joe Durant",25,1039699,NA,"MoneyLeaders",2005
74,74,"JL Lewis",30,1031159,NA,"MoneyLeaders",2005
75,75,"Wes Short Jr",16,1029640,1,"MoneyLeaders",2005
76,76,"Carlos Franco",25,1029267,NA,"MoneyLeaders",2005
77,77,"Charles Warren",31,1007276,NA,"MoneyLeaders",2005
78,78,"Aaron Baddeley",27,1006006,NA,"MoneyLeaders",2005
79,79,"Harrison Frazar",31,999083,NA,"MoneyLeaders",2005
80,80,"Brett Quigley",31,998155,NA,"MoneyLeaders",2005
81,81,"Scott McCarron",24,977517,NA,"MoneyLeaders",2005
82,82,"Arjun Atwal",17,963768,NA,"MoneyLeaders",2005
83,83,"Stephen Ames",24,959665,NA,"MoneyLeaders",2005
84,84,"Bernhard Langer",19,952451,NA,"MoneyLeaders",2005
85,85,"Steve Lowery",32,950274,NA,"MoneyLeaders",2005
86,86,"Ian Poulter",20,946890,NA,"MoneyLeaders",2005
87,87,"JJ Henry",32,942347,NA,"MoneyLeaders",2005
88,88,"Arron Oberholser",21,921796,NA,"MoneyLeaders",2005
89,89,"Rory Sabbatini",26,920988,NA,"MoneyLeaders",2005
90,90,"Daniel Chopra",34,893368,NA,"MoneyLeaders",2005
91,91,"Tag Ridings",31,891812,NA,"MoneyLeaders",2005
92,92,"Bob Estes",25,891477,NA,"MoneyLeaders",2005
93,93,"Loren Roberts",18,874330,NA,"MoneyLeaders",2005
94,94,"Jason Gore",8,871135,1,"MoneyLeaders",2005
95,95,"Steve Flesch",30,869106,NA,"MoneyLeaders",2005
96,96,"Freddie Jacobson",23,868525,NA,"MoneyLeaders",2005
97,97,"John Senden",29,855325,NA,"MoneyLeaders",2005
98,98,"Brian Davis",23,854460,NA,"MoneyLeaders",2005
99,99,"John Rollins",30,852147,NA,"MoneyLeaders",2005
100,100,"James Driscoll",26,849891,NA,"MoneyLeaders",2005
101,101,"Kevin Sutherland",26,845875,NA,"MoneyLeaders",2005
102,102,"Dean Wilson",27,821903,NA,"MoneyLeaders",2005
103,103,"DJ Trahan",28,806304,NA,"MoneyLeaders",2005
104,104,"Hank Kuehne",30,786817,NA,"MoneyLeaders",2005
105,105,"Stephen Leaney",29,758057,NA,"MoneyLeaders",2005
106,106,"Jeff Maggert",25,743780,NA,"MoneyLeaders",2005
107,107,"Robert Damron",28,739836,NA,"MoneyLeaders",2005
108,108,"Corey Pavin",23,736506,NA,"MoneyLeaders",2005
109,109,"Jesper Parnevik",24,732845,NA,"MoneyLeaders",2005
110,110,"Doug Barron",24,731990,NA,"MoneyLeaders",2005
111,111,"Jonathan Byrd",31,726023,NA,"MoneyLeaders",2005
112,112,"Craig Barlow",26,720362,NA,"MoneyLeaders",2005
113,113,"Rich Beem",26,701242,NA,"MoneyLeaders",2005
114,114,"Rocco Mediate",24,696250,NA,"MoneyLeaders",2005
115,115,"Brian Gay",33,689862,NA,"MoneyLeaders",2005
116,116,"Richard Johnson",16,689364,NA,"MoneyLeaders",2005
117,117,"Hidemichi Tanaka",34,686113,NA,"MoneyLeaders",2005
118,118,"Patrick Sheehan",35,675038,NA,"MoneyLeaders",2005
