"AllAroundRanking_RANKTHISWEEK_2013","AllAroundRanking_RANKLASTWEEK_2013","AllAroundRanking_PLAYERNAME_2013","AllAroundRanking_EVENTS_2013","AllAroundRanking_TOTAL_2013","stat_name","year"
1,1,"Tiger Woods",16,188,"AllAroundRanking",2013
2,2,"Steve Stricker",13,192,"AllAroundRanking",2013
3,3,"Jordan Spieth",23,249,"AllAroundRanking",2013
4,4,"Keegan Bradley",25,277,"AllAroundRanking",2013
5,5,"Henrik Stenson",18,345,"AllAroundRanking",2013
6,6,"Justin Rose",17,350,"AllAroundRanking",2013
7,7,"Kevin Stadler",25,356,"AllAroundRanking",2013
8,8,"Billy Horschel",26,374,"AllAroundRanking",2013
9,9,"Sergio Garcia",17,377,"AllAroundRanking",2013
10,10,"Adam Scott",16,390,"AllAroundRanking",2013
11,11,"Brandt Snedeker",23,396,"AllAroundRanking",2013
12,12,"Charley Hoffman",23,413,"AllAroundRanking",2013
13,13,"Matt Jones",24,418,"AllAroundRanking",2013
14,14,"Jason Day",21,420,"AllAroundRanking",2013
14,14,"Brendon de Jonge",30,420,"AllAroundRanking",2013
16,16,"Chris Kirk",24,427,"AllAroundRanking",2013
17,17,"Webb Simpson",25,428,"AllAroundRanking",2013
18,18,"Phil Mickelson",21,430,"AllAroundRanking",2013
19,19,"Camilo Villegas",23,457,"AllAroundRanking",2013
20,20,"Matt Kuchar",23,460,"AllAroundRanking",2013
21,21,"Rory Sabbatini",27,464,"AllAroundRanking",2013
22,22,"Jimmy Walker",24,465,"AllAroundRanking",2013
23,23,"Graham DeLaet",26,468,"AllAroundRanking",2013
24,24,"Harris English",26,469,"AllAroundRanking",2013
25,25,"Charles Howell III",26,475,"AllAroundRanking",2013
26,26,"Rickie Fowler",22,476,"AllAroundRanking",2013
26,26,"Rory McIlroy",16,476,"AllAroundRanking",2013
28,28,"Charl Schwartzel",19,483,"AllAroundRanking",2013
29,29,"Brad Fritsch",24,500,"AllAroundRanking",2013
30,30,"Dustin Johnson",22,504,"AllAroundRanking",2013
31,31,"Roberto Castro",29,505,"AllAroundRanking",2013
32,32,"Jim Furyk",22,510,"AllAroundRanking",2013
33,33,"Bubba Watson",21,512,"AllAroundRanking",2013
34,34,"Cameron Tringale",24,514,"AllAroundRanking",2013
35,35,"Boo Weekley",27,515,"AllAroundRanking",2013
36,36,"Gary Woodland",26,521,"AllAroundRanking",2013
37,37,"Jason Kokrak",25,523,"AllAroundRanking",2013
38,38,"Hunter Mahan",25,524,"AllAroundRanking",2013
39,39,"Morgan Hoffmann",20,525,"AllAroundRanking",2013
40,40,"Patrick Reed",26,533,"AllAroundRanking",2013
41,41,"Ryan Palmer",22,539,"AllAroundRanking",2013
42,42,"Bill Haas",25,540,"AllAroundRanking",2013
43,43,"Russell Henley",24,543,"AllAroundRanking",2013
44,44,"Matt Every",28,545,"AllAroundRanking",2013
45,45,"Martin Flores",25,546,"AllAroundRanking",2013
46,46,"Kevin Chappell",24,549,"AllAroundRanking",2013
47,47,"Jason Dufner",22,556,"AllAroundRanking",2013
48,48,"Nicholas Thompson",29,560,"AllAroundRanking",2013
49,49,"John Rollins",24,562,"AllAroundRanking",2013
50,50,"Zach Johnson",24,573,"AllAroundRanking",2013
51,51,"Robert Garrigus",22,575,"AllAroundRanking",2013
52,52,"Bryce Molder",24,587,"AllAroundRanking",2013
53,53,"Doug LaBelle II",23,591,"AllAroundRanking",2013
54,54,"Kevin Streelman",25,598,"AllAroundRanking",2013
55,55,"Brian Davis",28,606,"AllAroundRanking",2013
55,55,"Pat Perez",22,606,"AllAroundRanking",2013
57,57,"James Hahn",26,617,"AllAroundRanking",2013
58,58,"Daniel Summerhays",26,624,"AllAroundRanking",2013
59,59,"Bob Estes",18,628,"AllAroundRanking",2013
60,60,"Nick Watney",26,631,"AllAroundRanking",2013
61,61,"Jim Herman",19,634,"AllAroundRanking",2013
62,62,"Chez Reavie",22,640,"AllAroundRanking",2013
63,63,"Luke Donald",17,642,"AllAroundRanking",2013
64,64,"Jerry Kelly",22,646,"AllAroundRanking",2013
65,65,"Greg Chalmers",25,650,"AllAroundRanking",2013
66,66,"David Toms",16,652,"AllAroundRanking",2013
67,67,"DH Lee",22,655,"AllAroundRanking",2013
68,68,"Jason Bohn",23,660,"AllAroundRanking",2013
69,69,"Vaughn Taylor",16,662,"AllAroundRanking",2013
70,70,"John Huh",28,663,"AllAroundRanking",2013
71,71,"Peter Hanson",15,666,"AllAroundRanking",2013
72,72,"Josh Teater",24,669,"AllAroundRanking",2013
73,73,"George McNeill",21,671,"AllAroundRanking",2013
74,74,"Andres Romero",21,672,"AllAroundRanking",2013
75,75,"Charlie Wi",23,676,"AllAroundRanking",2013
76,76,"KJ Choi",24,678,"AllAroundRanking",2013
77,77,"David Lingmerth",23,680,"AllAroundRanking",2013
78,78,"Ryan Moore",22,681,"AllAroundRanking",2013
79,79,"John Merrick",23,685,"AllAroundRanking",2013
80,80,"Scott Stallings",27,686,"AllAroundRanking",2013
81,81,"Stewart Cink",22,687,"AllAroundRanking",2013
82,82,"William McGirt",24,696,"AllAroundRanking",2013
83,83,"Cameron Percy",21,699,"AllAroundRanking",2013
84,84,"Lee Westwood",19,708,"AllAroundRanking",2013
85,85,"Tag Ridings",24,711,"AllAroundRanking",2013
86,86,"James Driscoll",23,713,"AllAroundRanking",2013
87,87,"Richard Lee",24,716,"AllAroundRanking",2013
88,88,"Brendan Steele",26,720,"AllAroundRanking",2013
89,89,"Henrik Norlander",22,725,"AllAroundRanking",2013
90,90,"Ted Potter Jr",22,726,"AllAroundRanking",2013
91,91,"Justin Leonard",24,727,"AllAroundRanking",2013
91,91,"Chris Stroud",26,727,"AllAroundRanking",2013
93,93,"Jeff Overton",24,731,"AllAroundRanking",2013
94,94,"Stuart Appleby",25,733,"AllAroundRanking",2013
95,95,"Sangmoon Bae",26,738,"AllAroundRanking",2013
95,95,"Brandt Jobe",19,738,"AllAroundRanking",2013
97,97,"Ernie Els",19,739,"AllAroundRanking",2013
98,98,"Brian Stuard",25,753,"AllAroundRanking",2013
99,99,"Aaron Baddeley",24,755,"AllAroundRanking",2013
100,100,"Freddie Jacobson",19,757,"AllAroundRanking",2013
101,101,"DJ Trahan",16,758,"AllAroundRanking",2013
102,102,"David Hearn",26,762,"AllAroundRanking",2013
103,103,"Justin Hicks",25,765,"AllAroundRanking",2013
104,104,"Chad Campbell",25,766,"AllAroundRanking",2013
105,105,"Steven Bowditch",22,767,"AllAroundRanking",2013
106,106,"Ian Poulter",16,776,"AllAroundRanking",2013
107,107,"Erik Compton",24,780,"AllAroundRanking",2013
108,108,"Tim Clark",20,786,"AllAroundRanking",2013
109,109,"Shawn Stefani",21,787,"AllAroundRanking",2013
110,110,"Luke List",24,790,"AllAroundRanking",2013
110,110,"Scott Piercy",24,790,"AllAroundRanking",2013
112,112,"Jeff Maggert",21,793,"AllAroundRanking",2013
113,113,"Fabian Gomez",23,798,"AllAroundRanking",2013
114,114,"Ben Crane",21,799,"AllAroundRanking",2013
115,115,"Steve LeBrun",21,800,"AllAroundRanking",2013
116,116,"Greg Owen",24,811,"AllAroundRanking",2013
116,116,"Bo Van Pelt",22,811,"AllAroundRanking",2013
118,118,"Mark Wilson",19,813,"AllAroundRanking",2013
119,119,"Robert Streb",25,814,"AllAroundRanking",2013
120,120,"Martin Kaymer",17,816,"AllAroundRanking",2013
121,121,"Martin Laird",21,817,"AllAroundRanking",2013
122,122,"Kyle Stanley",24,835,"AllAroundRanking",2013
123,123,"Brian Gay",24,839,"AllAroundRanking",2013
124,124,"Scott Brown",21,843,"AllAroundRanking",2013
125,125,"Graeme McDowell",16,847,"AllAroundRanking",2013
126,126,"Nicolas Colsaerts",17,849,"AllAroundRanking",2013
127,127,"Brian Harman",29,853,"AllAroundRanking",2013
128,128,"Carl Pettersson",24,854,"AllAroundRanking",2013
129,129,"Marc Leishman",23,857,"AllAroundRanking",2013
130,130,"Lucas Glover",23,858,"AllAroundRanking",2013
131,131,"Bud Cauley",24,860,"AllAroundRanking",2013
132,132,"Darron Stiles",20,862,"AllAroundRanking",2013
133,133,"JJ Henry",26,863,"AllAroundRanking",2013
134,134,"Ken Duke",28,868,"AllAroundRanking",2013
135,135,"DA Points",28,870,"AllAroundRanking",2013
136,136,"Andrew Svoboda",18,873,"AllAroundRanking",2013
137,137,"Stephen Ames",19,874,"AllAroundRanking",2013
138,138,"Jin Park",20,877,"AllAroundRanking",2013
139,139,"Michael Thompson",22,881,"AllAroundRanking",2013
140,140,"Ben Kohles",25,890,"AllAroundRanking",2013
141,141,"Troy Matteson",24,896,"AllAroundRanking",2013
141,141,"Eric Meierdierks",19,896,"AllAroundRanking",2013
143,143,"Vijay Singh",19,904,"AllAroundRanking",2013
144,144,"Robert Karlsson",18,905,"AllAroundRanking",2013
145,145,"Colt Knost",25,908,"AllAroundRanking",2013
146,146,"David Lynn",22,917,"AllAroundRanking",2013
147,147,"Luke Guthrie",27,918,"AllAroundRanking",2013
148,148,"Scott Gardiner",23,922,"AllAroundRanking",2013
149,149,"Ricky Barnes",26,923,"AllAroundRanking",2013
150,150,"Ryo Ishikawa",23,926,"AllAroundRanking",2013
151,151,"Charlie Beljan",24,933,"AllAroundRanking",2013
152,152,"John Senden",25,938,"AllAroundRanking",2013
153,153,"Dicky Pride",23,940,"AllAroundRanking",2013
154,154,"Tom Gillis",22,942,"AllAroundRanking",2013
155,155,"Angel Cabrera",21,947,"AllAroundRanking",2013
156,156,"Rod Pampling",16,954,"AllAroundRanking",2013
157,157,"Aaron Watkins",19,960,"AllAroundRanking",2013
158,158,"Tommy Gainey",28,973,"AllAroundRanking",2013
159,159,"Jonas Blixt",24,974,"AllAroundRanking",2013
160,160,"Seung Yul Noh",25,975,"AllAroundRanking",2013
161,161,"Scott Langley",27,983,"AllAroundRanking",2013
162,162,"Alistair Presnell",23,987,"AllAroundRanking",2013
