"DrivingPct280300AllDrives_RANKTHISWEEK_2016","DrivingPct280300AllDrives_RANKLASTWEEK_2016","DrivingPct280300AllDrives_PLAYERNAME_2016","DrivingPct280300AllDrives_ROUNDS_2016","DrivingPct280300AllDrives_Pct_2016","DrivingPct280300AllDrives_TOTALDRIVESFOR280300_2016","DrivingPct280300AllDrives_TOTALDRIVESOVERALL_2016","DrivingPct280300AllDrives_RELATIVETOPAR_2016","stat_name","year"
1,1,"Andres Romero",22,41.21,75,182,-0.133,"DrivingPct280300AllDrives",2016
2,5,"DJ Trahan",23,39.61,61,154,-0.164,"DrivingPct280300AllDrives",2016
3,3,"Jamie Donaldson",28,39.46,116,294,-0.017,"DrivingPct280300AllDrives",2016
4,2,"Hideki Matsuyama",40,39.01,142,364,-0.085,"DrivingPct280300AllDrives",2016
5,6,"Andrew Landry",24,38.69,65,168,0,"DrivingPct280300AllDrives",2016
6,4,"Hunter Mahan",43,38.37,165,430,-0.061,"DrivingPct280300AllDrives",2016
7,19,"Roberto Castro",55,38.01,244,642,-0.102,"DrivingPct280300AllDrives",2016
8,9,"Si Woo Kim",63,37.74,274,726,-0.08,"DrivingPct280300AllDrives",2016
9,7,"Kevin Streelman",46,37.73,163,432,-0.117,"DrivingPct280300AllDrives",2016
10,10,"Retief Goosen",37,37.39,166,444,-0.024,"DrivingPct280300AllDrives",2016
10,11,"Johnson Wagner",44,37.39,178,476,-0.112,"DrivingPct280300AllDrives",2016
12,12,"Rhein Gibson",36,37.36,136,364,0.059,"DrivingPct280300AllDrives",2016
13,8,"Ben Martin",48,37.32,209,560,-0.201,"DrivingPct280300AllDrives",2016
14,16,"Pat Perez",28,36.97,88,238,0.068,"DrivingPct280300AllDrives",2016
15,14,"Ernie Els",34,36.92,144,390,0.063,"DrivingPct280300AllDrives",2016
16,17,"Brandt Snedeker",47,36.88,177,480,-0.136,"DrivingPct280300AllDrives",2016
17,22,"Nick Taylor",57,36.64,225,614,-0.031,"DrivingPct280300AllDrives",2016
18,18,"Michael Kim",62,36.52,260,712,-0.123,"DrivingPct280300AllDrives",2016
19,32,"Emiliano Grillo",47,36.44,180,494,-0.111,"DrivingPct280300AllDrives",2016
20,21,"Luke Guthrie",31,36.39,107,294,-0.009,"DrivingPct280300AllDrives",2016
21,15,"Adam Hadwin",53,36.28,238,656,-0.059,"DrivingPct280300AllDrives",2016
22,23,"Kevin Chappell",49,36.15,201,556,-0.055,"DrivingPct280300AllDrives",2016
23,13,"Anirban Lahiri",44,35.99,131,364,-0.046,"DrivingPct280300AllDrives",2016
24,24,"Scott Brown",59,35.97,200,556,-0.065,"DrivingPct280300AllDrives",2016
25,35,"Michael Thompson",46,35.94,156,434,-0.064,"DrivingPct280300AllDrives",2016
26,25,"Keegan Bradley",40,35.9,135,376,0.059,"DrivingPct280300AllDrives",2016
27,27,"Billy Horschel",45,35.71,170,476,-0.106,"DrivingPct280300AllDrives",2016
27,27,"Patrick Reed",53,35.71,160,448,0.006,"DrivingPct280300AllDrives",2016
27,27,"Andy Sullivan",25,35.71,80,224,-0.113,"DrivingPct280300AllDrives",2016
30,31,"Boo Weekley",53,35.66,204,572,-0.01,"DrivingPct280300AllDrives",2016
31,37,"Webb Simpson",34,35.64,139,390,-0.058,"DrivingPct280300AllDrives",2016
32,26,"Derek Fathauer",58,35.5,213,600,-0.075,"DrivingPct280300AllDrives",2016
32,27,"Robert Streb",51,35.5,164,462,-0.024,"DrivingPct280300AllDrives",2016
34,36,"Carl Pettersson",31,35.38,138,390,-0.022,"DrivingPct280300AllDrives",2016
35,52,"Scott Stallings",46,35.28,187,530,-0.059,"DrivingPct280300AllDrives",2016
36,40,"Whee Kim",54,35.26,201,570,0,"DrivingPct280300AllDrives",2016
37,40,"Brice Garnett",29,35.24,74,210,-0.149,"DrivingPct280300AllDrives",2016
38,42,"Cameron Percy",22,35.2,69,196,0.029,"DrivingPct280300AllDrives",2016
39,43,"Jason Dufner",53,35.19,171,486,0.023,"DrivingPct280300AllDrives",2016
39,44,"Steve Marino",40,35.19,133,378,-0.105,"DrivingPct280300AllDrives",2016
41,20,"Kyle Reifers",63,35.18,235,668,-0.081,"DrivingPct280300AllDrives",2016
42,34,"Dawie van der Walt",48,35.08,167,476,-0.006,"DrivingPct280300AllDrives",2016
43,38,"Brian Harman",60,35.06,230,656,-0.052,"DrivingPct280300AllDrives",2016
44,45,"Daniel Summerhays",55,34.95,209,598,-0.11,"DrivingPct280300AllDrives",2016
45,47,"Phil Mickelson",37,34.92,132,378,-0.023,"DrivingPct280300AllDrives",2016
46,53,"Henrik Stenson",30,34.68,86,248,-0.174,"DrivingPct280300AllDrives",2016
47,74,"Danny Lee",53,34.65,175,505,-0.171,"DrivingPct280300AllDrives",2016
48,46,"Jim Herman",55,34.53,183,530,-0.055,"DrivingPct280300AllDrives",2016
49,78,"Paul Casey",39,34.47,111,322,-0.027,"DrivingPct280300AllDrives",2016
49,33,"Chesson Hadley",51,34.47,182,528,-0.071,"DrivingPct280300AllDrives",2016
51,50,"Smylie Kaufman",57,34.26,198,578,-0.035,"DrivingPct280300AllDrives",2016
52,64,"Scott Langley",41,34.1,148,434,-0.054,"DrivingPct280300AllDrives",2016
53,54,"Charl Schwartzel",29,34.06,94,276,-0.16,"DrivingPct280300AllDrives",2016
54,49,"Brendon de Jonge",55,34.01,185,544,-0.103,"DrivingPct280300AllDrives",2016
55,48,"Kelly Kraft",35,33.93,95,280,-0.074,"DrivingPct280300AllDrives",2016
55,55,"Bernd Wiesberger",23,33.93,57,168,-0.088,"DrivingPct280300AllDrives",2016
57,64,"Chris Stroud",52,33.92,194,572,-0.113,"DrivingPct280300AllDrives",2016
58,56,"Zach Johnson",42,33.91,158,466,-0.19,"DrivingPct280300AllDrives",2016
59,58,"Louis Oosthuizen",25,33.82,46,136,0.022,"DrivingPct280300AllDrives",2016
60,61,"JJ Henry",44,33.69,190,564,-0.063,"DrivingPct280300AllDrives",2016
61,59,"Miguel Angel Carballo",24,33.67,66,196,0.03,"DrivingPct280300AllDrives",2016
62,39,"Patton Kizzire",57,33.66,206,612,-0.112,"DrivingPct280300AllDrives",2016
63,64,"Shane Lowry",35,33.57,94,280,0.021,"DrivingPct280300AllDrives",2016
64,57,"Lucas Glover",53,33.54,220,656,-0.127,"DrivingPct280300AllDrives",2016
65,62,"Aaron Baddeley",51,33.53,169,504,-0.142,"DrivingPct280300AllDrives",2016
66,77,"Tyrone Van Aswegen",67,33.47,243,726,-0.037,"DrivingPct280300AllDrives",2016
67,64,"Steve Wheatcroft",53,33.39,195,584,-0.092,"DrivingPct280300AllDrives",2016
68,51,"Blayne Barber",44,33.33,176,528,-0.108,"DrivingPct280300AllDrives",2016
69,69,"Matt Kuchar",46,33.26,143,430,-0.126,"DrivingPct280300AllDrives",2016
70,70,"Charley Hoffman",49,33.2,166,500,-0.078,"DrivingPct280300AllDrives",2016
71,64,"Derek Ernst",36,33.12,102,308,-0.049,"DrivingPct280300AllDrives",2016
72,71,"Shane Bertsch",30,33.08,88,266,-0.159,"DrivingPct280300AllDrives",2016
73,75,"Kevin Kisner",49,33.05,154,466,-0.156,"DrivingPct280300AllDrives",2016
74,63,"Matt Jones",45,32.91,129,392,0.039,"DrivingPct280300AllDrives",2016
75,84,"Alex Cejka",47,32.88,144,438,-0.146,"DrivingPct280300AllDrives",2016
76,72,"Bronson Burgoon",53,32.83,174,530,-0.011,"DrivingPct280300AllDrives",2016
77,60,"Will Wilcox",47,32.66,177,542,-0.113,"DrivingPct280300AllDrives",2016
78,80,"Sergio Garcia",28,32.42,59,182,-0.034,"DrivingPct280300AllDrives",2016
79,76,"Chad Campbell",54,32.33,194,600,-0.088,"DrivingPct280300AllDrives",2016
80,100,"Erik Compton",45,32.29,144,446,-0.083,"DrivingPct280300AllDrives",2016
81,72,"Matt Every",34,32.27,131,406,0.031,"DrivingPct280300AllDrives",2016
82,83,"Chris Kirk",51,32.23,176,546,-0.125,"DrivingPct280300AllDrives",2016
83,99,"Fabian Gomez",49,32.09,190,592,-0.121,"DrivingPct280300AllDrives",2016
84,87,"Chez Reavie",56,32.03,205,640,-0.112,"DrivingPct280300AllDrives",2016
85,88,"Russell Knox",48,32.02,130,406,-0.146,"DrivingPct280300AllDrives",2016
86,81,"Scott Pinckney",53,31.99,174,544,0.017,"DrivingPct280300AllDrives",2016
87,82,"James Hahn",45,31.92,166,520,-0.048,"DrivingPct280300AllDrives",2016
88,89,"Troy Merritt",41,31.86,130,408,-0.146,"DrivingPct280300AllDrives",2016
89,104,"Ryan Moore",40,31.82,119,374,-0.143,"DrivingPct280300AllDrives",2016
90,91,"Hiroshi Iwata",51,31.78,150,472,0.02,"DrivingPct280300AllDrives",2016
91,90,"Harold Varner III",58,31.73,217,684,-0.037,"DrivingPct280300AllDrives",2016
92,94,"William McGirt",54,31.7,213,672,-0.16,"DrivingPct280300AllDrives",2016
93,106,"Shawn Stefani",45,31.69,154,486,-0.065,"DrivingPct280300AllDrives",2016
94,108,"Andres Gonzales",46,31.65,150,474,0,"DrivingPct280300AllDrives",2016
95,92,"Wes Roach",33,31.63,93,294,0.011,"DrivingPct280300AllDrives",2016
96,120,"Jeff Overton",51,31.6,194,614,-0.093,"DrivingPct280300AllDrives",2016
97,126,"Henrik Norlander",41,31.59,115,364,-0.104,"DrivingPct280300AllDrives",2016
