"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2016","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2016","BirdieorBetterPercentageLeftRough_PLAYERNAME_2016","BirdieorBetterPercentageLeftRough_ROUNDS_2016","BirdieorBetterPercentageLeftRough_Pct_2016","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2016","BirdieorBetterPercentageLeftRough_TOTALHOLES_2016","stat_name","year"
1,1,"Brooks Koepka",39,33.33,21,63,"BirdieorBetterPercentageLeftRough",2016
2,4,"Branden Grace",31,30,9,30,"BirdieorBetterPercentageLeftRough",2016
3,2,"Gary Woodland",45,28.57,22,77,"BirdieorBetterPercentageLeftRough",2016
4,5,"Martin Piller",37,27.5,11,40,"BirdieorBetterPercentageLeftRough",2016
5,5,"Smylie Kaufman",57,26.67,20,75,"BirdieorBetterPercentageLeftRough",2016
6,3,"Rory McIlroy",37,26.32,10,38,"BirdieorBetterPercentageLeftRough",2016
7,10,"Andres Romero",22,26.09,6,23,"BirdieorBetterPercentageLeftRough",2016
8,11,"Bubba Watson",30,25.71,9,35,"BirdieorBetterPercentageLeftRough",2016
9,8,"Byeong Hun An",23,25,5,20,"BirdieorBetterPercentageLeftRough",2016
9,13,"Marc Leishman",41,25,9,36,"BirdieorBetterPercentageLeftRough",2016
9,8,"Andrew Loupe",50,25,22,88,"BirdieorBetterPercentageLeftRough",2016
9,13,"Cameron Percy",22,25,5,20,"BirdieorBetterPercentageLeftRough",2016
9,20,"Henrik Stenson",30,25,7,28,"BirdieorBetterPercentageLeftRough",2016
14,17,"Jimmy Walker",43,24.62,16,65,"BirdieorBetterPercentageLeftRough",2016
15,13,"Justin Thomas",53,24.24,16,66,"BirdieorBetterPercentageLeftRough",2016
16,18,"Sergio Garcia",28,24.14,7,29,"BirdieorBetterPercentageLeftRough",2016
17,12,"Hideki Matsuyama",40,24.07,13,54,"BirdieorBetterPercentageLeftRough",2016
18,13,"Tony Finau",49,24.05,19,79,"BirdieorBetterPercentageLeftRough",2016
19,21,"Rory Sabbatini",40,23.91,11,46,"BirdieorBetterPercentageLeftRough",2016
20,22,"Wes Roach",33,23.68,9,38,"BirdieorBetterPercentageLeftRough",2016
21,5,"Francesco Molinari",36,23.53,8,34,"BirdieorBetterPercentageLeftRough",2016
22,19,"Jason Kokrak",52,22.73,20,88,"BirdieorBetterPercentageLeftRough",2016
23,25,"Hudson Swafford",52,22.67,17,75,"BirdieorBetterPercentageLeftRough",2016
24,29,"Vaughn Taylor",30,22.58,7,31,"BirdieorBetterPercentageLeftRough",2016
25,27,"Ryan Palmer",46,22.54,16,71,"BirdieorBetterPercentageLeftRough",2016
26,28,"Ken Duke",26,21.88,7,32,"BirdieorBetterPercentageLeftRough",2016
27,23,"Scott Stallings",46,21.82,12,55,"BirdieorBetterPercentageLeftRough",2016
28,41,"Rob Oppenheim",37,21.57,11,51,"BirdieorBetterPercentageLeftRough",2016
29,26,"Scott Brown",59,21.43,15,70,"BirdieorBetterPercentageLeftRough",2016
30,33,"Will Wilcox",47,21.33,16,75,"BirdieorBetterPercentageLeftRough",2016
31,42,"Johnson Wagner",44,21.31,13,61,"BirdieorBetterPercentageLeftRough",2016
32,121,"David Toms",38,21.21,7,33,"BirdieorBetterPercentageLeftRough",2016
33,34,"Jason Day",36,21.05,8,38,"BirdieorBetterPercentageLeftRough",2016
34,54,"Thomas Aiken",42,20.83,5,24,"BirdieorBetterPercentageLeftRough",2016
35,37,"Seung Yul Noh",54,20.62,20,97,"BirdieorBetterPercentageLeftRough",2016
36,24,"Lucas Glover",53,20.55,15,73,"BirdieorBetterPercentageLeftRough",2016
36,35,"Brian Harman",60,20.55,15,73,"BirdieorBetterPercentageLeftRough",2016
36,38,"Ben Martin",48,20.55,15,73,"BirdieorBetterPercentageLeftRough",2016
39,30,"Paul Casey",39,20.51,8,39,"BirdieorBetterPercentageLeftRough",2016
40,59,"Chad Collins",45,20.31,13,64,"BirdieorBetterPercentageLeftRough",2016
41,38,"Patrick Rodgers",49,20.29,14,69,"BirdieorBetterPercentageLeftRough",2016
42,43,"Jason Dufner",53,20,15,75,"BirdieorBetterPercentageLeftRough",2016
42,43,"Matthew Fitzpatrick",23,20,3,15,"BirdieorBetterPercentageLeftRough",2016
42,43,"Dustin Johnson",37,20,9,45,"BirdieorBetterPercentageLeftRough",2016
42,30,"Kelly Kraft",35,20,7,35,"BirdieorBetterPercentageLeftRough",2016
42,43,"Jordan Spieth",34,20,8,40,"BirdieorBetterPercentageLeftRough",2016
