"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2007","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2007","GoingfortheGreenBirdieorBetter_PLAYERNAME_2007","GoingfortheGreenBirdieorBetter_ROUNDS_2007","GoingfortheGreenBirdieorBetter_Pct_2007","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2007","GoingfortheGreenBirdieorBetter_ATTEMPTS_2007","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2007","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2007","stat_name","year"
1,1,"KJ Choi",87,72.09,93,129,-95,-8,"GoingfortheGreenBirdieorBetter",2007
2,2,"Vaughn Taylor",91,66.14,84,127,-90,1,"GoingfortheGreenBirdieorBetter",2007
3,3,"Matt Kuchar",85,65.93,60,91,-61,-20,"GoingfortheGreenBirdieorBetter",2007
3,3,"Phil Mickelson",73,65.93,89,135,-98,-5,"GoingfortheGreenBirdieorBetter",2007
5,5,"Steve Stricker",81,65.43,53,81,-56,-36,"GoingfortheGreenBirdieorBetter",2007
6,6,"Carl Pettersson",111,64.4,123,191,-131,-12,"GoingfortheGreenBirdieorBetter",2007
7,7,"Aaron Baddeley",83,63.09,94,149,-98,-19,"GoingfortheGreenBirdieorBetter",2007
8,8,"Kevin Na",84,62.96,102,162,-109,-2,"GoingfortheGreenBirdieorBetter",2007
9,9,"Adam Scott",69,62.86,88,140,-92,0,"GoingfortheGreenBirdieorBetter",2007
10,10,"Bob Estes",88,62.75,64,102,-66,-41,"GoingfortheGreenBirdieorBetter",2007
11,11,"Justin Rose",63,62.69,42,67,-44,-4,"GoingfortheGreenBirdieorBetter",2007
12,12,"JJ Henry",86,62.68,89,142,-94,-13,"GoingfortheGreenBirdieorBetter",2007
13,13,"Craig Barlow",52,62.65,52,83,-53,-1,"GoingfortheGreenBirdieorBetter",2007
14,14,"Freddie Jacobson",70,62.62,67,107,-68,-25,"GoingfortheGreenBirdieorBetter",2007
15,15,"Charlie Wi",90,62.59,92,147,-99,-18,"GoingfortheGreenBirdieorBetter",2007
16,16,"Vijay Singh",102,61.75,113,183,-122,-8,"GoingfortheGreenBirdieorBetter",2007
17,17,"Charles Howell III",89,61.59,85,138,-92,-3,"GoingfortheGreenBirdieorBetter",2007
18,18,"Rod Pampling",92,61.11,99,162,-108,-1,"GoingfortheGreenBirdieorBetter",2007
19,19,"Tom Pernice Jr",104,60.99,86,141,-92,-20,"GoingfortheGreenBirdieorBetter",2007
20,20,"Brian Gay",107,60.98,50,82,-52,-54,"GoingfortheGreenBirdieorBetter",2007
21,21,"Scott Gutschewski",67,60.87,84,138,-89,14,"GoingfortheGreenBirdieorBetter",2007
22,22,"Tom Byrum",50,60.78,31,51,-33,-6,"GoingfortheGreenBirdieorBetter",2007
23,23,"Anders Hansen",55,60.71,34,56,-36,3,"GoingfortheGreenBirdieorBetter",2007
24,24,"Brett Wetterich",88,60.61,100,165,-110,14,"GoingfortheGreenBirdieorBetter",2007
25,25,"Hunter Mahan",91,60.43,84,139,-89,-5,"GoingfortheGreenBirdieorBetter",2007
26,26,"Ryuji Imada",104,60.28,85,141,-89,-32,"GoingfortheGreenBirdieorBetter",2007
27,27,"Jason Bohn",57,60.19,62,103,-69,-11,"GoingfortheGreenBirdieorBetter",2007
28,28,"Rory Sabbatini",81,60.16,77,128,-82,-10,"GoingfortheGreenBirdieorBetter",2007
29,29,"Jesper Parnevik",88,60.14,83,138,-85,-6,"GoingfortheGreenBirdieorBetter",2007
30,30,"John Senden",97,60,102,170,-106,-15,"GoingfortheGreenBirdieorBetter",2007
31,31,"Daniel Chopra",106,59.79,113,189,-116,-4,"GoingfortheGreenBirdieorBetter",2007
32,32,"Tim Petrovic",106,59.78,110,184,-115,-13,"GoingfortheGreenBirdieorBetter",2007
33,33,"Darron Stiles",65,59.49,47,79,-54,-8,"GoingfortheGreenBirdieorBetter",2007
34,34,"Todd Hamilton",76,59.21,45,76,-50,4,"GoingfortheGreenBirdieorBetter",2007
35,35,"Luke Donald",69,59.15,42,71,-42,-5,"GoingfortheGreenBirdieorBetter",2007
36,36,"John Mallinger",96,59.06,75,127,-79,-16,"GoingfortheGreenBirdieorBetter",2007
37,37,"John Daly",59,58.96,79,134,-86,11,"GoingfortheGreenBirdieorBetter",2007
38,38,"Bubba Watson",80,58.86,103,175,-110,-2,"GoingfortheGreenBirdieorBetter",2007
39,39,"Nathan Green",103,58.58,99,169,-106,-19,"GoingfortheGreenBirdieorBetter",2007
40,40,"Arron Oberholser",69,58.54,48,82,-48,-16,"GoingfortheGreenBirdieorBetter",2007
41,41,"Paul Stankowski",52,58.51,55,94,-56,5,"GoingfortheGreenBirdieorBetter",2007
42,42,"Ernie Els",59,58.33,63,108,-70,-3,"GoingfortheGreenBirdieorBetter",2007
43,43,"Mark Calcavecchia",93,58.28,88,151,-94,-20,"GoingfortheGreenBirdieorBetter",2007
43,43,"Nick Watney",87,58.28,95,163,-101,1,"GoingfortheGreenBirdieorBetter",2007
45,45,"Joey Sindelar",75,58.06,54,93,-56,-17,"GoingfortheGreenBirdieorBetter",2007
46,46,"Harrison Frazar",88,58.02,94,162,-102,1,"GoingfortheGreenBirdieorBetter",2007
47,47,"Lucas Glover",98,58.01,105,181,-107,-7,"GoingfortheGreenBirdieorBetter",2007
48,48,"Padraig Harrington",64,58,58,100,-59,15,"GoingfortheGreenBirdieorBetter",2007
48,48,"Mark Wilson",87,58,58,100,-62,-13,"GoingfortheGreenBirdieorBetter",2007
48,48,"Tiger Woods",63,58,58,100,-65,-12,"GoingfortheGreenBirdieorBetter",2007
51,51,"Alex Cejka",80,57.93,84,145,-87,-29,"GoingfortheGreenBirdieorBetter",2007
52,52,"Kent Jones",97,57.67,94,163,-102,-26,"GoingfortheGreenBirdieorBetter",2007
53,53,"Brandt Snedeker",105,57.63,68,118,-70,-26,"GoingfortheGreenBirdieorBetter",2007
54,54,"Kevin Sutherland",85,57.53,84,146,-88,-9,"GoingfortheGreenBirdieorBetter",2007
55,55,"Camilo Villegas",82,57.52,88,153,-94,9,"GoingfortheGreenBirdieorBetter",2007
56,56,"Marco Dawson",73,57.5,69,120,-71,4,"GoingfortheGreenBirdieorBetter",2007
57,57,"Shigeki Maruyama",84,57.43,58,101,-63,-15,"GoingfortheGreenBirdieorBetter",2007
58,58,"John Rollins",102,57.4,97,169,-104,-4,"GoingfortheGreenBirdieorBetter",2007
59,59,"Brian Davis",101,57.24,87,152,-92,-12,"GoingfortheGreenBirdieorBetter",2007
60,60,"Bill Haas",93,57.14,120,210,-131,4,"GoingfortheGreenBirdieorBetter",2007
60,60,"Jeff Quinney",95,57.14,80,140,-84,4,"GoingfortheGreenBirdieorBetter",2007
62,62,"Robert Allenby",90,56.97,94,165,-100,0,"GoingfortheGreenBirdieorBetter",2007
63,63,"Billy Andrade",88,56.94,82,144,-85,-8,"GoingfortheGreenBirdieorBetter",2007
64,64,"Troy Matteson",87,56.89,95,167,-100,0,"GoingfortheGreenBirdieorBetter",2007
65,65,"Davis Love III",66,56.88,62,109,-64,8,"GoingfortheGreenBirdieorBetter",2007
66,66,"Kenny Perry",83,56.85,83,146,-86,-14,"GoingfortheGreenBirdieorBetter",2007
67,67,"Bo Van Pelt",104,56.84,108,190,-113,-16,"GoingfortheGreenBirdieorBetter",2007
68,68,"Jarrod Lyle",77,56.78,67,118,-74,-7,"GoingfortheGreenBirdieorBetter",2007
69,69,"Charley Hoffman",97,56.67,102,180,-107,-8,"GoingfortheGreenBirdieorBetter",2007
69,69,"Jose Maria Olazabal",52,56.67,34,60,-35,-12,"GoingfortheGreenBirdieorBetter",2007
71,71,"Anthony Kim",93,56.63,111,196,-115,1,"GoingfortheGreenBirdieorBetter",2007
72,72,"Joe Durant",88,56.62,77,136,-79,-6,"GoingfortheGreenBirdieorBetter",2007
73,73,"Briny Baird",115,56.54,108,191,-113,-27,"GoingfortheGreenBirdieorBetter",2007
74,74,"Tag Ridings",52,56.48,61,108,-66,8,"GoingfortheGreenBirdieorBetter",2007
75,75,"Jerry Kelly",101,56.41,66,117,-71,-15,"GoingfortheGreenBirdieorBetter",2007
76,76,"Billy Mayfair",98,56.29,85,151,-90,-23,"GoingfortheGreenBirdieorBetter",2007
77,77,"Bob Heintz",85,56.19,59,105,-63,-7,"GoingfortheGreenBirdieorBetter",2007
78,78,"Steve Lowery",74,56.12,78,139,-83,-2,"GoingfortheGreenBirdieorBetter",2007
79,79,"Stuart Appleby",74,56.07,60,107,-63,-5,"GoingfortheGreenBirdieorBetter",2007
80,80,"Retief Goosen",50,56.06,37,66,-38,-1,"GoingfortheGreenBirdieorBetter",2007
81,81,"Will Ma Kenzie",100,56.04,102,182,-111,-1,"GoingfortheGreenBirdieorBetter",2007
82,82,"Mike Weir",82,55.97,75,134,-81,5,"GoingfortheGreenBirdieorBetter",2007
83,83,"Doug LaBelle II",104,55.93,66,118,-72,-18,"GoingfortheGreenBirdieorBetter",2007
84,84,"Jason Schultz",63,55.88,57,102,-62,-3,"GoingfortheGreenBirdieorBetter",2007
85,85,"Lee Janzen",66,55.84,43,77,-46,-6,"GoingfortheGreenBirdieorBetter",2007
86,86,"Sergio Garcia",68,55.74,68,122,-74,-8,"GoingfortheGreenBirdieorBetter",2007
87,87,"Tom Lehman",62,55.7,44,79,-46,-5,"GoingfortheGreenBirdieorBetter",2007
88,88,"Jim Furyk",84,55.67,54,97,-56,-30,"GoingfortheGreenBirdieorBetter",2007
88,88,"Steve Marino",106,55.67,113,203,-118,-18,"GoingfortheGreenBirdieorBetter",2007
90,90,"JP Hayes",89,55.63,79,142,-82,-17,"GoingfortheGreenBirdieorBetter",2007
91,91,"Joe Ogilvie",102,55.56,95,171,-103,-8,"GoingfortheGreenBirdieorBetter",2007
91,91,"Chris Tidland",59,55.56,55,99,-64,-4,"GoingfortheGreenBirdieorBetter",2007
93,93,"Rich Beem",89,55.48,86,155,-94,-12,"GoingfortheGreenBirdieorBetter",2007
94,94,"Kirk Triplett",77,55.43,51,92,-57,-18,"GoingfortheGreenBirdieorBetter",2007
95,95,"Rich Barcelo",80,55.37,67,121,-70,-18,"GoingfortheGreenBirdieorBetter",2007
96,96,"Jeff Gove",103,55.32,104,188,-110,-16,"GoingfortheGreenBirdieorBetter",2007
97,97,"Heath Slocum",101,55.2,69,125,-75,-45,"GoingfortheGreenBirdieorBetter",2007
98,98,"Sean OHair",98,55.15,107,194,-119,2,"GoingfortheGreenBirdieorBetter",2007
99,99,"Paul Goydos",60,55.1,27,49,-27,-4,"GoingfortheGreenBirdieorBetter",2007
