"Last15EventsAccuracy_RANKTHISWEEK_2005","Last15EventsAccuracy_RANKLASTWEEK_2005","Last15EventsAccuracy_PLAYERNAME_2005","Last15EventsAccuracy_EVENTS_2005","Last15EventsAccuracy_RATING_2005","stat_name","year"
1,1,"Jim Benepe",1,8.4,"Last15EventsAccuracy",2005
1,1,"Bradley Dredge",1,8.4,"Last15EventsAccuracy",2005
1,1,"John Morse",1,8.4,"Last15EventsAccuracy",2005
4,4,"Scott Hoch",2,8.2,"Last15EventsAccuracy",2005
5,5,"Tommy Armour III",11,8.1,"Last15EventsAccuracy",2005
6,7,"Olin Browne",10,8,"Last15EventsAccuracy",2005
6,5,"Jim Furyk",10,8,"Last15EventsAccuracy",2005
6,7,"Dick Mast",1,8,"Last15EventsAccuracy",2005
6,7,"Loren Roberts",7,8,"Last15EventsAccuracy",2005
6,7,"Darron Stiles",9,8,"Last15EventsAccuracy",2005
11,11,"Colby Beckstrom",1,7.9,"Last15EventsAccuracy",2005
11,11,"Alex Cejka",6,7.9,"Last15EventsAccuracy",2005
11,11,"Joe Durant",8,7.9,"Last15EventsAccuracy",2005
11,11,"Donnie Hammond",1,7.9,"Last15EventsAccuracy",2005
11,11,"Yasuharu Imano",1,7.9,"Last15EventsAccuracy",2005
11,11,"Wayne Levi",2,7.9,"Last15EventsAccuracy",2005
11,11,"Brandt Snedeker",1,7.9,"Last15EventsAccuracy",2005
18,18,"Craig Barlow",7,7.8,"Last15EventsAccuracy",2005
18,18,"Danny Briggs",2,7.8,"Last15EventsAccuracy",2005
18,18,"David Edwards",8,7.8,"Last15EventsAccuracy",2005
18,18,"Fred Funk",8,7.8,"Last15EventsAccuracy",2005
18,18,"Tetsuji Hiratsuka",1,7.8,"Last15EventsAccuracy",2005
18,18,"Blaine McCallister",5,7.8,"Last15EventsAccuracy",2005
18,18,"Kenny Perry",9,7.8,"Last15EventsAccuracy",2005
18,18,"Heath Slocum",12,7.8,"Last15EventsAccuracy",2005
18,18,"Simon Yates",1,7.8,"Last15EventsAccuracy",2005
27,27,"Bart Bryant",10,7.7,"Last15EventsAccuracy",2005
27,27,"Chris Couch",1,7.7,"Last15EventsAccuracy",2005
27,27,"Colin Montgomerie",4,7.7,"Last15EventsAccuracy",2005
27,27,"Henrik Stenson",2,7.7,"Last15EventsAccuracy",2005
27,27,"Omar Uresti",7,7.7,"Last15EventsAccuracy",2005
32,33,"Rich Beem",3,7.6,"Last15EventsAccuracy",2005
32,27,"Luke Donald",8,7.6,"Last15EventsAccuracy",2005
32,33,"Robert Gamez",10,7.6,"Last15EventsAccuracy",2005
32,33,"Charley Hoffman",1,7.6,"Last15EventsAccuracy",2005
32,33,"Jason Knutzon",1,7.6,"Last15EventsAccuracy",2005
32,33,"Spike McRoy",5,7.6,"Last15EventsAccuracy",2005
32,33,"Scott Verplank",10,7.6,"Last15EventsAccuracy",2005
32,33,"Camilo Villegas",1,7.6,"Last15EventsAccuracy",2005
40,40,"Robin Freeman",3,7.5,"Last15EventsAccuracy",2005
40,40,"Trevor Immelman",5,7.5,"Last15EventsAccuracy",2005
40,40,"Jerry Kelly",7,7.5,"Last15EventsAccuracy",2005
40,40,"Joel Kribel",2,7.5,"Last15EventsAccuracy",2005
40,40,"Shigeki Maruyama",9,7.5,"Last15EventsAccuracy",2005
40,40,"Kelly Mitchum",1,7.5,"Last15EventsAccuracy",2005
40,40,"Nick OHern",6,7.5,"Last15EventsAccuracy",2005
40,40,"Joey Sindelar",13,7.5,"Last15EventsAccuracy",2005
40,40,"David Toms",7,7.5,"Last15EventsAccuracy",2005
49,49,"Brian Davis",9,7.4,"Last15EventsAccuracy",2005
49,49,"Sergio Garcia",9,7.4,"Last15EventsAccuracy",2005
49,49,"Tom Gillis",3,7.4,"Last15EventsAccuracy",2005
49,49,"David Hearn",6,7.4,"Last15EventsAccuracy",2005
49,49,"Glen Hnatiuk",4,7.4,"Last15EventsAccuracy",2005
49,49,"Jeff Maggert",7,7.4,"Last15EventsAccuracy",2005
49,49,"Adam Scott",10,7.4,"Last15EventsAccuracy",2005
49,49,"Kevin Streelman",1,7.4,"Last15EventsAccuracy",2005
49,49,"Kirk Triplett",7,7.4,"Last15EventsAccuracy",2005
58,58,"Robert Allenby",7,7.3,"Last15EventsAccuracy",2005
58,58,"Chad Campbell",11,7.3,"Last15EventsAccuracy",2005
58,58,"Fred Couples",4,7.3,"Last15EventsAccuracy",2005
58,58,"Scott Dunlap",2,7.3,"Last15EventsAccuracy",2005
58,58,"Ernie Els",10,7.3,"Last15EventsAccuracy",2005
58,58,"Harrison Frazar",10,7.3,"Last15EventsAccuracy",2005
58,58,"Bill Glasson",5,7.3,"Last15EventsAccuracy",2005
58,58,"Jeff Hart",6,7.3,"Last15EventsAccuracy",2005
58,58,"John Huston",8,7.3,"Last15EventsAccuracy",2005
58,58,"Per Ulrik Johansson",4,7.3,"Last15EventsAccuracy",2005
58,58,"Richard Johnson",8,7.3,"Last15EventsAccuracy",2005
58,58,"Jonathan Kaye",9,7.3,"Last15EventsAccuracy",2005
58,58,"David Peoples",5,7.3,"Last15EventsAccuracy",2005
58,58,"Nick Price",7,7.3,"Last15EventsAccuracy",2005
58,58,"Peter Tomasulo",2,7.3,"Last15EventsAccuracy",2005
58,58,"DJ Trahan",5,7.3,"Last15EventsAccuracy",2005
58,58,"Charles Warren",6,7.3,"Last15EventsAccuracy",2005
75,75,"Woody Austin",11,7.2,"Last15EventsAccuracy",2005
75,75,"Craig Bowden",6,7.2,"Last15EventsAccuracy",2005
75,75,"Mark Calcavecchia",8,7.2,"Last15EventsAccuracy",2005
75,75,"Darren Clarke",9,7.2,"Last15EventsAccuracy",2005
75,75,"Marco Dawson",12,7.2,"Last15EventsAccuracy",2005
75,90,"Chris DiMarco",8,7.2,"Last15EventsAccuracy",2005
75,75,"Paul Goydos",9,7.2,"Last15EventsAccuracy",2005
75,75,"Matt Hendrix",2,7.2,"Last15EventsAccuracy",2005
75,75,"JJ Henry",10,7.2,"Last15EventsAccuracy",2005
75,75,"Rocco Mediate",11,7.2,"Last15EventsAccuracy",2005
75,75,"Arron Oberholser",6,7.2,"Last15EventsAccuracy",2005
75,75,"Justin Rose",10,7.2,"Last15EventsAccuracy",2005
75,75,"Chris Starkjohann",2,7.2,"Last15EventsAccuracy",2005
75,75,"Jay Williamson",10,7.2,"Last15EventsAccuracy",2005
75,75,"Mark Wilson",7,7.2,"Last15EventsAccuracy",2005
75,75,"Casey Wittenberg",3,7.2,"Last15EventsAccuracy",2005
91,90,"Briny Baird",8,7.1,"Last15EventsAccuracy",2005
91,90,"Jason Bohn",10,7.1,"Last15EventsAccuracy",2005
91,90,"Tom Byrum",7,7.1,"Last15EventsAccuracy",2005
91,90,"John Cook",5,7.1,"Last15EventsAccuracy",2005
91,90,"Michael Harris",2,7.1,"Last15EventsAccuracy",2005
91,90,"Dudley Hart",8,7.1,"Last15EventsAccuracy",2005
91,90,"Bradley Hughes",6,7.1,"Last15EventsAccuracy",2005
91,90,"Freddie Jacobson",8,7.1,"Last15EventsAccuracy",2005
91,90,"Brandt Jobe",10,7.1,"Last15EventsAccuracy",2005
91,90,"Justin Leonard",10,7.1,"Last15EventsAccuracy",2005
91,90,"JL Lewis",9,7.1,"Last15EventsAccuracy",2005
91,90,"Frank Lickliter II",8,7.1,"Last15EventsAccuracy",2005
91,90,"Davis Love III",7,7.1,"Last15EventsAccuracy",2005
91,90,"Graeme McDowell",8,7.1,"Last15EventsAccuracy",2005
91,90,"Phillip Price",7,7.1,"Last15EventsAccuracy",2005
