"BogeyAverage_RANKTHISWEEK_2007","BogeyAverage_RANKLASTWEEK_2007","BogeyAverage_PLAYERNAME_2007","BogeyAverage_EVENTS_2007","BogeyAverage_AVERAGEBOGEYSPERROUND_2007","BogeyAverage_TOTALBOGEYS_2007","BogeyAverage_ROUNDSPLAYED_2007","stat_name","year"
1,1,"Tiger Woods",16,2.05,123,60,"BogeyAverage",2007
2,2,"Heath Slocum",28,2.34,236,101,"BogeyAverage",2007
3,3,"Alex Cejka",25,2.38,190,80,"BogeyAverage",2007
4,4,"Stephen Leaney",26,2.39,196,82,"BogeyAverage",2007
4,4,"Phil Mickelson",22,2.39,170,71,"BogeyAverage",2007
4,4,"Steve Stricker",23,2.39,191,80,"BogeyAverage",2007
7,7,"Matt Kuchar",26,2.46,209,85,"BogeyAverage",2007
7,7,"Michael Sim",17,2.46,128,52,"BogeyAverage",2007
9,9,"Jim Furyk",23,2.48,203,82,"BogeyAverage",2007
9,9,"Charlie Wi",27,2.48,223,90,"BogeyAverage",2007
11,11,"Chris Riley",17,2.49,147,59,"BogeyAverage",2007
11,11,"Brandt Snedeker",29,2.49,261,105,"BogeyAverage",2007
13,13,"Jeff Overton",19,2.5,150,60,"BogeyAverage",2007
14,14,"Tommy Armour III",24,2.51,203,81,"BogeyAverage",2007
14,14,"Mark Brooks",18,2.51,133,53,"BogeyAverage",2007
14,14,"Gavin Coles",28,2.51,218,87,"BogeyAverage",2007
14,14,"Ken Duke",31,2.51,281,112,"BogeyAverage",2007
18,18,"Daniel Chopra",34,2.53,268,106,"BogeyAverage",2007
19,19,"KJ Choi",25,2.54,216,85,"BogeyAverage",2007
20,20,"Tim Clark",19,2.55,163,64,"BogeyAverage",2007
20,20,"Lucas Glover",29,2.55,247,97,"BogeyAverage",2007
20,20,"Jesper Parnevik",27,2.55,224,88,"BogeyAverage",2007
23,23,"Jose Coceres",17,2.56,128,50,"BogeyAverage",2007
24,24,"Cameron Beckman",29,2.57,247,96,"BogeyAverage",2007
24,24,"Brian Davis",28,2.57,260,101,"BogeyAverage",2007
24,24,"DJ Trahan",30,2.57,254,99,"BogeyAverage",2007
27,27,"Briny Baird",31,2.59,298,115,"BogeyAverage",2007
27,27,"Brian Gay",32,2.59,277,107,"BogeyAverage",2007
27,27,"Doug LaBelle II",33,2.59,269,104,"BogeyAverage",2007
27,27,"Rory Sabbatini",23,2.59,205,79,"BogeyAverage",2007
27,27,"Bo Van Pelt",30,2.59,269,104,"BogeyAverage",2007
32,32,"Ernie Els",16,2.6,151,58,"BogeyAverage",2007
32,32,"Bob Heintz",27,2.6,221,85,"BogeyAverage",2007
32,32,"Zach Johnson",23,2.6,195,75,"BogeyAverage",2007
35,35,"Stephen Ames",23,2.61,201,77,"BogeyAverage",2007
35,35,"Kevin Na",27,2.61,219,84,"BogeyAverage",2007
37,37,"Sergio Garcia",19,2.62,173,66,"BogeyAverage",2007
37,37,"Craig Lile",24,2.62,202,77,"BogeyAverage",2007
37,37,"Jeff Maggert",26,2.62,207,79,"BogeyAverage",2007
40,40,"Anthony Kim",26,2.63,245,93,"BogeyAverage",2007
40,40,"John Senden",27,2.63,255,97,"BogeyAverage",2007
40,40,"Scott Verplank",23,2.63,213,81,"BogeyAverage",2007
43,43,"Peter Lonard",27,2.64,224,85,"BogeyAverage",2007
44,44,"Nathan Green",29,2.65,273,103,"BogeyAverage",2007
44,44,"Kirk Triplett",25,2.65,204,77,"BogeyAverage",2007
46,46,"Ryan Armour",32,2.66,285,107,"BogeyAverage",2007
46,46,"Woody Austin",27,2.66,253,95,"BogeyAverage",2007
46,46,"Tom Byrum",20,2.66,133,50,"BogeyAverage",2007
46,46,"Dicky Pride",25,2.66,189,71,"BogeyAverage",2007
46,46,"Camilo Villegas",24,2.66,218,82,"BogeyAverage",2007
46,46,"Dean Wilson",28,2.66,245,92,"BogeyAverage",2007
52,52,"Kevin Sutherland",25,2.67,227,85,"BogeyAverage",2007
53,53,"Mathew Goggin",30,2.68,260,97,"BogeyAverage",2007
53,53,"Steve Marino",31,2.68,284,106,"BogeyAverage",2007
55,55,"Nick Watney",26,2.69,234,87,"BogeyAverage",2007
56,56,"Jonathan Byrd",23,2.7,197,73,"BogeyAverage",2007
56,56,"Mark Hensby",25,2.7,219,81,"BogeyAverage",2007
56,56,"Freddie Jacobson",20,2.7,189,70,"BogeyAverage",2007
56,56,"Cliff Kresge",30,2.7,289,107,"BogeyAverage",2007
56,56,"Vijay Singh",27,2.7,270,100,"BogeyAverage",2007
56,56,"Jay Williamson",14,2.7,135,50,"BogeyAverage",2007
62,62,"Craig Bowden",25,2.71,211,78,"BogeyAverage",2007
62,62,"Marco Dawson",23,2.71,198,73,"BogeyAverage",2007
62,62,"Padraig Harrington",18,2.71,168,62,"BogeyAverage",2007
62,62,"Richard Johnson",32,2.71,252,93,"BogeyAverage",2007
62,62,"Billy Mayfair",30,2.71,266,98,"BogeyAverage",2007
62,62,"Duffy Waldorf",23,2.71,187,69,"BogeyAverage",2007
68,68,"Bart Bryant",25,2.72,234,86,"BogeyAverage",2007
68,68,"Justin Leonard",29,2.72,258,95,"BogeyAverage",2007
68,68,"Boo Weekley",29,2.72,275,101,"BogeyAverage",2007
68,68,"Mark Wilson",25,2.72,237,87,"BogeyAverage",2007
72,72,"Stewart Cink",25,2.73,240,88,"BogeyAverage",2007
73,73,"Steve Flesch",31,2.74,274,100,"BogeyAverage",2007
73,73,"Jarrod Lyle",24,2.74,211,77,"BogeyAverage",2007
73,73,"John Mallinger",29,2.74,263,96,"BogeyAverage",2007
73,73,"Bubba Watson",26,2.74,219,80,"BogeyAverage",2007
77,77,"Aaron Baddeley",23,2.75,220,80,"BogeyAverage",2007
77,77,"Jeff Brehaut",21,2.75,162,59,"BogeyAverage",2007
77,77,"Steve Elkington",25,2.75,239,87,"BogeyAverage",2007
77,77,"Tag Ridings",18,2.75,143,52,"BogeyAverage",2007
77,77,"Justin Rose",16,2.75,162,59,"BogeyAverage",2007
82,82,"Glen Day",27,2.76,235,85,"BogeyAverage",2007
82,82,"Paul Gow",26,2.76,193,70,"BogeyAverage",2007
82,82,"Craig Kanada",34,2.76,301,109,"BogeyAverage",2007
82,82,"Sean OHair",28,2.76,270,98,"BogeyAverage",2007
82,82,"Kenny Perry",24,2.76,229,83,"BogeyAverage",2007
87,87,"Hunter Mahan",27,2.78,253,91,"BogeyAverage",2007
87,87,"Arron Oberholser",21,2.78,189,68,"BogeyAverage",2007
87,87,"Chris Tidland",21,2.78,164,59,"BogeyAverage",2007
87,87,"Charles Warren",29,2.78,281,101,"BogeyAverage",2007
91,91,"Jason Gore",27,2.79,240,86,"BogeyAverage",2007
91,91,"Ryuji Imada",32,2.79,290,104,"BogeyAverage",2007
91,91,"Ryan Moore",28,2.79,257,92,"BogeyAverage",2007
91,91,"Rod Pampling",25,2.79,251,90,"BogeyAverage",2007
95,95,"Bill Haas",30,2.8,260,93,"BogeyAverage",2007
95,95,"JP Hayes",28,2.8,249,89,"BogeyAverage",2007
95,95,"Johnson Wagner",33,2.8,272,97,"BogeyAverage",2007
98,98,"George McNeill",30,2.82,268,95,"BogeyAverage",2007
98,98,"Tim Petrovic",32,2.82,299,106,"BogeyAverage",2007
98,98,"Jeff Quinney",29,2.82,268,95,"BogeyAverage",2007
101,101,"Mark Calcavecchia",28,2.83,263,93,"BogeyAverage",2007
101,101,"Pat Perez",27,2.83,238,84,"BogeyAverage",2007
103,103,"Jeff Gove",30,2.85,294,103,"BogeyAverage",2007
103,103,"Tom Lehman",19,2.85,177,62,"BogeyAverage",2007
103,103,"Shaun Micheel",29,2.85,251,88,"BogeyAverage",2007
103,103,"Vaughn Taylor",28,2.85,259,91,"BogeyAverage",2007
107,107,"Frank Lickliter II",30,2.86,272,95,"BogeyAverage",2007
107,107,"Steve Lowery",22,2.86,212,74,"BogeyAverage",2007
107,107,"Ryan Palmer",30,2.86,260,91,"BogeyAverage",2007
110,110,"Joe Ogilvie",31,2.87,293,102,"BogeyAverage",2007
111,111,"Rich Barcelo",26,2.88,230,80,"BogeyAverage",2007
111,111,"Chris Stroud",24,2.88,190,66,"BogeyAverage",2007
111,111,"Bob Tway",32,2.88,297,103,"BogeyAverage",2007
114,114,"Jason Bohn",17,2.89,165,57,"BogeyAverage",2007
114,114,"Tim Herron",27,2.89,283,98,"BogeyAverage",2007
114,114,"Kent Jones",30,2.89,280,97,"BogeyAverage",2007
114,114,"John Merrick",29,2.89,266,92,"BogeyAverage",2007
114,114,"Mike Weir",23,2.89,234,81,"BogeyAverage",2007
119,119,"Joe Durant",28,2.9,252,87,"BogeyAverage",2007
119,119,"Corey Pavin",25,2.9,235,81,"BogeyAverage",2007
119,119,"Carl Pettersson",31,2.9,319,110,"BogeyAverage",2007
122,122,"Eric Axley",36,2.91,311,107,"BogeyAverage",2007
122,122,"Jerry Kelly",28,2.91,294,101,"BogeyAverage",2007
122,122,"Greg Owen",29,2.91,236,81,"BogeyAverage",2007
125,125,"Steve Allan",18,2.92,184,63,"BogeyAverage",2007
125,125,"Michael Allen",22,2.92,216,74,"BogeyAverage",2007
125,125,"Robert Allenby",28,2.92,260,89,"BogeyAverage",2007
125,125,"Craig Barlow",16,2.92,152,52,"BogeyAverage",2007
125,125,"Bob Estes",28,2.92,257,88,"BogeyAverage",2007
125,125,"Will Ma Kenzie",30,2.92,292,100,"BogeyAverage",2007
125,125,"Ted Purdy",33,2.92,298,102,"BogeyAverage",2007
132,132,"Jason Dufner",32,2.93,293,100,"BogeyAverage",2007
132,132,"Robert Gamez",30,2.93,258,88,"BogeyAverage",2007
132,132,"Anders Hansen",17,2.93,161,55,"BogeyAverage",2007
132,132,"Trevor Immelman",21,2.93,199,68,"BogeyAverage",2007
132,132,"Troy Matteson",26,2.93,255,87,"BogeyAverage",2007
137,137,"Robert Garrigus",28,2.94,279,95,"BogeyAverage",2007
137,137,"Charley Hoffman",30,2.94,285,97,"BogeyAverage",2007
137,137,"Shigeki Maruyama",31,2.94,247,84,"BogeyAverage",2007
140,140,"Joey Sindelar",25,2.95,221,75,"BogeyAverage",2007
141,141,"David Toms",22,2.96,228,77,"BogeyAverage",2007
142,142,"Stuart Appleby",24,2.97,217,73,"BogeyAverage",2007
142,142,"Andrew Buckle",26,2.97,229,77,"BogeyAverage",2007
142,142,"Luke Donald",20,2.97,199,67,"BogeyAverage",2007
145,145,"Brian Bateman",18,2.98,164,55,"BogeyAverage",2007
145,145,"Michael Boyd",21,2.98,182,61,"BogeyAverage",2007
145,145,"John Rollins",29,2.98,301,101,"BogeyAverage",2007
145,145,"Kevin Stadler",31,2.98,283,95,"BogeyAverage",2007
145,145,"Henrik Stenson",15,2.98,137,46,"BogeyAverage",2007
150,150,"Daisuke Maruyama",28,2.99,257,86,"BogeyAverage",2007
151,151,"Tripp Isenhour",32,3,258,86,"BogeyAverage",2007
152,152,"Chris Couch",30,3.01,229,76,"BogeyAverage",2007
152,152,"Geoff Ogilvy",22,3.01,235,78,"BogeyAverage",2007
154,154,"Mathias Gronberg",31,3.02,287,95,"BogeyAverage",2007
154,154,"Charles Howell III",26,3.02,260,86,"BogeyAverage",2007
154,154,"Parker McLachlin",28,3.02,251,83,"BogeyAverage",2007
157,157,"Rocco Mediate",22,3.03,218,72,"BogeyAverage",2007
157,157,"Tom Pernice Jr",31,3.03,315,104,"BogeyAverage",2007
159,159,"David Branshaw",30,3.05,253,83,"BogeyAverage",2007
160,160,"Matt Hendrix",24,3.06,193,63,"BogeyAverage",2007
160,160,"Jason Schultz",22,3.06,193,63,"BogeyAverage",2007
160,160,"Adam Scott",19,3.06,208,68,"BogeyAverage",2007
163,163,"Lee Janzen",24,3.08,203,66,"BogeyAverage",2007
164,164,"Fred Funk",22,3.09,201,65,"BogeyAverage",2007
165,165,"JB Holmes",24,3.1,220,71,"BogeyAverage",2007
165,165,"Ian Poulter",18,3.1,186,60,"BogeyAverage",2007
167,167,"JJ Henry",26,3.12,265,85,"BogeyAverage",2007
168,168,"Rich Beem",29,3.13,279,89,"BogeyAverage",2007
169,169,"Harrison Frazar",32,3.14,276,88,"BogeyAverage",2007
169,169,"Jaco Van Zyl",21,3.14,160,51,"BogeyAverage",2007
171,171,"Steve Wheatcroft",25,3.15,230,73,"BogeyAverage",2007
172,172,"Brendon de Jonge",26,3.16,240,76,"BogeyAverage",2007
172,172,"Michael Putnam",29,3.16,303,96,"BogeyAverage",2007
174,174,"Paul Goydos",19,3.17,187,59,"BogeyAverage",2007
174,174,"Jim Rutledge",23,3.17,187,59,"BogeyAverage",2007
176,176,"Nick OHern",22,3.18,216,68,"BogeyAverage",2007
177,177,"Tom Johnson",27,3.19,236,74,"BogeyAverage",2007
178,178,"Bryce Molder",21,3.2,179,56,"BogeyAverage",2007
179,179,"Chris DiMarco",24,3.21,247,77,"BogeyAverage",2007
180,180,"Paul Stankowski",18,3.23,168,52,"BogeyAverage",2007
181,181,"DJ Brigman",22,3.24,217,67,"BogeyAverage",2007
181,181,"Bubba Dickerson",19,3.24,165,51,"BogeyAverage",2007
183,183,"Billy Andrade",27,3.27,288,88,"BogeyAverage",2007
183,183,"Chad Campbell",28,3.27,294,90,"BogeyAverage",2007
183,183,"Kyle Reifers",27,3.27,232,71,"BogeyAverage",2007
186,186,"Scott Gutschewski",22,3.28,220,67,"BogeyAverage",2007
187,187,"Darron Stiles",24,3.32,216,65,"BogeyAverage",2007
188,188,"John Daly",24,3.34,197,59,"BogeyAverage",2007
188,188,"Davis Love III",21,3.34,217,65,"BogeyAverage",2007
190,190,"Retief Goosen",14,3.35,161,48,"BogeyAverage",2007
191,191,"Brett Quigley",25,3.4,265,78,"BogeyAverage",2007
192,192,"Brett Wetterich",28,3.41,297,87,"BogeyAverage",2007
