"TotalDrivingEfficiency_RANKTHISWEEK_2010","TotalDrivingEfficiency_RANKLASTWEEK_2010","TotalDrivingEfficiency_PLAYERNAME_2010","TotalDrivingEfficiency_ROUNDS_2010","TotalDrivingEfficiency_COMBINEDRANK_2010","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2010","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2010","stat_name","year"
1,1,"Mark Wilson",87,3,2,1,"TotalDrivingEfficiency",2010
2,2,"John Daly",63,10,1,9,"TotalDrivingEfficiency",2010
3,3,"Aron Price",70,16,13,3,"TotalDrivingEfficiency",2010
4,4,"Heath Slocum",97,17,11,6,"TotalDrivingEfficiency",2010
4,4,"David Toms",86,17,15,2,"TotalDrivingEfficiency",2010
6,6,"John Merrick",109,18,8,10,"TotalDrivingEfficiency",2010
7,7,"Rory McIlroy",54,25,15,10,"TotalDrivingEfficiency",2010
8,8,"Zach Johnson",93,28,13,15,"TotalDrivingEfficiency",2010
9,9,"Bo Van Pelt",104,29,24,5,"TotalDrivingEfficiency",2010
10,10,"John Mallinger",78,36,19,17,"TotalDrivingEfficiency",2010
11,11,"Kenny Perry",69,37,29,8,"TotalDrivingEfficiency",2010
12,12,"Joe Ogilvie",99,41,17,24,"TotalDrivingEfficiency",2010
13,13,"Jeff Maggert",76,42,38,4,"TotalDrivingEfficiency",2010
14,14,"Billy Mayfair",78,44,22,22,"TotalDrivingEfficiency",2010
14,14,"Vijay Singh",75,44,20,24,"TotalDrivingEfficiency",2010
16,16,"Troy Matteson",84,49,10,39,"TotalDrivingEfficiency",2010
17,17,"JB Holmes",100,53,5,48,"TotalDrivingEfficiency",2010
17,17,"Andres Romero",73,53,3,50,"TotalDrivingEfficiency",2010
19,19,"Paul Casey",64,56,27,29,"TotalDrivingEfficiency",2010
20,20,"JP Hayes",79,57,44,13,"TotalDrivingEfficiency",2010
20,20,"DJ Trahan",92,57,37,20,"TotalDrivingEfficiency",2010
22,22,"Rory Sabbatini",79,61,35,26,"TotalDrivingEfficiency",2010
22,22,"Vaughn Taylor",87,61,24,37,"TotalDrivingEfficiency",2010
24,24,"Ben Crane",85,62,23,39,"TotalDrivingEfficiency",2010
25,25,"John Rollins",81,63,41,22,"TotalDrivingEfficiency",2010
26,26,"Mathias Gronberg",61,64,33,31,"TotalDrivingEfficiency",2010
27,27,"Brian Stuard",81,70,55,15,"TotalDrivingEfficiency",2010
28,28,"Brandt Snedeker",89,78,32,46,"TotalDrivingEfficiency",2010
29,29,"Greg Kraft",52,80,47,33,"TotalDrivingEfficiency",2010
29,29,"Jerod Turner",54,80,67,13,"TotalDrivingEfficiency",2010
31,31,"Ryan Palmer",84,83,4,79,"TotalDrivingEfficiency",2010
32,32,"Mark Calcavecchia",50,85,24,61,"TotalDrivingEfficiency",2010
33,33,"Jerry Kelly",99,86,76,10,"TotalDrivingEfficiency",2010
33,33,"Roger Tambellini",77,86,39,47,"TotalDrivingEfficiency",2010
35,35,"Carl Pettersson",99,88,70,18,"TotalDrivingEfficiency",2010
35,35,"Roland Thatcher",72,88,35,53,"TotalDrivingEfficiency",2010
37,37,"Kris Blanks",91,89,55,34,"TotalDrivingEfficiency",2010
38,38,"Tim Herron",79,90,48,42,"TotalDrivingEfficiency",2010
39,39,"Dustin Johnson",83,91,17,74,"TotalDrivingEfficiency",2010
39,39,"Kevin Sutherland",86,91,30,61,"TotalDrivingEfficiency",2010
41,41,"Brian Davis",101,94,55,39,"TotalDrivingEfficiency",2010
41,41,"Jeff Gove",57,94,68,26,"TotalDrivingEfficiency",2010
43,43,"Derek Lamely",81,95,8,87,"TotalDrivingEfficiency",2010
44,44,"Ted Purdy",86,96,11,85,"TotalDrivingEfficiency",2010
45,45,"Padraig Harrington",57,100,21,79,"TotalDrivingEfficiency",2010
46,46,"Steve Stricker",73,104,44,60,"TotalDrivingEfficiency",2010
47,47,"Jason Day",82,110,54,56,"TotalDrivingEfficiency",2010
48,48,"Scott Piercy",88,111,6,105,"TotalDrivingEfficiency",2010
49,49,"Paul Stankowski",62,112,33,79,"TotalDrivingEfficiency",2010
50,50,"Michael Connell",89,116,59,57,"TotalDrivingEfficiency",2010
51,51,"Will Ma Kenzie",72,120,30,90,"TotalDrivingEfficiency",2010
52,52,"Rich Barcelo",70,121,64,57,"TotalDrivingEfficiency",2010
52,52,"Angel Cabrera",64,121,71,50,"TotalDrivingEfficiency",2010
54,54,"Josh Teater",101,122,44,78,"TotalDrivingEfficiency",2010
55,55,"Robert Allenby",76,126,84,42,"TotalDrivingEfficiency",2010
56,56,"Stewart Cink",84,129,50,79,"TotalDrivingEfficiency",2010
56,56,"Chris DiMarco",88,129,50,79,"TotalDrivingEfficiency",2010
58,58,"Jarrod Lyle",54,131,96,35,"TotalDrivingEfficiency",2010
58,58,"YE Yang",72,131,103,28,"TotalDrivingEfficiency",2010
60,60,"Cliff Kresge",50,132,126,6,"TotalDrivingEfficiency",2010
61,61,"Chris Stroud",90,133,80,53,"TotalDrivingEfficiency",2010
62,62,"Martin Laird",91,135,86,49,"TotalDrivingEfficiency",2010
63,63,"Cameron Percy",73,136,41,95,"TotalDrivingEfficiency",2010
64,64,"Bill Lunde",79,138,59,79,"TotalDrivingEfficiency",2010
64,64,"Hunter Mahan",85,138,96,42,"TotalDrivingEfficiency",2010
66,66,"Ryan Moore",80,139,86,53,"TotalDrivingEfficiency",2010
67,67,"Tim Clark",88,143,123,20,"TotalDrivingEfficiency",2010
68,68,"Steve Wheatcroft",74,148,129,19,"TotalDrivingEfficiency",2010
69,69,"Geoff Ogilvy",62,149,50,99,"TotalDrivingEfficiency",2010
70,70,"Chris Tidland",77,150,89,61,"TotalDrivingEfficiency",2010
71,71,"KJ Choi",82,155,119,36,"TotalDrivingEfficiency",2010
71,71,"Rickie Fowler",98,155,43,112,"TotalDrivingEfficiency",2010
71,71,"Webb Simpson",98,155,94,61,"TotalDrivingEfficiency",2010
74,74,"Brett Wetterich",54,156,118,38,"TotalDrivingEfficiency",2010
75,75,"Rocco Mediate",71,159,74,85,"TotalDrivingEfficiency",2010
76,76,"David Lutterus",69,163,89,74,"TotalDrivingEfficiency",2010
76,76,"Steve Marino",81,163,27,136,"TotalDrivingEfficiency",2010
78,78,"Ernie Els",72,164,103,61,"TotalDrivingEfficiency",2010
78,78,"Phil Mickelson",76,164,7,157,"TotalDrivingEfficiency",2010
80,80,"Spencer Levin",110,165,96,69,"TotalDrivingEfficiency",2010
80,80,"Jay Williamson",76,165,136,29,"TotalDrivingEfficiency",2010
82,82,"Davis Love III",79,167,40,127,"TotalDrivingEfficiency",2010
83,83,"Boo Weekley",88,171,110,61,"TotalDrivingEfficiency",2010
84,84,"Chris Wilson",65,172,48,124,"TotalDrivingEfficiency",2010
85,85,"Alex Cejka",81,173,63,110,"TotalDrivingEfficiency",2010
86,86,"Craig Bowden",56,175,107,68,"TotalDrivingEfficiency",2010
87,87,"Jason Bohn",84,176,71,105,"TotalDrivingEfficiency",2010
88,88,"Nicholas Thompson",88,177,55,122,"TotalDrivingEfficiency",2010
89,89,"Justin Bolli",55,179,91,88,"TotalDrivingEfficiency",2010
90,90,"Jeff Overton",89,181,71,110,"TotalDrivingEfficiency",2010
90,90,"Jeff Quinney",91,181,150,31,"TotalDrivingEfficiency",2010
92,92,"Paul Goydos",78,184,142,42,"TotalDrivingEfficiency",2010
93,93,"Henrik Bjornstad",72,190,114,76,"TotalDrivingEfficiency",2010
93,93,"Jonathan Byrd",85,190,68,122,"TotalDrivingEfficiency",2010
93,93,"Camilo Villegas",78,190,114,76,"TotalDrivingEfficiency",2010
96,96,"Brenden Pappas",66,191,79,112,"TotalDrivingEfficiency",2010
97,97,"Justin Rose",78,192,91,101,"TotalDrivingEfficiency",2010
98,98,"Mathew Goggin",85,193,76,117,"TotalDrivingEfficiency",2010
99,99,"Retief Goosen",75,195,100,95,"TotalDrivingEfficiency",2010
99,99,"Kevin Johnson",62,195,100,95,"TotalDrivingEfficiency",2010
101,101,"Alex Prugh",88,196,82,114,"TotalDrivingEfficiency",2010
102,102,"Lucas Glover",75,197,147,50,"TotalDrivingEfficiency",2010
102,102,"Kevin Stadler",86,197,64,133,"TotalDrivingEfficiency",2010
104,104,"Matt Kuchar",97,200,131,69,"TotalDrivingEfficiency",2010
105,105,"Blake Adams",84,203,110,93,"TotalDrivingEfficiency",2010
106,106,"Martin Flores",75,204,103,101,"TotalDrivingEfficiency",2010
107,107,"George McNeill",79,207,80,127,"TotalDrivingEfficiency",2010
108,108,"Jim Furyk",76,208,149,59,"TotalDrivingEfficiency",2010
109,109,"Steve Lowery",67,209,100,109,"TotalDrivingEfficiency",2010
110,110,"Marc Leishman",87,210,76,134,"TotalDrivingEfficiency",2010
111,111,"Jason Dufner",87,211,142,69,"TotalDrivingEfficiency",2010
111,111,"Lee Janzen",77,211,107,104,"TotalDrivingEfficiency",2010
113,113,"Graham DeLaet",88,212,64,148,"TotalDrivingEfficiency",2010
114,114,"Brett Quigley",96,213,50,163,"TotalDrivingEfficiency",2010
115,115,"Omar Uresti",74,214,119,95,"TotalDrivingEfficiency",2010
115,115,"Garrett Willis",82,214,114,100,"TotalDrivingEfficiency",2010
117,117,"Ben Curtis",78,216,86,130,"TotalDrivingEfficiency",2010
118,118,"Brian Gay",101,219,150,69,"TotalDrivingEfficiency",2010
119,119,"Brendon de Jonge",114,228,113,115,"TotalDrivingEfficiency",2010
119,119,"Robert Garrigus",71,228,82,146,"TotalDrivingEfficiency",2010
119,119,"Garth Mulroy",53,228,62,166,"TotalDrivingEfficiency",2010
122,122,"Cameron Beckman",68,231,128,103,"TotalDrivingEfficiency",2010
