"PresidentsCupInternational_RANKTHISWEEK_2009","PresidentsCupInternational_RANKLASTWEEK_2009","PresidentsCupInternational_PLAYERNAME_2009","PresidentsCupInternational_EVENTS_2009","PresidentsCupInternational_AVGPOINTS_2009","PresidentsCupInternational_TOTALPOINTS_2009","PresidentsCupInternational_POINTSLOST_2009","PresidentsCupInternational_POINTSGAINED_2009","stat_name","year"
1,1,"Geoff Ogilvy",47,5.49,257.85,-135.62,180.33,"PresidentsCupInternational",2009
2,2,"Vijay Singh",50,4.8,239.89,-190.52,64.9,"PresidentsCupInternational",2009
3,3,"Camilo Villegas",50,4.42,220.95,-120.87,97.07,"PresidentsCupInternational",2009
4,4,"Retief Goosen",57,4.13,235.29,-81.32,184.86,"PresidentsCupInternational",2009
5,5,"Ernie Els",54,3.73,201.68,-159.53,103.93,"PresidentsCupInternational",2009
6,6,"Angel Cabrera",54,3.38,182.51,-94.96,151.89,"PresidentsCupInternational",2009
7,7,"Mike Weir",50,3.33,166.47,-95.98,91.64,"PresidentsCupInternational",2009
8,8,"Robert Allenby",60,3.19,191.25,-95.01,99.55,"PresidentsCupInternational",2009
9,9,"YE Yang",60,3.05,183.03,-17.96,182.45,"PresidentsCupInternational",2009
10,10,"Tim Clark",57,3,171.26,-84.1,99.79,"PresidentsCupInternational",2009
11,11,"Rory Sabbatini",54,2.62,141.27,-110.53,102.72,"PresidentsCupInternational",2009
12,12,"Jeev Milkha Singh",68,2.51,170.76,-91.74,58.58,"PresidentsCupInternational",2009
13,13,"Shingo Katayama",53,2.4,127.43,-79.49,50.07,"PresidentsCupInternational",2009
14,14,"Adam Scott",47,2.34,109.84,-111.69,50.38,"PresidentsCupInternational",2009
15,15,"Mathew Goggin",57,2.31,131.64,-56.89,63.03,"PresidentsCupInternational",2009
16,16,"Thongchai Jaidee",58,2.27,131.77,-45.45,86.55,"PresidentsCupInternational",2009
17,17,"Stephen Ames",46,2.25,103.45,-74.33,50.69,"PresidentsCupInternational",2009
18,18,"KJ Choi",51,2.13,108.81,-138.53,48.84,"PresidentsCupInternational",2009
19,19,"Trevor Immelman",48,2.1,101.01,-97.53,18.31,"PresidentsCupInternational",2009
20,20,"Ryo Ishikawa",46,2,91.77,-29.22,38.09,"PresidentsCupInternational",2009
21,21,"Brendan Jones",45,1.99,89.5,-52.83,40.83,"PresidentsCupInternational",2009
22,22,"Charl Schwartzel",56,1.89,105.91,-55.5,54.09,"PresidentsCupInternational",2009
23,23,"Prayad Marksaeng",64,1.88,120.52,-71.58,47.97,"PresidentsCupInternational",2009
24,24,"Michael Sim",40,1.82,72.93,-16.1,65.96,"PresidentsCupInternational",2009
25,25,"Andres Romero",53,1.82,96.54,-92.3,39.82,"PresidentsCupInternational",2009
26,26,"Louis Oosthuizen",52,1.8,93.43,-48.97,80.97,"PresidentsCupInternational",2009
27,27,"Hiroyuki Fujita",46,1.76,81.13,-40.07,45.57,"PresidentsCupInternational",2009
28,28,"Richard Sterne",51,1.75,89.31,-61.57,22.7,"PresidentsCupInternational",2009
29,29,"Rod Pampling",59,1.74,102.66,-69.85,42.79,"PresidentsCupInternational",2009
30,30,"Aaron Baddeley",50,1.72,85.88,-88.6,44.02,"PresidentsCupInternational",2009
31,31,"John Senden",63,1.66,104.89,-56.17,75.47,"PresidentsCupInternational",2009
32,32,"David Smail",52,1.65,85.59,-40.39,46.05,"PresidentsCupInternational",2009
33,33,"Stuart Appleby",57,1.59,90.86,-83.71,25.32,"PresidentsCupInternational",2009
34,34,"Richard Green",45,1.57,70.46,-52.62,31.9,"PresidentsCupInternational",2009
35,35,"Ryuji Imada",56,1.55,86.77,-64.67,36.62,"PresidentsCupInternational",2009
36,36,"Charlie Wi",59,1.41,83.46,-41.91,48.5,"PresidentsCupInternational",2009
37,37,"Wen Tang Lin",40,1.4,55.96,-39.89,2.05,"PresidentsCupInternational",2009
38,38,"Thomas Aiken",50,1.37,68.75,-11.38,60.46,"PresidentsCupInternational",2009
39,39,"Danny Lee",40,1.35,53.84,-8.49,54.1,"PresidentsCupInternational",2009
40,40,"Azuma Yano",51,1.3,66.09,-37.4,11.12,"PresidentsCupInternational",2009
41,41,"Scott Strange",54,1.29,69.85,-38.76,34.66,"PresidentsCupInternational",2009
42,42,"Nick OHern",55,1.28,70.44,-51.17,38.85,"PresidentsCupInternational",2009
43,43,"James Kingston",53,1.27,67.54,-51.69,18.95,"PresidentsCupInternational",2009
44,44,"Kenichi Kuboya",46,1.26,57.99,-19.35,28.64,"PresidentsCupInternational",2009
45,45,"Tano Goya",44,1.22,53.84,-17.76,34.7,"PresidentsCupInternational",2009
46,46,"Jason Day",47,1.22,57.37,-26.06,45.98,"PresidentsCupInternational",2009
47,47,"Koumei Oda",47,1.14,53.56,-27.91,25.25,"PresidentsCupInternational",2009
48,48,"Taichi Teshima",41,1.12,45.77,-24.91,15.47,"PresidentsCupInternational",2009
49,49,"Nathan Green",66,1.12,73.61,-39.77,51.88,"PresidentsCupInternational",2009
50,50,"Hideto Tanihara",48,1.1,52.76,-46.85,11.3,"PresidentsCupInternational",2009
51,51,"Yuta Ikeda",40,1.07,42.88,-6.98,32,"PresidentsCupInternational",2009
52,52,"Shintaro Kai",43,1.06,45.42,-25.02,4.59,"PresidentsCupInternational",2009
53,53,"Tomohiro Kondo",44,1.05,46,-30.97,21.56,"PresidentsCupInternational",2009
