"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2012","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2012","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2012","AveragePuttingDistanceAll3Plusputts_ROUNDS_2012","AveragePuttingDistanceAll3Plusputts_AVG_2012","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2012","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2012","stat_name","year"
1,1,"Tommy Biershenk",74,NA,85.5,1,"AveragePuttingDistanceAll3Plusputts",2012
2,2,"Rocco Mediate",70,NA,74.417,1,"AveragePuttingDistanceAll3Plusputts",2012
3,3,"Brendan Steele",77,NA,134.583,2,"AveragePuttingDistanceAll3Plusputts",2012
4,4,"JJ Killeen",101,NA,65.917,1,"AveragePuttingDistanceAll3Plusputts",2012
5,5,"Hunter Mahan",88,NA,65.333,1,"AveragePuttingDistanceAll3Plusputts",2012
6,6,"Hunter Haas",69,NA,122.333,2,"AveragePuttingDistanceAll3Plusputts",2012
7,7,"Mark Anderson",75,NA,60.833,1,"AveragePuttingDistanceAll3Plusputts",2012
8,8,"Justin Rose",69,NA,60.417,1,"AveragePuttingDistanceAll3Plusputts",2012
9,9,"Kris Blanks",65,NA,60,1,"AveragePuttingDistanceAll3Plusputts",2012
10,10,"Harrison Frazar",56,NA,59.583,1,"AveragePuttingDistanceAll3Plusputts",2012
11,11,"JB Holmes",90,NA,118.583,2,"AveragePuttingDistanceAll3Plusputts",2012
12,12,"John Mallinger",74,NA,56.417,1,"AveragePuttingDistanceAll3Plusputts",2012
13,13,"Billy Mayfair",90,NA,55.333,1,"AveragePuttingDistanceAll3Plusputts",2012
14,14,"Robert Karlsson",54,NA,110.25,2,"AveragePuttingDistanceAll3Plusputts",2012
15,15,"Webb Simpson",77,NA,54.5,1,"AveragePuttingDistanceAll3Plusputts",2012
16,16,"Bubba Watson",68,NA,52.333,1,"AveragePuttingDistanceAll3Plusputts",2012
17,17,"Kevin Chappell",91,NA,101.75,2,"AveragePuttingDistanceAll3Plusputts",2012
18,18,"Stephen Ames",54,NA,101.667,2,"AveragePuttingDistanceAll3Plusputts",2012
19,19,"Brendon de Jonge",115,NA,50,1,"AveragePuttingDistanceAll3Plusputts",2012
20,20,"Tommy Gainey",98,NA,96.75,2,"AveragePuttingDistanceAll3Plusputts",2012
21,21,"Bob Estes",78,NA,46.417,1,"AveragePuttingDistanceAll3Plusputts",2012
22,22,"David Mathis",83,NA,90.083,2,"AveragePuttingDistanceAll3Plusputts",2012
23,23,"Graeme McDowell",55,NA,44.917,1,"AveragePuttingDistanceAll3Plusputts",2012
24,24,"Michael Thompson",80,NA,177.583,4,"AveragePuttingDistanceAll3Plusputts",2012
25,25,"Sung Kang",75,NA,131.5,3,"AveragePuttingDistanceAll3Plusputts",2012
26,26,"Sangmoon Bae",81,NA,43.417,1,"AveragePuttingDistanceAll3Plusputts",2012
27,27,"Jeff Maggert",83,NA,42.583,1,"AveragePuttingDistanceAll3Plusputts",2012
28,28,"Vijay Singh",99,NA,42.083,1,"AveragePuttingDistanceAll3Plusputts",2012
29,29,"Steve Wheatcroft",56,NA,41.5,1,"AveragePuttingDistanceAll3Plusputts",2012
30,30,"Russell Knox",72,NA,41,1,"AveragePuttingDistanceAll3Plusputts",2012
31,31,"Sean OHair",84,NA,81.5,2,"AveragePuttingDistanceAll3Plusputts",2012
32,32,"Charlie Wi",86,NA,80.25,2,"AveragePuttingDistanceAll3Plusputts",2012
33,33,"Ken Duke",104,NA,40.083,1,"AveragePuttingDistanceAll3Plusputts",2012
34,34,"Nick OHern",78,NA,38.583,1,"AveragePuttingDistanceAll3Plusputts",2012
35,35,"Cameron Beckman",81,NA,74,2,"AveragePuttingDistanceAll3Plusputts",2012
36,36,"Tom Pernice Jr",62,NA,70.333,2,"AveragePuttingDistanceAll3Plusputts",2012
37,37,"Garth Mulroy",59,NA,35.083,1,"AveragePuttingDistanceAll3Plusputts",2012
38,38,"Rickie Fowler",84,NA,34.833,1,"AveragePuttingDistanceAll3Plusputts",2012
39,39,"Pat Perez",81,NA,69.083,2,"AveragePuttingDistanceAll3Plusputts",2012
40,40,"Bud Cauley",99,NA,33.833,1,"AveragePuttingDistanceAll3Plusputts",2012
40,40,"Kevin Na",80,NA,33.833,1,"AveragePuttingDistanceAll3Plusputts",2012
42,42,"Boo Weekley",74,NA,32.833,1,"AveragePuttingDistanceAll3Plusputts",2012
43,43,"William McGirt",96,NA,32,1,"AveragePuttingDistanceAll3Plusputts",2012
43,43,"Ian Poulter",57,NA,64,2,"AveragePuttingDistanceAll3Plusputts",2012
45,45,"DA Points",88,NA,31.833,1,"AveragePuttingDistanceAll3Plusputts",2012
45,45,"Andres Romero",68,NA,95.5,3,"AveragePuttingDistanceAll3Plusputts",2012
47,47,"Marco Dawson",60,NA,30.583,1,"AveragePuttingDistanceAll3Plusputts",2012
48,48,"Bill Lunde",83,NA,29.917,1,"AveragePuttingDistanceAll3Plusputts",2012
49,49,"Chris Stroud",86,NA,29.583,1,"AveragePuttingDistanceAll3Plusputts",2012
50,50,"Mark Wilson",84,NA,28.417,1,"AveragePuttingDistanceAll3Plusputts",2012
51,51,"Robert Garrigus",89,NA,56.083,2,"AveragePuttingDistanceAll3Plusputts",2012
52,52,"Scott Dunlap",57,NA,81.583,3,"AveragePuttingDistanceAll3Plusputts",2012
53,53,"Brian Gay",91,NA,26.75,1,"AveragePuttingDistanceAll3Plusputts",2012
54,54,"Nick Watney",97,NA,26,1,"AveragePuttingDistanceAll3Plusputts",2012
55,55,"Chez Reavie",83,NA,25.833,1,"AveragePuttingDistanceAll3Plusputts",2012
56,56,"Billy Horschel",63,NA,23.917,1,"AveragePuttingDistanceAll3Plusputts",2012
57,57,"Chris Kirk",93,NA,47.083,2,"AveragePuttingDistanceAll3Plusputts",2012
58,58,"Erik Compton",81,NA,47,2,"AveragePuttingDistanceAll3Plusputts",2012
59,59,"Seung Yul Noh",105,NA,23.25,1,"AveragePuttingDistanceAll3Plusputts",2012
60,60,"Cameron Tringale",88,NA,67.25,3,"AveragePuttingDistanceAll3Plusputts",2012
61,61,"Jason Kokrak",79,NA,44.083,2,"AveragePuttingDistanceAll3Plusputts",2012
62,62,"Brian Davis",91,NA,21.417,1,"AveragePuttingDistanceAll3Plusputts",2012
63,63,"Matt Every",80,NA,21.167,1,"AveragePuttingDistanceAll3Plusputts",2012
64,64,"Nathan Green",73,NA,20.667,1,"AveragePuttingDistanceAll3Plusputts",2012
65,65,"Chris Couch",61,NA,40.5,2,"AveragePuttingDistanceAll3Plusputts",2012
