"Scrambling_RANKTHISWEEK_2009","Scrambling_RANKLASTWEEK_2009","Scrambling_PLAYERNAME_2009","Scrambling_ROUNDS_2009","Scrambling_Pct_2009","Scrambling_PARORBETTER_2009","Scrambling_MISSEDGIR_2009","stat_name","year"
1,1,"Tiger Woods",64,68.18,240,352,"Scrambling",2009
2,2,"Steve Stricker",81,66.46,315,474,"Scrambling",2009
3,3,"Matt Kuchar",82,65.91,348,528,"Scrambling",2009
4,4,"Ian Poulter",59,65.14,256,393,"Scrambling",2009
5,5,"Tim Petrovic",97,64.97,384,591,"Scrambling",2009
6,6,"Kevin Na",91,64.82,363,560,"Scrambling",2009
7,7,"Brian Gay",96,64.79,403,622,"Scrambling",2009
8,8,"Jim Furyk",86,64.08,330,515,"Scrambling",2009
9,9,"Chris Riley",77,64,288,450,"Scrambling",2009
10,10,"Mark Brooks",55,63.93,195,305,"Scrambling",2009
11,11,"Padraig Harrington",66,63.66,289,454,"Scrambling",2009
12,12,"Tom Pernice Jr",82,63.46,330,520,"Scrambling",2009
13,13,"Kenny Perry",92,63.18,338,535,"Scrambling",2009
14,14,"Mike Weir",85,63.15,353,559,"Scrambling",2009
15,15,"Chris DiMarco",97,63.07,374,593,"Scrambling",2009
15,15,"Spencer Levin",75,63.07,263,417,"Scrambling",2009
17,17,"Webb Simpson",94,63.03,399,633,"Scrambling",2009
18,18,"Scott McCarron",91,62.96,357,567,"Scrambling",2009
19,19,"Tim Clark",81,62.93,292,464,"Scrambling",2009
20,20,"Luke Donald",79,62.85,318,506,"Scrambling",2009
21,21,"Mark Wilson",99,62.83,360,573,"Scrambling",2009
22,22,"Matt Jones",56,62.71,185,295,"Scrambling",2009
23,23,"Patrick Sheehan",51,62.7,153,244,"Scrambling",2009
24,24,"Kirk Triplett",60,62.64,218,348,"Scrambling",2009
25,25,"Brandt Snedeker",81,62.6,313,500,"Scrambling",2009
26,26,"Bob Heintz",59,62.57,219,350,"Scrambling",2009
27,27,"Jimmy Walker",74,62.22,280,450,"Scrambling",2009
28,28,"Bob Estes",78,62.15,312,502,"Scrambling",2009
29,29,"Michael Letzig",96,62.14,366,589,"Scrambling",2009
29,29,"George McNeill",82,62.14,325,523,"Scrambling",2009
31,31,"Zach Johnson",94,62.1,331,533,"Scrambling",2009
32,32,"Ben Crane",93,62.07,365,588,"Scrambling",2009
33,33,"Kevin Stadler",65,62.06,211,340,"Scrambling",2009
34,34,"Jeff Klauk",97,61.91,356,575,"Scrambling",2009
35,35,"Jason Day",61,61.9,208,336,"Scrambling",2009
36,36,"Brad Adamonis",70,61.81,280,453,"Scrambling",2009
37,37,"Bryce Molder",69,61.77,223,361,"Scrambling",2009
38,38,"Brian Vranesh",51,61.76,189,306,"Scrambling",2009
39,39,"Woody Austin",84,61.64,323,524,"Scrambling",2009
40,40,"Nathan Green",104,61.53,411,668,"Scrambling",2009
41,41,"Joe Ogilvie",85,61.46,346,563,"Scrambling",2009
42,42,"Matt Weibring",65,61.37,224,365,"Scrambling",2009
43,43,"Glen Day",79,61.36,262,427,"Scrambling",2009
44,44,"Scott Sterling",51,61.32,149,243,"Scrambling",2009
45,45,"Jerry Kelly",90,61.3,320,522,"Scrambling",2009
46,46,"Ryan Moore",89,61.2,317,518,"Scrambling",2009
47,47,"David Mathis",82,61.19,309,505,"Scrambling",2009
47,47,"David Toms",98,61.19,328,536,"Scrambling",2009
49,49,"Bill Lunde",83,61.12,294,481,"Scrambling",2009
50,50,"Steve Flesch",77,60.82,281,462,"Scrambling",2009
51,51,"Freddie Jacobson",83,60.75,325,535,"Scrambling",2009
52,52,"Jason Dufner",90,60.74,311,512,"Scrambling",2009
53,53,"Ken Duke",87,60.73,351,578,"Scrambling",2009
54,54,"Ryuji Imada",85,60.68,358,590,"Scrambling",2009
55,55,"Greg Chalmers",85,60.67,290,478,"Scrambling",2009
56,56,"Robert Allenby",71,60.45,243,402,"Scrambling",2009
57,57,"Bo Van Pelt",100,60.44,333,551,"Scrambling",2009
58,58,"Jeff Quinney",78,60.12,309,514,"Scrambling",2009
59,59,"Ernie Els",70,60.05,242,403,"Scrambling",2009
60,60,"Steve Marino",98,59.96,322,537,"Scrambling",2009
61,61,"Casey Wittenberg",71,59.95,220,367,"Scrambling",2009
62,62,"Geoff Ogilvy",78,59.83,277,463,"Scrambling",2009
63,63,"Justin Leonard",95,59.81,323,540,"Scrambling",2009
64,64,"Retief Goosen",74,59.8,296,495,"Scrambling",2009
65,65,"Jarrod Lyle",65,59.78,214,358,"Scrambling",2009
66,66,"Lee Janzen",74,59.77,263,440,"Scrambling",2009
67,67,"Chad Campbell",90,59.75,285,477,"Scrambling",2009
68,68,"Jeff Maggert",79,59.73,270,452,"Scrambling",2009
69,69,"Tim Herron",87,59.65,337,565,"Scrambling",2009
70,70,"Nick OHern",90,59.61,307,515,"Scrambling",2009
71,71,"Chez Reavie",81,59.53,281,472,"Scrambling",2009
72,72,"Bill Haas",91,59.49,304,511,"Scrambling",2009
72,72,"Cliff Kresge",78,59.49,279,469,"Scrambling",2009
74,74,"Rod Pampling",72,59.4,259,436,"Scrambling",2009
75,75,"Scott Verplank",88,59.32,296,499,"Scrambling",2009
76,76,"Brett Quigley",92,59.14,304,514,"Scrambling",2009
77,77,"Cameron Beckman",87,59.03,304,515,"Scrambling",2009
78,78,"Pat Perez",74,59,282,478,"Scrambling",2009
79,79,"Charley Hoffman",97,58.97,342,580,"Scrambling",2009
80,80,"Corey Pavin",73,58.89,255,433,"Scrambling",2009
81,81,"Kevin Sutherland",96,58.88,335,569,"Scrambling",2009
82,82,"Steve Lowery",83,58.77,315,536,"Scrambling",2009
83,83,"Charlie Wi",92,58.73,343,584,"Scrambling",2009
84,84,"Nick Watney",86,58.67,308,525,"Scrambling",2009
85,85,"Ben Curtis",63,58.65,234,399,"Scrambling",2009
86,86,"Jay Williamson",69,58.64,190,324,"Scrambling",2009
87,87,"Richard Johnson",85,58.51,306,523,"Scrambling",2009
87,87,"Justin Rose",71,58.51,251,429,"Scrambling",2009
89,89,"JJ Henry",97,58.43,312,534,"Scrambling",2009
90,90,"YE Yang",83,58.42,281,481,"Scrambling",2009
91,91,"Heath Slocum",95,58.38,310,531,"Scrambling",2009
92,92,"Aaron Baddeley",66,58.35,276,473,"Scrambling",2009
93,93,"Aron Price",89,58.2,291,500,"Scrambling",2009
93,93,"John Rollins",92,58.2,330,567,"Scrambling",2009
95,95,"Brian Davis",103,58.1,366,630,"Scrambling",2009
95,95,"Jeff Overton",92,58.1,355,611,"Scrambling",2009
97,97,"Lucas Glover",93,58.09,334,575,"Scrambling",2009
98,98,"Parker McLachlin",71,58.08,309,532,"Scrambling",2009
99,99,"Steve Elkington",70,58.05,238,410,"Scrambling",2009
100,100,"Hunter Mahan",94,58.02,304,524,"Scrambling",2009
