"Total3PuttsInside5_RANKTHISWEEK_2007","Total3PuttsInside5_RANKLASTWEEK_2007","Total3PuttsInside5_PLAYERNAME_2007","Total3PuttsInside5_ROUNDS_2007","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2007","Total3PuttsInside5_TOTAL3PUTTS_2007","stat_name","year"
1,1,"Will Ma Kenzie",100,5,73,"Total3PuttsInside5",2007
2,2,"John Daly",59,3,43,"Total3PuttsInside5",2007
2,2,"Ian Poulter",63,3,21,"Total3PuttsInside5",2007
4,4,"Eric Axley",107,2,59,"Total3PuttsInside5",2007
4,4,"Jonathan Byrd",73,2,31,"Total3PuttsInside5",2007
4,4,"Paul Gow",70,2,36,"Total3PuttsInside5",2007
4,4,"Nathan Green",103,2,37,"Total3PuttsInside5",2007
4,4,"Padraig Harrington",64,2,26,"Total3PuttsInside5",2007
4,4,"JP Hayes",89,2,46,"Total3PuttsInside5",2007
4,4,"Steve Lowery",74,2,53,"Total3PuttsInside5",2007
4,4,"George McNeill",95,2,38,"Total3PuttsInside5",2007
4,4,"John Merrick",92,2,64,"Total3PuttsInside5",2007
4,4,"Kevin Na",84,2,40,"Total3PuttsInside5",2007
4,4,"Carl Pettersson",111,2,48,"Total3PuttsInside5",2007
4,4,"John Senden",97,2,64,"Total3PuttsInside5",2007
4,4,"Camilo Villegas",82,2,39,"Total3PuttsInside5",2007
17,17,"Robert Allenby",90,1,57,"Total3PuttsInside5",2007
17,17,"Stuart Appleby",74,1,34,"Total3PuttsInside5",2007
17,17,"Ryan Armour",107,1,46,"Total3PuttsInside5",2007
17,17,"Woody Austin",95,1,65,"Total3PuttsInside5",2007
17,17,"Aaron Baddeley",83,1,23,"Total3PuttsInside5",2007
17,17,"Jeff Brehaut",59,1,34,"Total3PuttsInside5",2007
17,17,"Alex Cejka",80,1,44,"Total3PuttsInside5",2007
17,17,"Daniel Chopra",106,1,45,"Total3PuttsInside5",2007
17,17,"Tim Clark",66,1,16,"Total3PuttsInside5",2007
17,17,"Ben Curtis",80,1,32,"Total3PuttsInside5",2007
17,17,"Marco Dawson",73,1,30,"Total3PuttsInside5",2007
17,17,"Glen Day",85,1,39,"Total3PuttsInside5",2007
17,17,"Bubba Dickerson",51,1,28,"Total3PuttsInside5",2007
17,17,"Jason Dufner",100,1,70,"Total3PuttsInside5",2007
17,17,"Joe Durant",88,1,57,"Total3PuttsInside5",2007
17,17,"Steve Elkington",87,1,29,"Total3PuttsInside5",2007
17,17,"Fred Funk",65,1,28,"Total3PuttsInside5",2007
17,17,"Jason Gore",86,1,57,"Total3PuttsInside5",2007
17,17,"Matt Hendrix",63,1,32,"Total3PuttsInside5",2007
17,17,"Tim Herron",98,1,47,"Total3PuttsInside5",2007
17,17,"Charley Hoffman",97,1,42,"Total3PuttsInside5",2007
17,17,"Trevor Immelman",74,1,30,"Total3PuttsInside5",2007
17,17,"Tripp Isenhour",86,1,28,"Total3PuttsInside5",2007
17,17,"Freddie Jacobson",70,1,24,"Total3PuttsInside5",2007
17,17,"Richard Johnson",93,1,41,"Total3PuttsInside5",2007
17,17,"Jerry Kelly",101,1,49,"Total3PuttsInside5",2007
17,17,"Anthony Kim",93,1,49,"Total3PuttsInside5",2007
17,17,"Doug LaBelle II",104,1,45,"Total3PuttsInside5",2007
17,17,"Stephen Leaney",82,1,34,"Total3PuttsInside5",2007
17,17,"Frank Lickliter II",95,1,52,"Total3PuttsInside5",2007
17,17,"Jarrod Lyle",77,1,39,"Total3PuttsInside5",2007
17,17,"Steve Marino",106,1,66,"Total3PuttsInside5",2007
17,17,"Troy Matteson",87,1,45,"Total3PuttsInside5",2007
17,17,"Parker McLachlin",83,1,43,"Total3PuttsInside5",2007
17,17,"Nick OHern",72,1,16,"Total3PuttsInside5",2007
17,17,"Greg Owen",81,1,61,"Total3PuttsInside5",2007
17,17,"Ryan Palmer",91,1,44,"Total3PuttsInside5",2007
17,17,"Rod Pampling",92,1,47,"Total3PuttsInside5",2007
17,17,"Jesper Parnevik",88,1,34,"Total3PuttsInside5",2007
17,17,"Tim Petrovic",106,1,56,"Total3PuttsInside5",2007
17,17,"Dicky Pride",71,1,35,"Total3PuttsInside5",2007
17,17,"Brett Quigley",79,1,28,"Total3PuttsInside5",2007
17,17,"Jeff Quinney",95,1,49,"Total3PuttsInside5",2007
17,17,"Tag Ridings",52,1,17,"Total3PuttsInside5",2007
17,17,"John Rollins",102,1,50,"Total3PuttsInside5",2007
17,17,"Jason Schultz",63,1,37,"Total3PuttsInside5",2007
17,17,"Michael Sim",52,1,22,"Total3PuttsInside5",2007
17,17,"Joey Sindelar",75,1,43,"Total3PuttsInside5",2007
17,17,"Vijay Singh",102,1,42,"Total3PuttsInside5",2007
17,17,"Brandt Snedeker",105,1,29,"Total3PuttsInside5",2007
17,17,"Kevin Stadler",95,1,55,"Total3PuttsInside5",2007
17,17,"Paul Stankowski",52,1,25,"Total3PuttsInside5",2007
17,17,"Darron Stiles",65,1,45,"Total3PuttsInside5",2007
17,17,"Kevin Sutherland",85,1,34,"Total3PuttsInside5",2007
17,17,"Kirk Triplett",77,1,59,"Total3PuttsInside5",2007
17,17,"Bo Van Pelt",104,1,45,"Total3PuttsInside5",2007
17,17,"Boo Weekley",101,1,46,"Total3PuttsInside5",2007
17,17,"Charlie Wi",90,1,33,"Total3PuttsInside5",2007
17,17,"Mark Wilson",87,1,48,"Total3PuttsInside5",2007
