"PGAChampionshipPoints_RANKTHISWEEK_2007","PGAChampionshipPoints_RANKLASTWEEK_2007","PGAChampionshipPoints_PLAYERNAME_2007","PGAChampionshipPoints_EVENTS_2007","PGAChampionshipPoints_POINTS_2007","stat_name","year"
1,1,"Tiger Woods",5,5652667,"PGAChampionshipPoints",2007
2,2,"Steve Stricker",6,2154000,"PGAChampionshipPoints",2007
3,3,"Steve Flesch",8,1882314,"PGAChampionshipPoints",2007
4,4,"Rory Sabbatini",6,1729650,"PGAChampionshipPoints",2007
5,5,"Phil Mickelson",6,1699400,"PGAChampionshipPoints",2007
6,6,"Justin Leonard",9,1419145,"PGAChampionshipPoints",2007
7,7,"Tim Clark",8,1362157,"PGAChampionshipPoints",2007
8,8,"Justin Rose",6,1318133,"PGAChampionshipPoints",2007
9,9,"Aaron Baddeley",7,1283735,"PGAChampionshipPoints",2007
10,10,"Brandt Snedeker",6,1236433,"PGAChampionshipPoints",2007
11,11,"Woody Austin",7,1191676,"PGAChampionshipPoints",2007
12,12,"KJ Choi",6,1149367,"PGAChampionshipPoints",2007
13,13,"Daniel Chopra",11,1143409,"PGAChampionshipPoints",2007
14,14,"Stephen Ames",7,1105171,"PGAChampionshipPoints",2007
15,15,"Mark Calcavecchia",10,1091697,"PGAChampionshipPoints",2007
16,16,"Mike Weir",6,1058682,"PGAChampionshipPoints",2007
17,17,"Arron Oberholser",6,1053707,"PGAChampionshipPoints",2007
18,18,"Ernie Els",5,1033743,"PGAChampionshipPoints",2007
19,19,"Geoff Ogilvy",6,957273,"PGAChampionshipPoints",2007
20,20,"George McNeill",9,925793,"PGAChampionshipPoints",2007
21,21,"John Senden",8,916165,"PGAChampionshipPoints",2007
22,22,"Carl Pettersson",10,903635,"PGAChampionshipPoints",2007
23,23,"Scott Verplank",7,897496,"PGAChampionshipPoints",2007
24,24,"Adam Scott",6,850967,"PGAChampionshipPoints",2007
25,25,"Zach Johnson",6,850050,"PGAChampionshipPoints",2007
26,26,"Brett Wetterich",8,842404,"PGAChampionshipPoints",2007
27,27,"Billy Mayfair",9,821917,"PGAChampionshipPoints",2007
28,28,"Sean OHair",8,821498,"PGAChampionshipPoints",2007
29,29,"Chad Campbell",9,794710,"PGAChampionshipPoints",2007
30,30,"Michael Allen",7,785655,"PGAChampionshipPoints",2007
31,31,"Heath Slocum",9,762925,"PGAChampionshipPoints",2007
32,32,"Sergio Garcia",6,761268,"PGAChampionshipPoints",2007
33,33,"Jeff Overton",10,752866,"PGAChampionshipPoints",2007
34,34,"Camilo Villegas",5,735000,"PGAChampionshipPoints",2007
35,35,"Freddie Jacobson",8,731768,"PGAChampionshipPoints",2007
36,36,"Shigeki Maruyama",9,676728,"PGAChampionshipPoints",2007
37,37,"Mark Hensby",7,656087,"PGAChampionshipPoints",2007
38,38,"Boo Weekley",8,644952,"PGAChampionshipPoints",2007
39,39,"Jesper Parnevik",7,642160,"PGAChampionshipPoints",2007
40,40,"John Mallinger",9,636590,"PGAChampionshipPoints",2007
41,41,"Johnson Wagner",9,623833,"PGAChampionshipPoints",2007
42,42,"Stewart Cink",8,611585,"PGAChampionshipPoints",2007
43,43,"Robert Garrigus",8,590990,"PGAChampionshipPoints",2007
44,44,"Cameron Beckman",9,583596,"PGAChampionshipPoints",2007
45,45,"Tim Petrovic",9,564272,"PGAChampionshipPoints",2007
46,46,"Hunter Mahan",6,556038,"PGAChampionshipPoints",2007
47,47,"Charles Warren",8,550804,"PGAChampionshipPoints",2007
48,48,"Kevin Stadler",10,502975,"PGAChampionshipPoints",2007
49,49,"Ken Duke",10,502869,"PGAChampionshipPoints",2007
50,50,"Bo Van Pelt",9,491942,"PGAChampionshipPoints",2007
51,51,"DJ Trahan",9,485612,"PGAChampionshipPoints",2007
52,52,"Robert Allenby",10,485330,"PGAChampionshipPoints",2007
53,53,"Charley Hoffman",10,472393,"PGAChampionshipPoints",2007
54,54,"Ian Poulter",5,469000,"PGAChampionshipPoints",2007
55,55,"Mathias Gronberg",9,452510,"PGAChampionshipPoints",2007
56,56,"Jonathan Byrd",6,441714,"PGAChampionshipPoints",2007
57,57,"Kent Jones",9,438018,"PGAChampionshipPoints",2007
58,58,"Bill Haas",8,431037,"PGAChampionshipPoints",2007
59,59,"Robert Gamez",9,424420,"PGAChampionshipPoints",2007
60,60,"Lucas Glover",8,421772,"PGAChampionshipPoints",2007
61,61,"Jason Gore",7,421609,"PGAChampionshipPoints",2007
62,62,"Rich Beem",11,417602,"PGAChampionshipPoints",2007
63,63,"Chris Stroud",9,403561,"PGAChampionshipPoints",2007
64,64,"Charlie Wi",9,394524,"PGAChampionshipPoints",2007
65,65,"Alex Cejka",8,393127,"PGAChampionshipPoints",2007
66,66,"Nathan Green",7,381503,"PGAChampionshipPoints",2007
67,67,"Jerry Kelly",9,380462,"PGAChampionshipPoints",2007
68,68,"Dean Wilson",8,373866,"PGAChampionshipPoints",2007
69,69,"Trevor Immelman",5,368000,"PGAChampionshipPoints",2007
70,70,"Peter Lonard",5,362143,"PGAChampionshipPoints",2007
71,71,"Jim Furyk",5,355780,"PGAChampionshipPoints",2007
72,72,"Ryan Armour",10,353730,"PGAChampionshipPoints",2007
73,73,"Brian Davis",10,347665,"PGAChampionshipPoints",2007
74,74,"Pat Perez",6,341360,"PGAChampionshipPoints",2007
75,75,"Mathew Goggin",8,341127,"PGAChampionshipPoints",2007
76,76,"Daisuke Maruyama",9,340638,"PGAChampionshipPoints",2007
77,77,"Parker McLachlin",9,337150,"PGAChampionshipPoints",2007
78,78,"Briny Baird",9,334283,"PGAChampionshipPoints",2007
79,79,"Stuart Appleby",6,334045,"PGAChampionshipPoints",2007
80,80,"Nick Watney",9,324238,"PGAChampionshipPoints",2007
81,81,"Shaun Micheel",10,315808,"PGAChampionshipPoints",2007
82,82,"Joe Durant",9,312912,"PGAChampionshipPoints",2007
83,83,"John Rollins",8,311587,"PGAChampionshipPoints",2007
84,84,"Charles Howell III",7,310092,"PGAChampionshipPoints",2007
85,85,"Chris DiMarco",4,310000,"PGAChampionshipPoints",2007
86,86,"Padraig Harrington",5,308508,"PGAChampionshipPoints",2007
87,87,"Anders Hansen",6,306083,"PGAChampionshipPoints",2007
88,88,"Vijay Singh",6,300460,"PGAChampionshipPoints",2007
