"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2014","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2014","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2014","AverageApproachDistanceBogeyorWorse_ROUNDS_2014","AverageApproachDistanceBogeyorWorse_AVGYARDS_2014","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2014","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2014","stat_name","year"
1,1,"Morgan Hoffmann",103,148.6,1545825,289,"AverageApproachDistanceBogeyorWorse",2014
2,2,"Bubba Watson",76,149.6,743210,138,"AverageApproachDistanceBogeyorWorse",2014
3,3,"Patrick Reed",92,150.9,1135618,209,"AverageApproachDistanceBogeyorWorse",2014
4,4,"Louis Oosthuizen",50,151.6,611138,112,"AverageApproachDistanceBogeyorWorse",2014
5,5,"Ryo Ishikawa",75,151.8,1054733,193,"AverageApproachDistanceBogeyorWorse",2014
6,6,"Jamie Lovemark",64,152.4,833761,152,"AverageApproachDistanceBogeyorWorse",2014
7,7,"Briny Baird",50,153,836959,152,"AverageApproachDistanceBogeyorWorse",2014
8,8,"Bud Cauley",56,153.3,767090,139,"AverageApproachDistanceBogeyorWorse",2014
9,9,"Dustin Johnson",58,153.8,608950,110,"AverageApproachDistanceBogeyorWorse",2014
10,10,"Charlie Beljan",76,155.9,1257447,224,"AverageApproachDistanceBogeyorWorse",2014
11,11,"Roberto Castro",76,156.1,1101554,196,"AverageApproachDistanceBogeyorWorse",2014
12,12,"Nick Watney",80,156.3,894767,159,"AverageApproachDistanceBogeyorWorse",2014
13,13,"Billy Horschel",92,156.5,968943,172,"AverageApproachDistanceBogeyorWorse",2014
14,14,"Kevin Stadler",90,157,1056641,187,"AverageApproachDistanceBogeyorWorse",2014
15,15,"Will Wilcox",51,157.2,611025,108,"AverageApproachDistanceBogeyorWorse",2014
16,16,"Bo Van Pelt",83,157.4,1019726,180,"AverageApproachDistanceBogeyorWorse",2014
17,17,"Andrew Loupe",65,157.8,1056373,186,"AverageApproachDistanceBogeyorWorse",2014
18,18,"Troy Matteson",62,157.9,1062852,187,"AverageApproachDistanceBogeyorWorse",2014
19,19,"Brian Harman",111,158,1609394,283,"AverageApproachDistanceBogeyorWorse",2014
20,20,"Kevin Streelman",79,158.1,1166585,205,"AverageApproachDistanceBogeyorWorse",2014
21,21,"Kyle Stanley",87,158.7,1508474,264,"AverageApproachDistanceBogeyorWorse",2014
22,22,"Charley Hoffman",93,158.9,1161353,203,"AverageApproachDistanceBogeyorWorse",2014
23,23,"Tyrone Van Aswegen",79,159,1184884,207,"AverageApproachDistanceBogeyorWorse",2014
24,24,"Scott Brown",100,159.2,1393019,243,"AverageApproachDistanceBogeyorWorse",2014
24,24,"Brice Garnett",92,159.2,1301237,227,"AverageApproachDistanceBogeyorWorse",2014
24,24,"Chris Kirk",105,159.2,1347124,235,"AverageApproachDistanceBogeyorWorse",2014
24,24,"Phil Mickelson",71,159.2,767852,134,"AverageApproachDistanceBogeyorWorse",2014
28,28,"Jeff Maggert",54,159.6,815960,142,"AverageApproachDistanceBogeyorWorse",2014
29,29,"Jeff Overton",80,159.8,1127663,196,"AverageApproachDistanceBogeyorWorse",2014
29,29,"Wes Roach",67,159.8,1041235,181,"AverageApproachDistanceBogeyorWorse",2014
29,29,"Scott Stallings",77,159.8,1277206,222,"AverageApproachDistanceBogeyorWorse",2014
32,32,"Kevin Chappell",100,160.2,1435980,249,"AverageApproachDistanceBogeyorWorse",2014
32,32,"Rory McIlroy",66,160.2,680428,118,"AverageApproachDistanceBogeyorWorse",2014
34,34,"Rickie Fowler",91,160.3,980992,170,"AverageApproachDistanceBogeyorWorse",2014
34,34,"JJ Henry",91,160.3,1269914,220,"AverageApproachDistanceBogeyorWorse",2014
36,36,"JB Holmes",86,160.4,1414556,245,"AverageApproachDistanceBogeyorWorse",2014
37,37,"Jason Bohn",81,160.5,1299916,225,"AverageApproachDistanceBogeyorWorse",2014
37,37,"Jason Day",54,160.5,421812,73,"AverageApproachDistanceBogeyorWorse",2014
37,37,"Jim Herman",62,160.5,935944,162,"AverageApproachDistanceBogeyorWorse",2014
37,37,"Richard Lee",80,160.5,1091733,189,"AverageApproachDistanceBogeyorWorse",2014
37,37,"John Senden",99,160.5,1114821,193,"AverageApproachDistanceBogeyorWorse",2014
37,37,"Michael Thompson",74,160.5,1086264,188,"AverageApproachDistanceBogeyorWorse",2014
43,43,"Sergio Garcia",61,160.7,468519,81,"AverageApproachDistanceBogeyorWorse",2014
43,43,"Martin Kaymer",65,160.7,885169,153,"AverageApproachDistanceBogeyorWorse",2014
43,43,"Pat Perez",84,160.7,1290430,223,"AverageApproachDistanceBogeyorWorse",2014
43,43,"Charlie Wi",72,160.7,1168627,202,"AverageApproachDistanceBogeyorWorse",2014
43,43,"YE Yang",79,160.7,1116402,193,"AverageApproachDistanceBogeyorWorse",2014
48,48,"Sean OHair",77,160.8,1163701,201,"AverageApproachDistanceBogeyorWorse",2014
48,48,"Rory Sabbatini",82,160.8,1325931,229,"AverageApproachDistanceBogeyorWorse",2014
48,48,"Mark Wilson",69,160.8,1082769,187,"AverageApproachDistanceBogeyorWorse",2014
51,51,"Paul Casey",56,160.9,723944,125,"AverageApproachDistanceBogeyorWorse",2014
51,51,"Harris English",95,160.9,1176099,203,"AverageApproachDistanceBogeyorWorse",2014
53,53,"Jonas Blixt",64,161.1,759698,131,"AverageApproachDistanceBogeyorWorse",2014
53,53,"Lucas Glover",68,161.1,991861,171,"AverageApproachDistanceBogeyorWorse",2014
53,53,"DA Points",75,161.1,1136916,196,"AverageApproachDistanceBogeyorWorse",2014
53,53,"Jordan Spieth",102,161.1,1333999,230,"AverageApproachDistanceBogeyorWorse",2014
57,57,"Derek Ernst",80,161.4,1353624,233,"AverageApproachDistanceBogeyorWorse",2014
58,58,"Brad Fritsch",50,161.5,657085,113,"AverageApproachDistanceBogeyorWorse",2014
58,58,"Jhonattan Vegas",77,161.5,1086935,187,"AverageApproachDistanceBogeyorWorse",2014
60,60,"Brendon de Jonge",109,161.6,1507183,259,"AverageApproachDistanceBogeyorWorse",2014
61,61,"Ken Duke",80,161.8,1170668,201,"AverageApproachDistanceBogeyorWorse",2014
61,61,"Brandt Snedeker",89,161.8,1089469,187,"AverageApproachDistanceBogeyorWorse",2014
61,61,"Kevin Tway",64,161.8,914580,157,"AverageApproachDistanceBogeyorWorse",2014
64,64,"Brian Davis",93,161.9,1445827,248,"AverageApproachDistanceBogeyorWorse",2014
64,64,"Hunter Mahan",88,161.9,1241588,213,"AverageApproachDistanceBogeyorWorse",2014
66,66,"Andres Romero",81,162,1364332,234,"AverageApproachDistanceBogeyorWorse",2014
67,67,"Troy Merritt",62,162.1,992176,170,"AverageApproachDistanceBogeyorWorse",2014
67,67,"Hudson Swafford",75,162.1,1038971,178,"AverageApproachDistanceBogeyorWorse",2014
69,69,"Russell Knox",92,162.2,1220602,209,"AverageApproachDistanceBogeyorWorse",2014
69,69,"Ben Martin",80,162.2,1051109,180,"AverageApproachDistanceBogeyorWorse",2014
69,69,"John Peterson",62,162.2,1033238,177,"AverageApproachDistanceBogeyorWorse",2014
72,72,"Keegan Bradley",89,162.4,941111,161,"AverageApproachDistanceBogeyorWorse",2014
72,72,"James Driscoll",71,162.4,1321609,226,"AverageApproachDistanceBogeyorWorse",2014
72,72,"Ryan Palmer",85,162.4,1046330,179,"AverageApproachDistanceBogeyorWorse",2014
75,75,"Charles Howell III",106,162.5,1520995,260,"AverageApproachDistanceBogeyorWorse",2014
76,76,"Kevin Kisner",85,162.6,1176707,201,"AverageApproachDistanceBogeyorWorse",2014
77,77,"Graham DeLaet",80,162.7,943106,161,"AverageApproachDistanceBogeyorWorse",2014
78,78,"Zach Johnson",97,162.8,1148853,196,"AverageApproachDistanceBogeyorWorse",2014
78,78,"Adam Scott",68,162.8,791209,135,"AverageApproachDistanceBogeyorWorse",2014
80,80,"Matt Every",85,162.9,1143386,195,"AverageApproachDistanceBogeyorWorse",2014
80,80,"Bryce Molder",77,162.9,1096721,187,"AverageApproachDistanceBogeyorWorse",2014
80,80,"Mike Weir",69,162.9,1020598,174,"AverageApproachDistanceBogeyorWorse",2014
83,83,"Jason Dufner",57,163,768707,131,"AverageApproachDistanceBogeyorWorse",2014
83,83,"Retief Goosen",94,163,1232340,210,"AverageApproachDistanceBogeyorWorse",2014
83,83,"Russell Henley",92,163,1443238,246,"AverageApproachDistanceBogeyorWorse",2014
83,83,"Jason Kokrak",65,163,997824,170,"AverageApproachDistanceBogeyorWorse",2014
83,83,"Marc Leishman",81,163,1167759,199,"AverageApproachDistanceBogeyorWorse",2014
83,83,"Davis Love III",74,163,1214584,207,"AverageApproachDistanceBogeyorWorse",2014
83,83,"Ryan Moore",86,163,1009372,172,"AverageApproachDistanceBogeyorWorse",2014
90,90,"Angel Cabrera",69,163.1,1174407,200,"AverageApproachDistanceBogeyorWorse",2014
90,90,"Will Ma Kenzie",82,163.1,1402951,239,"AverageApproachDistanceBogeyorWorse",2014
90,90,"Josh Teater",90,163.1,1250996,213,"AverageApproachDistanceBogeyorWorse",2014
93,93,"Gary Woodland",93,163.2,1140049,194,"AverageApproachDistanceBogeyorWorse",2014
94,94,"Tim Clark",75,163.3,1099434,187,"AverageApproachDistanceBogeyorWorse",2014
95,95,"David Lingmerth",80,163.4,1370450,233,"AverageApproachDistanceBogeyorWorse",2014
95,95,"Robert Streb",75,163.4,1158687,197,"AverageApproachDistanceBogeyorWorse",2014
97,97,"Brendan Steele",89,163.5,1230235,209,"AverageApproachDistanceBogeyorWorse",2014
98,98,"Chris Stroud",88,163.6,1178081,200,"AverageApproachDistanceBogeyorWorse",2014
99,99,"Aaron Baddeley",74,163.7,1143121,194,"AverageApproachDistanceBogeyorWorse",2014
99,99,"Greg Chalmers",85,163.7,1367051,232,"AverageApproachDistanceBogeyorWorse",2014
99,99,"Bill Haas",107,163.7,1213817,206,"AverageApproachDistanceBogeyorWorse",2014
99,99,"Chesson Hadley",84,163.7,1473619,250,"AverageApproachDistanceBogeyorWorse",2014
99,99,"Freddie Jacobson",91,163.7,1338080,227,"AverageApproachDistanceBogeyorWorse",2014
104,104,"Nicholas Thompson",85,163.9,1433758,243,"AverageApproachDistanceBogeyorWorse",2014
105,105,"Steven Bowditch",93,164,1582060,268,"AverageApproachDistanceBogeyorWorse",2014
106,106,"Luke Guthrie",85,164.1,1270292,215,"AverageApproachDistanceBogeyorWorse",2014
106,106,"Brooks Koepka",56,164.1,691164,117,"AverageApproachDistanceBogeyorWorse",2014
106,106,"Shawn Stefani",60,164.1,939357,159,"AverageApproachDistanceBogeyorWorse",2014
109,109,"Seung Yul Noh",92,164.3,1254198,212,"AverageApproachDistanceBogeyorWorse",2014
110,110,"Stuart Appleby",92,164.4,1491015,252,"AverageApproachDistanceBogeyorWorse",2014
110,110,"Trevor Immelman",84,164.4,1337292,226,"AverageApproachDistanceBogeyorWorse",2014
112,112,"Scott Langley",95,164.5,1267092,214,"AverageApproachDistanceBogeyorWorse",2014
113,113,"Martin Flores",85,164.6,1179000,199,"AverageApproachDistanceBogeyorWorse",2014
114,114,"Chad Collins",78,164.7,1162444,196,"AverageApproachDistanceBogeyorWorse",2014
114,114,"Graeme McDowell",66,164.7,729193,123,"AverageApproachDistanceBogeyorWorse",2014
116,116,"Ben Crane",81,164.8,1423807,240,"AverageApproachDistanceBogeyorWorse",2014
117,117,"Chad Campbell",57,164.9,652912,110,"AverageApproachDistanceBogeyorWorse",2014
117,117,"James Hahn",82,164.9,1424434,240,"AverageApproachDistanceBogeyorWorse",2014
117,117,"Matt Jones",83,164.9,1134046,191,"AverageApproachDistanceBogeyorWorse",2014
120,120,"John Rollins",84,165.2,1278928,215,"AverageApproachDistanceBogeyorWorse",2014
120,120,"Andrew Svoboda",77,165.2,1094169,184,"AverageApproachDistanceBogeyorWorse",2014
122,122,"Stewart Cink",91,165.3,1326751,223,"AverageApproachDistanceBogeyorWorse",2014
122,122,"Justin Rose",70,165.3,767499,129,"AverageApproachDistanceBogeyorWorse",2014
124,124,"Gonzalo Fdez Castano",83,165.5,1322738,222,"AverageApproachDistanceBogeyorWorse",2014
124,124,"Matt Kuchar",91,165.5,1084356,182,"AverageApproachDistanceBogeyorWorse",2014
124,124,"Jim Renner",61,165.5,1275272,214,"AverageApproachDistanceBogeyorWorse",2014
127,127,"Camilo Villegas",95,165.6,1490701,250,"AverageApproachDistanceBogeyorWorse",2014
128,128,"Jonathan Byrd",76,165.7,1169411,196,"AverageApproachDistanceBogeyorWorse",2014
128,128,"Ian Poulter",57,165.7,775323,130,"AverageApproachDistanceBogeyorWorse",2014
128,128,"Johnson Wagner",69,165.7,1025735,172,"AverageApproachDistanceBogeyorWorse",2014
131,131,"David Hearn",97,165.8,1289448,216,"AverageApproachDistanceBogeyorWorse",2014
132,132,"Cameron Tringale",111,165.9,1529362,256,"AverageApproachDistanceBogeyorWorse",2014
133,133,"Ted Potter Jr",68,166.1,944993,158,"AverageApproachDistanceBogeyorWorse",2014
134,134,"Tommy Gainey",73,166.2,1286644,215,"AverageApproachDistanceBogeyorWorse",2014
134,134,"Vijay Singh",83,166.2,1327904,222,"AverageApproachDistanceBogeyorWorse",2014
136,136,"Robert Garrigus",80,166.5,1384763,231,"AverageApproachDistanceBogeyorWorse",2014
136,136,"Brendon Todd",108,166.5,1438855,240,"AverageApproachDistanceBogeyorWorse",2014
138,138,"Woody Austin",63,166.7,1242532,207,"AverageApproachDistanceBogeyorWorse",2014
138,138,"Luke Donald",57,166.7,737963,123,"AverageApproachDistanceBogeyorWorse",2014
138,138,"David Toms",64,166.7,864233,144,"AverageApproachDistanceBogeyorWorse",2014
141,141,"Brian Gay",81,166.8,1176907,196,"AverageApproachDistanceBogeyorWorse",2014
142,142,"KJ Choi",80,167,1244217,207,"AverageApproachDistanceBogeyorWorse",2014
143,143,"Sangmoon Bae",76,167.2,1203664,200,"AverageApproachDistanceBogeyorWorse",2014
144,144,"Kevin Na",94,167.3,1156368,192,"AverageApproachDistanceBogeyorWorse",2014
144,144,"Carl Pettersson",91,167.3,1535609,255,"AverageApproachDistanceBogeyorWorse",2014
146,146,"Bronson La Cassie",51,167.5,699485,116,"AverageApproachDistanceBogeyorWorse",2014
147,147,"Tim Wilkinson",86,167.7,1261632,209,"AverageApproachDistanceBogeyorWorse",2014
148,148,"George McNeill",79,168,1185180,196,"AverageApproachDistanceBogeyorWorse",2014
149,149,"Ernie Els",85,168.2,1144544,189,"AverageApproachDistanceBogeyorWorse",2014
149,149,"Danny Lee",84,168.2,1338006,221,"AverageApproachDistanceBogeyorWorse",2014
151,151,"Geoff Ogilvy",84,168.3,1430194,236,"AverageApproachDistanceBogeyorWorse",2014
151,151,"Jimmy Walker",98,168.3,1145080,189,"AverageApproachDistanceBogeyorWorse",2014
153,153,"Ben Curtis",77,168.5,1291987,213,"AverageApproachDistanceBogeyorWorse",2014
153,153,"Michael Putnam",106,168.5,1734843,286,"AverageApproachDistanceBogeyorWorse",2014
155,155,"John Merrick",87,168.6,1438768,237,"AverageApproachDistanceBogeyorWorse",2014
156,156,"Robert Allenby",83,168.8,1288471,212,"AverageApproachDistanceBogeyorWorse",2014
156,156,"Boo Weekley",73,168.8,1045382,172,"AverageApproachDistanceBogeyorWorse",2014
158,158,"Charl Schwartzel",64,168.9,900082,148,"AverageApproachDistanceBogeyorWorse",2014
159,159,"Heath Slocum",71,169,1028233,169,"AverageApproachDistanceBogeyorWorse",2014
160,160,"Jerry Kelly",80,169.2,1017513,167,"AverageApproachDistanceBogeyorWorse",2014
161,161,"John Huh",87,169.5,1293273,212,"AverageApproachDistanceBogeyorWorse",2014
162,162,"Webb Simpson",87,169.7,1240348,203,"AverageApproachDistanceBogeyorWorse",2014
162,162,"Henrik Stenson",56,169.7,702651,115,"AverageApproachDistanceBogeyorWorse",2014
164,164,"Martin Laird",66,169.9,1076684,176,"AverageApproachDistanceBogeyorWorse",2014
165,165,"Justin Leonard",75,170.1,1120876,183,"AverageApproachDistanceBogeyorWorse",2014
166,166,"William McGirt",96,170.8,1500708,244,"AverageApproachDistanceBogeyorWorse",2014
167,167,"Justin Hicks",103,170.9,1587711,258,"AverageApproachDistanceBogeyorWorse",2014
168,168,"Erik Compton",88,171,1416083,230,"AverageApproachDistanceBogeyorWorse",2014
168,168,"Hideki Matsuyama",82,171,1120194,182,"AverageApproachDistanceBogeyorWorse",2014
170,170,"Spencer Levin",59,171.2,937052,152,"AverageApproachDistanceBogeyorWorse",2014
171,171,"Ricky Barnes",92,171.6,1346947,218,"AverageApproachDistanceBogeyorWorse",2014
171,171,"Lee Westwood",57,171.6,864861,140,"AverageApproachDistanceBogeyorWorse",2014
173,173,"DH Lee",54,171.9,940852,152,"AverageApproachDistanceBogeyorWorse",2014
174,174,"Brian Stuard",91,172.9,1394435,224,"AverageApproachDistanceBogeyorWorse",2014
175,175,"Billy Hurley III",86,173.5,1167789,187,"AverageApproachDistanceBogeyorWorse",2014
176,176,"Jim Furyk",84,173.7,825582,132,"AverageApproachDistanceBogeyorWorse",2014
177,177,"Daniel Summerhays",98,177.1,1523867,239,"AverageApproachDistanceBogeyorWorse",2014
