"PGAChampionshipPoints_RANKTHISWEEK_2011","PGAChampionshipPoints_RANKLASTWEEK_2011","PGAChampionshipPoints_PLAYERNAME_2011","PGAChampionshipPoints_EVENTS_2011","PGAChampionshipPoints_POINTS_2011","stat_name","year"
1,1,"Webb Simpson",8,3622310,"PGAChampionshipPoints",2011
2,2,"Luke Donald",7,3054967,"PGAChampionshipPoints",2011
3,3,"Adam Scott",6,2223320,"PGAChampionshipPoints",2011
4,4,"Justin Rose",7,1931500,"PGAChampionshipPoints",2011
5,5,"Keegan Bradley",6,1866900,"PGAChampionshipPoints",2011
6,6,"Bill Haas",7,1809896,"PGAChampionshipPoints",2011
7,7,"Dustin Johnson",6,1672996,"PGAChampionshipPoints",2011
8,8,"Chez Reavie",7,1392331,"PGAChampionshipPoints",2011
9,9,"Jason Dufner",6,1379800,"PGAChampionshipPoints",2011
10,10,"Matt Kuchar",7,1355059,"PGAChampionshipPoints",2011
11,11,"Hunter Mahan",6,1294754,"PGAChampionshipPoints",2011
12,12,"John Senden",6,1198511,"PGAChampionshipPoints",2011
13,13,"Brandt Snedeker",8,1194811,"PGAChampionshipPoints",2011
14,14,"Bryce Molder",6,1187933,"PGAChampionshipPoints",2011
15,15,"Jason Day",6,1186060,"PGAChampionshipPoints",2011
16,16,"Nick Watney",7,1101440,"PGAChampionshipPoints",2011
17,17,"Kevin Na",6,1077231,"PGAChampionshipPoints",2011
18,18,"David Toms",8,937360,"PGAChampionshipPoints",2011
19,19,"Scott Piercy",9,885796,"PGAChampionshipPoints",2011
20,20,"Geoff Ogilvy",6,873967,"PGAChampionshipPoints",2011
21,21,"Ben Crane",7,870743,"PGAChampionshipPoints",2011
22,22,"Vijay Singh",7,838920,"PGAChampionshipPoints",2011
23,23,"Gary Woodland",7,794027,"PGAChampionshipPoints",2011
24,24,"Aaron Baddeley",6,764844,"PGAChampionshipPoints",2011
25,25,"Rickie Fowler",6,741740,"PGAChampionshipPoints",2011
26,26,"KJ Choi",6,740448,"PGAChampionshipPoints",2011
27,27,"Camilo Villegas",5,738467,"PGAChampionshipPoints",2011
28,28,"Charles Howell III",8,712969,"PGAChampionshipPoints",2011
29,29,"Jim Furyk",7,708904,"PGAChampionshipPoints",2011
30,30,"Bo Van Pelt",7,663230,"PGAChampionshipPoints",2011
31,31,"Jerry Kelly",7,656448,"PGAChampionshipPoints",2011
32,32,"George McNeill",7,643017,"PGAChampionshipPoints",2011
33,33,"YE Yang",6,636676,"PGAChampionshipPoints",2011
34,34,"Tommy Gainey",9,624960,"PGAChampionshipPoints",2011
35,35,"Anders Hansen",2,613500,"PGAChampionshipPoints",2011
36,36,"Briny Baird",5,611725,"PGAChampionshipPoints",2011
37,37,"Robert Karlsson",5,595060,"PGAChampionshipPoints",2011
38,38,"Justin Leonard",5,593540,"PGAChampionshipPoints",2011
39,39,"Jonathan Byrd",8,580716,"PGAChampionshipPoints",2011
40,40,"Carl Pettersson",6,580315,"PGAChampionshipPoints",2011
41,41,"Phil Mickelson",6,576968,"PGAChampionshipPoints",2011
42,42,"Trevor Immelman",8,557898,"PGAChampionshipPoints",2011
43,43,"Brendan Steele",7,516206,"PGAChampionshipPoints",2011
44,44,"Steve Stricker",6,495262,"PGAChampionshipPoints",2011
45,45,"Ernie Els",7,494446,"PGAChampionshipPoints",2011
46,46,"Blake Adams",9,448507,"PGAChampionshipPoints",2011
47,47,"Brian Davis",7,443590,"PGAChampionshipPoints",2011
48,48,"Sergio Garcia",5,427468,"PGAChampionshipPoints",2011
49,49,"KT Kim",3,427073,"PGAChampionshipPoints",2011
50,50,"Nick OHern",7,426735,"PGAChampionshipPoints",2011
51,51,"Spencer Levin",8,426172,"PGAChampionshipPoints",2011
52,52,"Mark Wilson",7,421787,"PGAChampionshipPoints",2011
53,53,"Bud Cauley",4,416005,"PGAChampionshipPoints",2011
54,54,"Kyle Stanley",6,414291,"PGAChampionshipPoints",2011
55,55,"Bubba Watson",6,413326,"PGAChampionshipPoints",2011
56,56,"Pat Perez",5,406740,"PGAChampionshipPoints",2011
57,57,"John Rollins",7,401170,"PGAChampionshipPoints",2011
58,58,"Zach Johnson",6,397433,"PGAChampionshipPoints",2011
59,59,"Ryan Moore",6,385183,"PGAChampionshipPoints",2011
60,60,"Sung Kang",5,384236,"PGAChampionshipPoints",2011
61,61,"Lee Westwood",2,377000,"PGAChampionshipPoints",2011
62,62,"Freddie Jacobson",6,371291,"PGAChampionshipPoints",2011
63,63,"David Hearn",7,356004,"PGAChampionshipPoints",2011
64,64,"Michael Thompson",7,351093,"PGAChampionshipPoints",2011
65,65,"Brandt Jobe",7,344808,"PGAChampionshipPoints",2011
66,66,"Kris Blanks",6,339793,"PGAChampionshipPoints",2011
67,67,"Charley Hoffman",6,338933,"PGAChampionshipPoints",2011
68,68,"Billy Horschel",6,333336,"PGAChampionshipPoints",2011
69,69,"Ryo Ishikawa",2,332500,"PGAChampionshipPoints",2011
70,70,"Scott Verplank",3,331000,"PGAChampionshipPoints",2011
71,71,"Martin Laird",6,327553,"PGAChampionshipPoints",2011
72,72,"Robert Allenby",6,319149,"PGAChampionshipPoints",2011
73,73,"Lucas Glover",7,301014,"PGAChampionshipPoints",2011
74,74,"DA Points",7,300693,"PGAChampionshipPoints",2011
75,75,"Tom Pernice Jr",5,299842,"PGAChampionshipPoints",2011
76,76,"Kevin Chappell",6,299601,"PGAChampionshipPoints",2011
77,77,"Billy Mayfair",7,293085,"PGAChampionshipPoints",2011
78,78,"Josh Teater",6,292903,"PGAChampionshipPoints",2011
79,79,"Charl Schwartzel",4,292886,"PGAChampionshipPoints",2011
80,80,"Paul Goydos",6,274212,"PGAChampionshipPoints",2011
81,81,"Shane Bertsch",6,272053,"PGAChampionshipPoints",2011
82,82,"Chris Stroud",7,271320,"PGAChampionshipPoints",2011
83,83,"Jhonattan Vegas",6,267946,"PGAChampionshipPoints",2011
84,84,"Louis Oosthuizen",4,261300,"PGAChampionshipPoints",2011
85,85,"Matt McQuillan",6,256438,"PGAChampionshipPoints",2011
86,86,"Kevin Streelman",6,242458,"PGAChampionshipPoints",2011
87,87,"Heath Slocum",8,238279,"PGAChampionshipPoints",2011
88,88,"Scott McCarron",6,236008,"PGAChampionshipPoints",2011
89,89,"Padraig Harrington",5,234019,"PGAChampionshipPoints",2011
90,90,"Tim Herron",7,233817,"PGAChampionshipPoints",2011
91,91,"Rory McIlroy",2,230400,"PGAChampionshipPoints",2011
92,92,"Sean OHair",6,220217,"PGAChampionshipPoints",2011
93,93,"Jimmy Walker",4,215852,"PGAChampionshipPoints",2011
94,94,"Paul Casey",5,211811,"PGAChampionshipPoints",2011
95,95,"Chad Campbell",7,204944,"PGAChampionshipPoints",2011
