"RyderCupWorldPoints_RANKTHISWEEK_2011","RyderCupWorldPoints_RANKLASTWEEK_2011","RyderCupWorldPoints_PLAYERNAME_2011","RyderCupWorldPoints__2011","RyderCupWorldPoints_POINTS_2011","stat_name","year"
1,NA,"Rory McIlroy",NA,137.52,"RyderCupWorldPoints",2011
2,NA,"Luke Donald",NA,133.21,"RyderCupWorldPoints",2011
3,NA,"Martin Kaymer",NA,110.29,"RyderCupWorldPoints",2011
4,NA,"Lee Westwood",NA,98.61,"RyderCupWorldPoints",2011
5,NA,"Gonzalo Fdez Castano",NA,92.83,"RyderCupWorldPoints",2011
6,NA,"Justin Rose",NA,88.13,"RyderCupWorldPoints",2011
7,NA,"Sergio Garcia",NA,80.1,"RyderCupWorldPoints",2011
8,NA,"Simon Dyson",NA,73.08,"RyderCupWorldPoints",2011
9,NA,"Graeme McDowell",NA,70.26,"RyderCupWorldPoints",2011
10,NA,"Alvaro Quiros",NA,68.19,"RyderCupWorldPoints",2011
11,NA,"Joost Luiten",NA,65.16,"RyderCupWorldPoints",2011
12,NA,"Paul Casey",NA,61.09,"RyderCupWorldPoints",2011
13,NA,"Michael Hoey",NA,58.91,"RyderCupWorldPoints",2011
14,NA,"Freddie Jacobson",NA,57.67,"RyderCupWorldPoints",2011
15,NA,"Peter Hanson",NA,57.08,"RyderCupWorldPoints",2011
16,NA,"Thomas Bjorn",NA,56.94,"RyderCupWorldPoints",2011
17,NA,"Ian Poulter",NA,50.99,"RyderCupWorldPoints",2011
18,NA,"David Lynn",NA,49.73,"RyderCupWorldPoints",2011
19,NA,"Paul Lawrie",NA,45.84,"RyderCupWorldPoints",2011
20,NA,"Richie Ramsay",NA,45.61,"RyderCupWorldPoints",2011
21,NA,"Gregory Havret",NA,45.06,"RyderCupWorldPoints",2011
22,NA,"Miguel Angel Jimenez",NA,42.58,"RyderCupWorldPoints",2011
23,NA,"Sam Little",NA,40.7,"RyderCupWorldPoints",2011
24,NA,"Robert Karlsson",NA,38.65,"RyderCupWorldPoints",2011
25,NA,"Shane Lowry",NA,38.47,"RyderCupWorldPoints",2011
26,NA,"Tom Lewis",NA,37,"RyderCupWorldPoints",2011
27,NA,"Tommy Fleetwood",NA,35.76,"RyderCupWorldPoints",2011
28,NA,"Francesco Molinari",NA,34.82,"RyderCupWorldPoints",2011
29,NA,"Rafa Cabrera Bello",NA,33.15,"RyderCupWorldPoints",2011
30,NA,"George Murray",NA,32.64,"RyderCupWorldPoints",2011
31,NA,"Lee Slattery",NA,31.7,"RyderCupWorldPoints",2011
32,NA,"Jamie Donaldson",NA,29.32,"RyderCupWorldPoints",2011
33,NA,"Lorenzo Gagli",NA,25.85,"RyderCupWorldPoints",2011
34,NA,"Bernd Wiesberger",NA,25.38,"RyderCupWorldPoints",2011
35,NA,"James Morrison",NA,25.01,"RyderCupWorldPoints",2011
36,NA,"Steve Webster",NA,24.55,"RyderCupWorldPoints",2011
37,NA,"Alexander Noren",NA,24.06,"RyderCupWorldPoints",2011
38,NA,"Kenneth Ferrie",NA,24,"RyderCupWorldPoints",2011
39,NA,"Andrea Pavan",NA,23.04,"RyderCupWorldPoints",2011
40,NA,"Christian Nilsson",NA,22.44,"RyderCupWorldPoints",2011
41,NA,"Fredrik Andersson Hed",NA,21.43,"RyderCupWorldPoints",2011
42,NA,"Pablo Larrazabal",NA,20.66,"RyderCupWorldPoints",2011
43,NA,"Nicolas Colsaerts",NA,20.28,"RyderCupWorldPoints",2011
44,NA,"Edoardo Molinari",NA,19.92,"RyderCupWorldPoints",2011
45,NA,"Rhys Davies",NA,18.75,"RyderCupWorldPoints",2011
46,NA,"Padraig Harrington",NA,18.71,"RyderCupWorldPoints",2011
47,NA,"Anders Hansen",NA,18.01,"RyderCupWorldPoints",2011
48,NA,"Gary Orr",NA,17.76,"RyderCupWorldPoints",2011
49,NA,"Marcel Siem",NA,17.3,"RyderCupWorldPoints",2011
50,NA,"Peter Lawrie",NA,17.07,"RyderCupWorldPoints",2011
51,NA,"Julien Quesne",NA,16.2,"RyderCupWorldPoints",2011
52,NA,"David Horsey",NA,16.07,"RyderCupWorldPoints",2011
53,NA,"Alejandro Canizares",NA,16.02,"RyderCupWorldPoints",2011
54,NA,"Richard McEvoy",NA,15.75,"RyderCupWorldPoints",2011
55,NA,"Johan Edfors",NA,15.47,"RyderCupWorldPoints",2011
56,NA,"Marc Warren",NA,15.43,"RyderCupWorldPoints",2011
57,NA,"Jose Manuel Lara",NA,15.34,"RyderCupWorldPoints",2011
58,NA,"Robert Rock",NA,15.03,"RyderCupWorldPoints",2011
59,NA,"Pelle Edberg",NA,14.8,"RyderCupWorldPoints",2011
60,NA,"Andrew Johnston",NA,14.3,"RyderCupWorldPoints",2011
61,NA,"Simon Thornton",NA,14.06,"RyderCupWorldPoints",2011
62,NA,"Ross Fisher",NA,13.63,"RyderCupWorldPoints",2011
63,NA,"Magnus Carlsson",NA,11.44,"RyderCupWorldPoints",2011
64,NA,"Gregory Bourdy",NA,11.36,"RyderCupWorldPoints",2011
65,NA,"Robert Jan Derksen",NA,11.04,"RyderCupWorldPoints",2011
66,NA,"Andrew Marshall",NA,10.56,"RyderCupWorldPoints",2011
67,NA,"Danny Willett",NA,10.3,"RyderCupWorldPoints",2011
68,NA,"Thomas Norret",NA,10.1,"RyderCupWorldPoints",2011
69,NA,"Julien Guerrier",NA,9.86,"RyderCupWorldPoints",2011
70,NA,"Rikard Karlberg",NA,9.78,"RyderCupWorldPoints",2011
72,NA,"Mark Foster",NA,9.66,"RyderCupWorldPoints",2011
73,NA,"Peter Whiteford",NA,9.11,"RyderCupWorldPoints",2011
74,NA,"Romain Wattel",NA,8.81,"RyderCupWorldPoints",2011
75,NA,"Knut Borsheim",NA,8.58,"RyderCupWorldPoints",2011
76,NA,"Stephen Gallacher",NA,8.56,"RyderCupWorldPoints",2011
77,NA,"Stephen Dodd",NA,8.33,"RyderCupWorldPoints",2011
78,NA,"Matteo Manassero",NA,8.31,"RyderCupWorldPoints",2011
79,NA,"Paul McGinley",NA,7.71,"RyderCupWorldPoints",2011
81,NA,"Soren Kjeldsen",NA,7.52,"RyderCupWorldPoints",2011
82,NA,"Henrik Stenson",NA,7.11,"RyderCupWorldPoints",2011
83,NA,"Niclas Fasth",NA,7.07,"RyderCupWorldPoints",2011
84,NA,"Chris Doak",NA,6.74,"RyderCupWorldPoints",2011
85,NA,"Phillip Price",NA,6.6,"RyderCupWorldPoints",2011
86,NA,"Oscar Floren",NA,6.53,"RyderCupWorldPoints",2011
