"ProximitytoHolefromRough_RANKTHISWEEK_2006","ProximitytoHolefromRough_RANKLASTWEEK_2006","ProximitytoHolefromRough_PLAYERNAME_2006","ProximitytoHolefromRough_ROUNDS_2006","ProximitytoHolefromRough_AVGDTP_2006","ProximitytoHolefromRough_TOTALDISTANCEFEET_2006","ProximitytoHolefromRough_OFSHOTS_2006","ProximitytoHolefromRough_SCRAMBLINGRANK_2006","stat_name","year"
1,1,"Omar Uresti",61,NA,920.333,141,7,"ProximitytoHolefromRough",2006
2,2,"Justin Leonard",83,NA,1061.417,155,77,"ProximitytoHolefromRough",2006
3,3,"Paul Goydos",72,NA,1014.083,146,25,"ProximitytoHolefromRough",2006
3,3,"Bob Tway",81,NA,1161.5,167,147,"ProximitytoHolefromRough",2006
3,3,"Scott Verplank",88,NA,979.417,141,12,"ProximitytoHolefromRough",2006
6,6,"Thomas Levet",53,NA,842.917,118,81,"ProximitytoHolefromRough",2006
6,6,"Chris Riley",86,NA,1405.917,197,26,"ProximitytoHolefromRough",2006
8,8,"Retief Goosen",68,NA,899.833,124,108,"ProximitytoHolefromRough",2006
8,8,"Steve Stricker",64,NA,931,129,2,"ProximitytoHolefromRough",2006
10,10,"Shigeki Maruyama",94,NA,1591.917,218,21,"ProximitytoHolefromRough",2006
10,10,"Pat Perez",50,NA,848.083,116,166,"ProximitytoHolefromRough",2006
12,12,"Marco Dawson",87,NA,1550.083,208,121,"ProximitytoHolefromRough",2006
12,12,"Luke Donald",66,NA,848.417,115,3,"ProximitytoHolefromRough",2006
12,12,"Jim Furyk",89,NA,932,125,4,"ProximitytoHolefromRough",2006
12,12,"Matt Hansen",68,NA,1327.083,179,89,"ProximitytoHolefromRough",2006
12,12,"Justin Rose",98,NA,1579.583,213,84,"ProximitytoHolefromRough",2006
17,17,"Paul Azinger",87,NA,1642.083,219,8,"ProximitytoHolefromRough",2006
17,17,"Aaron Baddeley",78,NA,1619.167,215,51,"ProximitytoHolefromRough",2006
17,17,"Danny Ellis",68,NA,1235.25,165,90,"ProximitytoHolefromRough",2006
20,20,"Bill Haas",99,NA,1835.5,243,48,"ProximitytoHolefromRough",2006
20,20,"Tim Herron",82,NA,1324.417,175,148,"ProximitytoHolefromRough",2006
20,20,"Stephen Leaney",84,NA,1413.167,187,19,"ProximitytoHolefromRough",2006
23,23,"JP Hayes",55,NA,1122.25,147,75,"ProximitytoHolefromRough",2006
23,23,"Jonathan Kaye",95,NA,1700.583,223,102,"ProximitytoHolefromRough",2006
23,23,"Corey Pavin",74,NA,1088.333,142,1,"ProximitytoHolefromRough",2006
26,26,"Woody Austin",107,NA,2258.167,291,43,"ProximitytoHolefromRough",2006
26,26,"Mark Brooks",90,NA,1556.667,201,107,"ProximitytoHolefromRough",2006
26,26,"Tim Clark",80,NA,943.333,122,58,"ProximitytoHolefromRough",2006
26,26,"Charley Hoffman",100,NA,1958.667,252,137,"ProximitytoHolefromRough",2006
30,30,"Michael Allen",84,NA,1498.5,192,70,"ProximitytoHolefromRough",2006
30,30,"Jonathan Byrd",66,NA,972.917,124,20,"ProximitytoHolefromRough",2006
30,30,"Ben Crane",85,NA,1240.583,159,120,"ProximitytoHolefromRough",2006
30,30,"Daisuke Maruyama",83,NA,1273.083,162,104,"ProximitytoHolefromRough",2006
30,30,"Rory Sabbatini",84,NA,1566.417,200,50,"ProximitytoHolefromRough",2006
35,35,"Olin Browne",108,NA,1819.75,231,152,"ProximitytoHolefromRough",2006
35,35,"John Cook",67,NA,1049.083,133,28,"ProximitytoHolefromRough",2006
35,35,"Tom Lehman",70,NA,972.917,123,155,"ProximitytoHolefromRough",2006
35,35,"Steve Lowery",99,NA,1770.667,224,111,"ProximitytoHolefromRough",2006
35,35,"Patrick Sheehan",104,NA,1997.833,253,60,"ProximitytoHolefromRough",2006
35,35,"Mike Weir",88,NA,1399.25,176,79,"ProximitytoHolefromRough",2006
41,41,"Billy Andrade",78,NA,1430.917,179,72,"ProximitytoHolefromRough",2006
41,41,"Alex Cejka",93,NA,1661.333,207,156,"ProximitytoHolefromRough",2006
41,41,"Padraig Harrington",54,NA,735.75,92,36,"ProximitytoHolefromRough",2006
41,41,"John Rollins",93,NA,1645.417,206,182,"ProximitytoHolefromRough",2006
41,41,"Bo Van Pelt",102,NA,1813.25,227,99,"ProximitytoHolefromRough",2006
46,46,"Jason Bohn",104,NA,1883,234,13,"ProximitytoHolefromRough",2006
46,46,"JB Holmes",81,NA,1468.667,181,188,"ProximitytoHolefromRough",2006
46,46,"Rod Pampling",89,NA,1622.417,200,85,"ProximitytoHolefromRough",2006
46,46,"DA Points",82,NA,1539.5,190,131,"ProximitytoHolefromRough",2006
46,46,"Mike Sposa",68,NA,1282.75,158,47,"ProximitytoHolefromRough",2006
46,46,"Nicholas Thompson",96,NA,1771.583,220,171,"ProximitytoHolefromRough",2006
