"ScoringRating_RANKTHISWEEK_2008","ScoringRating_RANKLASTWEEK_2008","ScoringRating_PLAYERNAME_2008","ScoringRating_EVENTS_2008","ScoringRating_RATING_2008","stat_name","year"
1,1,"Tiger Woods",3,9.3,"ScoringRating",2008
2,2,"Danny Lee",1,8.8,"ScoringRating",2008
3,3,"Brent Geiberger",1,8.7,"ScoringRating",2008
3,3,"Phil Mickelson",14,8.7,"ScoringRating",2008
3,3,"Casey Wittenberg",2,8.7,"ScoringRating",2008
6,6,"Steve Allan",5,8.6,"ScoringRating",2008
6,6,"Luke Donald",6,8.6,"ScoringRating",2008
6,6,"Soren Kjeldsen",1,8.6,"ScoringRating",2008
6,6,"Graeme Storm",1,8.6,"ScoringRating",2008
10,10,"Darren Clarke",1,8.5,"ScoringRating",2008
10,10,"Anthony Kim",15,8.5,"ScoringRating",2008
10,10,"Ryan Palmer",11,8.5,"ScoringRating",2008
10,10,"Vijay Singh",15,8.5,"ScoringRating",2008
10,10,"Roland Thatcher",4,8.5,"ScoringRating",2008
10,10,"Lee Westwood",3,8.5,"ScoringRating",2008
16,16,"Robert Allenby",22,8.4,"ScoringRating",2008
16,16,"Stephen Ames",15,8.4,"ScoringRating",2008
16,16,"Jay Delsing",1,8.4,"ScoringRating",2008
16,16,"Jim Furyk",18,8.4,"ScoringRating",2008
16,16,"Tommy Gainey",3,8.4,"ScoringRating",2008
16,16,"Sergio Garcia",14,8.4,"ScoringRating",2008
16,16,"Brian Gay",17,8.4,"ScoringRating",2008
16,16,"Retief Goosen",8,8.4,"ScoringRating",2008
16,16,"Rob Grube",1,8.4,"ScoringRating",2008
16,16,"Padraig Harrington",7,8.4,"ScoringRating",2008
16,16,"Pablo Martin Benavides",1,8.4,"ScoringRating",2008
16,16,"Yusaku Miyazato",1,8.4,"ScoringRating",2008
16,16,"Pat Perez",18,8.4,"ScoringRating",2008
16,16,"Justin Rose",6,8.4,"ScoringRating",2008
30,30,"Stuart Appleby",16,8.3,"ScoringRating",2008
30,30,"Jason Bohn",7,8.3,"ScoringRating",2008
30,30,"Chad Campbell",18,8.3,"ScoringRating",2008
30,30,"Fred Couples",12,8.3,"ScoringRating",2008
30,30,"Ernie Els",7,8.3,"ScoringRating",2008
30,30,"Mathew Goggin",18,8.3,"ScoringRating",2008
30,30,"Bill Haas",17,8.3,"ScoringRating",2008
30,30,"Anders Hansen",2,8.3,"ScoringRating",2008
30,30,"Gregory Havret",1,8.3,"ScoringRating",2008
30,30,"Ryuji Imada",14,8.3,"ScoringRating",2008
30,30,"Freddie Jacobson",13,8.3,"ScoringRating",2008
30,30,"Jerry Kelly",13,8.3,"ScoringRating",2008
30,30,"Justin Leonard",19,8.3,"ScoringRating",2008
30,30,"Michael Letzig",13,8.3,"ScoringRating",2008
30,30,"Hunter Mahan",16,8.3,"ScoringRating",2008
30,30,"Steve Marino",25,8.3,"ScoringRating",2008
30,30,"Nick OHern",15,8.3,"ScoringRating",2008
30,30,"Geoff Ogilvy",10,8.3,"ScoringRating",2008
30,30,"Stephen Poole",1,8.3,"ScoringRating",2008
30,30,"Adam Scott",7,8.3,"ScoringRating",2008
30,30,"Steve Stricker",12,8.3,"ScoringRating",2008
30,30,"Marc Turnesa",12,8.3,"ScoringRating",2008
30,30,"Camilo Villegas",15,8.3,"ScoringRating",2008
53,53,"Aaron Baddeley",13,8.2,"ScoringRating",2008
53,53,"Bart Bryant",15,8.2,"ScoringRating",2008
53,53,"Mark Calcavecchia",9,8.2,"ScoringRating",2008
53,53,"Paul Casey",7,8.2,"ScoringRating",2008
53,53,"KJ Choi",13,8.2,"ScoringRating",2008
53,53,"Daniel Chopra",13,8.2,"ScoringRating",2008
53,53,"Stewart Cink",16,8.2,"ScoringRating",2008
53,53,"Tim Clark",16,8.2,"ScoringRating",2008
53,53,"Ben Crane",17,8.2,"ScoringRating",2008
53,53,"Jason Dufner",6,8.2,"ScoringRating",2008
53,53,"Joe Durant",15,8.2,"ScoringRating",2008
53,53,"Steve Elkington",16,8.2,"ScoringRating",2008
53,53,"Bob Heintz",6,8.2,"ScoringRating",2008
53,53,"Charles Howell III",18,8.2,"ScoringRating",2008
53,53,"John Huston",10,8.2,"ScoringRating",2008
53,53,"Kent Jones",10,8.2,"ScoringRating",2008
53,53,"Matt Kuchar",14,8.2,"ScoringRating",2008
53,53,"Tom Lehman",6,8.2,"ScoringRating",2008
53,53,"George McNeill",19,8.2,"ScoringRating",2008
53,53,"Ryan Moore",11,8.2,"ScoringRating",2008
53,53,"Jonathan Moore",1,8.2,"ScoringRating",2008
53,53,"Joe Ogilvie",17,8.2,"ScoringRating",2008
53,53,"Rod Pampling",11,8.2,"ScoringRating",2008
53,53,"Corey Pavin",11,8.2,"ScoringRating",2008
53,53,"Kenny Perry",22,8.2,"ScoringRating",2008
53,53,"Jeff Quinney",15,8.2,"ScoringRating",2008
53,53,"John Senden",17,8.2,"ScoringRating",2008
53,53,"Kevin Sutherland",21,8.2,"ScoringRating",2008
53,53,"Vaughn Taylor",18,8.2,"ScoringRating",2008
53,53,"Bob Tway",13,8.2,"ScoringRating",2008
53,53,"Mike Weir",15,8.2,"ScoringRating",2008
53,53,"Garrett Willis",4,8.2,"ScoringRating",2008
85,85,"Tommy Armour III",12,8.1,"ScoringRating",2008
85,85,"Woody Austin",21,8.1,"ScoringRating",2008
85,85,"Cameron Beckman",12,8.1,"ScoringRating",2008
85,85,"Guy Boros",2,8.1,"ScoringRating",2008
85,85,"Angel Cabrera",7,8.1,"ScoringRating",2008
85,85,"Alex Cejka",10,8.1,"ScoringRating",2008
85,85,"Jose Coceres",5,8.1,"ScoringRating",2008
85,85,"Jason Day",12,8.1,"ScoringRating",2008
85,85,"Ken Duke",23,8.1,"ScoringRating",2008
85,85,"Robert Garrigus",17,8.1,"ScoringRating",2008
85,85,"Jason Gore",15,8.1,"ScoringRating",2008
85,85,"Nathan Green",17,8.1,"ScoringRating",2008
85,85,"Dudley Hart",14,8.1,"ScoringRating",2008
85,85,"JP Hayes",7,8.1,"ScoringRating",2008
85,85,"Mark Hensby",9,8.1,"ScoringRating",2008
85,85,"Charley Hoffman",16,8.1,"ScoringRating",2008
85,85,"JB Holmes",15,8.1,"ScoringRating",2008
85,85,"Brandt Jobe",6,8.1,"ScoringRating",2008
85,85,"Zach Johnson",16,8.1,"ScoringRating",2008
85,85,"Dustin Johnson",15,8.1,"ScoringRating",2008
85,85,"Craig Kanada",9,8.1,"ScoringRating",2008
85,85,"Robert Karlsson",3,8.1,"ScoringRating",2008
85,85,"Cliff Kresge",12,8.1,"ScoringRating",2008
85,85,"Ian Leggatt",2,8.1,"ScoringRating",2008
85,85,"Davis Love III",14,8.1,"ScoringRating",2008
85,85,"Daisuke Maruyama",2,8.1,"ScoringRating",2008
85,85,"Troy Matteson",16,8.1,"ScoringRating",2008
85,85,"Jose Maria Olazabal",2,8.1,"ScoringRating",2008
85,85,"Jesper Parnevik",13,8.1,"ScoringRating",2008
85,85,"Tom Pernice Jr",22,8.1,"ScoringRating",2008
85,85,"Tim Petrovic",14,8.1,"ScoringRating",2008
85,85,"Carl Pettersson",23,8.1,"ScoringRating",2008
