"BonusPutting_RANKTHISWEEK_2012","BonusPutting_RANKLASTWEEK_2012","BonusPutting_PLAYERNAME_2012","BonusPutting_ROUNDS_2012","BonusPutting_VALUE_2012","BonusPutting_ATTEMPTS_2012","BonusPutting_TOTMADE20_2012","BonusPutting_TOTMADE_2012","stat_name","year"
1,1,"Brandt Snedeker",81,102.4,876,42,855,"BonusPutting",2012
2,2,"Louis Oosthuizen",65,102.29,699,27,688,"BonusPutting",2012
3,3,"Ben Crane",73,102.21,859,50,828,"BonusPutting",2012
4,4,"William McGirt",96,101.79,1115,45,1090,"BonusPutting",2012
5,5,"Gavin Coles",72,101.78,786,31,769,"BonusPutting",2012
6,6,"Derek Lamely",64,101.42,772,35,748,"BonusPutting",2012
7,7,"Jonas Blixt",72,101.38,867,33,846,"BonusPutting",2012
8,8,"Ben Curtis",62,101.34,672,27,654,"BonusPutting",2012
9,9,"Phil Mickelson",79,101.33,830,34,807,"BonusPutting",2012
10,10,"Ian Poulter",57,101.3,538,16,529,"BonusPutting",2012
11,11,"Bo Van Pelt",84,101.26,870,26,855,"BonusPutting",2012
12,12,"Luke Donald",63,101.22,657,22,643,"BonusPutting",2012
13,13,"Tiger Woods",69,101.17,682,28,662,"BonusPutting",2012
14,14,"Martin Flores",95,101.16,1124,46,1091,"BonusPutting",2012
14,14,"Sergio Garcia",57,101.16,606,16,597,"BonusPutting",2012
16,16,"Matt Kuchar",86,100.97,932,35,906,"BonusPutting",2012
17,17,"Johnson Wagner",88,100.86,1044,36,1017,"BonusPutting",2012
18,18,"Jason Day",57,100.77,648,21,632,"BonusPutting",2012
18,18,"Webb Simpson",77,100.77,910,39,878,"BonusPutting",2012
20,20,"James Driscoll",83,100.71,992,40,959,"BonusPutting",2012
20,20,"Brian Harman",101,100.71,1266,52,1223,"BonusPutting",2012
22,22,"Brian Gay",91,100.65,1080,30,1057,"BonusPutting",2012
22,22,"David Hearn",95,100.65,1224,40,1192,"BonusPutting",2012
24,24,"Keegan Bradley",90,100.61,989,37,958,"BonusPutting",2012
25,25,"John Huh",99,100.59,1196,41,1162,"BonusPutting",2012
26,26,"Greg Chalmers",88,100.58,1038,29,1015,"BonusPutting",2012
27,27,"Michael Thompson",80,100.56,899,34,870,"BonusPutting",2012
28,28,"Jason Dufner",83,100.55,911,40,876,"BonusPutting",2012
29,29,"Scott Piercy",95,100.5,1190,44,1152,"BonusPutting",2012
30,30,"Edward Loar",59,100.49,608,20,591,"BonusPutting",2012
30,30,"Seung Yul Noh",105,100.49,1223,41,1188,"BonusPutting",2012
32,32,"Brendon de Jonge",115,100.48,1444,57,1394,"BonusPutting",2012
33,33,"Jeff Overton",101,100.46,1299,43,1262,"BonusPutting",2012
34,34,"Ryan Palmer",81,100.41,981,31,954,"BonusPutting",2012
