"EaglesHolesper_RANKTHISWEEK_2009","EaglesHolesper_RANKLASTWEEK_2009","EaglesHolesper_PLAYERNAME_2009","EaglesHolesper_ROUNDS_2009","EaglesHolesper_FREQUENCY_2009","EaglesHolesper_OFHOLES_2009","EaglesHolesper_OFEAGLES_2009","stat_name","year"
1,1,"Bubba Watson",73,77.3,1314,17,"EaglesHolesper",2009
2,2,"Retief Goosen",74,82.1,1314,16,"EaglesHolesper",2009
3,3,"Tag Ridings",50,90,900,10,"EaglesHolesper",2009
4,4,"Kevin Stadler",65,97.5,1170,12,"EaglesHolesper",2009
5,5,"Pat Perez",74,108,1296,12,"EaglesHolesper",2009
6,6,"Jimmy Walker",74,111,1332,12,"EaglesHolesper",2009
7,7,"Tiger Woods",64,111.6,1116,10,"EaglesHolesper",2009
8,8,"Phil Mickelson",66,113.4,1134,10,"EaglesHolesper",2009
9,9,"Chris Riley",77,115.5,1386,12,"EaglesHolesper",2009
10,10,"Dustin Johnson",85,116.3,1512,13,"EaglesHolesper",2009
11,11,"Zach Johnson",94,118.3,1656,14,"EaglesHolesper",2009
12,12,"John Senden",100,120,1800,15,"EaglesHolesper",2009
13,13,"Chris Stroud",88,121.8,1584,13,"EaglesHolesper",2009
14,14,"Robert Garrigus",83,124.5,1494,12,"EaglesHolesper",2009
15,15,"Matt Jones",56,126,1008,8,"EaglesHolesper",2009
16,16,"Andres Romero",58,128.3,1026,8,"EaglesHolesper",2009
17,17,"Nick Watney",86,129,1548,12,"EaglesHolesper",2009
18,18,"Martin Laird",72,129.6,1296,10,"EaglesHolesper",2009
19,19,"Aaron Baddeley",66,130,1170,9,"EaglesHolesper",2009
20,20,"Sergio Garcia",59,130.5,1044,8,"EaglesHolesper",2009
21,21,"Camilo Villegas",76,131.4,1314,10,"EaglesHolesper",2009
22,22,"Charley Hoffman",97,134.3,1746,13,"EaglesHolesper",2009
23,23,"Bill Lunde",83,135.8,1494,11,"EaglesHolesper",2009
24,24,"Steve Elkington",70,140,1260,9,"EaglesHolesper",2009
25,25,"Jonathan Byrd",89,145.6,1602,11,"EaglesHolesper",2009
