"GIRPuttingInside5_RANKTHISWEEK_2014","GIRPuttingInside5_RANKLASTWEEK_2014","GIRPuttingInside5_PLAYERNAME_2014","GIRPuttingInside5_ROUNDS_2014","GIRPuttingInside5_Pct_2014","GIRPuttingInside5_ATTEMPTS_2014","GIRPuttingInside5_PUTTSMADE_2014","stat_name","year"
1,1,"Jonas Blixt",64,100,22,22,"GIRPuttingInside5",2014
1,1,"KJ Choi",80,100,30,30,"GIRPuttingInside5",2014
1,1,"Sergio Garcia",61,100,21,21,"GIRPuttingInside5",2014
4,4,"JJ Henry",91,96.97,33,32,"GIRPuttingInside5",2014
5,5,"Graeme McDowell",66,96,25,24,"GIRPuttingInside5",2014
6,6,"Brooks Koepka",56,95.24,21,20,"GIRPuttingInside5",2014
7,7,"Tim Clark",75,93.94,33,31,"GIRPuttingInside5",2014
8,8,"Tommy Gainey",73,93.33,30,28,"GIRPuttingInside5",2014
8,8,"Justin Leonard",75,93.33,30,28,"GIRPuttingInside5",2014
10,10,"Angel Cabrera",69,93.18,44,41,"GIRPuttingInside5",2014
11,11,"Troy Matteson",62,92.59,27,25,"GIRPuttingInside5",2014
12,12,"James Hahn",82,92.5,40,37,"GIRPuttingInside5",2014
13,13,"Wes Roach",67,91.67,36,33,"GIRPuttingInside5",2014
14,14,"Adam Scott",68,91.43,35,32,"GIRPuttingInside5",2014
15,15,"David Toms",64,91.3,23,21,"GIRPuttingInside5",2014
16,16,"Stuart Appleby",92,90.91,44,40,"GIRPuttingInside5",2014
16,16,"Brad Fritsch",50,90.91,22,20,"GIRPuttingInside5",2014
18,18,"George McNeill",79,90.7,43,39,"GIRPuttingInside5",2014
19,19,"Retief Goosen",94,90.24,41,37,"GIRPuttingInside5",2014
19,19,"David Hearn",97,90.24,41,37,"GIRPuttingInside5",2014
21,21,"Aaron Baddeley",74,90,30,27,"GIRPuttingInside5",2014
21,21,"Luke Donald",57,90,20,18,"GIRPuttingInside5",2014
21,21,"Bronson La Cassie",51,90,10,9,"GIRPuttingInside5",2014
21,21,"Ian Poulter",57,90,20,18,"GIRPuttingInside5",2014
21,21,"Brendon Todd",108,90,50,45,"GIRPuttingInside5",2014
21,21,"Gary Woodland",93,90,50,45,"GIRPuttingInside5",2014
27,27,"Hunter Mahan",88,89.8,49,44,"GIRPuttingInside5",2014
28,28,"Woody Austin",63,89.74,39,35,"GIRPuttingInside5",2014
29,29,"Andres Romero",81,89.36,47,42,"GIRPuttingInside5",2014
29,29,"Bubba Watson",76,89.36,47,42,"GIRPuttingInside5",2014
31,31,"Kevin Streelman",79,89.29,28,25,"GIRPuttingInside5",2014
32,32,"Greg Chalmers",85,89.13,46,41,"GIRPuttingInside5",2014
33,33,"Michael Putnam",106,89.06,64,57,"GIRPuttingInside5",2014
34,34,"Martin Flores",85,88.89,36,32,"GIRPuttingInside5",2014
34,34,"Billy Hurley III",86,88.89,36,32,"GIRPuttingInside5",2014
34,34,"Jeff Overton",80,88.89,36,32,"GIRPuttingInside5",2014
34,34,"Patrick Reed",92,88.89,36,32,"GIRPuttingInside5",2014
34,34,"Jim Renner",61,88.89,27,24,"GIRPuttingInside5",2014
39,39,"Chris Stroud",88,88.64,44,39,"GIRPuttingInside5",2014
40,40,"Graham DeLaet",80,88.57,35,31,"GIRPuttingInside5",2014
41,41,"Erik Compton",88,88.37,43,38,"GIRPuttingInside5",2014
42,42,"Ben Curtis",77,88.24,34,30,"GIRPuttingInside5",2014
42,42,"Chesson Hadley",84,88.24,51,45,"GIRPuttingInside5",2014
42,42,"William McGirt",96,88.24,34,30,"GIRPuttingInside5",2014
42,42,"Rory McIlroy",66,88.24,34,30,"GIRPuttingInside5",2014
42,42,"Ryan Palmer",85,88.24,34,30,"GIRPuttingInside5",2014
47,47,"Russell Henley",92,88.1,42,37,"GIRPuttingInside5",2014
47,47,"Kevin Kisner",85,88.1,42,37,"GIRPuttingInside5",2014
49,49,"Justin Hicks",103,87.5,48,42,"GIRPuttingInside5",2014
49,49,"Dustin Johnson",58,87.5,24,21,"GIRPuttingInside5",2014
49,49,"Bo Van Pelt",83,87.5,32,28,"GIRPuttingInside5",2014
52,52,"Kevin Chappell",100,87.27,55,48,"GIRPuttingInside5",2014
53,53,"Charley Hoffman",93,87.23,47,41,"GIRPuttingInside5",2014
54,54,"Will Ma Kenzie",82,87.18,39,34,"GIRPuttingInside5",2014
54,54,"Brandt Snedeker",89,87.18,39,34,"GIRPuttingInside5",2014
56,56,"Jim Furyk",84,87.1,31,27,"GIRPuttingInside5",2014
56,56,"Hudson Swafford",75,87.1,31,27,"GIRPuttingInside5",2014
58,58,"Rickie Fowler",91,86.84,38,33,"GIRPuttingInside5",2014
59,59,"Jason Day",54,86.67,15,13,"GIRPuttingInside5",2014
59,59,"Marc Leishman",81,86.67,45,39,"GIRPuttingInside5",2014
61,61,"Scott Brown",100,86.36,44,38,"GIRPuttingInside5",2014
61,61,"Jimmy Walker",98,86.36,44,38,"GIRPuttingInside5",2014
63,63,"Hideki Matsuyama",82,86.27,51,44,"GIRPuttingInside5",2014
64,64,"Briny Baird",50,86.21,29,25,"GIRPuttingInside5",2014
64,64,"Jordan Spieth",102,86.21,58,50,"GIRPuttingInside5",2014
66,66,"Nicholas Thompson",85,86.11,36,31,"GIRPuttingInside5",2014
67,67,"Josh Teater",90,86.05,43,37,"GIRPuttingInside5",2014
68,68,"Luke Guthrie",85,86,50,43,"GIRPuttingInside5",2014
69,69,"Brendon de Jonge",109,85.71,63,54,"GIRPuttingInside5",2014
69,69,"Jim Herman",62,85.71,21,18,"GIRPuttingInside5",2014
69,69,"Cameron Tringale",111,85.71,49,42,"GIRPuttingInside5",2014
72,72,"Brian Stuard",91,85.37,41,35,"GIRPuttingInside5",2014
73,73,"Brian Harman",111,85.19,54,46,"GIRPuttingInside5",2014
73,73,"Bryce Molder",77,85.19,27,23,"GIRPuttingInside5",2014
73,73,"Kevin Tway",64,85.19,27,23,"GIRPuttingInside5",2014
76,76,"Harris English",95,85.11,47,40,"GIRPuttingInside5",2014
77,77,"Louis Oosthuizen",50,85,20,17,"GIRPuttingInside5",2014
77,77,"Pat Perez",84,85,40,34,"GIRPuttingInside5",2014
77,77,"Brendan Steele",89,85,40,34,"GIRPuttingInside5",2014
80,80,"Chris Kirk",105,84.91,53,45,"GIRPuttingInside5",2014
81,81,"Robert Allenby",83,84.85,33,28,"GIRPuttingInside5",2014
81,81,"Tim Wilkinson",86,84.85,33,28,"GIRPuttingInside5",2014
83,83,"Jason Bohn",81,84.78,46,39,"GIRPuttingInside5",2014
84,84,"John Senden",99,84.38,32,27,"GIRPuttingInside5",2014
85,85,"Brice Garnett",92,84.09,44,37,"GIRPuttingInside5",2014
85,85,"Webb Simpson",87,84.09,44,37,"GIRPuttingInside5",2014
87,87,"Ben Martin",80,83.87,31,26,"GIRPuttingInside5",2014
87,87,"Rory Sabbatini",82,83.87,31,26,"GIRPuttingInside5",2014
87,87,"Michael Thompson",74,83.87,31,26,"GIRPuttingInside5",2014
90,90,"Zach Johnson",97,83.64,55,46,"GIRPuttingInside5",2014
91,91,"Ben Crane",81,83.33,42,35,"GIRPuttingInside5",2014
91,91,"Matt Every",85,83.33,24,20,"GIRPuttingInside5",2014
91,91,"Jerry Kelly",80,83.33,36,30,"GIRPuttingInside5",2014
91,91,"Jason Kokrak",65,83.33,30,25,"GIRPuttingInside5",2014
91,91,"Scott Langley",95,83.33,60,50,"GIRPuttingInside5",2014
96,96,"Ryan Moore",86,82.86,35,29,"GIRPuttingInside5",2014
96,96,"Justin Rose",70,82.86,35,29,"GIRPuttingInside5",2014
98,98,"Richard Lee",80,82.76,29,24,"GIRPuttingInside5",2014
98,98,"Will Wilcox",51,82.76,29,24,"GIRPuttingInside5",2014
100,100,"YE Yang",79,82.5,40,33,"GIRPuttingInside5",2014
101,101,"Chad Collins",78,82.14,28,23,"GIRPuttingInside5",2014
101,101,"Nick Watney",80,82.14,28,23,"GIRPuttingInside5",2014
103,103,"John Huh",87,82.05,39,32,"GIRPuttingInside5",2014
103,103,"Charlie Wi",72,82.05,39,32,"GIRPuttingInside5",2014
105,105,"JB Holmes",86,82,50,41,"GIRPuttingInside5",2014
106,106,"Freddie Jacobson",91,81.82,33,27,"GIRPuttingInside5",2014
107,107,"Ricky Barnes",92,81.58,38,31,"GIRPuttingInside5",2014
107,107,"Jonathan Byrd",76,81.58,38,31,"GIRPuttingInside5",2014
107,107,"Kevin Na",94,81.58,38,31,"GIRPuttingInside5",2014
110,110,"Johnson Wagner",69,81.48,27,22,"GIRPuttingInside5",2014
111,111,"Scott Stallings",77,81.25,32,26,"GIRPuttingInside5",2014
112,112,"Camilo Villegas",95,81.13,53,43,"GIRPuttingInside5",2014
113,113,"Sangmoon Bae",76,81.08,37,30,"GIRPuttingInside5",2014
113,113,"Troy Merritt",62,81.08,37,30,"GIRPuttingInside5",2014
115,115,"Seung Yul Noh",92,80.85,47,38,"GIRPuttingInside5",2014
116,116,"Brian Gay",81,80.65,31,25,"GIRPuttingInside5",2014
117,117,"Boo Weekley",73,80.56,36,29,"GIRPuttingInside5",2014
118,118,"Keegan Bradley",89,80.49,41,33,"GIRPuttingInside5",2014
119,119,"James Driscoll",71,80,40,32,"GIRPuttingInside5",2014
119,119,"Heath Slocum",71,80,35,28,"GIRPuttingInside5",2014
121,121,"Bill Haas",107,79.59,49,39,"GIRPuttingInside5",2014
122,122,"Ernie Els",85,79.49,39,31,"GIRPuttingInside5",2014
123,123,"Tyrone Van Aswegen",79,79.41,34,27,"GIRPuttingInside5",2014
124,124,"Ryo Ishikawa",75,79.17,48,38,"GIRPuttingInside5",2014
124,124,"Martin Laird",66,79.17,24,19,"GIRPuttingInside5",2014
124,124,"Andrew Loupe",65,79.17,24,19,"GIRPuttingInside5",2014
124,124,"Henrik Stenson",56,79.17,24,19,"GIRPuttingInside5",2014
128,128,"John Rollins",84,78.79,33,26,"GIRPuttingInside5",2014
129,129,"Spencer Levin",59,78.57,14,11,"GIRPuttingInside5",2014
129,129,"Phil Mickelson",71,78.57,28,22,"GIRPuttingInside5",2014
131,131,"John Merrick",87,78.38,37,29,"GIRPuttingInside5",2014
132,132,"Ken Duke",80,78.13,32,25,"GIRPuttingInside5",2014
133,133,"Paul Casey",56,77.78,27,21,"GIRPuttingInside5",2014
133,133,"Stewart Cink",91,77.78,36,28,"GIRPuttingInside5",2014
133,133,"Charles Howell III",106,77.78,54,42,"GIRPuttingInside5",2014
133,133,"DH Lee",54,77.78,18,14,"GIRPuttingInside5",2014
133,133,"DA Points",75,77.78,36,28,"GIRPuttingInside5",2014
138,138,"Daniel Summerhays",98,77.55,49,38,"GIRPuttingInside5",2014
139,139,"Derek Ernst",80,77.42,31,24,"GIRPuttingInside5",2014
139,139,"Robert Streb",75,77.42,31,24,"GIRPuttingInside5",2014
141,141,"Russell Knox",92,76.92,39,30,"GIRPuttingInside5",2014
142,142,"Carl Pettersson",91,76.74,43,33,"GIRPuttingInside5",2014
143,143,"David Lingmerth",80,76.6,47,36,"GIRPuttingInside5",2014
144,144,"Sean OHair",77,76.47,34,26,"GIRPuttingInside5",2014
145,145,"Geoff Ogilvy",84,76.32,38,29,"GIRPuttingInside5",2014
146,146,"Steven Bowditch",93,76.19,42,32,"GIRPuttingInside5",2014
147,147,"Billy Horschel",92,76,25,19,"GIRPuttingInside5",2014
147,147,"Mike Weir",69,76,25,19,"GIRPuttingInside5",2014
149,149,"Bud Cauley",56,75,28,21,"GIRPuttingInside5",2014
149,149,"Robert Garrigus",80,75,32,24,"GIRPuttingInside5",2014
149,149,"Morgan Hoffmann",103,75,40,30,"GIRPuttingInside5",2014
149,149,"Charl Schwartzel",64,75,40,30,"GIRPuttingInside5",2014
149,149,"Kyle Stanley",87,75,36,27,"GIRPuttingInside5",2014
154,154,"Trevor Immelman",84,74.47,47,35,"GIRPuttingInside5",2014
155,155,"Andrew Svoboda",77,74.07,27,20,"GIRPuttingInside5",2014
156,156,"Matt Kuchar",91,74,50,37,"GIRPuttingInside5",2014
157,157,"Charlie Beljan",76,73.68,38,28,"GIRPuttingInside5",2014
158,158,"John Peterson",62,73.33,30,22,"GIRPuttingInside5",2014
159,159,"Brian Davis",93,73.17,41,30,"GIRPuttingInside5",2014
160,160,"Martin Kaymer",65,73.08,26,19,"GIRPuttingInside5",2014
160,160,"Shawn Stefani",60,73.08,26,19,"GIRPuttingInside5",2014
160,160,"Mark Wilson",69,73.08,26,19,"GIRPuttingInside5",2014
163,163,"Danny Lee",84,72.22,36,26,"GIRPuttingInside5",2014
164,164,"Gonzalo Fdez Castano",83,71.43,35,25,"GIRPuttingInside5",2014
164,164,"Lee Westwood",57,71.43,21,15,"GIRPuttingInside5",2014
166,166,"Davis Love III",74,70.97,31,22,"GIRPuttingInside5",2014
167,167,"Jason Dufner",57,70.83,24,17,"GIRPuttingInside5",2014
168,168,"Kevin Stadler",90,70.73,41,29,"GIRPuttingInside5",2014
169,169,"Chad Campbell",57,70.59,34,24,"GIRPuttingInside5",2014
170,170,"Jeff Maggert",54,68.75,16,11,"GIRPuttingInside5",2014
171,171,"Jhonattan Vegas",77,68,25,17,"GIRPuttingInside5",2014
172,172,"Ted Potter Jr",68,67.57,37,25,"GIRPuttingInside5",2014
173,173,"Lucas Glover",68,65.71,35,23,"GIRPuttingInside5",2014
174,174,"Vijay Singh",83,64.71,34,22,"GIRPuttingInside5",2014
175,175,"Matt Jones",83,62.5,32,20,"GIRPuttingInside5",2014
176,176,"Jamie Lovemark",64,57.69,26,15,"GIRPuttingInside5",2014
177,177,"Roberto Castro",76,53.85,39,21,"GIRPuttingInside5",2014
