"TotalDistanceEfficiency_RANKTHISWEEK_2007","TotalDistanceEfficiency_RANKLASTWEEK_2007","TotalDistanceEfficiency_PLAYERNAME_2007","TotalDistanceEfficiency_ROUNDS_2007","TotalDistanceEfficiency_AVG_2007","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2007","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2007","TotalDistanceEfficiency_TOTALATTEMPTS_2007","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2007","stat_name","year"
1,NA,"Kirk Triplett",77,2.673,284.675,106.508,60,3.43,"TotalDistanceEfficiency",2007
2,NA,"Bubba Dickerson",51,2.669,303.069,113.557,27,2.943,"TotalDistanceEfficiency",2007
3,NA,"Luke Donald",69,2.663,292.057,109.669,42,3.3,"TotalDistanceEfficiency",2007
4,NA,"Vaughn Taylor",91,2.662,289.325,108.683,58,3.113,"TotalDistanceEfficiency",2007
5,NA,"Craig Barlow",52,2.661,301.822,113.428,26,3.184,"TotalDistanceEfficiency",2007
6,NA,"Craig Bowden",78,2.651,270.054,101.859,52,3.136,"TotalDistanceEfficiency",2007
7,NA,"Billy Mayfair",98,2.65,285.384,107.686,65,3.077,"TotalDistanceEfficiency",2007
8,NA,"JP Hayes",89,2.646,293.139,110.782,57,3.035,"TotalDistanceEfficiency",2007
9,NA,"Mark Wilson",87,2.643,286.313,108.33,64,3.176,"TotalDistanceEfficiency",2007
10,NA,"Mike Weir",82,2.641,296.009,112.062,47,3.061,"TotalDistanceEfficiency",2007
11,NA,"Jeff Maggert",79,2.639,286.248,108.461,57,3.27,"TotalDistanceEfficiency",2007
11,NA,"Darron Stiles",65,2.639,286.198,108.454,35,3.151,"TotalDistanceEfficiency",2007
13,NA,"Arron Oberholser",69,2.636,289.858,109.975,49,3.443,"TotalDistanceEfficiency",2007
14,NA,"Mark Brooks",53,2.635,272.111,103.263,29,2.904,"TotalDistanceEfficiency",2007
14,NA,"Jerry Kelly",101,2.635,284.607,108.005,64,3.049,"TotalDistanceEfficiency",2007
16,NA,"Stuart Appleby",74,2.633,303.102,115.134,59,3.277,"TotalDistanceEfficiency",2007
17,NA,"Mathew Goggin",97,2.632,302.557,114.965,62,3.033,"TotalDistanceEfficiency",2007
17,NA,"Peter Lonard",85,2.632,296.684,112.707,53,2.962,"TotalDistanceEfficiency",2007
19,NA,"Daisuke Maruyama",86,2.631,287.198,109.151,54,3.003,"TotalDistanceEfficiency",2007
19,NA,"Geoff Ogilvy",84,2.631,306.137,116.345,52,3.436,"TotalDistanceEfficiency",2007
19,NA,"Jay Williamson",50,2.631,290.131,110.273,30,2.978,"TotalDistanceEfficiency",2007
22,NA,"Adam Scott",69,2.627,310.841,118.332,45,3.304,"TotalDistanceEfficiency",2007
23,NA,"Shigeki Maruyama",84,2.623,277.731,105.865,55,2.975,"TotalDistanceEfficiency",2007
