"Total1Putts2025_RANKTHISWEEK_2007","Total1Putts2025_RANKLASTWEEK_2007","Total1Putts2025_PLAYERNAME_2007","Total1Putts2025_ROUNDS_2007","Total1Putts2025_TOTAL_2007","Total1Putts2025_TOTALFORALLDISTANCES_2007","Total1Putts2025_PCTOFALL1PUTTS_2007","stat_name","year"
1,1,"Jesper Parnevik",88,29,558,5.2,"Total1Putts2025",2007
2,2,"Carl Pettersson",111,25,672,3.7,"Total1Putts2025",2007
3,3,"Ryan Armour",107,23,633,3.6,"Total1Putts2025",2007
4,4,"Chad Campbell",96,21,464,4.5,"Total1Putts2025",2007
4,4,"Jason Dufner",100,21,592,3.5,"Total1Putts2025",2007
4,4,"Ryuji Imada",104,21,694,3,"Total1Putts2025",2007
4,4,"Troy Matteson",87,21,536,3.9,"Total1Putts2025",2007
4,4,"Tom Pernice Jr",104,21,634,3.3,"Total1Putts2025",2007
9,9,"Nathan Green",103,20,658,3,"Total1Putts2025",2007
9,9,"Vaughn Taylor",91,20,527,3.8,"Total1Putts2025",2007
9,9,"DJ Trahan",99,20,597,3.4,"Total1Putts2025",2007
12,12,"Brian Davis",101,19,606,3.1,"Total1Putts2025",2007
12,12,"Joe Durant",88,19,432,4.4,"Total1Putts2025",2007
12,12,"Steve Elkington",87,19,523,3.6,"Total1Putts2025",2007
12,12,"Freddie Jacobson",70,19,501,3.8,"Total1Putts2025",2007
12,12,"Craig Kanada",109,19,654,2.9,"Total1Putts2025",2007
12,12,"Jeff Maggert",79,19,522,3.6,"Total1Putts2025",2007
12,12,"Corey Pavin",81,19,510,3.7,"Total1Putts2025",2007
12,12,"Tim Petrovic",106,19,716,2.7,"Total1Putts2025",2007
12,12,"Jeff Quinney",95,19,589,3.2,"Total1Putts2025",2007
12,12,"Jason Schultz",63,19,362,5.2,"Total1Putts2025",2007
12,12,"Bob Tway",103,19,597,3.2,"Total1Putts2025",2007
12,12,"Bo Van Pelt",104,19,657,2.9,"Total1Putts2025",2007
24,24,"Eric Axley",107,18,659,2.7,"Total1Putts2025",2007
24,24,"Glen Day",85,18,507,3.6,"Total1Putts2025",2007
24,24,"Ken Duke",112,18,683,2.6,"Total1Putts2025",2007
24,24,"Will Ma Kenzie",100,18,609,3,"Total1Putts2025",2007
24,24,"Shaun Micheel",91,18,462,3.9,"Total1Putts2025",2007
24,24,"Sean OHair",98,18,596,3,"Total1Putts2025",2007
30,30,"Jonathan Byrd",73,17,475,3.6,"Total1Putts2025",2007
30,30,"Jason Gore",86,17,551,3.1,"Total1Putts2025",2007
30,30,"John Mallinger",96,17,644,2.6,"Total1Putts2025",2007
30,30,"Ryan Moore",92,17,542,3.1,"Total1Putts2025",2007
