"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2014","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2014","GIRPercentagefromOtherthanFairway_PLAYERNAME_2014","GIRPercentagefromOtherthanFairway_ROUNDS_2014","GIRPercentagefromOtherthanFairway_Pct_2014","GIRPercentagefromOtherthanFairway_GREENSHIT_2014","GIRPercentagefromOtherthanFairway_OFHOLES_2014","stat_name","year"
1,1,"Charley Hoffman",93,60.56,324,535,"GIRPercentagefromOtherthanFairway",2014
2,2,"Sergio Garcia",61,59.28,182,307,"GIRPercentagefromOtherthanFairway",2014
3,3,"Charles Howell III",106,59.17,413,698,"GIRPercentagefromOtherthanFairway",2014
4,4,"Jhonattan Vegas",77,58.72,239,407,"GIRPercentagefromOtherthanFairway",2014
5,5,"Bubba Watson",76,57.92,234,404,"GIRPercentagefromOtherthanFairway",2014
6,6,"Stewart Cink",91,56.5,291,515,"GIRPercentagefromOtherthanFairway",2014
7,7,"Jason Kokrak",65,56.36,226,401,"GIRPercentagefromOtherthanFairway",2014
8,8,"Daniel Summerhays",98,56.3,259,460,"GIRPercentagefromOtherthanFairway",2014
9,9,"Kyle Stanley",87,56.12,252,449,"GIRPercentagefromOtherthanFairway",2014
10,10,"Seung Yul Noh",92,55.54,321,578,"GIRPercentagefromOtherthanFairway",2014
11,11,"Rory McIlroy",66,55.43,199,359,"GIRPercentagefromOtherthanFairway",2014
12,12,"Rory Sabbatini",82,55.28,267,483,"GIRPercentagefromOtherthanFairway",2014
13,13,"Jamie Lovemark",64,55.18,213,386,"GIRPercentagefromOtherthanFairway",2014
14,14,"Andrew Svoboda",77,54.95,200,364,"GIRPercentagefromOtherthanFairway",2014
15,15,"Hunter Mahan",88,54.94,228,415,"GIRPercentagefromOtherthanFairway",2014
16,16,"Angel Cabrera",69,54.86,220,401,"GIRPercentagefromOtherthanFairway",2014
17,17,"Justin Rose",70,54.74,208,380,"GIRPercentagefromOtherthanFairway",2014
18,18,"Jimmy Walker",98,54.69,356,651,"GIRPercentagefromOtherthanFairway",2014
19,19,"Graham DeLaet",80,54.55,228,418,"GIRPercentagefromOtherthanFairway",2014
20,20,"Dustin Johnson",58,54.52,187,343,"GIRPercentagefromOtherthanFairway",2014
21,21,"Geoff Ogilvy",84,54.43,252,463,"GIRPercentagefromOtherthanFairway",2014
22,22,"Hudson Swafford",75,54.24,192,354,"GIRPercentagefromOtherthanFairway",2014
23,23,"Justin Hicks",103,54.1,198,366,"GIRPercentagefromOtherthanFairway",2014
24,24,"Boo Weekley",73,54.07,166,307,"GIRPercentagefromOtherthanFairway",2014
25,25,"Charlie Beljan",76,54.01,222,411,"GIRPercentagefromOtherthanFairway",2014
26,26,"Gary Woodland",93,53.93,281,521,"GIRPercentagefromOtherthanFairway",2014
27,27,"Henrik Stenson",56,53.81,127,236,"GIRPercentagefromOtherthanFairway",2014
28,28,"Adam Scott",68,53.8,198,368,"GIRPercentagefromOtherthanFairway",2014
29,29,"Ryan Palmer",85,53.66,264,492,"GIRPercentagefromOtherthanFairway",2014
30,30,"Martin Flores",85,53.61,275,513,"GIRPercentagefromOtherthanFairway",2014
31,31,"Harris English",95,53.59,276,515,"GIRPercentagefromOtherthanFairway",2014
32,32,"Jonathan Byrd",76,53.51,206,385,"GIRPercentagefromOtherthanFairway",2014
33,33,"Robert Streb",75,53.12,213,401,"GIRPercentagefromOtherthanFairway",2014
34,34,"John Merrick",87,53.02,193,364,"GIRPercentagefromOtherthanFairway",2014
35,35,"Phil Mickelson",71,53,221,417,"GIRPercentagefromOtherthanFairway",2014
