"Last5EventsScoring_RANKTHISWEEK_2010","Last5EventsScoring_RANKLASTWEEK_2010","Last5EventsScoring_PLAYERNAME_2010","Last5EventsScoring_EVENTS_2010","Last5EventsScoring_RATING_2010","stat_name","year"
1,1,"Justin Bolli",1,9.3,"Last5EventsScoring",2010
2,4,"Rickie Fowler",1,9.2,"Last5EventsScoring",2010
3,2,"Lee Westwood",1,9,"Last5EventsScoring",2010
4,3,"Robert Gamez",1,8.9,"Last5EventsScoring",2010
5,4,"Tom Lehman",1,8.8,"Last5EventsScoring",2010
5,4,"John Senden",4,8.8,"Last5EventsScoring",2010
7,7,"Michael Connell",4,8.7,"Last5EventsScoring",2010
7,7,"Cameron Tringale",1,8.7,"Last5EventsScoring",2010
7,7,"Johnson Wagner",3,8.7,"Last5EventsScoring",2010
10,10,"Daniel Chopra",1,8.6,"Last5EventsScoring",2010
10,10,"John Ellis",1,8.6,"Last5EventsScoring",2010
10,10,"Jonathan Kaye",1,8.6,"Last5EventsScoring",2010
10,10,"Spencer Levin",3,8.6,"Last5EventsScoring",2010
10,10,"Jamie Lovemark",3,8.6,"Last5EventsScoring",2010
10,10,"Corey Pavin",4,8.6,"Last5EventsScoring",2010
10,10,"Brett Wetterich",3,8.6,"Last5EventsScoring",2010
10,10,"Mark Wilson",4,8.6,"Last5EventsScoring",2010
18,18,"Rich Barcelo",1,8.5,"Last5EventsScoring",2010
18,18,"Craig Bowden",2,8.5,"Last5EventsScoring",2010
18,18,"Paul Casey",3,8.5,"Last5EventsScoring",2010
18,18,"Kevin Chappell",1,8.5,"Last5EventsScoring",2010
18,18,"Ken Duke",3,8.5,"Last5EventsScoring",2010
18,18,"Bill Haas",3,8.5,"Last5EventsScoring",2010
18,18,"Charles Howell III",5,8.5,"Last5EventsScoring",2010
18,18,"Chris Kirk",1,8.5,"Last5EventsScoring",2010
18,18,"George McNeill",2,8.5,"Last5EventsScoring",2010
18,18,"Jeff Quinney",2,8.5,"Last5EventsScoring",2010
18,18,"Vijay Singh",3,8.5,"Last5EventsScoring",2010
18,18,"Jordan Spieth",1,8.5,"Last5EventsScoring",2010
18,18,"Charles Warren",3,8.5,"Last5EventsScoring",2010
18,18,"Tiger Woods",3,8.5,"Last5EventsScoring",2010
32,32,"Steve Allan",1,8.4,"Last5EventsScoring",2010
32,32,"Cameron Beckman",2,8.4,"Last5EventsScoring",2010
32,97,"KJ Choi",2,8.4,"Last5EventsScoring",2010
32,32,"Stewart Cink",4,8.4,"Last5EventsScoring",2010
32,32,"Graham DeLaet",4,8.4,"Last5EventsScoring",2010
32,32,"Joe Durant",5,8.4,"Last5EventsScoring",2010
32,141,"David Duval",2,8.4,"Last5EventsScoring",2010
32,32,"Harrison Frazar",2,8.4,"Last5EventsScoring",2010
32,32,"Retief Goosen",3,8.4,"Last5EventsScoring",2010
32,32,"Charley Hoffman",4,8.4,"Last5EventsScoring",2010
32,32,"Thongchai Jaidee",1,8.4,"Last5EventsScoring",2010
32,32,"Kent Jones",2,8.4,"Last5EventsScoring",2010
32,32,"Soren Kjeldsen",1,8.4,"Last5EventsScoring",2010
32,32,"Jarrod Lyle",1,8.4,"Last5EventsScoring",2010
32,32,"Steve Marino",3,8.4,"Last5EventsScoring",2010
32,32,"Louis Oosthuizen",1,8.4,"Last5EventsScoring",2010
32,32,"Alex Prugh",3,8.4,"Last5EventsScoring",2010
32,32,"Tag Ridings",1,8.4,"Last5EventsScoring",2010
32,32,"Brandt Snedeker",3,8.4,"Last5EventsScoring",2010
32,32,"Kyle Stanley",1,8.4,"Last5EventsScoring",2010
32,32,"Chris Tidland",3,8.4,"Last5EventsScoring",2010
32,32,"Nick Watney",3,8.4,"Last5EventsScoring",2010
32,32,"Dean Wilson",3,8.4,"Last5EventsScoring",2010
55,54,"Robert Allenby",3,8.3,"Last5EventsScoring",2010
55,54,"Jonathan Byrd",5,8.3,"Last5EventsScoring",2010
55,54,"Tim Clark",3,8.3,"Last5EventsScoring",2010
55,54,"Steve Elkington",2,8.3,"Last5EventsScoring",2010
55,54,"Bob Estes",1,8.3,"Last5EventsScoring",2010
55,54,"Todd Fischer",1,8.3,"Last5EventsScoring",2010
55,54,"Rob Grube",1,8.3,"Last5EventsScoring",2010
55,54,"Alex Hamilton",1,8.3,"Last5EventsScoring",2010
55,54,"Peter Hanson",1,8.3,"Last5EventsScoring",2010
55,54,"Bob Heintz",3,8.3,"Last5EventsScoring",2010
55,54,"John Mallinger",2,8.3,"Last5EventsScoring",2010
55,54,"Cameron Percy",2,8.3,"Last5EventsScoring",2010
55,54,"Tom Pernice Jr",3,8.3,"Last5EventsScoring",2010
55,54,"Webb Simpson",4,8.3,"Last5EventsScoring",2010
55,54,"Kevin Stadler",3,8.3,"Last5EventsScoring",2010
55,54,"Paul Stankowski",3,8.3,"Last5EventsScoring",2010
55,54,"Kevin Sutherland",3,8.3,"Last5EventsScoring",2010
55,54,"David Toms",4,8.3,"Last5EventsScoring",2010
73,73,"Chad Campbell",4,8.2,"Last5EventsScoring",2010
73,73,"Glen Day",2,8.2,"Last5EventsScoring",2010
73,73,"Luke Donald",2,8.2,"Last5EventsScoring",2010
73,73,"James Driscoll",2,8.2,"Last5EventsScoring",2010
73,73,"Ernie Els",2,8.2,"Last5EventsScoring",2010
73,73,"Sergio Garcia",2,8.2,"Last5EventsScoring",2010
73,73,"John Huston",2,8.2,"Last5EventsScoring",2010
73,73,"Zach Johnson",4,8.2,"Last5EventsScoring",2010
73,73,"Martin Kaymer",1,8.2,"Last5EventsScoring",2010
73,73,"Greg Kraft",1,8.2,"Last5EventsScoring",2010
73,73,"WC Liang",2,8.2,"Last5EventsScoring",2010
73,73,"Steve Lowery",1,8.2,"Last5EventsScoring",2010
73,73,"Bill Lunde",1,8.2,"Last5EventsScoring",2010
73,73,"Rocco Mediate",4,8.2,"Last5EventsScoring",2010
73,73,"John Merrick",2,8.2,"Last5EventsScoring",2010
73,73,"Garth Mulroy",2,8.2,"Last5EventsScoring",2010
73,73,"Kevin Na",4,8.2,"Last5EventsScoring",2010
73,73,"Geoff Ogilvy",3,8.2,"Last5EventsScoring",2010
73,73,"Pat Perez",4,8.2,"Last5EventsScoring",2010
73,73,"Alistair Presnell",1,8.2,"Last5EventsScoring",2010
73,73,"Jeev Milkha Singh",4,8.2,"Last5EventsScoring",2010
73,73,"Tim Wilkinson",1,8.2,"Last5EventsScoring",2010
95,97,"Aaron Baddeley",4,8.1,"Last5EventsScoring",2010
95,97,"Chris Couch",2,8.1,"Last5EventsScoring",2010
95,97,"Carlos Franco",2,8.1,"Last5EventsScoring",2010
95,97,"Jim Furyk",3,8.1,"Last5EventsScoring",2010
95,97,"Brian Gay",4,8.1,"Last5EventsScoring",2010
95,97,"Padraig Harrington",2,8.1,"Last5EventsScoring",2010
95,97,"Ryuji Imada",3,8.1,"Last5EventsScoring",2010
95,97,"Miguel Angel Jimenez",1,8.1,"Last5EventsScoring",2010
95,97,"Brandt Jobe",1,8.1,"Last5EventsScoring",2010
95,54,"Jerry Kelly",4,8.1,"Last5EventsScoring",2010
95,97,"Frank Lickliter II",2,8.1,"Last5EventsScoring",2010
95,119,"Davis Love III",4,8.1,"Last5EventsScoring",2010
