"GIRPercentage150175yards_RANKTHISWEEK_2006","GIRPercentage150175yards_RANKLASTWEEK_2006","GIRPercentage150175yards_PLAYERNAME_2006","GIRPercentage150175yards_ROUNDS_2006","GIRPercentage150175yards_Pct_2006","GIRPercentage150175yards_GREENSHIT_2006","GIRPercentage150175yards_TOTALHOLES_2006","GIRPercentage150175yards_RELATIVETOPAR_2006","stat_name","year"
1,1,"Jim Furyk",89,74.44,201,270,-0.19,"GIRPercentage150175yards",2006
2,2,"Jeff Gove",91,71.34,219,307,-0.17,"GIRPercentage150175yards",2006
3,3,"Tiger Woods",55,71.33,107,150,-0.22,"GIRPercentage150175yards",2006
4,4,"Stephen Leaney",84,71.04,211,297,-0.18,"GIRPercentage150175yards",2006
5,5,"David Branshaw",98,69.88,225,322,-0.2,"GIRPercentage150175yards",2006
6,6,"Steve Elkington",52,69.74,136,195,-0.09,"GIRPercentage150175yards",2006
7,7,"Luke Donald",66,69.41,118,170,-0.25,"GIRPercentage150175yards",2006
8,8,"Briny Baird",81,68.87,177,257,-0.18,"GIRPercentage150175yards",2006
9,9,"Jerry Smith",94,68.67,217,316,-0.16,"GIRPercentage150175yards",2006
10,10,"Joe Durant",101,68.33,233,341,-0.14,"GIRPercentage150175yards",2006
11,11,"David Toms",76,68.1,158,232,-0.22,"GIRPercentage150175yards",2006
12,12,"Ted Purdy",103,68.05,213,313,-0.16,"GIRPercentage150175yards",2006
13,13,"Danny Ellis",68,67.76,145,214,-0.19,"GIRPercentage150175yards",2006
14,14,"Kevin Sutherland",100,67.27,222,330,-0.11,"GIRPercentage150175yards",2006
15,15,"Thomas Levet",53,67.17,133,198,-0.09,"GIRPercentage150175yards",2006
16,16,"Brent Geiberger",99,67.13,239,356,-0.15,"GIRPercentage150175yards",2006
17,17,"Joey Sindelar",90,66.9,192,287,-0.12,"GIRPercentage150175yards",2006
18,18,"Billy Mayfair",94,66.89,204,305,-0.14,"GIRPercentage150175yards",2006
19,19,"Chris Smith",67,66.82,145,217,-0.14,"GIRPercentage150175yards",2006
20,20,"John Senden",96,66.67,178,267,-0.14,"GIRPercentage150175yards",2006
21,21,"Vijay Singh",103,66.55,191,287,-0.14,"GIRPercentage150175yards",2006
22,22,"Adam Scott",70,66.49,129,194,-0.15,"GIRPercentage150175yards",2006
23,23,"Dudley Hart",83,66.45,206,310,-0.13,"GIRPercentage150175yards",2006
23,23,"Shaun Micheel",96,66.45,202,304,-0.19,"GIRPercentage150175yards",2006
25,25,"Steve Stricker",64,66.31,124,187,-0.23,"GIRPercentage150175yards",2006
26,26,"Ben Curtis",86,66.28,173,261,-0.15,"GIRPercentage150175yards",2006
27,27,"Justin Rose",98,66.25,212,320,-0.18,"GIRPercentage150175yards",2006
28,28,"Trevor Immelman",86,66.2,188,284,-0.16,"GIRPercentage150175yards",2006
29,29,"Kenny Perry",73,66.09,152,230,-0.11,"GIRPercentage150175yards",2006
30,30,"Marco Dawson",87,65.83,183,278,-0.15,"GIRPercentage150175yards",2006
31,31,"Paul Goydos",72,65.67,153,233,-0.1,"GIRPercentage150175yards",2006
31,31,"Arron Oberholser",82,65.67,153,233,-0.2,"GIRPercentage150175yards",2006
33,33,"Phil Mickelson",74,65.5,112,171,-0.16,"GIRPercentage150175yards",2006
34,34,"Kent Jones",103,65.45,216,330,-0.16,"GIRPercentage150175yards",2006
35,35,"Ron Whittaker",81,65.38,187,286,-0.15,"GIRPercentage150175yards",2006
36,36,"Hunter Mahan",98,65.29,222,340,-0.19,"GIRPercentage150175yards",2006
37,37,"Fred Funk",106,65.27,203,311,-0.22,"GIRPercentage150175yards",2006
38,38,"Frank Lickliter II",99,65.13,198,304,-0.21,"GIRPercentage150175yards",2006
39,39,"Steve Jones",83,65.11,181,278,-0.13,"GIRPercentage150175yards",2006
40,40,"KJ Choi",93,65,195,300,-0.13,"GIRPercentage150175yards",2006
40,40,"Matt Hansen",68,65,143,220,-0.06,"GIRPercentage150175yards",2006
42,42,"Jeff Brehaut",100,64.97,230,354,-0.21,"GIRPercentage150175yards",2006
43,43,"Scott Verplank",88,64.87,181,279,-0.18,"GIRPercentage150175yards",2006
44,44,"Rich Beem",85,64.78,160,247,-0.16,"GIRPercentage150175yards",2006
45,45,"Brian Gay",107,64.74,257,397,-0.23,"GIRPercentage150175yards",2006
46,46,"Shigeki Maruyama",94,64.55,213,330,-0.23,"GIRPercentage150175yards",2006
47,47,"Jonathan Kaye",95,64.54,202,313,-0.12,"GIRPercentage150175yards",2006
48,48,"Chad Campbell",91,64.5,169,262,-0.18,"GIRPercentage150175yards",2006
49,49,"Brett Wetterich",82,64.4,161,250,-0.2,"GIRPercentage150175yards",2006
50,50,"Skip Kendall",72,64.35,139,216,-0.2,"GIRPercentage150175yards",2006
51,51,"Paul Stankowski",70,64.34,157,244,-0.2,"GIRPercentage150175yards",2006
52,52,"Chris DiMarco",83,64.26,151,235,-0.16,"GIRPercentage150175yards",2006
53,53,"Mark Wilson",79,64.17,163,254,-0.21,"GIRPercentage150175yards",2006
54,54,"Todd Fischer",101,64.12,218,340,-0.11,"GIRPercentage150175yards",2006
55,55,"Mike Sposa",68,64.1,150,234,-0.16,"GIRPercentage150175yards",2006
56,56,"Bart Bryant",87,63.98,167,261,-0.13,"GIRPercentage150175yards",2006
56,56,"Bubba Dickerson",98,63.98,206,322,-0.18,"GIRPercentage150175yards",2006
58,58,"Jeff Overton",95,63.85,189,296,-0.07,"GIRPercentage150175yards",2006
59,59,"Michael Connell",51,63.8,104,163,-0.15,"GIRPercentage150175yards",2006
60,60,"Olin Browne",108,63.75,197,309,-0.18,"GIRPercentage150175yards",2006
61,61,"Charles Howell III",96,63.72,202,317,-0.13,"GIRPercentage150175yards",2006
62,62,"Daisuke Maruyama",83,63.71,165,259,-0.13,"GIRPercentage150175yards",2006
63,63,"Jeff Sluman",101,63.61,194,305,-0.21,"GIRPercentage150175yards",2006
64,64,"Zach Johnson",98,63.6,180,283,-0.18,"GIRPercentage150175yards",2006
65,65,"John Cook",67,63.59,138,217,-0.1,"GIRPercentage150175yards",2006
66,66,"Retief Goosen",68,63.58,103,162,-0.17,"GIRPercentage150175yards",2006
67,67,"Sergio Garcia",59,63.57,89,140,-0.1,"GIRPercentage150175yards",2006
68,68,"Heath Slocum",96,63.55,197,310,-0.14,"GIRPercentage150175yards",2006
69,69,"Tom Pernice Jr",108,63.38,244,385,-0.19,"GIRPercentage150175yards",2006
70,70,"Charles Warren",93,63.32,183,289,-0.17,"GIRPercentage150175yards",2006
71,71,"Greg Owen",79,63.31,157,248,-0.03,"GIRPercentage150175yards",2006
72,72,"Jerry Kelly",100,63.3,188,297,-0.2,"GIRPercentage150175yards",2006
73,73,"Tjaart van der Walt",60,63.27,124,196,-0.19,"GIRPercentage150175yards",2006
74,74,"Jonathan Byrd",66,63.22,110,174,-0.16,"GIRPercentage150175yards",2006
75,75,"Richard Johnson",94,63.09,200,317,-0.18,"GIRPercentage150175yards",2006
76,76,"Brett Quigley",109,63.07,222,352,-0.16,"GIRPercentage150175yards",2006
77,77,"Tom Lehman",70,63.04,116,184,-0.11,"GIRPercentage150175yards",2006
78,78,"Nathan Green",108,62.97,233,370,-0.18,"GIRPercentage150175yards",2006
79,79,"Kirk Triplett",58,62.89,122,194,-0.23,"GIRPercentage150175yards",2006
80,80,"Bob Estes",85,62.84,186,296,-0.17,"GIRPercentage150175yards",2006
81,81,"Troy Matteson",101,62.82,196,312,-0.13,"GIRPercentage150175yards",2006
82,82,"Rod Pampling",89,62.77,145,231,-0.29,"GIRPercentage150175yards",2006
82,82,"Omar Uresti",61,62.77,118,188,-0.11,"GIRPercentage150175yards",2006
84,84,"John Rollins",93,62.59,179,286,-0.12,"GIRPercentage150175yards",2006
85,85,"Lee Janzen",79,62.55,162,259,-0.16,"GIRPercentage150175yards",2006
86,86,"Ian Poulter",53,62.5,110,176,-0.25,"GIRPercentage150175yards",2006
