"Approachesfrom50125yards_RANKTHISWEEK_2009","Approachesfrom50125yards_RANKLASTWEEK_2009","Approachesfrom50125yards_PLAYERNAME_2009","Approachesfrom50125yards_ROUNDS_2009","Approachesfrom50125yards_AVG_2009","Approachesfrom50125yards_TOTALDISTANCEFEET_2009","Approachesfrom50125yards_OFATTEMPTS_2009","Approachesfrom50125yards_RELATIVETOPAR_2009","stat_name","year"
1,1,"Steve Stricker",81,NA,2867.833,193,-58,"Approachesfrom50125yards",2009
2,2,"Tim Clark",81,NA,2982.167,198,-43,"Approachesfrom50125yards",2009
3,3,"Luke Donald",79,NA,2342.167,151,-28,"Approachesfrom50125yards",2009
3,3,"Justin Leonard",95,NA,3655.333,236,-50,"Approachesfrom50125yards",2009
5,5,"Stuart Appleby",79,NA,2851.167,177,-9,"Approachesfrom50125yards",2009
5,5,"Brian Gay",96,NA,4187.583,261,-43,"Approachesfrom50125yards",2009
7,7,"Charles Howell III",99,NA,3334.583,206,-35,"Approachesfrom50125yards",2009
7,7,"Ryuji Imada",85,NA,2726,169,-28,"Approachesfrom50125yards",2009
9,9,"Briny Baird",89,NA,3151.5,194,-24,"Approachesfrom50125yards",2009
9,9,"Dean Wilson",81,NA,3502.25,215,-45,"Approachesfrom50125yards",2009
11,11,"Bryce Molder",69,NA,2736.917,166,-36,"Approachesfrom50125yards",2009
11,11,"Rory Sabbatini",81,NA,2542.333,154,-17,"Approachesfrom50125yards",2009
11,11,"Charlie Wi",92,NA,3544.917,215,-36,"Approachesfrom50125yards",2009
14,14,"Heath Slocum",95,NA,4505,272,-46,"Approachesfrom50125yards",2009
15,15,"Tiger Woods",64,NA,1451.75,87,-17,"Approachesfrom50125yards",2009
16,16,"Glen Day",79,NA,3132.417,187,-35,"Approachesfrom50125yards",2009
16,16,"Brandt Snedeker",81,NA,2937.5,175,-21,"Approachesfrom50125yards",2009
16,16,"Mike Weir",85,NA,3243.417,194,-34,"Approachesfrom50125yards",2009
19,19,"Zach Johnson",94,NA,3868.5,230,-34,"Approachesfrom50125yards",2009
19,19,"Jimmy Walker",74,NA,1767.417,105,-19,"Approachesfrom50125yards",2009
21,21,"Paul Goydos",79,NA,3424.833,202,-39,"Approachesfrom50125yards",2009
22,22,"Jim Furyk",86,NA,3320.417,195,-33,"Approachesfrom50125yards",2009
22,22,"Sergio Garcia",59,NA,1662.75,98,-18,"Approachesfrom50125yards",2009
24,24,"David Toms",98,NA,4070.75,238,-35,"Approachesfrom50125yards",2009
25,25,"Jason Bohn",88,NA,4104,239,-24,"Approachesfrom50125yards",2009
25,25,"Brian Davis",103,NA,4559.75,266,-67,"Approachesfrom50125yards",2009
25,25,"Brendon de Jonge",90,NA,2985.167,174,-14,"Approachesfrom50125yards",2009
25,25,"Chris DiMarco",97,NA,4035.083,235,-33,"Approachesfrom50125yards",2009
