"DrivingPctMeasured_RANKTHISWEEK_2008","DrivingPctMeasured_RANKLASTWEEK_2008","DrivingPctMeasured_PLAYERNAME_2008","DrivingPctMeasured_ROUNDS_2008","DrivingPctMeasured_Pct_2008","DrivingPctMeasured_TOTALDRIVESFOR_2008","DrivingPctMeasured_TOTALDRVSOVERALL_2008","DrivingPctMeasured_RELATIVETOPAR_2008","stat_name","year"
1,1,"Corey Pavin",69,13.93,17,122,0.06,"DrivingPctMeasured",2008
2,2,"Stephen Leaney",53,9.18,9,98,-0.22,"DrivingPctMeasured",2008
3,3,"Jeff Quinney",87,7.59,12,158,0.42,"DrivingPctMeasured",2008
4,4,"Shane Bertsch",96,6.77,13,192,0.23,"DrivingPctMeasured",2008
5,5,"Richard Johnson",60,6.73,7,104,0.43,"DrivingPctMeasured",2008
6,6,"Olin Browne",77,6.67,10,150,-0.1,"DrivingPctMeasured",2008
7,7,"Jin Park",85,6.49,10,154,0.5,"DrivingPctMeasured",2008
8,8,"Paul Goydos",78,6.25,9,144,0.56,"DrivingPctMeasured",2008
8,8,"Zach Johnson",85,6.25,9,144,0.33,"DrivingPctMeasured",2008
10,10,"Steve Flesch",95,5.29,9,170,-0.22,"DrivingPctMeasured",2008
11,11,"Matt Kuchar",88,5.26,8,152,0.5,"DrivingPctMeasured",2008
12,12,"Mark Calcavecchia",67,5.17,6,116,0,"DrivingPctMeasured",2008
13,13,"Omar Uresti",74,5,7,140,0.43,"DrivingPctMeasured",2008
14,14,"Ryuji Imada",80,4.86,7,144,0.29,"DrivingPctMeasured",2008
14,14,"Nick OHern",82,4.86,7,144,0.14,"DrivingPctMeasured",2008
16,16,"Greg Kraft",63,4.72,5,106,0.8,"DrivingPctMeasured",2008
17,17,"Robert Gamez",79,4.55,7,154,0.43,"DrivingPctMeasured",2008
18,18,"Brian Gay",102,4.44,8,180,0,"DrivingPctMeasured",2008
18,18,"Shigeki Maruyama",50,4.44,4,90,0.5,"DrivingPctMeasured",2008
20,20,"Steve Stricker",75,4.31,5,116,0.6,"DrivingPctMeasured",2008
21,21,"Steve Lowery",74,4.29,6,140,0.17,"DrivingPctMeasured",2008
22,22,"David Duval",51,4.26,4,94,0.25,"DrivingPctMeasured",2008
23,23,"Craig Kanada",65,4.24,5,118,-0.2,"DrivingPctMeasured",2008
24,24,"Ron Whittaker",54,4.17,4,96,0.5,"DrivingPctMeasured",2008
25,25,"Kyle Thompson",70,3.91,5,128,0.4,"DrivingPctMeasured",2008
26,26,"Angel Cabrera",55,3.85,3,78,0.33,"DrivingPctMeasured",2008
27,27,"Carlos Franco",73,3.73,5,134,0,"DrivingPctMeasured",2008
28,28,"Scott Sterling",89,3.7,6,162,0,"DrivingPctMeasured",2008
29,29,"Stephen Ames",83,3.68,5,136,0.4,"DrivingPctMeasured",2008
30,30,"Scott Verplank",82,3.62,5,138,0.4,"DrivingPctMeasured",2008
31,31,"Dean Wilson",109,3.54,7,198,0.29,"DrivingPctMeasured",2008
32,32,"Mike Weir",88,3.52,5,142,-0.2,"DrivingPctMeasured",2008
33,33,"KJ Choi",74,3.45,4,116,0,"DrivingPctMeasured",2008
33,33,"John Mallinger",95,3.45,6,174,0.5,"DrivingPctMeasured",2008
35,35,"Johnson Wagner",83,3.38,5,148,0.2,"DrivingPctMeasured",2008
36,36,"Hunter Mahan",87,3.33,5,150,0.2,"DrivingPctMeasured",2008
37,37,"Jerry Kelly",89,3.29,5,152,0.4,"DrivingPctMeasured",2008
38,38,"Gavin Coles",54,3.26,3,92,-0.33,"DrivingPctMeasured",2008
39,39,"Tim Clark",90,3.25,5,154,0.6,"DrivingPctMeasured",2008
40,40,"Kent Jones",68,3.23,4,124,0,"DrivingPctMeasured",2008
40,40,"Bob Tway",70,3.23,4,124,0,"DrivingPctMeasured",2008
42,42,"Jeff Overton",103,3.16,6,190,0.67,"DrivingPctMeasured",2008
43,43,"Rory Sabbatini",77,3.13,4,128,0.5,"DrivingPctMeasured",2008
44,44,"Peter Lonard",92,3.05,5,164,0.6,"DrivingPctMeasured",2008
