"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2011","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2011","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2011","PercentageofYardagecoveredbyTeeShots_ROUNDS_2011","PercentageofYardagecoveredbyTeeShots_AVGPct_2011","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2011","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2011","stat_name","year"
1,1,"JB Holmes",57,66.84,201238.7,301083,"PercentageofYardagecoveredbyTeeShots",2011
2,2,"Dustin Johnson",72,65.96,229446.3,347873,"PercentageofYardagecoveredbyTeeShots",2011
3,3,"Robert Garrigus",83,65.84,290203.6,440795,"PercentageofYardagecoveredbyTeeShots",2011
4,4,"Bubba Watson",85,65.74,249062.9,378880,"PercentageofYardagecoveredbyTeeShots",2011
5,5,"Steven Bowditch",86,64.98,321454.2,494662,"PercentageofYardagecoveredbyTeeShots",2011
6,6,"Gary Woodland",93,64.83,289460.6,446470,"PercentageofYardagecoveredbyTeeShots",2011
7,7,"Jhonattan Vegas",84,64.72,288561.6,445855,"PercentageofYardagecoveredbyTeeShots",2011
8,8,"Tag Ridings",87,64.43,301972.4,468718,"PercentageofYardagecoveredbyTeeShots",2011
9,9,"Harrison Frazar",58,64.24,170964.6,266145,"PercentageofYardagecoveredbyTeeShots",2011
9,9,"Josh Teater",104,64.24,373759.2,581843,"PercentageofYardagecoveredbyTeeShots",2011
11,11,"Charley Hoffman",93,64.17,303394.7,472784,"PercentageofYardagecoveredbyTeeShots",2011
12,12,"Angel Cabrera",50,64.16,143121.7,223071,"PercentageofYardagecoveredbyTeeShots",2011
13,13,"DJ Trahan",91,64.15,335932.7,523665,"PercentageofYardagecoveredbyTeeShots",2011
14,14,"Martin Laird",77,64.1,252208.8,393482,"PercentageofYardagecoveredbyTeeShots",2011
14,14,"Scott Piercy",78,64.1,257910.7,402328,"PercentageofYardagecoveredbyTeeShots",2011
16,16,"Alex Prugh",82,64.09,289269.3,451331,"PercentageofYardagecoveredbyTeeShots",2011
16,16,"Kyle Stanley",98,64.09,324775.2,506783,"PercentageofYardagecoveredbyTeeShots",2011
16,16,"Nick Watney",80,64.09,252091.7,393343,"PercentageofYardagecoveredbyTeeShots",2011
19,19,"Adam Scott",60,64.03,184535.2,288204,"PercentageofYardagecoveredbyTeeShots",2011
20,20,"Scott Stallings",84,64.02,281120.2,439129,"PercentageofYardagecoveredbyTeeShots",2011
20,20,"Will Strickler",51,64.02,175171.9,273640,"PercentageofYardagecoveredbyTeeShots",2011
22,22,"Jeff Overton",92,63.74,294900.4,462656,"PercentageofYardagecoveredbyTeeShots",2011
23,23,"Phil Mickelson",79,63.71,237861.1,373334,"PercentageofYardagecoveredbyTeeShots",2011
24,24,"Troy Matteson",91,63.68,328092.1,515217,"PercentageofYardagecoveredbyTeeShots",2011
25,25,"Bo Van Pelt",92,63.64,286457.5,450111,"PercentageofYardagecoveredbyTeeShots",2011
26,26,"Jason Day",76,63.58,239025,375935,"PercentageofYardagecoveredbyTeeShots",2011
26,26,"Rickie Fowler",84,63.58,267463.7,420701,"PercentageofYardagecoveredbyTeeShots",2011
28,28,"Davis Love III",70,63.52,209171.9,329280,"PercentageofYardagecoveredbyTeeShots",2011
29,29,"Ryan Palmer",82,63.48,243110.3,382960,"PercentageofYardagecoveredbyTeeShots",2011
30,30,"Keegan Bradley",91,63.46,311037.5,490104,"PercentageofYardagecoveredbyTeeShots",2011
31,31,"Sergio Garcia",61,63.44,181552,286201,"PercentageofYardagecoveredbyTeeShots",2011
31,31,"Bill Haas",93,63.44,291851,460044,"PercentageofYardagecoveredbyTeeShots",2011
33,33,"John Rollins",85,63.4,288656.2,455275,"PercentageofYardagecoveredbyTeeShots",2011
33,33,"Boo Weekley",66,63.4,228825.2,360950,"PercentageofYardagecoveredbyTeeShots",2011
35,35,"Jim Herman",69,63.39,230645.1,363844,"PercentageofYardagecoveredbyTeeShots",2011
36,36,"Aaron Baddeley",77,63.38,250199.4,394758,"PercentageofYardagecoveredbyTeeShots",2011
37,37,"Kevin Chappell",78,63.32,244413.5,386027,"PercentageofYardagecoveredbyTeeShots",2011
38,38,"Andres Romero",77,63.29,272122.5,429995,"PercentageofYardagecoveredbyTeeShots",2011
39,39,"Tommy Gainey",104,63.25,363528.2,574750,"PercentageofYardagecoveredbyTeeShots",2011
39,39,"Anthony Kim",72,63.25,234067.4,370081,"PercentageofYardagecoveredbyTeeShots",2011
41,41,"Chris Couch",73,63.24,271260.3,428943,"PercentageofYardagecoveredbyTeeShots",2011
42,42,"Webb Simpson",98,63.22,331800.6,524867,"PercentageofYardagecoveredbyTeeShots",2011
43,43,"James Driscoll",71,63.19,244459.9,386851,"PercentageofYardagecoveredbyTeeShots",2011
44,44,"Jim Renner",65,63.16,213777.3,338444,"PercentageofYardagecoveredbyTeeShots",2011
45,45,"Michael Putnam",67,63.08,211297.4,334962,"PercentageofYardagecoveredbyTeeShots",2011
46,46,"Bio Kim",71,63,231297.6,367142,"PercentageofYardagecoveredbyTeeShots",2011
47,47,"Tom Gillis",55,62.96,198159.4,314749,"PercentageofYardagecoveredbyTeeShots",2011
48,48,"Derek Lamely",65,62.89,232420,369544,"PercentageofYardagecoveredbyTeeShots",2011
49,49,"Charles Howell III",108,62.88,364290.7,579357,"PercentageofYardagecoveredbyTeeShots",2011
50,50,"Joe Ogilvie",75,62.87,242277.4,385338,"PercentageofYardagecoveredbyTeeShots",2011
51,51,"Steve Marino",76,62.83,247471.5,393896,"PercentageofYardagecoveredbyTeeShots",2011
51,51,"Vijay Singh",79,62.83,286769,456440,"PercentageofYardagecoveredbyTeeShots",2011
53,53,"John Merrick",71,62.76,237883,379030,"PercentageofYardagecoveredbyTeeShots",2011
54,54,"Chris Kirk",87,62.75,306249,488017,"PercentageofYardagecoveredbyTeeShots",2011
54,54,"Zack Miller",86,62.75,298406.4,475511,"PercentageofYardagecoveredbyTeeShots",2011
54,54,"Martin Piller",63,62.75,207161.5,330124,"PercentageofYardagecoveredbyTeeShots",2011
57,57,"Cameron Tringale",110,62.74,385497.5,614424,"PercentageofYardagecoveredbyTeeShots",2011
58,58,"Marc Leishman",87,62.7,318985.7,508735,"PercentageofYardagecoveredbyTeeShots",2011
59,59,"Kevin Stadler",88,62.68,289849.3,462430,"PercentageofYardagecoveredbyTeeShots",2011
60,60,"Robert Karlsson",61,62.66,180121.3,287464,"PercentageofYardagecoveredbyTeeShots",2011
61,61,"Chris Stroud",88,62.63,308456.6,492518,"PercentageofYardagecoveredbyTeeShots",2011
62,62,"Carl Pettersson",95,62.62,357365.8,570735,"PercentageofYardagecoveredbyTeeShots",2011
63,63,"Bill Lunde",92,62.6,306034.1,488853,"PercentageofYardagecoveredbyTeeShots",2011
