"RoughTendency_RANKTHISWEEK_2013","RoughTendency_RANKLASTWEEK_2013","RoughTendency_PLAYERNAME_2013","RoughTendency_ROUNDS_2013","RoughTendency_Pct_2013","RoughTendency_TOTALROUGH_2013","RoughTendency_POSSIBLEFWYS_2013","RoughTendency_RELATIVETOPAR_2013","stat_name","year"
1,1,"Graeme McDowell",53,20.66,107,518,0.65,"RoughTendency",2013
2,2,"Henrik Stenson",65,20.92,127,607,0.16,"RoughTendency",2013
3,3,"Steve Stricker",51,21.02,103,490,-0.29,"RoughTendency",2013
4,4,"KJ Choi",85,22.03,193,876,0.31,"RoughTendency",2013
5,5,"Jim Furyk",80,22.27,198,889,1.31,"RoughTendency",2013
6,6,"Ken Duke",87,22.53,235,1043,1.53,"RoughTendency",2013
7,7,"Tim Clark",64,22.58,135,598,0.89,"RoughTendency",2013
8,8,"Chez Reavie",72,22.75,212,932,0.9,"RoughTendency",2013
9,9,"Roberto Castro",97,22.96,267,1163,0.34,"RoughTendency",2013
10,10,"Zach Johnson",84,22.97,215,936,0.84,"RoughTendency",2013
11,11,"Brian Davis",91,22.98,265,1153,0.94,"RoughTendency",2013
12,12,"Jerry Kelly",75,23.09,205,888,0.98,"RoughTendency",2013
13,13,"Jordan Spieth",82,23.23,216,930,-0.09,"RoughTendency",2013
14,14,"Mark Wilson",56,23.28,162,696,0.56,"RoughTendency",2013
15,15,"Ben Kohles",75,23.36,200,856,1.45,"RoughTendency",2013
16,16,"John Huh",88,23.45,246,1049,0.77,"RoughTendency",2013
17,17,"Justin Hicks",79,23.47,215,916,1.58,"RoughTendency",2013
18,18,"Colt Knost",69,23.72,190,801,1.68,"RoughTendency",2013
19,19,"Ryan Moore",72,23.74,189,796,1.48,"RoughTendency",2013
19,19,"Boo Weekley",100,23.74,274,1154,1.42,"RoughTendency",2013
21,21,"Jeff Maggert",63,23.87,190,796,1.84,"RoughTendency",2013
22,22,"DH Lee",65,24,192,800,0.68,"RoughTendency",2013
23,23,"Lee Westwood",70,24.01,170,708,0.65,"RoughTendency",2013
24,24,"Bo Van Pelt",72,24.06,180,748,1.11,"RoughTendency",2013
25,25,"Doug LaBelle II",72,24.11,196,813,1.84,"RoughTendency",2013
26,26,"David Toms",49,24.32,108,444,1.57,"RoughTendency",2013
27,27,"Darron Stiles",51,24.4,142,582,1.83,"RoughTendency",2013
28,28,"Richard Lee",81,24.42,244,999,1.19,"RoughTendency",2013
29,29,"Kevin Streelman",86,24.6,232,943,0.47,"RoughTendency",2013
30,30,"Ted Potter Jr",65,24.61,189,768,0.48,"RoughTendency",2013
31,31,"Brendon de Jonge",110,24.65,330,1339,0.76,"RoughTendency",2013
32,32,"Brandt Jobe",62,24.69,181,733,0.99,"RoughTendency",2013
33,33,"Jin Park",52,24.79,148,597,1.62,"RoughTendency",2013
34,34,"William McGirt",75,24.85,244,982,0.61,"RoughTendency",2013
35,35,"Hunter Mahan",91,24.92,237,951,0.38,"RoughTendency",2013
36,36,"Jason Bohn",70,24.97,228,913,1.93,"RoughTendency",2013
37,37,"Matt Jones",83,25.08,242,965,0.17,"RoughTendency",2013
38,38,"Brian Stuard",78,25.2,220,873,0.91,"RoughTendency",2013
39,39,"Billy Horschel",96,25.28,290,1147,0.24,"RoughTendency",2013
40,40,"George McNeill",68,25.31,225,889,1.78,"RoughTendency",2013
41,41,"Graham DeLaet",94,25.36,283,1116,0.21,"RoughTendency",2013
42,42,"YE Yang",56,25.44,145,570,2.07,"RoughTendency",2013
43,43,"Chris Stroud",88,25.56,275,1076,-0.11,"RoughTendency",2013
44,44,"Nicholas Thompson",99,25.78,307,1191,0.85,"RoughTendency",2013
45,45,"Luke Donald",60,25.79,164,636,0.24,"RoughTendency",2013
45,45,"Russell Henley",80,25.79,236,915,0.25,"RoughTendency",2013
47,47,"Greg Chalmers",77,25.89,248,958,1.05,"RoughTendency",2013
48,48,"Justin Rose",62,25.94,166,640,-0.48,"RoughTendency",2013
49,49,"Tiger Woods",61,25.97,154,593,0.06,"RoughTendency",2013
