"StrokesGainedPutting_RANKTHISWEEK_2009","StrokesGainedPutting_RANKLASTWEEK_2009","StrokesGainedPutting_PLAYERNAME_2009","StrokesGainedPutting_ROUNDS_2009","StrokesGainedPutting_AVERAGE_2009","StrokesGainedPutting_TOTALPUTTSGAINED_2009","StrokesGainedPutting_MEASUREDROUNDS_2009","stat_name","year"
1,1,"Luke Donald",79,0.935,57.023,61,"StrokesGainedPutting",2009
2,2,"Tiger Woods",64,0.876,42.062,48,"StrokesGainedPutting",2009
3,3,"Brad Faxon",59,0.779,40.493,52,"StrokesGainedPutting",2009
4,4,"Ben Curtis",63,0.768,36.09,47,"StrokesGainedPutting",2009
5,5,"Brandt Snedeker",81,0.76,49.428,65,"StrokesGainedPutting",2009
6,6,"Bryce Molder",69,0.745,40.209,54,"StrokesGainedPutting",2009
7,7,"Brian Gay",96,0.729,59.807,82,"StrokesGainedPutting",2009
8,8,"Jim Furyk",86,0.709,46.093,65,"StrokesGainedPutting",2009
9,9,"Greg Chalmers",85,0.701,49.781,71,"StrokesGainedPutting",2009
10,10,"Matt Kuchar",82,0.7,49.676,71,"StrokesGainedPutting",2009
11,11,"Parker McLachlin",71,0.619,41.49,67,"StrokesGainedPutting",2009
12,12,"Aaron Baddeley",66,0.604,35.021,58,"StrokesGainedPutting",2009
13,13,"Bob Heintz",59,0.601,30.651,51,"StrokesGainedPutting",2009
14,14,"Matt Jones",56,0.58,26.079,45,"StrokesGainedPutting",2009
15,15,"Webb Simpson",94,0.557,48.428,87,"StrokesGainedPutting",2009
16,16,"Joe Ogilvie",85,0.547,42.114,77,"StrokesGainedPutting",2009
17,17,"Pat Perez",74,0.531,32.901,62,"StrokesGainedPutting",2009
18,18,"Freddie Jacobson",83,0.525,38.36,73,"StrokesGainedPutting",2009
19,19,"Geoff Ogilvy",78,0.501,29.077,58,"StrokesGainedPutting",2009
20,20,"Jason Day",61,0.494,24.688,50,"StrokesGainedPutting",2009
21,21,"Charlie Wi",92,0.491,38.804,79,"StrokesGainedPutting",2009
22,22,"Kevin Na",91,0.476,37.091,78,"StrokesGainedPutting",2009
23,23,"Mike Weir",85,0.475,31.794,67,"StrokesGainedPutting",2009
24,24,"Padraig Harrington",66,0.468,22.446,48,"StrokesGainedPutting",2009
24,24,"Scott McCarron",91,0.468,37.91,81,"StrokesGainedPutting",2009
26,26,"Retief Goosen",74,0.462,25.873,56,"StrokesGainedPutting",2009
27,27,"Jeff Klauk",97,0.454,39.914,88,"StrokesGainedPutting",2009
28,28,"Ryuji Imada",85,0.44,30.34,69,"StrokesGainedPutting",2009
29,29,"Ben Crane",93,0.428,34.266,80,"StrokesGainedPutting",2009
30,30,"Corey Pavin",73,0.427,23.046,54,"StrokesGainedPutting",2009
31,31,"Stephen Ames",77,0.424,24.159,57,"StrokesGainedPutting",2009
32,32,"Hunter Mahan",94,0.409,30.695,75,"StrokesGainedPutting",2009
33,33,"George McNeill",82,0.406,30.868,76,"StrokesGainedPutting",2009
34,34,"Spencer Levin",75,0.396,26.539,67,"StrokesGainedPutting",2009
35,35,"Mark Wilson",99,0.388,34.133,88,"StrokesGainedPutting",2009
36,36,"Zach Johnson",94,0.38,30.031,79,"StrokesGainedPutting",2009
37,37,"Nathan Green",104,0.374,34.426,92,"StrokesGainedPutting",2009
38,38,"David Mathis",82,0.352,24.268,69,"StrokesGainedPutting",2009
39,39,"Dean Wilson",81,0.351,24.544,70,"StrokesGainedPutting",2009
40,40,"Ryan Moore",89,0.347,26.032,75,"StrokesGainedPutting",2009
41,41,"Richard Johnson",85,0.345,25.548,74,"StrokesGainedPutting",2009
42,42,"Chris Riley",77,0.34,22.799,67,"StrokesGainedPutting",2009
43,43,"Vaughn Taylor",88,0.338,26.683,79,"StrokesGainedPutting",2009
44,44,"Stewart Cink",79,0.336,19.809,59,"StrokesGainedPutting",2009
45,45,"Eric Axley",71,0.333,19.673,59,"StrokesGainedPutting",2009
46,46,"Jerry Kelly",90,0.326,25.079,77,"StrokesGainedPutting",2009
47,47,"Carl Pettersson",86,0.32,23.698,74,"StrokesGainedPutting",2009
48,48,"Harrison Frazar",93,0.315,26.493,84,"StrokesGainedPutting",2009
49,49,"Bob Estes",78,0.311,21.463,69,"StrokesGainedPutting",2009
50,50,"Daniel Chopra",89,0.301,24.96,83,"StrokesGainedPutting",2009
50,50,"Tim Petrovic",97,0.301,25.863,86,"StrokesGainedPutting",2009
52,52,"Bo Van Pelt",100,0.281,23.074,82,"StrokesGainedPutting",2009
53,53,"Tim Clark",81,0.277,16.344,59,"StrokesGainedPutting",2009
54,54,"Kevin Sutherland",96,0.27,19.724,73,"StrokesGainedPutting",2009
55,55,"Kenny Perry",92,0.267,19.519,73,"StrokesGainedPutting",2009
56,56,"Lee Janzen",74,0.257,15.692,61,"StrokesGainedPutting",2009
57,57,"James Nitties",86,0.248,18.827,76,"StrokesGainedPutting",2009
58,58,"Anthony Kim",76,0.246,14.743,60,"StrokesGainedPutting",2009
59,59,"Nick Watney",86,0.232,15.747,68,"StrokesGainedPutting",2009
60,60,"Jeff Quinney",78,0.216,15.369,71,"StrokesGainedPutting",2009
61,61,"Steve Stricker",81,0.204,12.673,62,"StrokesGainedPutting",2009
62,62,"Ryan Palmer",78,0.187,13.056,70,"StrokesGainedPutting",2009
63,63,"Angel Cabrera",55,0.172,6.537,38,"StrokesGainedPutting",2009
64,64,"Lucas Glover",93,0.149,11.738,79,"StrokesGainedPutting",2009
65,65,"Marc Leishman",91,0.146,12.292,84,"StrokesGainedPutting",2009
66,66,"Paul Goydos",79,0.133,8.649,65,"StrokesGainedPutting",2009
67,67,"Rod Pampling",72,0.127,8.126,64,"StrokesGainedPutting",2009
68,68,"Todd Hamilton",83,0.126,8.061,64,"StrokesGainedPutting",2009
69,69,"Jeff Overton",92,0.123,9.372,76,"StrokesGainedPutting",2009
70,70,"Kevin Streelman",97,0.121,10.549,87,"StrokesGainedPutting",2009
71,71,"Aron Price",89,0.114,8.764,77,"StrokesGainedPutting",2009
72,72,"Michael Letzig",96,0.113,9.719,86,"StrokesGainedPutting",2009
73,73,"JJ Henry",97,0.111,9.317,84,"StrokesGainedPutting",2009
74,74,"Justin Rose",71,0.109,6.2,57,"StrokesGainedPutting",2009
75,75,"Steve Marino",98,0.105,8.787,84,"StrokesGainedPutting",2009
76,76,"David Toms",98,0.099,7.899,80,"StrokesGainedPutting",2009
77,77,"Charley Hoffman",97,0.093,8.123,87,"StrokesGainedPutting",2009
78,78,"Justin Leonard",95,0.092,6.917,75,"StrokesGainedPutting",2009
79,79,"Steve Lowery",83,0.086,6.609,77,"StrokesGainedPutting",2009
80,80,"Ian Poulter",59,0.083,3.483,42,"StrokesGainedPutting",2009
81,81,"John Mallinger",90,0.082,5.837,71,"StrokesGainedPutting",2009
82,82,"Brian Bateman",55,0.077,3.712,48,"StrokesGainedPutting",2009
83,83,"Colt Knost",71,0.076,4.253,56,"StrokesGainedPutting",2009
84,84,"Ted Purdy",101,0.075,6.697,89,"StrokesGainedPutting",2009
85,85,"Scott Sterling",51,0.071,2.832,40,"StrokesGainedPutting",2009
86,86,"Scott Piercy",85,0.07,5.324,76,"StrokesGainedPutting",2009
87,87,"Bubba Watson",73,0.066,3.785,57,"StrokesGainedPutting",2009
88,88,"Martin Laird",72,0.06,3.694,62,"StrokesGainedPutting",2009
89,89,"Brad Adamonis",70,0.059,3.619,61,"StrokesGainedPutting",2009
90,90,"Matt Bettencourt",98,0.05,4.384,87,"StrokesGainedPutting",2009
91,91,"John Senden",100,0.045,4.125,92,"StrokesGainedPutting",2009
92,92,"Marc Turnesa",77,0.039,2.769,71,"StrokesGainedPutting",2009
93,93,"Johnson Wagner",81,0.038,2.78,74,"StrokesGainedPutting",2009
94,94,"Cliff Kresge",78,0.035,2.347,67,"StrokesGainedPutting",2009
95,95,"Chad Campbell",90,0.034,2.429,71,"StrokesGainedPutting",2009
95,95,"Bill Haas",91,0.034,2.772,82,"StrokesGainedPutting",2009
97,97,"Troy Matteson",95,0.033,2.942,88,"StrokesGainedPutting",2009
98,98,"Dustin Johnson",85,0.032,2.064,64,"StrokesGainedPutting",2009
99,99,"Scott Verplank",88,0.031,2.486,79,"StrokesGainedPutting",2009
100,100,"Woody Austin",84,0.026,2.007,76,"StrokesGainedPutting",2009
101,101,"Patrick Sheehan",51,0.018,0.683,39,"StrokesGainedPutting",2009
102,102,"Bill Lunde",83,0.017,1.255,75,"StrokesGainedPutting",2009
103,103,"Nick OHern",90,0.004,0.335,85,"StrokesGainedPutting",2009
104,104,"Brian Davis",103,0.002,0.177,91,"StrokesGainedPutting",2009
105,105,"Mark Brooks",55,-0.002,-0.081,40,"StrokesGainedPutting",2009
105,105,"DA Points",99,-0.002,-0.145,86,"StrokesGainedPutting",2009
107,107,"John Rollins",92,-0.003,-0.242,79,"StrokesGainedPutting",2009
108,108,"Cameron Beckman",87,-0.01,-0.75,75,"StrokesGainedPutting",2009
109,109,"Tom Pernice Jr",82,-0.016,-1.223,75,"StrokesGainedPutting",2009
110,110,"John Merrick",91,-0.02,-1.346,68,"StrokesGainedPutting",2009
111,111,"Jason Dufner",90,-0.028,-2.164,78,"StrokesGainedPutting",2009
112,112,"Charles Howell III",99,-0.034,-2.846,83,"StrokesGainedPutting",2009
113,113,"Rich Beem",77,-0.036,-2.087,58,"StrokesGainedPutting",2009
114,114,"Michael Allen",73,-0.046,-2.692,58,"StrokesGainedPutting",2009
114,114,"Andres Romero",58,-0.046,-1.981,43,"StrokesGainedPutting",2009
116,116,"KJ Choi",65,-0.047,-2.362,50,"StrokesGainedPutting",2009
117,117,"Brendon Todd",53,-0.055,-2.607,47,"StrokesGainedPutting",2009
118,118,"YE Yang",83,-0.057,-3.993,70,"StrokesGainedPutting",2009
119,119,"Sergio Garcia",59,-0.069,-3.026,44,"StrokesGainedPutting",2009
120,120,"Steve Elkington",70,-0.072,-4.452,62,"StrokesGainedPutting",2009
121,121,"Tim Herron",87,-0.075,-6.045,81,"StrokesGainedPutting",2009
122,122,"Chris Stroud",88,-0.089,-6.739,76,"StrokesGainedPutting",2009
123,123,"Brian Vranesh",51,-0.1,-4.313,43,"StrokesGainedPutting",2009
124,124,"Jimmy Walker",74,-0.103,-6.592,64,"StrokesGainedPutting",2009
125,125,"Matt Weibring",65,-0.111,-6.129,55,"StrokesGainedPutting",2009
126,126,"Chris DiMarco",97,-0.12,-10.403,87,"StrokesGainedPutting",2009
