"TenthTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2011","TenthTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2011","TenthTeeEarlyPar4ScoringAverage_PLAYERNAME_2011","TenthTeeEarlyPar4ScoringAverage_ROUNDS_2011","TenthTeeEarlyPar4ScoringAverage_AVG_2011","TenthTeeEarlyPar4ScoringAverage_TOTALSTROKES_2011","TenthTeeEarlyPar4ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Rod Pampling",72,3.89,592,152,"TenthTeeEarlyPar4ScoringAverage",2011
1,1,"Kyle Stanley",98,3.89,545,140,"TenthTeeEarlyPar4ScoringAverage",2011
1,1,"Steve Stricker",70,3.89,436,112,"TenthTeeEarlyPar4ScoringAverage",2011
4,4,"John Senden",94,3.91,590,151,"TenthTeeEarlyPar4ScoringAverage",2011
4,4,"Brandt Snedeker",85,3.91,778,199,"TenthTeeEarlyPar4ScoringAverage",2011
6,6,"JJ Henry",96,3.92,780,199,"TenthTeeEarlyPar4ScoringAverage",2011
6,6,"Lee Janzen",62,3.92,333,85,"TenthTeeEarlyPar4ScoringAverage",2011
6,6,"Nick Watney",80,3.92,674,172,"TenthTeeEarlyPar4ScoringAverage",2011
6,6,"Gary Woodland",93,3.92,764,195,"TenthTeeEarlyPar4ScoringAverage",2011
10,10,"Chris Couch",73,3.93,833,212,"TenthTeeEarlyPar4ScoringAverage",2011
11,11,"Chad Campbell",99,3.94,827,210,"TenthTeeEarlyPar4ScoringAverage",2011
11,11,"Alex Cejka",59,3.94,493,125,"TenthTeeEarlyPar4ScoringAverage",2011
11,11,"Brandt Jobe",100,3.94,587,149,"TenthTeeEarlyPar4ScoringAverage",2011
11,11,"Mark Wilson",89,3.94,548,139,"TenthTeeEarlyPar4ScoringAverage",2011
15,15,"Ben Crane",76,3.95,387,98,"TenthTeeEarlyPar4ScoringAverage",2011
15,15,"Jason Dufner",78,3.95,521,132,"TenthTeeEarlyPar4ScoringAverage",2011
15,15,"Rickie Fowler",84,3.95,655,166,"TenthTeeEarlyPar4ScoringAverage",2011
15,15,"Martin Laird",77,3.95,514,130,"TenthTeeEarlyPar4ScoringAverage",2011
15,15,"William McGirt",103,3.95,1079,273,"TenthTeeEarlyPar4ScoringAverage",2011
20,20,"Brendon de Jonge",105,3.96,887,224,"TenthTeeEarlyPar4ScoringAverage",2011
20,20,"Luke Donald",73,3.96,654,165,"TenthTeeEarlyPar4ScoringAverage",2011
20,20,"Steve Elkington",50,3.96,551,139,"TenthTeeEarlyPar4ScoringAverage",2011
20,20,"Hunter Haas",96,3.96,863,218,"TenthTeeEarlyPar4ScoringAverage",2011
24,24,"Jason Bohn",74,3.97,679,171,"TenthTeeEarlyPar4ScoringAverage",2011
24,24,"Tommy Gainey",104,3.97,833,210,"TenthTeeEarlyPar4ScoringAverage",2011
24,24,"Davis Love III",70,3.97,643,162,"TenthTeeEarlyPar4ScoringAverage",2011
24,24,"Billy Mayfair",94,3.97,798,201,"TenthTeeEarlyPar4ScoringAverage",2011
24,24,"Joe Ogilvie",75,3.97,639,161,"TenthTeeEarlyPar4ScoringAverage",2011
29,29,"KJ Choi",77,3.98,753,189,"TenthTeeEarlyPar4ScoringAverage",2011
29,29,"Brian Davis",105,3.98,984,247,"TenthTeeEarlyPar4ScoringAverage",2011
29,29,"Tom Gillis",55,3.98,434,109,"TenthTeeEarlyPar4ScoringAverage",2011
29,29,"Webb Simpson",98,3.98,851,214,"TenthTeeEarlyPar4ScoringAverage",2011
29,29,"Kevin Streelman",90,3.98,835,210,"TenthTeeEarlyPar4ScoringAverage",2011
34,34,"Ricky Barnes",78,3.99,663,166,"TenthTeeEarlyPar4ScoringAverage",2011
34,34,"Greg Chalmers",88,3.99,978,245,"TenthTeeEarlyPar4ScoringAverage",2011
34,34,"Ben Curtis",66,3.99,347,87,"TenthTeeEarlyPar4ScoringAverage",2011
34,34,"Zach Johnson",79,3.99,531,133,"TenthTeeEarlyPar4ScoringAverage",2011
34,34,"Matt Kuchar",94,3.99,801,201,"TenthTeeEarlyPar4ScoringAverage",2011
