"YTDParorBetterStreak_RANKTHISWEEK_2013","YTDParorBetterStreak_RANKLASTWEEK_2013","YTDParorBetterStreak_PLAYERNAME_2013","YTDParorBetterStreak__2013","YTDParorBetterStreak_NUMBEROFROUNDS_2013","stat_name","year"
1,1,"Jeff Overton",NA,22,"YTDParorBetterStreak",2013
2,2,"Brendon de Jonge",NA,20,"YTDParorBetterStreak",2013
3,3,"William McGirt",NA,18,"YTDParorBetterStreak",2013
3,3,"Charlie Wi",NA,18,"YTDParorBetterStreak",2013
5,5,"Roberto Castro",NA,17,"YTDParorBetterStreak",2013
5,5,"Robert Garrigus",NA,17,"YTDParorBetterStreak",2013
5,5,"Charles Howell III",NA,17,"YTDParorBetterStreak",2013
5,5,"Jimmy Walker",NA,17,"YTDParorBetterStreak",2013
9,9,"Bob Estes",NA,15,"YTDParorBetterStreak",2013
9,9,"Chris Kirk",NA,15,"YTDParorBetterStreak",2013
9,9,"Bubba Watson",NA,15,"YTDParorBetterStreak",2013
12,12,"Chad Campbell",NA,14,"YTDParorBetterStreak",2013
12,12,"Brian Gay",NA,14,"YTDParorBetterStreak",2013
12,12,"Bill Haas",NA,14,"YTDParorBetterStreak",2013
12,12,"Billy Horschel",NA,14,"YTDParorBetterStreak",2013
12,12,"Justin Leonard",NA,14,"YTDParorBetterStreak",2013
17,17,"Zach Johnson",NA,13,"YTDParorBetterStreak",2013
17,17,"Scott Langley",NA,13,"YTDParorBetterStreak",2013
17,17,"Jonathan Randolph",NA,13,"YTDParorBetterStreak",2013
17,17,"Rory Sabbatini",NA,13,"YTDParorBetterStreak",2013
21,21,"Jerry Kelly",NA,12,"YTDParorBetterStreak",2013
21,21,"Jeff Maggert",NA,12,"YTDParorBetterStreak",2013
21,21,"David Mathis",NA,12,"YTDParorBetterStreak",2013
21,21,"George McNeill",NA,12,"YTDParorBetterStreak",2013
21,21,"Brandt Snedeker",NA,12,"YTDParorBetterStreak",2013
21,21,"Kevin Stadler",NA,12,"YTDParorBetterStreak",2013
21,21,"Nicholas Thompson",NA,12,"YTDParorBetterStreak",2013
21,21,"Michael Thompson",NA,12,"YTDParorBetterStreak",2013
29,29,"Jason Bohn",NA,11,"YTDParorBetterStreak",2013
29,29,"Steven Bowditch",NA,11,"YTDParorBetterStreak",2013
29,29,"Tim Clark",NA,11,"YTDParorBetterStreak",2013
29,29,"Jason Day",NA,11,"YTDParorBetterStreak",2013
29,29,"Luke Donald",NA,11,"YTDParorBetterStreak",2013
29,29,"Harris English",NA,11,"YTDParorBetterStreak",2013
29,29,"Brad Fritsch",NA,11,"YTDParorBetterStreak",2013
29,29,"Luke Guthrie",NA,11,"YTDParorBetterStreak",2013
29,29,"Charley Hoffman",NA,11,"YTDParorBetterStreak",2013
29,29,"Jeff Klauk",NA,11,"YTDParorBetterStreak",2013
29,29,"Matt Kuchar",NA,11,"YTDParorBetterStreak",2013
29,29,"Carl Pettersson",NA,11,"YTDParorBetterStreak",2013
29,29,"John Rollins",NA,11,"YTDParorBetterStreak",2013
29,29,"Justin Rose",NA,11,"YTDParorBetterStreak",2013
29,29,"Charl Schwartzel",NA,11,"YTDParorBetterStreak",2013
29,29,"Webb Simpson",NA,11,"YTDParorBetterStreak",2013
29,29,"Kevin Streelman",NA,11,"YTDParorBetterStreak",2013
29,29,"Kevin Sutherland",NA,11,"YTDParorBetterStreak",2013
47,47,"Aaron Baddeley",NA,10,"YTDParorBetterStreak",2013
47,47,"Scott Brown",NA,10,"YTDParorBetterStreak",2013
47,47,"Brian Davis",NA,10,"YTDParorBetterStreak",2013
47,47,"Graham DeLaet",NA,10,"YTDParorBetterStreak",2013
47,47,"Jason Dufner",NA,10,"YTDParorBetterStreak",2013
47,47,"Martin Flores",NA,10,"YTDParorBetterStreak",2013
47,47,"Fabian Gomez",NA,10,"YTDParorBetterStreak",2013
47,47,"Russell Henley",NA,10,"YTDParorBetterStreak",2013
47,47,"Jim Herman",NA,10,"YTDParorBetterStreak",2013
47,47,"Justin Hicks",NA,10,"YTDParorBetterStreak",2013
47,47,"Russell Knox",NA,10,"YTDParorBetterStreak",2013
47,47,"Richard Lee",NA,10,"YTDParorBetterStreak",2013
47,47,"Marc Leishman",NA,10,"YTDParorBetterStreak",2013
47,47,"Hunter Mahan",NA,10,"YTDParorBetterStreak",2013
47,47,"Troy Matteson",NA,10,"YTDParorBetterStreak",2013
47,47,"Bryce Molder",NA,10,"YTDParorBetterStreak",2013
47,47,"Ryan Moore",NA,10,"YTDParorBetterStreak",2013
47,47,"Ryan Palmer",NA,10,"YTDParorBetterStreak",2013
47,47,"Pat Perez",NA,10,"YTDParorBetterStreak",2013
47,47,"Patrick Reed",NA,10,"YTDParorBetterStreak",2013
47,47,"Andres Romero",NA,10,"YTDParorBetterStreak",2013
47,47,"Adam Scott",NA,10,"YTDParorBetterStreak",2013
47,47,"John Senden",NA,10,"YTDParorBetterStreak",2013
47,47,"Henrik Stenson",NA,10,"YTDParorBetterStreak",2013
47,47,"Brian Stuard",NA,10,"YTDParorBetterStreak",2013
47,47,"Nick Watney",NA,10,"YTDParorBetterStreak",2013
47,47,"YE Yang",NA,10,"YTDParorBetterStreak",2013
74,74,"Stephen Ames",NA,9,"YTDParorBetterStreak",2013
74,74,"Sangmoon Bae",NA,9,"YTDParorBetterStreak",2013
74,74,"Ricky Barnes",NA,9,"YTDParorBetterStreak",2013
74,74,"Ken Duke",NA,9,"YTDParorBetterStreak",2013
74,74,"James Hahn",NA,9,"YTDParorBetterStreak",2013
74,74,"David Hearn",NA,9,"YTDParorBetterStreak",2013
74,74,"Tim Herron",NA,9,"YTDParorBetterStreak",2013
74,74,"Dustin Johnson",NA,9,"YTDParorBetterStreak",2013
74,74,"Matt Jones",NA,9,"YTDParorBetterStreak",2013
74,74,"David Lingmerth",NA,9,"YTDParorBetterStreak",2013
74,74,"David Lynn",NA,9,"YTDParorBetterStreak",2013
74,74,"Rory McIlroy",NA,9,"YTDParorBetterStreak",2013
74,74,"Phil Mickelson",NA,9,"YTDParorBetterStreak",2013
74,74,"Seung Yul Noh",NA,9,"YTDParorBetterStreak",2013
74,74,"Jin Park",NA,9,"YTDParorBetterStreak",2013
74,74,"Dicky Pride",NA,9,"YTDParorBetterStreak",2013
74,74,"Scott Stallings",NA,9,"YTDParorBetterStreak",2013
74,74,"Josh Teater",NA,9,"YTDParorBetterStreak",2013
74,74,"Johnson Wagner",NA,9,"YTDParorBetterStreak",2013
74,74,"Tiger Woods",NA,9,"YTDParorBetterStreak",2013
94,94,"Stuart Appleby",NA,8,"YTDParorBetterStreak",2013
94,94,"Keegan Bradley",NA,8,"YTDParorBetterStreak",2013
94,94,"Angel Cabrera",NA,8,"YTDParorBetterStreak",2013
94,94,"KJ Choi",NA,8,"YTDParorBetterStreak",2013
94,94,"Erik Compton",NA,8,"YTDParorBetterStreak",2013
94,94,"Matt Every",NA,8,"YTDParorBetterStreak",2013
94,94,"Nathan Green",NA,8,"YTDParorBetterStreak",2013
94,94,"Freddie Jacobson",NA,8,"YTDParorBetterStreak",2013
94,94,"Robert Karlsson",NA,8,"YTDParorBetterStreak",2013
94,94,"Kelly Kraft",NA,8,"YTDParorBetterStreak",2013
94,94,"Greg Owen",NA,8,"YTDParorBetterStreak",2013
94,94,"Tim Petrovic",NA,8,"YTDParorBetterStreak",2013
94,94,"Ted Potter Jr",NA,8,"YTDParorBetterStreak",2013
94,94,"Alistair Presnell",NA,8,"YTDParorBetterStreak",2013
94,94,"Chez Reavie",NA,8,"YTDParorBetterStreak",2013
94,94,"Heath Slocum",NA,8,"YTDParorBetterStreak",2013
94,94,"Jordan Spieth",NA,8,"YTDParorBetterStreak",2013
94,94,"Daniel Summerhays",NA,8,"YTDParorBetterStreak",2013
94,94,"Andrew Svoboda",NA,8,"YTDParorBetterStreak",2013
94,94,"Cameron Tringale",NA,8,"YTDParorBetterStreak",2013
94,94,"Boo Weekley",NA,8,"YTDParorBetterStreak",2013
115,115,"Cameron Beckman",NA,7,"YTDParorBetterStreak",2013
115,115,"Charlie Beljan",NA,7,"YTDParorBetterStreak",2013
115,115,"Jonas Blixt",NA,7,"YTDParorBetterStreak",2013
115,115,"Greg Chalmers",NA,7,"YTDParorBetterStreak",2013
115,115,"Ben Crane",NA,7,"YTDParorBetterStreak",2013
