"FirstTeeLatePar4ScoringAverage_RANKTHISWEEK_2007","FirstTeeLatePar4ScoringAverage_RANKLASTWEEK_2007","FirstTeeLatePar4ScoringAverage_PLAYERNAME_2007","FirstTeeLatePar4ScoringAverage_ROUNDS_2007","FirstTeeLatePar4ScoringAverage_AVG_2007","FirstTeeLatePar4ScoringAverage_TOTALSTROKES_2007","FirstTeeLatePar4ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Woody Austin",95,3.93,1274,324,"FirstTeeLatePar4ScoringAverage",2007
2,2,"Tiger Woods",63,3.95,1822,461,"FirstTeeLatePar4ScoringAverage",2007
3,3,"Jay Williamson",50,3.96,471,119,"FirstTeeLatePar4ScoringAverage",2007
4,4,"Billy Mayfair",98,3.97,1377,347,"FirstTeeLatePar4ScoringAverage",2007
5,5,"Ernie Els",59,3.99,1358,340,"FirstTeeLatePar4ScoringAverage",2007
5,5,"Jeff Overton",60,3.99,710,178,"FirstTeeLatePar4ScoringAverage",2007
5,5,"Rory Sabbatini",81,3.99,1545,387,"FirstTeeLatePar4ScoringAverage",2007
5,5,"Bo Van Pelt",104,3.99,1352,339,"FirstTeeLatePar4ScoringAverage",2007
9,9,"Cameron Beckman",96,4,1453,363,"FirstTeeLatePar4ScoringAverage",2007
9,9,"Daniel Chopra",106,4,1340,335,"FirstTeeLatePar4ScoringAverage",2007
9,9,"Bob Estes",88,4,1016,254,"FirstTeeLatePar4ScoringAverage",2007
9,9,"Jim Furyk",84,4,2133,533,"FirstTeeLatePar4ScoringAverage",2007
9,9,"Freddie Jacobson",70,4,1504,376,"FirstTeeLatePar4ScoringAverage",2007
9,9,"Chris Riley",59,4,823,206,"FirstTeeLatePar4ScoringAverage",2007
9,9,"Steve Stricker",81,4,1576,394,"FirstTeeLatePar4ScoringAverage",2007
16,16,"Tommy Armour III",81,4.01,882,220,"FirstTeeLatePar4ScoringAverage",2007
16,16,"Ryan Armour",107,4.01,1363,340,"FirstTeeLatePar4ScoringAverage",2007
16,16,"JP Hayes",89,4.01,1122,280,"FirstTeeLatePar4ScoringAverage",2007
16,16,"Anthony Kim",93,4.01,1252,312,"FirstTeeLatePar4ScoringAverage",2007
16,16,"DJ Trahan",99,4.01,1481,369,"FirstTeeLatePar4ScoringAverage",2007
21,21,"Sergio Garcia",68,4.02,1515,377,"FirstTeeLatePar4ScoringAverage",2007
21,21,"Nathan Green",103,4.02,1567,390,"FirstTeeLatePar4ScoringAverage",2007
21,21,"Parker McLachlin",83,4.02,817,203,"FirstTeeLatePar4ScoringAverage",2007
21,21,"Tag Ridings",52,4.02,623,155,"FirstTeeLatePar4ScoringAverage",2007
21,21,"Heath Slocum",101,4.02,1548,385,"FirstTeeLatePar4ScoringAverage",2007
26,26,"KJ Choi",87,4.03,1913,475,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Ken Duke",112,4.03,1205,299,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Steve Elkington",87,4.03,1164,289,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Tripp Isenhour",86,4.03,1032,256,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Doug LaBelle II",104,4.03,1059,263,"FirstTeeLatePar4ScoringAverage",2007
26,26,"John Mallinger",96,4.03,1011,251,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Steve Marino",106,4.03,1595,396,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Shigeki Maruyama",84,4.03,1019,253,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Joe Ogilvie",102,4.03,1379,342,"FirstTeeLatePar4ScoringAverage",2007
26,26,"Ian Poulter",63,4.03,734,182,"FirstTeeLatePar4ScoringAverage",2007
