"LeftRoughTendency_RANKTHISWEEK_2013","LeftRoughTendency_RANKLASTWEEK_2013","LeftRoughTendency_PLAYERNAME_2013","LeftRoughTendency_ROUNDS_2013","LeftRoughTendency_Pct_2013","LeftRoughTendency_TOTALLEFTROUGH_2013","LeftRoughTendency_POSSIBLEFWYS_2013","LeftRoughTendency_RELATIVETOPAR_2013","stat_name","year"
74,74,"Pat Perez",69,12.91,114,883,-0.01,"LeftRoughTendency",2013
75,75,"Jason Bohn",70,12.92,118,913,0.2,"LeftRoughTendency",2013
76,76,"William McGirt",75,12.93,127,982,0.07,"LeftRoughTendency",2013
77,77,"Brian Davis",91,13.01,150,1153,0.07,"LeftRoughTendency",2013
78,78,"Jason Dufner",78,13.03,111,852,-0.05,"LeftRoughTendency",2013
79,79,"Scott Stallings",79,13.05,119,912,0.03,"LeftRoughTendency",2013
80,80,"Ernie Els",63,13.12,87,663,-0.02,"LeftRoughTendency",2013
80,80,"Brian Gay",79,13.12,129,983,0.04,"LeftRoughTendency",2013
80,80,"Daniel Summerhays",83,13.12,141,1075,0.1,"LeftRoughTendency",2013
83,83,"Scott Gardiner",61,13.13,94,716,0.21,"LeftRoughTendency",2013
83,83,"Webb Simpson",92,13.13,128,975,0.02,"LeftRoughTendency",2013
85,85,"Chris Stroud",88,13.2,142,1076,-0.01,"LeftRoughTendency",2013
86,86,"Stephen Ames",49,13.25,80,604,0.23,"LeftRoughTendency",2013
86,86,"Billy Horschel",96,13.25,152,1147,0.01,"LeftRoughTendency",2013
88,88,"Cameron Tringale",80,13.31,138,1037,0.07,"LeftRoughTendency",2013
89,89,"John Merrick",79,13.4,127,948,0.06,"LeftRoughTendency",2013
90,90,"Stewart Cink",71,13.41,103,768,0.07,"LeftRoughTendency",2013
91,91,"Charley Hoffman",84,13.43,135,1005,-0.02,"LeftRoughTendency",2013
92,92,"Jeff Maggert",63,13.44,107,796,0.21,"LeftRoughTendency",2013
93,93,"John Senden",79,13.49,114,845,0.09,"LeftRoughTendency",2013
94,94,"James Hahn",78,13.51,125,925,0.14,"LeftRoughTendency",2013
95,95,"Vaughn Taylor",50,13.56,75,553,0.31,"LeftRoughTendency",2013
96,96,"Justin Leonard",86,13.58,141,1038,0.13,"LeftRoughTendency",2013
97,97,"Tom Gillis",69,13.7,114,832,0.15,"LeftRoughTendency",2013
98,98,"Robert Karlsson",56,13.73,70,510,0.07,"LeftRoughTendency",2013
99,99,"Ian Poulter",59,13.79,75,544,0.03,"LeftRoughTendency",2013
100,100,"Bud Cauley",67,13.86,107,772,0.06,"LeftRoughTendency",2013
101,101,"Kevin Chappell",80,13.9,129,928,0.03,"LeftRoughTendency",2013
