"YTDParorBetterStreak_RANKTHISWEEK_2012","YTDParorBetterStreak_RANKLASTWEEK_2012","YTDParorBetterStreak_PLAYERNAME_2012","YTDParorBetterStreak__2012","YTDParorBetterStreak_NUMBEROFROUNDS_2012","stat_name","year"
1,1,"Carl Pettersson",NA,23,"YTDParorBetterStreak",2012
2,2,"Bryce Molder",NA,21,"YTDParorBetterStreak",2012
3,3,"Bill Haas",NA,20,"YTDParorBetterStreak",2012
4,4,"Rickie Fowler",NA,19,"YTDParorBetterStreak",2012
5,5,"Chris Kirk",NA,18,"YTDParorBetterStreak",2012
6,6,"Scott Piercy",NA,17,"YTDParorBetterStreak",2012
7,7,"Jim Furyk",NA,16,"YTDParorBetterStreak",2012
7,7,"Jerry Kelly",NA,16,"YTDParorBetterStreak",2012
7,7,"Richard Lee",NA,16,"YTDParorBetterStreak",2012
7,7,"DA Points",NA,16,"YTDParorBetterStreak",2012
7,7,"Johnson Wagner",NA,16,"YTDParorBetterStreak",2012
12,12,"Michael Bradley",NA,15,"YTDParorBetterStreak",2012
12,12,"Bud Cauley",NA,15,"YTDParorBetterStreak",2012
12,12,"Bobby Gates",NA,15,"YTDParorBetterStreak",2012
12,12,"Chris Riley",NA,15,"YTDParorBetterStreak",2012
12,12,"Brandt Snedeker",NA,15,"YTDParorBetterStreak",2012
17,17,"Ben Curtis",NA,14,"YTDParorBetterStreak",2012
17,17,"JJ Henry",NA,14,"YTDParorBetterStreak",2012
17,17,"Nick OHern",NA,14,"YTDParorBetterStreak",2012
17,17,"Chris Stroud",NA,14,"YTDParorBetterStreak",2012
21,21,"Stuart Appleby",NA,13,"YTDParorBetterStreak",2012
21,21,"Ben Crane",NA,13,"YTDParorBetterStreak",2012
21,21,"Louis Oosthuizen",NA,13,"YTDParorBetterStreak",2012
21,21,"Webb Simpson",NA,13,"YTDParorBetterStreak",2012
21,21,"Heath Slocum",NA,13,"YTDParorBetterStreak",2012
21,21,"Bubba Watson",NA,13,"YTDParorBetterStreak",2012
27,27,"Keegan Bradley",NA,12,"YTDParorBetterStreak",2012
27,27,"Jonathan Byrd",NA,12,"YTDParorBetterStreak",2012
27,27,"Greg Chalmers",NA,12,"YTDParorBetterStreak",2012
27,27,"Will Claxton",NA,12,"YTDParorBetterStreak",2012
27,27,"Brendon de Jonge",NA,12,"YTDParorBetterStreak",2012
27,27,"Graham DeLaet",NA,12,"YTDParorBetterStreak",2012
27,27,"Luke Donald",NA,12,"YTDParorBetterStreak",2012
27,27,"Bob Estes",NA,12,"YTDParorBetterStreak",2012
27,27,"Zach Johnson",NA,12,"YTDParorBetterStreak",2012
27,27,"Jason Kokrak",NA,12,"YTDParorBetterStreak",2012
