"TotalBirdies_RANKTHISWEEK_2008","TotalBirdies_RANKLASTWEEK_2008","TotalBirdies_PLAYERNAME_2008","TotalBirdies_ROUNDS_2008","TotalBirdies_TOTAL_2008","stat_name","year"
1,1,"Steve Marino",119,440,"TotalBirdies",2008
2,2,"Ken Duke",116,428,"TotalBirdies",2008
3,3,"Patrick Sheehan",124,410,"TotalBirdies",2008
4,4,"Kevin Streelman",114,406,"TotalBirdies",2008
5,5,"Nicholas Thompson",113,399,"TotalBirdies",2008
6,6,"Mark Wilson",107,389,"TotalBirdies",2008
7,7,"Robert Allenby",108,384,"TotalBirdies",2008
7,7,"Brian Davis",108,384,"TotalBirdies",2008
9,9,"Eric Axley",113,381,"TotalBirdies",2008
10,10,"Carl Pettersson",110,378,"TotalBirdies",2008
11,11,"Frank Lickliter II",107,375,"TotalBirdies",2008
11,11,"Dean Wilson",109,375,"TotalBirdies",2008
13,13,"Vaughn Taylor",103,373,"TotalBirdies",2008
14,14,"Briny Baird",113,370,"TotalBirdies",2008
15,15,"Kenny Perry",97,368,"TotalBirdies",2008
16,16,"Joe Ogilvie",100,367,"TotalBirdies",2008
17,17,"Brian Gay",102,365,"TotalBirdies",2008
17,17,"Jeff Overton",103,365,"TotalBirdies",2008
19,19,"Woody Austin",109,361,"TotalBirdies",2008
20,20,"Bill Haas",99,359,"TotalBirdies",2008
21,21,"Tom Pernice Jr",104,358,"TotalBirdies",2008
22,22,"Martin Laird",98,355,"TotalBirdies",2008
23,23,"Robert Garrigus",90,350,"TotalBirdies",2008
24,24,"Tim Petrovic",97,348,"TotalBirdies",2008
24,24,"Kevin Sutherland",98,348,"TotalBirdies",2008
24,24,"Bo Van Pelt",101,348,"TotalBirdies",2008
27,27,"Jason Gore",94,347,"TotalBirdies",2008
28,28,"Justin Leonard",101,346,"TotalBirdies",2008
28,28,"George McNeill",97,346,"TotalBirdies",2008
30,30,"Nathan Green",95,345,"TotalBirdies",2008
31,31,"Shane Bertsch",96,341,"TotalBirdies",2008
32,32,"Bubba Watson",97,340,"TotalBirdies",2008
33,33,"Nick Watney",96,339,"TotalBirdies",2008
34,34,"Kevin Na",97,338,"TotalBirdies",2008
