"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2015","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2015","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2015","AveragePuttingDistanceGIR1Putts_ROUNDS_2015","AveragePuttingDistanceGIR1Putts_AVG_2015","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2015","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2015","stat_name","year"
1,1,"Stewart Cink",77,NA,2801.25,229,"AveragePuttingDistanceGIR1Putts",2015
1,1,"Bill Lunde",50,NA,1203.417,98,"AveragePuttingDistanceGIR1Putts",2015
1,1,"Scott Pinckney",88,NA,2842.667,232,"AveragePuttingDistanceGIR1Putts",2015
4,4,"Martin Flores",95,NA,2774.917,228,"AveragePuttingDistanceGIR1Putts",2015
4,4,"Will Wilcox",58,NA,1750.417,144,"AveragePuttingDistanceGIR1Putts",2015
6,6,"Ben Martin",93,NA,3134.167,260,"AveragePuttingDistanceGIR1Putts",2015
6,6,"Camilo Villegas",83,NA,2831.5,235,"AveragePuttingDistanceGIR1Putts",2015
8,8,"Luke Donald",71,NA,1940.333,162,"AveragePuttingDistanceGIR1Putts",2015
8,8,"Andrew Putnam",68,NA,1913.75,160,"AveragePuttingDistanceGIR1Putts",2015
8,8,"David Toms",62,NA,1953.75,163,"AveragePuttingDistanceGIR1Putts",2015
11,11,"Zac Blair",108,NA,3101.167,260,"AveragePuttingDistanceGIR1Putts",2015
11,11,"Matt Jones",89,NA,2704.167,227,"AveragePuttingDistanceGIR1Putts",2015
13,13,"Jason Dufner",76,NA,1708.667,144,"AveragePuttingDistanceGIR1Putts",2015
13,13,"Russell Henley",87,NA,2633.75,222,"AveragePuttingDistanceGIR1Putts",2015
15,15,"Billy Horschel",99,NA,2869.667,245,"AveragePuttingDistanceGIR1Putts",2015
16,16,"Jonathan Byrd",69,NA,1896.083,163,"AveragePuttingDistanceGIR1Putts",2015
16,16,"Sean OHair",86,NA,3035.167,261,"AveragePuttingDistanceGIR1Putts",2015
18,18,"Greg Chalmers",58,NA,1275.25,110,"AveragePuttingDistanceGIR1Putts",2015
18,18,"Lee Westwood",56,NA,1270.667,110,"AveragePuttingDistanceGIR1Putts",2015
20,20,"Brian Davis",86,NA,2377.083,207,"AveragePuttingDistanceGIR1Putts",2015
20,20,"Colt Knost",90,NA,2733.917,237,"AveragePuttingDistanceGIR1Putts",2015
20,20,"Geoff Ogilvy",50,NA,1100.083,96,"AveragePuttingDistanceGIR1Putts",2015
23,23,"Fabian Gomez",83,NA,2548.083,224,"AveragePuttingDistanceGIR1Putts",2015
23,23,"Spencer Levin",99,NA,2723.5,239,"AveragePuttingDistanceGIR1Putts",2015
23,23,"Johnson Wagner",68,NA,1979.917,173,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Jonas Blixt",78,NA,1770,156,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Jamie Donaldson",50,NA,939.083,83,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Sergio Garcia",59,NA,1421.667,125,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Andres Gonzales",90,NA,2700.5,239,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Charles Howell III",105,NA,3288.5,290,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Hunter Mahan",88,NA,2181.583,193,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Scott Piercy",90,NA,3150.417,278,"AveragePuttingDistanceGIR1Putts",2015
26,26,"Cameron Tringale",96,NA,2804.833,247,"AveragePuttingDistanceGIR1Putts",2015
34,34,"Ben Crane",62,NA,1719.083,153,"AveragePuttingDistanceGIR1Putts",2015
34,34,"Luke Guthrie",84,NA,2465.833,219,"AveragePuttingDistanceGIR1Putts",2015
34,34,"Padraig Harrington",60,NA,1431.583,127,"AveragePuttingDistanceGIR1Putts",2015
34,34,"Brian Stuard",97,NA,2671.167,238,"AveragePuttingDistanceGIR1Putts",2015
34,34,"Jhonattan Vegas",90,NA,2286.917,203,"AveragePuttingDistanceGIR1Putts",2015
34,34,"Steve Wheatcroft",87,NA,2660.333,236,"AveragePuttingDistanceGIR1Putts",2015
40,40,"Adam Hadwin",95,NA,2880.083,258,"AveragePuttingDistanceGIR1Putts",2015
40,40,"John Huh",102,NA,3082.333,277,"AveragePuttingDistanceGIR1Putts",2015
40,40,"Michael Thompson",83,NA,2676.917,239,"AveragePuttingDistanceGIR1Putts",2015
43,43,"Aaron Baddeley",76,NA,2252.917,204,"AveragePuttingDistanceGIR1Putts",2015
43,43,"Chad Campbell",97,NA,3139.75,283,"AveragePuttingDistanceGIR1Putts",2015
43,43,"Jim Herman",88,NA,2622.5,237,"AveragePuttingDistanceGIR1Putts",2015
43,43,"Bryce Molder",91,NA,2752,249,"AveragePuttingDistanceGIR1Putts",2015
43,43,"Pat Perez",96,NA,3146.333,283,"AveragePuttingDistanceGIR1Putts",2015
43,43,"Andres Romero",69,NA,1846.667,166,"AveragePuttingDistanceGIR1Putts",2015
43,43,"Hudson Swafford",97,NA,2995.167,270,"AveragePuttingDistanceGIR1Putts",2015
50,50,"Kevin Chappell",86,NA,2765.833,252,"AveragePuttingDistanceGIR1Putts",2015
50,50,"Gonzalo Fdez Castano",81,NA,1853.917,169,"AveragePuttingDistanceGIR1Putts",2015
50,50,"Brice Garnett",81,NA,2040.333,186,"AveragePuttingDistanceGIR1Putts",2015
50,50,"Kevin Streelman",95,NA,2443.333,222,"AveragePuttingDistanceGIR1Putts",2015
50,50,"Bo Van Pelt",81,NA,2185.333,199,"AveragePuttingDistanceGIR1Putts",2015
50,50,"Mark Wilson",89,NA,2843.25,259,"AveragePuttingDistanceGIR1Putts",2015
56,56,"Steven Bowditch",103,NA,3085.25,283,"AveragePuttingDistanceGIR1Putts",2015
56,56,"Jason Day",75,NA,2492.833,229,"AveragePuttingDistanceGIR1Putts",2015
56,56,"Rickie Fowler",76,NA,2177,199,"AveragePuttingDistanceGIR1Putts",2015
56,56,"James Hahn",94,NA,2810.667,258,"AveragePuttingDistanceGIR1Putts",2015
56,56,"Billy Hurley III",83,NA,1829.667,168,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Paul Casey",87,NA,2379.667,219,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Mark Hubbard",79,NA,1981.167,183,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Brooks Koepka",84,NA,2381.167,220,"AveragePuttingDistanceGIR1Putts",2015
61,61,"George McNeill",93,NA,3191,294,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Louis Oosthuizen",68,NA,1605.333,148,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Brandt Snedeker",98,NA,2744.667,254,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Jordan Spieth",91,NA,2799.667,258,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Daniel Summerhays",101,NA,3223.5,298,"AveragePuttingDistanceGIR1Putts",2015
61,61,"Andrew Svoboda",80,NA,2335.583,216,"AveragePuttingDistanceGIR1Putts",2015
70,70,"Nicholas Thompson",90,NA,2391.5,223,"AveragePuttingDistanceGIR1Putts",2015
71,71,"David Hearn",97,NA,3124.667,293,"AveragePuttingDistanceGIR1Putts",2015
71,71,"Whee Kim",71,NA,1962.167,184,"AveragePuttingDistanceGIR1Putts",2015
71,71,"John Merrick",78,NA,1954.333,183,"AveragePuttingDistanceGIR1Putts",2015
