"Scrambling_RANKTHISWEEK_2015","Scrambling_RANKLASTWEEK_2015","Scrambling_PLAYERNAME_2015","Scrambling_ROUNDS_2015","Scrambling_Pct_2015","Scrambling_PARORBETTER_2015","Scrambling_MISSEDGIR_2015","stat_name","year"
1,1,"Chad Collins",79,66.18,319,482,"Scrambling",2015
2,2,"Jason Day",75,65.34,247,378,"Scrambling",2015
3,3,"Steven Bowditch",103,65.19,442,678,"Scrambling",2015
4,4,"Jordan Spieth",91,65.03,331,509,"Scrambling",2015
5,5,"Jonathan Byrd",69,64.92,248,382,"Scrambling",2015
6,6,"Zac Blair",108,64.81,418,645,"Scrambling",2015
7,7,"Jerry Kelly",79,64.46,312,484,"Scrambling",2015
8,8,"SJ Park",79,64.42,315,489,"Scrambling",2015
9,9,"Webb Simpson",81,64.38,291,452,"Scrambling",2015
10,10,"Billy Hurley III",83,64.17,317,494,"Scrambling",2015
11,11,"William McGirt",103,64.09,382,596,"Scrambling",2015
12,12,"David Toms",62,63.96,236,369,"Scrambling",2015
13,13,"Matt Kuchar",97,63.78,361,566,"Scrambling",2015
14,14,"John Peterson",84,63.47,304,479,"Scrambling",2015
15,15,"Brandt Snedeker",98,63.27,379,599,"Scrambling",2015
16,16,"KJ Choi",66,63.12,255,404,"Scrambling",2015
17,17,"Rory Sabbatini",81,63.11,296,469,"Scrambling",2015
18,18,"Jim Furyk",71,62.93,219,348,"Scrambling",2015
19,19,"Kevin Na",98,62.87,381,606,"Scrambling",2015
20,20,"Bryce Molder",91,62.85,340,541,"Scrambling",2015
21,21,"Kevin Kisner",104,62.66,396,632,"Scrambling",2015
22,22,"Brendon Todd",96,62.63,362,578,"Scrambling",2015
23,23,"John Huh",102,62.6,400,639,"Scrambling",2015
24,24,"Will Wilcox",58,62.55,167,267,"Scrambling",2015
25,25,"Henrik Stenson",63,62.24,178,286,"Scrambling",2015
26,26,"Carl Pettersson",106,62.18,439,706,"Scrambling",2015
27,27,"Cameron Tringale",96,62.09,380,612,"Scrambling",2015
28,28,"Patrick Reed",103,61.99,393,634,"Scrambling",2015
29,29,"Ben Crane",62,61.98,238,384,"Scrambling",2015
30,30,"Hideki Matsuyama",95,61.92,309,499,"Scrambling",2015
31,31,"Bill Haas",89,61.9,299,483,"Scrambling",2015
32,32,"Bubba Watson",71,61.89,229,370,"Scrambling",2015
33,33,"Troy Merritt",91,61.83,371,600,"Scrambling",2015
34,34,"Justin Leonard",61,61.8,254,411,"Scrambling",2015
35,35,"Jon Curran",83,61.72,295,478,"Scrambling",2015
36,36,"Harris English",105,61.65,373,605,"Scrambling",2015
37,37,"Justin Thomas",106,61.55,365,593,"Scrambling",2015
38,38,"Mark Hubbard",79,61.52,283,460,"Scrambling",2015
39,39,"Steven Alker",62,61.5,222,361,"Scrambling",2015
40,40,"Kyle Reifers",96,61.36,335,546,"Scrambling",2015
41,41,"Louis Oosthuizen",68,61.3,217,354,"Scrambling",2015
42,42,"Matt Jones",89,61.27,337,550,"Scrambling",2015
42,42,"David Lingmerth",90,61.27,348,568,"Scrambling",2015
44,44,"George McNeill",93,61.21,344,562,"Scrambling",2015
45,45,"Sangmoon Bae",98,61.16,400,654,"Scrambling",2015
46,46,"Luke Donald",71,61.14,269,440,"Scrambling",2015
47,47,"Rickie Fowler",76,61.1,267,437,"Scrambling",2015
48,48,"Aaron Baddeley",76,61,305,500,"Scrambling",2015
49,49,"Zach Johnson",90,60.98,300,492,"Scrambling",2015
50,50,"Vijay Singh",78,60.97,289,474,"Scrambling",2015
51,51,"Jason Bohn",95,60.9,324,532,"Scrambling",2015
52,52,"Danny Lee",120,60.86,451,741,"Scrambling",2015
53,53,"Jonathan Randolph",72,60.8,273,449,"Scrambling",2015
54,54,"Ian Poulter",68,60.76,240,395,"Scrambling",2015
55,55,"Scott Brown",97,60.69,369,608,"Scrambling",2015
56,56,"Eric Axley",57,60.68,233,384,"Scrambling",2015
56,56,"Brian Davis",86,60.68,338,557,"Scrambling",2015
56,56,"Steve Wheatcroft",87,60.68,321,529,"Scrambling",2015
59,59,"Daniel Berger",97,60.66,330,544,"Scrambling",2015
60,60,"Ryan Palmer",80,60.57,275,454,"Scrambling",2015
61,61,"Erik Compton",86,60.53,345,570,"Scrambling",2015
62,62,"Alex Cejka",94,60.39,343,568,"Scrambling",2015
63,63,"Mark Wilson",89,60.37,297,492,"Scrambling",2015
64,64,"Chris Kirk",76,60.3,281,466,"Scrambling",2015
65,65,"Ryan Moore",81,60.25,294,488,"Scrambling",2015
66,66,"Brian Stuard",97,60.23,371,616,"Scrambling",2015
