"DrivingDistanceAllDrives_RANKTHISWEEK_2014","DrivingDistanceAllDrives_RANKLASTWEEK_2014","DrivingDistanceAllDrives_PLAYERNAME_2014","DrivingDistanceAllDrives_ROUNDS_2014","DrivingDistanceAllDrives_ALLDRIVES_2014","DrivingDistanceAllDrives_TOTALDISTANCE_2014","DrivingDistanceAllDrives_OFDRIVES_2014","stat_name","year"
1,1,"Bubba Watson",76,305.1,239213,784,"DrivingDistanceAllDrives",2014
2,2,"Rory McIlroy",66,301.5,202618,672,"DrivingDistanceAllDrives",2014
3,3,"Dustin Johnson",58,298.7,172664,578,"DrivingDistanceAllDrives",2014
4,4,"Jamie Lovemark",64,296.7,194901,657,"DrivingDistanceAllDrives",2014
5,5,"JB Holmes",86,296.5,318422,1074,"DrivingDistanceAllDrives",2014
6,6,"Andrew Loupe",65,296.1,206996,699,"DrivingDistanceAllDrives",2014
7,7,"Charles Howell III",106,294.8,390288,1324,"DrivingDistanceAllDrives",2014
8,8,"Jason Day",54,294.4,136019,462,"DrivingDistanceAllDrives",2014
9,9,"Gary Woodland",93,293.9,299791,1020,"DrivingDistanceAllDrives",2014
10,10,"Angel Cabrera",69,292.8,249474,852,"DrivingDistanceAllDrives",2014
11,11,"Jimmy Walker",98,292.6,300195,1026,"DrivingDistanceAllDrives",2014
12,12,"Adam Scott",68,292.5,230490,788,"DrivingDistanceAllDrives",2014
13,13,"Ryan Palmer",85,292.3,273585,936,"DrivingDistanceAllDrives",2014
14,14,"Louis Oosthuizen",50,291.4,121811,418,"DrivingDistanceAllDrives",2014
14,14,"Jhonattan Vegas",77,291.4,260531,894,"DrivingDistanceAllDrives",2014
16,16,"Charlie Beljan",76,291.2,271975,934,"DrivingDistanceAllDrives",2014
17,17,"Graham DeLaet",80,290.5,259145,892,"DrivingDistanceAllDrives",2014
17,17,"Brooks Koepka",56,290.5,170208,586,"DrivingDistanceAllDrives",2014
19,19,"Steven Bowditch",93,290.4,315968,1088,"DrivingDistanceAllDrives",2014
19,19,"Rickie Fowler",91,290.4,251451,866,"DrivingDistanceAllDrives",2014
21,21,"Charley Hoffman",93,290.3,307184,1058,"DrivingDistanceAllDrives",2014
22,22,"Morgan Hoffmann",103,290.1,364132,1255,"DrivingDistanceAllDrives",2014
23,23,"Robert Garrigus",80,289.9,294804,1017,"DrivingDistanceAllDrives",2014
24,24,"Keegan Bradley",89,289.6,271098,936,"DrivingDistanceAllDrives",2014
24,24,"Hunter Mahan",88,289.6,291877,1008,"DrivingDistanceAllDrives",2014
26,26,"Matt Jones",83,289.5,242573,838,"DrivingDistanceAllDrives",2014
26,26,"Sean OHair",77,289.5,270114,933,"DrivingDistanceAllDrives",2014
26,26,"Robert Streb",75,289.5,259425,896,"DrivingDistanceAllDrives",2014
29,29,"Justin Rose",70,289.2,209385,724,"DrivingDistanceAllDrives",2014
30,30,"Jason Kokrak",65,288.6,245048,849,"DrivingDistanceAllDrives",2014
31,31,"Charl Schwartzel",64,288.5,218128,756,"DrivingDistanceAllDrives",2014
31,31,"Scott Stallings",77,288.5,253342,878,"DrivingDistanceAllDrives",2014
33,33,"Phil Mickelson",71,288.2,201769,700,"DrivingDistanceAllDrives",2014
34,34,"Harris English",95,288.1,297885,1034,"DrivingDistanceAllDrives",2014
34,34,"Brendan Steele",89,288.1,282069,979,"DrivingDistanceAllDrives",2014
36,36,"Martin Kaymer",65,287.8,193379,672,"DrivingDistanceAllDrives",2014
37,37,"Ernie Els",85,287.4,252939,880,"DrivingDistanceAllDrives",2014
38,38,"Carl Pettersson",91,287.2,340317,1185,"DrivingDistanceAllDrives",2014
39,39,"Kyle Stanley",87,287.1,288857,1006,"DrivingDistanceAllDrives",2014
39,39,"Will Wilcox",51,287.1,160481,559,"DrivingDistanceAllDrives",2014
